Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.5,V,2,7,5,7,64,9
4.75,V,2,7,5,7,64,9
5.0,V,2,7,5,7,62,7
5.0,I,7,0,1,7,62,7
5.19,I,7,0,1,7,60,5
5.25,I,7,0,1,7,59,4
5.75,I,7,0,1,7,59,4
5.88,I,7,0,1,7,62,7
6.0,V,2,7,5,7,62,7
6.0,V,2,7,5,7,60,5
6.06,V,2,7,5,7,59,4
6.19,V,2,7,5,7,57,2
7.0,vi,4,9,6,7,57,2
7.12,vi,4,9,6,7,59,4
7.25,vi,4,9,6,7,59,4
7.38,vi,4,9,6,7,59,4
7.5,vi,4,9,6,7,59,4
7.75,vi,4,9,6,7,59,4
8.0,iii,11,4,3,7,59,4
8.0,iii,11,4,3,7,54,11
8.75,iii,11,4,3,7,64,9
9.0,I,7,0,1,7,64,9
9.0,I,7,0,1,7,62,7
9.19,I,7,0,1,7,60,5
9.25,I,7,0,1,7,59,4
9.75,I,7,0,1,7,59,4
9.88,I,7,0,1,7,62,7
10.0,V,2,7,5,7,62,7
10.0,V,2,7,5,7,60,5
10.06,V,2,7,5,7,59,4
10.25,V,2,7,5,7,57,2
11.0,vi,4,9,6,7,57,2
11.12,vi,4,9,6,7,59,4
11.25,vi,4,9,6,7,59,4
11.38,vi,4,9,6,7,59,4
11.5,vi,4,9,6,7,59,4
11.75,vi,4,9,6,7,59,4
11.88,vi,4,9,6,7,66,11
12.0,iii,11,4,3,7,66,11
13.0,IV,0,5,4,7,66,11
13.12,IV,0,5,4,7,67,0
13.25,IV,0,5,4,7,66,11
13.38,IV,0,5,4,7,64,9
13.5,IV,0,5,4,7,62,7
13.5,V,2,7,5,7,62,7
13.75,V,2,7,5,7,60,5
14.0,I,7,0,1,7,60,5
14.0,I,7,0,1,7,62,7
14.19,I,7,0,1,7,60,5
14.25,I,7,0,1,7,59,4
14.44,I,7,0,1,7,57,2
14.5,vi,4,9,6,7,57,2
14.5,vi,4,9,6,7,59,4
14.56,vi,4,9,6,7,57,2
14.62,vi,4,9,6,7,55,0
15.0,IV,0,5,4,7,55,0
15.12,IV,0,5,4,7,67,0
15.25,IV,0,5,4,7,66,11
15.38,IV,0,5,4,7,64,9
15.5,V,2,7,5,7,64,9
15.5,V,2,7,5,7,62,7
15.75,V,2,7,5,7,59,4
15.81,V,2,7,5,7,57,2
16.0,V,2,7,5,7,55,0
16.0,I,7,0,1,7,55,0
16.75,I,7,0,1,7,64,9
17.0,I,7,0,1,7,62,7
17.19,I,7,0,1,7,60,5
17.25,I,7,0,1,7,59,4
17.75,I,7,0,1,7,59,4
17.88,I,7,0,1,7,62,7
18.0,I,7,0,1,7,60,5
18.0,V,2,7,5,7,60,5
18.19,V,2,7,5,7,59,4
18.25,V,2,7,5,7,57,2
19.0,vi,4,9,6,7,57,2
19.12,vi,4,9,6,7,59,4
19.25,vi,4,9,6,7,59,4
19.38,vi,4,9,6,7,59,4
19.5,vi,4,9,6,7,59,4
19.75,vi,4,9,6,7,59,4
20.0,vi,4,9,6,7,54,11
20.0,iii,11,4,3,7,54,11
20.75,iii,11,4,3,7,64,9
21.0,iii,11,4,3,7,62,7
21.0,I,7,0,1,7,62,7
21.19,I,7,0,1,7,60,5
