Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.89,I,4,0,1,4,54,2
4.0,I,4,0,1,4,54,2
4.22,I,4,0,1,4,56,4
4.89,I,4,0,1,4,52,0
5.0,I,4,0,1,4,54,2
5.22,I,4,0,1,4,56,4
5.89,I,4,0,1,4,52,0
6.0,I,4,0,1,4,54,2
6.22,I,4,0,1,4,56,4
6.89,I,4,0,1,4,52,0
7.0,I,4,0,1,4,47,7
7.89,I,4,0,1,4,52,0
8.0,I,4,0,1,4,54,2
8.22,I,4,0,1,4,56,4
8.89,I,4,0,1,4,52,0
9.0,I,4,0,1,4,54,2
9.22,I,4,0,1,4,56,4
9.89,I,4,0,1,4,52,0
10.0,I,4,0,1,4,47,7
11.67,I,4,0,1,4,57,5
11.89,I,4,0,1,4,57,5
12.0,IV,9,5,4,4,57,5
12.67,IV,9,5,4,4,57,5
13.0,IV,9,5,4,4,57,5
13.11,IV,9,5,4,4,54,2
13.22,IV,9,5,4,4,52,0
13.67,IV,9,5,4,4,57,5
13.89,IV,9,5,4,4,57,5
14.0,I,4,0,1,4,57,5
14.11,I,4,0,1,4,59,7
14.67,I,4,0,1,4,56,4
14.78,I,4,0,1,4,52,0
15.0,I,4,0,1,4,47,7
15.67,I,4,0,1,4,56,4
15.89,I,4,0,1,4,59,7
16.0,I,4,0,1,4,59,7
16.67,I,4,0,1,4,56,4
17.0,V,11,7,5,4,56,4
17.0,V,11,7,5,4,56,4
17.11,V,11,7,5,4,54,2
17.67,V,11,7,5,4,56,4
17.78,V,11,7,5,4,54,2
18.0,V,11,7,5,4,52,0
18.0,I,4,0,1,4,52,0
19.67,I,4,0,1,4,52,0
20.0,I,4,0,1,4,54,2
20.22,I,4,0,1,4,56,4
20.89,I,4,0,1,4,52,0
21.0,I,4,0,1,4,54,2
21.22,I,4,0,1,4,56,4
21.78,I,4,0,1,4,54,2
21.89,I,4,0,1,4,52,0
22.0,I,4,0,1,4,54,2
22.22,I,4,0,1,4,56,4
22.67,I,4,0,1,4,56,4
22.78,I,4,0,1,4,54,2
22.89,I,4,0,1,4,52,0
23.0,I,4,0,1,4,47,7
23.67,I,4,0,1,4,52,0
24.0,I,4,0,1,4,54,2
24.22,I,4,0,1,4,56,4
24.89,I,4,0,1,4,52,0
25.0,I,4,0,1,4,54,2
25.22,I,4,0,1,4,56,4
25.89,I,4,0,1,4,52,0
26.0,I,4,0,1,4,47,7
27.67,I,4,0,1,4,57,5
28.0,I,4,0,1,4,57,5
28.0,IV,9,5,4,4,57,5
28.67,IV,9,5,4,4,57,5
29.0,IV,9,5,4,4,57,5
29.11,IV,9,5,4,4,54,2
29.22,IV,9,5,4,4,52,0
29.67,IV,9,5,4,4,57,5
29.89,IV,9,5,4,4,57,5
30.0,I,4,0,1,4,57,5
30.11,I,4,0,1,4,59,7
30.67,I,4,0,1,4,56,4
30.78,I,4,0,1,4,52,0
31.0,I,4,0,1,4,47,7
31.67,I,4,0,1,4,56,4
31.89,I,4,0,1,4,57,5
32.0,I,4,0,1,4,59,7
32.67,I,4,0,1,4,56,4
33.0,I,4,0,1,4,56,4
33.0,V,11,7,5,4,56,4
33.11,V,11,7,5,4,54,2
33.67,V,11,7,5,4,56,4
33.78,V,11,7,5,4,54,2
34.0,I,4,0,1,4,54,2
34.0,I,4,0,1,4,52,0
