Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.62,I,2,0,1,2,53,3
9.0,IV,7,5,4,2,53,3
9.25,IV,7,5,4,2,50,0
9.38,IV,7,5,4,2,47,9
9.5,IV,7,5,4,2,50,0
9.62,IV,7,5,4,2,52,2
9.88,IV,7,5,4,2,54,4
10.0,I,2,0,1,2,54,4
11.0,IV,7,5,4,2,54,4
12.0,I,2,0,1,2,54,4
12.62,I,2,0,1,2,53,3
12.69,I,2,0,1,2,53,3
12.81,I,2,0,1,2,53,3
13.0,IV,7,5,4,2,53,3
13.0,IV,7,5,4,2,53,3
13.12,IV,7,5,4,2,47,9
13.62,IV,7,5,4,2,48,10
13.75,IV,7,5,4,2,50,0
13.88,IV,7,5,4,2,54,4
14.0,I,2,0,1,2,54,4
15.0,IV,7,5,4,2,54,4
16.0,I,2,0,1,2,54,4
16.25,I,2,0,1,2,54,4
16.38,I,2,0,1,2,54,4
16.5,I,2,0,1,2,54,4
16.62,I,2,0,1,2,52,2
16.75,I,2,0,1,2,50,0
17.0,III,6,4,3,2,50,0
17.12,III,6,4,3,2,54,4
17.25,III,6,4,3,2,54,4
17.38,III,6,4,3,2,54,4
18.0,IV,7,5,4,2,54,4
18.12,IV,7,5,4,2,55,5
18.25,IV,7,5,4,2,55,5
18.38,IV,7,5,4,2,55,5
18.5,IV,7,5,4,2,55,5
18.62,IV,7,5,4,2,55,5
18.75,IV,7,5,4,2,55,5
19.0,V,9,7,5,2,55,5
19.0,V,9,7,5,2,53,3
19.12,V,9,7,5,2,53,3
19.25,V,9,7,5,2,53,3
19.38,V,9,7,5,2,50,0
19.62,V,9,7,5,2,52,2
20.0,I,2,0,1,2,52,2
20.62,I,2,0,1,2,53,3
21.0,IV,7,5,4,2,53,3
21.25,IV,7,5,4,2,50,0
21.38,IV,7,5,4,2,47,9
21.5,IV,7,5,4,2,50,0
21.62,IV,7,5,4,2,50,0
21.88,IV,7,5,4,2,50,0
22.0,I,2,0,1,2,50,0
23.0,IV,7,5,4,2,50,0
24.0,I,2,0,1,2,50,0
25.0,IV,7,5,4,2,50,0
26.0,I,2,0,1,2,50,0
26.12,I,2,0,1,2,53,3
26.25,I,2,0,1,2,53,3
26.38,I,2,0,1,2,53,3
27.0,IV,7,5,4,2,53,3
27.25,IV,7,5,4,2,52,2
27.38,IV,7,5,4,2,50,0
27.5,IV,7,5,4,2,52,2
27.62,IV,7,5,4,2,50,0
27.75,IV,7,5,4,2,52,2
27.88,IV,7,5,4,2,54,4
28.0,I,2,0,1,2,54,4
29.0,IV,7,5,4,2,54,4
30.0,I,2,0,1,2,54,4
30.12,I,2,0,1,2,53,3
30.25,I,2,0,1,2,53,3
30.38,I,2,0,1,2,53,3
31.0,IV,7,5,4,2,53,3
31.12,IV,7,5,4,2,47,9
31.25,IV,7,5,4,2,53,3
31.38,IV,7,5,4,2,53,3
31.44,IV,7,5,4,2,52,2
31.62,IV,7,5,4,2,52,2
31.75,IV,7,5,4,2,50,0
31.81,IV,7,5,4,2,47,9
31.88,IV,7,5,4,2,54,4
32.0,I,2,0,1,2,54,4
33.0,IV,7,5,4,2,54,4
34.0,I,2,0,1,2,54,4
34.12,I,2,0,1,2,54,4
34.25,I,2,0,1,2,54,4
