Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.19,I,0,0,1,0,55,7
4.25,I,0,0,1,0,55,7
4.38,I,0,0,1,0,55,7
4.5,I,0,0,1,0,55,7
4.75,I,0,0,1,0,59,11
4.88,I,0,0,1,0,59,11
4.94,I,0,0,1,0,57,9
5.0,IV,5,5,4,0,57,9
6.0,I,0,0,1,0,57,9
6.25,I,0,0,1,0,55,7
6.38,I,0,0,1,0,55,7
6.5,I,0,0,1,0,55,7
6.62,I,0,0,1,0,59,11
6.75,I,0,0,1,0,59,11
6.88,I,0,0,1,0,59,11
6.94,I,0,0,1,0,57,9
7.0,IV,5,5,4,0,57,9
8.0,I,0,0,1,0,57,9
8.25,I,0,0,1,0,55,7
8.38,I,0,0,1,0,55,7
8.75,I,0,0,1,0,59,11
8.88,I,0,0,1,0,59,11
8.94,I,0,0,1,0,57,9
9.0,IV,5,5,4,0,57,9
10.0,I,0,0,1,0,57,9
10.44,I,0,0,1,0,55,7
10.5,I,0,0,1,0,55,7
10.56,I,0,0,1,0,55,7
10.75,I,0,0,1,0,59,11
10.88,I,0,0,1,0,59,11
11.0,I,0,0,1,0,57,9
11.0,IV,5,5,4,0,57,9
12.19,IV,5,5,4,0,57,9
12.25,IV,5,5,4,0,60,0
12.31,IV,5,5,4,0,57,9
12.44,IV,5,5,4,0,60,0
12.5,vi64,9,9,6,0,60,0
12.75,vi64,9,9,6,0,64,4
12.88,vi64,9,9,6,0,64,4
13.0,vi64,9,9,6,0,62,2
13.0,ii,2,2,2,0,62,2
13.12,ii,2,2,2,0,57,9
14.0,V,7,7,5,0,57,9
14.0,V,7,7,5,0,59,11
14.12,V,7,7,5,0,59,11
14.5,V,7,7,5,0,59,11
14.75,V,7,7,5,0,60,0
14.88,V,7,7,5,0,62,2
15.5,V,7,7,5,0,64,4
15.62,V,7,7,5,0,67,7
15.88,V,7,7,5,0,64,4
15.94,V,7,7,5,0,62,2
16.0,I,0,0,1,0,62,2
16.0,I,0,0,1,0,60,0
16.38,I,0,0,1,0,55,7
16.44,I,0,0,1,0,55,7
16.5,I,0,0,1,0,55,7
16.56,I,0,0,1,0,55,7
16.62,I,0,0,1,0,55,7
16.75,I,0,0,1,0,59,11
16.88,I,0,0,1,0,59,11
17.0,I,0,0,1,0,57,9
17.0,IV,5,5,4,0,57,9
18.0,I,0,0,1,0,57,9
18.19,I,0,0,1,0,52,4
18.25,I,0,0,1,0,55,7
18.31,I,0,0,1,0,55,7
18.38,I,0,0,1,0,55,7
18.75,I,0,0,1,0,59,11
18.88,I,0,0,1,0,59,11
18.94,I,0,0,1,0,57,9
19.0,IV,5,5,4,0,57,9
20.0,I,0,0,1,0,57,9
20.25,I,0,0,1,0,55,7
20.31,I,0,0,1,0,55,7
20.38,I,0,0,1,0,55,7
20.44,I,0,0,1,0,55,7
20.75,I,0,0,1,0,59,11
20.88,I,0,0,1,0,59,11
20.94,I,0,0,1,0,57,9
21.0,IV,5,5,4,0,57,9
21.12,IV,5,5,4,0,57,9
22.0,I,0,0,1,0,57,9
22.25,I,0,0,1,0,55,7
22.31,I,0,0,1,0,55,7
22.44,I,0,0,1,0,55,7
22.5,I,0,0,1,0,55,7
22.62,I,0,0,1,0,59,11
22.88,I,0,0,1,0,59,11
22.94,I,0,0,1,0,57,9
23.0,IV,5,5,4,0,57,9
24.12,IV,5,5,4,0,57,9
24.25,IV,5,5,4,0,60,0
24.38,IV,5,5,4,0,57,9
24.5,IV,5,5,4,0,60,0
24.5,vi64,9,9,6,0,60,0
24.75,vi64,9,9,6,0,64,4
24.88,vi64,9,9,6,0,64,4
25.0,ii,2,2,2,0,64,4
25.0,ii,2,2,2,0,62,2
25.06,ii,2,2,2,0,60,0
25.12,ii,2,2,2,0,57,9
26.0,ii,2,2,2,0,59,11
26.0,V,7,7,5,0,59,11
26.12,V,7,7,5,0,59,11
26.5,V,7,7,5,0,59,11
26.75,V,7,7,5,0,60,0
26.88,V,7,7,5,0,62,2
27.5,V,7,7,5,0,64,4
27.62,V,7,7,5,0,67,7
27.88,V,7,7,5,0,64,4
27.94,V,7,7,5,0,62,2
28.0,IV,5,5,4,0,62,2
28.0,IV,5,5,4,0,60,0
28.31,IV,5,5,4,0,57,9
28.44,IV,5,5,4,0,60,0
28.5,V,7,7,5,0,60,0
28.5,V,7,7,5,0,59,11
28.62,V,7,7,5,0,60,0
28.69,V,7,7,5,0,59,11
28.75,V,7,7,5,0,57,9
28.88,V,7,7,5,0,57,9
28.94,V,7,7,5,0,59,11
29.0,I,0,0,1,0,59,11
29.0,I,0,0,1,0,60,0
29.12,I,0,0,1,0,60,0
29.5,III,4,4,3,0,60,0
30.0,IV,5,5,4,0,60,0
30.31,IV,5,5,4,0,57,9
30.38,IV,5,5,4,0,60,0
30.5,IV,5,5,4,0,59,11
30.5,V,7,7,5,0,59,11
30.62,V,7,7,5,0,59,11
30.69,V,7,7,5,0,57,9
30.81,V,7,7,5,0,57,9
30.88,V,7,7,5,0,52,4
31.0,I,0,0,1,0,52,4
31.5,III,4,4,3,0,52,4
32.0,IV,5,5,4,0,52,4
32.19,IV,5,5,4,0,57,9
32.25,IV,5,5,4,0,57,9
32.38,IV,5,5,4,0,60,0
32.5,V,7,7,5,0,60,0
32.5,V,7,7,5,0,59,11
32.62,V,7,7,5,0,60,0
32.69,V,7,7,5,0,59,11
32.75,V,7,7,5,0,57,9
32.88,V,7,7,5,0,57,9
32.94,V,7,7,5,0,59,11
33.0,I,0,0,1,0,59,11
33.0,I,0,0,1,0,60,0
33.12,I,0,0,1,0,60,0
33.19,I,0,0,1,0,57,9
33.25,I,0,0,1,0,55,7
33.5,III,4,4,3,0,55,7
34.0,IV,5,5,4,0,55,7
34.38,IV,5,5,4,0,60,0
34.44,IV,5,5,4,0,60,0
34.5,V,7,7,5,0,60,0
34.5,V,7,7,5,0,62,2
34.62,V,7,7,5,0,64,4
34.69,V,7,7,5,0,62,2
34.75,V,7,7,5,0,60,0
34.88,V,7,7,5,0,62,2
35.0,I,0,0,1,0,62,2
35.0,I,0,0,1,0,62,2
35.06,I,0,0,1,0,60,0
35.12,I,0,0,1,0,60,0
36.19,I,0,0,1,0,55,7
36.25,I,0,0,1,0,55,7
36.38,I,0,0,1,0,55,7
36.44,I,0,0,1,0,55,7
36.75,I,0,0,1,0,59,11
36.88,I,0,0,1,0,59,11
36.94,I,0,0,1,0,57,9
37.0,IV,5,5,4,0,57,9
38.0,I,0,0,1,0,57,9
38.25,I,0,0,1,0,55,7
38.38,I,0,0,1,0,55,7
38.44,I,0,0,1,0,55,7
38.5,I,0,0,1,0,55,7
38.62,I,0,0,1,0,59,11
38.75,I,0,0,1,0,59,11
38.88,I,0,0,1,0,59,11
38.94,I,0,0,1,0,57,9
39.0,IV,5,5,4,0,57,9
40.0,I,0,0,1,0,57,9
40.12,I,0,0,1,0,55,7
40.25,I,0,0,1,0,55,7
40.38,I,0,0,1,0,55,7
40.44,I,0,0,1,0,55,7
40.75,I,0,0,1,0,59,11
40.88,I,0,0,1,0,59,11
41.0,I,0,0,1,0,57,9
41.0,IV,5,5,4,0,57,9
42.0,I,0,0,1,0,57,9
42.19,I,0,0,1,0,55,7
42.25,I,0,0,1,0,55,7
42.31,I,0,0,1,0,55,7
42.38,I,0,0,1,0,55,7
42.75,I,0,0,1,0,59,11
42.88,I,0,0,1,0,59,11
42.94,I,0,0,1,0,57,9
43.0,IV,5,5,4,0,57,9
44.12,IV,5,5,4,0,57,9
44.19,IV,5,5,4,0,60,0
44.31,IV,5,5,4,0,57,9
44.44,IV,5,5,4,0,60,0
44.5,vi64,9,9,6,0,60,0
44.75,vi64,9,9,6,0,64,4
44.88,vi64,9,9,6,0,64,4
45.0,vi64,9,9,6,0,62,2
45.0,ii,2,2,2,0,62,2
45.06,ii,2,2,2,0,60,0
45.12,ii,2,2,2,0,57,9
46.0,ii,2,2,2,0,59,11
46.0,V,7,7,5,0,59,11
46.12,V,7,7,5,0,59,11
46.5,V,7,7,5,0,59,11
46.75,V,7,7,5,0,60,0
46.88,V,7,7,5,0,62,2
47.5,V,7,7,5,0,64,4
47.62,V,7,7,5,0,67,7
47.88,V,7,7,5,0,64,4
47.94,V,7,7,5,0,62,2
48.0,IV,5,5,4,0,62,2
48.0,IV,5,5,4,0,60,0
48.31,IV,5,5,4,0,57,9
48.38,IV,5,5,4,0,60,0
48.5,V,7,7,5,0,60,0
48.5,V,7,7,5,0,59,11
48.62,V,7,7,5,0,60,0
48.69,V,7,7,5,0,59,11
48.75,V,7,7,5,0,57,9
48.88,V,7,7,5,0,57,9
48.94,V,7,7,5,0,59,11
49.0,V,7,7,5,0,60,0
49.0,I,0,0,1,0,60,0
49.12,I,0,0,1,0,60,0
49.5,III,4,4,3,0,60,0
50.0,IV,5,5,4,0,60,0
