Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
5.62,IV,9,5,4,4,61,9
5.75,IV,9,5,4,4,64,0
5.88,IV,9,5,4,4,64,0
6.0,IV,9,5,4,4,68,4
6.0,I,4,0,1,4,68,4
6.25,I,4,0,1,4,64,0
6.38,I,4,0,1,4,64,0
6.5,IV,9,5,4,4,64,0
6.5,IV,9,5,4,4,66,2
6.62,IV,9,5,4,4,64,0
6.88,IV,9,5,4,4,61,9
6.94,IV,9,5,4,4,59,7
7.0,I,4,0,1,4,59,7
7.5,IV,9,5,4,4,59,7
7.62,IV,9,5,4,4,61,9
7.75,IV,9,5,4,4,64,0
7.88,IV,9,5,4,4,64,0
8.0,IV,9,5,4,4,68,4
8.0,I,4,0,1,4,68,4
8.25,I,4,0,1,4,68,4
8.5,IV,9,5,4,4,68,4
8.5,IV,9,5,4,4,64,0
8.56,IV,9,5,4,4,66,2
8.62,IV,9,5,4,4,64,0
8.81,IV,9,5,4,4,64,0
9.0,I,4,0,1,4,64,0
9.0,I,4,0,1,4,61,9
9.5,IV,9,5,4,4,61,9
9.62,IV,9,5,4,4,61,9
9.75,IV,9,5,4,4,64,0
9.88,IV,9,5,4,4,64,0
10.0,IV,9,5,4,4,68,4
10.0,I,4,0,1,4,68,4
10.25,I,4,0,1,4,68,4
10.38,I,4,0,1,4,68,4
10.5,IV,9,5,4,4,68,4
10.5,IV,9,5,4,4,66,2
10.62,IV,9,5,4,4,64,0
10.88,IV,9,5,4,4,61,9
10.94,IV,9,5,4,4,59,7
11.0,I,4,0,1,4,59,7
11.0,I,4,0,1,4,61,9
11.5,IV,9,5,4,4,61,9
11.62,IV,9,5,4,4,61,9
11.75,IV,9,5,4,4,64,0
12.0,IV,9,5,4,4,68,4
12.0,I,4,0,1,4,68,4
12.25,I,4,0,1,4,68,4
12.5,I,4,0,1,4,66,2
12.5,IV,9,5,4,4,66,2
12.56,IV,9,5,4,4,64,0
12.75,IV,9,5,4,4,64,0
12.81,IV,9,5,4,4,66,2
12.88,IV,9,5,4,4,64,0
13.0,I,4,0,1,4,64,0
13.25,I,4,0,1,4,61,9
13.5,IV,9,5,4,4,61,9
13.62,IV,9,5,4,4,61,9
13.75,IV,9,5,4,4,64,0
13.88,IV,9,5,4,4,64,0
14.0,IV,9,5,4,4,66,2
14.0,V,11,7,5,4,66,2
14.12,V,11,7,5,4,66,2
14.5,V,11,7,5,4,66,2
14.62,V,11,7,5,4,64,0
14.75,V,11,7,5,4,64,0
14.88,V,11,7,5,4,68,4
14.94,V,11,7,5,4,66,2
15.0,IV,9,5,4,4,66,2
15.06,IV,9,5,4,4,64,0
15.12,IV,9,5,4,4,61,9
15.88,IV,9,5,4,4,61,9
16.0,IV,9,5,4,4,69,5
16.0,V,11,7,5,4,69,5
16.12,V,11,7,5,4,69,5
16.38,V,11,7,5,4,69,5
16.5,V,11,7,5,4,68,4
16.56,V,11,7,5,4,66,2
16.62,V,11,7,5,4,64,0
16.75,V,11,7,5,4,64,0
16.88,V,11,7,5,4,67,3
17.0,IV,9,5,4,4,67,3
17.12,IV,9,5,4,4,61,9
17.25,IV,9,5,4,4,64,0
17.38,IV,9,5,4,4,61,9
17.5,IV,9,5,4,4,64,0
17.62,IV,9,5,4,4,64,0
17.88,IV,9,5,4,4,61,9
18.0,I,4,0,1,4,61,9
18.5,IV,9,5,4,4,61,9
18.62,IV,9,5,4,4,64,0
18.75,IV,9,5,4,4,61,9
18.88,IV,9,5,4,4,61,9
19.0,I,4,0,1,4,61,9
19.12,I,4,0,1,4,69,5
19.5,I,4,0,1,4,67,3
19.5,IV,9,5,4,4,67,3
19.62,IV,9,5,4,4,64,0
19.88,IV,9,5,4,4,64,0
20.0,I,4,0,1,4,64,0
20.5,IV,9,5,4,4,64,0
21.0,bVII,2,10,7,4,64,0
22.0,V,11,7,5,4,64,0
22.62,V,11,7,5,4,61,9
22.75,V,11,7,5,4,64,0
22.88,V,11,7,5,4,64,0
23.0,I,4,0,1,4,64,0
23.0,I,4,0,1,4,68,4
23.25,I,4,0,1,4,64,0
23.31,I,4,0,1,4,64,0
23.5,IV,9,5,4,4,64,0
23.5,IV,9,5,4,4,66,2
23.62,IV,9,5,4,4,61,9
23.75,IV,9,5,4,4,64,0
23.81,IV,9,5,4,4,68,4
24.0,I,4,0,1,4,68,4
24.5,IV,9,5,4,4,68,4
24.62,IV,9,5,4,4,61,9
24.75,IV,9,5,4,4,64,0
24.81,IV,9,5,4,4,64,0
25.0,IV,9,5,4,4,68,4
25.0,I,4,0,1,4,68,4
25.06,I,4,0,1,4,68,4
25.5,IV,9,5,4,4,68,4
25.5,IV,9,5,4,4,64,0
25.62,IV,9,5,4,4,64,0
25.88,IV,9,5,4,4,64,0
26.0,I,4,0,1,4,64,0
26.5,IV,9,5,4,4,64,0
26.62,IV,9,5,4,4,61,9
26.75,IV,9,5,4,4,64,0
26.88,IV,9,5,4,4,64,0
27.0,IV,9,5,4,4,68,4
27.0,I,4,0,1,4,68,4
27.25,I,4,0,1,4,64,0
27.38,I,4,0,1,4,64,0
27.5,I,4,0,1,4,66,2
27.5,IV,9,5,4,4,66,2
27.62,IV,9,5,4,4,64,0
27.88,IV,9,5,4,4,64,0
28.0,IV,9,5,4,4,61,9
28.0,I,4,0,1,4,61,9
28.06,I,4,0,1,4,59,7
28.5,IV,9,5,4,4,59,7
28.62,IV,9,5,4,4,61,9
28.75,IV,9,5,4,4,64,0
28.88,IV,9,5,4,4,64,0
29.0,I,4,0,1,4,64,0
29.0,I,4,0,1,4,68,4
29.38,I,4,0,1,4,68,4
29.5,I,4,0,1,4,66,2
29.5,IV,9,5,4,4,66,2
29.56,IV,9,5,4,4,64,0
29.75,IV,9,5,4,4,64,0
29.88,IV,9,5,4,4,64,0
30.0,I,4,0,1,4,64,0
30.0,I,4,0,1,4,61,9
30.12,I,4,0,1,4,59,7
30.5,IV,9,5,4,4,59,7
30.75,IV,9,5,4,4,61,9
30.88,IV,9,5,4,4,64,0
31.0,IV,9,5,4,4,66,2
31.0,V,11,7,5,4,66,2
31.12,V,11,7,5,4,66,2
31.5,V,11,7,5,4,66,2
31.62,V,11,7,5,4,66,2
31.88,V,11,7,5,4,68,4
32.0,IV,9,5,4,4,68,4
32.12,IV,9,5,4,4,71,7
32.19,IV,9,5,4,4,73,9
32.88,IV,9,5,4,4,59,7
33.0,V,11,7,5,4,59,7
33.0,V,11,7,5,4,69,5
33.06,V,11,7,5,4,69,5
33.5,V,11,7,5,4,68,4
33.56,V,11,7,5,4,66,2
33.62,V,11,7,5,4,64,0
33.75,V,11,7,5,4,64,0
33.88,V,11,7,5,4,64,0
34.0,IV,9,5,4,4,64,0
34.25,IV,9,5,4,4,64,0
34.38,IV,9,5,4,4,61,9
34.5,IV,9,5,4,4,64,0
34.62,IV,9,5,4,4,64,0
34.88,IV,9,5,4,4,64,0
35.0,I,4,0,1,4,64,0
35.5,IV,9,5,4,4,64,0
35.62,IV,9,5,4,4,69,5
35.81,IV,9,5,4,4,68,4
36.0,I,4,0,1,4,68,4
36.25,I,4,0,1,4,64,0
36.38,I,4,0,1,4,62,10
36.5,I,4,0,1,4,64,0
36.5,IV,9,5,4,4,64,0
36.62,IV,9,5,4,4,64,0
36.88,IV,9,5,4,4,64,0
37.0,I,4,0,1,4,64,0
37.5,IV,9,5,4,4,64,0
38.0,bVII,2,10,7,4,64,0
39.0,V,11,7,5,4,64,0
40.0,I,4,0,1,4,64,0
40.5,IV,9,5,4,4,64,0
41.0,I,4,0,1,4,64,0
41.5,IV,9,5,4,4,64,0
42.0,I,4,0,1,4,64,0
42.5,bVII,2,10,7,4,64,0
43.0,V,11,7,5,4,64,0
44.0,I,4,0,1,4,64,0
44.5,IV,9,5,4,4,64,0
45.0,I,4,0,1,4,64,0
45.5,IV,9,5,4,4,64,0
46.0,I,4,0,1,4,64,0
46.5,IV,9,5,4,4,64,0
47.0,V,11,7,5,4,64,0
47.62,V,11,7,5,4,67,3
47.75,V,11,7,5,4,69,5
47.88,V,11,7,5,4,67,3
48.0,V,11,7,5,4,71,7
48.0,I,4,0,1,4,71,7
48.38,I,4,0,1,4,69,5
48.44,I,4,0,1,4,67,3
48.5,I,4,0,1,4,69,5
48.5,IV,9,5,4,4,69,5
48.62,IV,9,5,4,4,69,5
48.75,IV,9,5,4,4,68,4
49.0,I,4,0,1,4,68,4
49.5,IV,9,5,4,4,68,4
49.62,IV,9,5,4,4,68,4
49.75,IV,9,5,4,4,69,5
49.88,IV,9,5,4,4,68,4
50.0,IV,9,5,4,4,71,7
50.0,I,4,0,1,4,71,7
50.38,I,4,0,1,4,64,0
50.5,IV,9,5,4,4,64,0
50.5,IV,9,5,4,4,64,0
50.56,IV,9,5,4,4,64,0
50.62,IV,9,5,4,4,64,0
50.75,IV,9,5,4,4,64,0
51.0,I,4,0,1,4,64,0
51.5,I,4,0,1,4,68,4
51.5,IV,9,5,4,4,68,4
51.62,IV,9,5,4,4,69,5
51.75,IV,9,5,4,4,68,4
51.88,IV,9,5,4,4,71,7
52.0,I,4,0,1,4,71,7
52.44,I,4,0,1,4,67,3
52.5,IV,9,5,4,4,67,3
52.56,IV,9,5,4,4,64,0
52.62,IV,9,5,4,4,64,0
52.75,IV,9,5,4,4,64,0
52.88,IV,9,5,4,4,64,0
53.0,I,4,0,1,4,64,0
53.5,I,4,0,1,4,61,9
53.5,IV,9,5,4,4,61,9
53.62,IV,9,5,4,4,64,0
53.75,IV,9,5,4,4,64,0
53.88,IV,9,5,4,4,68,4
54.0,I,4,0,1,4,68,4
54.38,I,4,0,1,4,64,0
54.5,I,4,0,1,4,64,0
54.5,IV,9,5,4,4,64,0
54.75,IV,9,5,4,4,64,0
54.88,IV,9,5,4,4,64,0
55.0,I,4,0,1,4,64,0
55.25,I,4,0,1,4,64,0
55.5,IV,9,5,4,4,64,0
55.5,IV,9,5,4,4,64,0
55.56,IV,9,5,4,4,64,0
55.69,IV,9,5,4,4,64,0
56.0,I,4,0,1,4,64,0
56.38,I,4,0,1,4,68,4
56.5,IV,9,5,4,4,68,4
56.56,IV,9,5,4,4,68,4
56.75,IV,9,5,4,4,61,9
56.88,IV,9,5,4,4,64,0
57.0,I,4,0,1,4,64,0
57.25,I,4,0,1,4,64,0
57.5,IV,9,5,4,4,64,0
57.5,IV,9,5,4,4,64,0
57.62,IV,9,5,4,4,64,0
57.88,IV,9,5,4,4,64,0
58.0,I,4,0,1,4,64,0
58.5,IV,9,5,4,4,64,0
58.62,IV,9,5,4,4,71,7
58.75,IV,9,5,4,4,69,5
58.81,IV,9,5,4,4,67,3
58.88,IV,9,5,4,4,67,3
58.94,IV,9,5,4,4,69,5
59.0,I,4,0,1,4,69,5
59.12,I,4,0,1,4,67,3
59.25,I,4,0,1,4,64,0
59.44,I,4,0,1,4,64,0
59.5,IV,9,5,4,4,64,0
59.62,IV,9,5,4,4,64,0
59.69,IV,9,5,4,4,64,0
59.81,IV,9,5,4,4,64,0
60.0,I,4,0,1,4,64,0
60.38,I,4,0,1,4,64,0
60.5,IV,9,5,4,4,64,0
60.62,IV,9,5,4,4,61,9
61.0,I,4,0,1,4,61,9
61.06,I,4,0,1,4,67,3
61.12,I,4,0,1,4,67,3
61.19,I,4,0,1,4,67,3
61.5,IV,9,5,4,4,67,3
61.5,IV,9,5,4,4,67,3
61.62,IV,9,5,4,4,69,5
61.75,IV,9,5,4,4,67,3
61.88,IV,9,5,4,4,69,5
62.0,I,4,0,1,4,69,5
62.0,I,4,0,1,4,67,3
62.12,I,4,0,1,4,69,5
62.5,IV,9,5,4,4,69,5
62.62,IV,9,5,4,4,64,0
62.75,IV,9,5,4,4,64,0
62.88,IV,9,5,4,4,64,0
63.0,I,4,0,1,4,64,0
63.25,I,4,0,1,4,64,0
63.5,IV,9,5,4,4,64,0
63.5,IV,9,5,4,4,64,0
63.62,IV,9,5,4,4,64,0
63.88,IV,9,5,4,4,64,0
64.0,I,4,0,1,4,64,0
64.38,I,4,0,1,4,68,4
64.5,IV,9,5,4,4,68,4
64.88,IV,9,5,4,4,66,2
65.0,IV,9,5,4,4,64,0
65.0,I,4,0,1,4,64,0
65.06,I,4,0,1,4,61,9
65.25,I,4,0,1,4,64,0
65.38,I,4,0,1,4,61,9
65.5,I,4,0,1,4,64,0
65.5,IV,9,5,4,4,64,0
65.62,IV,9,5,4,4,64,0
65.88,IV,9,5,4,4,61,9
65.94,IV,9,5,4,4,59,7
66.0,I,4,0,1,4,59,7
66.5,IV,9,5,4,4,59,7
66.62,IV,9,5,4,4,69,5
66.88,IV,9,5,4,4,69,5
67.0,I,4,0,1,4,69,5
67.0,I,4,0,1,4,71,7
67.25,I,4,0,1,4,64,0
67.38,I,4,0,1,4,61,9
67.5,I,4,0,1,4,64,0
67.5,IV,9,5,4,4,64,0
67.62,IV,9,5,4,4,64,0
67.75,IV,9,5,4,4,61,9
67.88,IV,9,5,4,4,59,7
68.0,I,4,0,1,4,59,7
68.5,IV,9,5,4,4,59,7
69.0,End,9,5,4,4,59,7
