Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.83,V7,1,7,5,6,58,4
3.92,V7,1,7,5,6,59,5
4.0,I,6,0,1,6,59,5
4.0,I,6,0,1,6,61,7
4.83,I,6,0,1,6,63,9
4.92,I,6,0,1,6,65,11
5.0,vi,3,9,6,6,65,11
5.0,vi,3,9,6,6,65,11
5.25,vi,3,9,6,6,63,9
5.75,vi,3,9,6,6,63,9
5.83,vi,3,9,6,6,61,7
5.92,vi,3,9,6,6,63,9
6.0,vi,3,9,6,6,59,5
6.0,IV,11,5,4,6,59,5
6.08,IV,11,5,4,6,59,5
6.75,IV,11,5,4,6,63,9
6.83,IV,11,5,4,6,61,7
6.92,IV,11,5,4,6,63,9
7.0,V7,1,7,5,6,63,9
7.0,V7,1,7,5,6,63,9
7.25,V7,1,7,5,6,61,7
7.83,V7,1,7,5,6,58,4
7.92,V7,1,7,5,6,59,5
8.0,V7,1,7,5,6,61,7
8.0,I,6,0,1,6,61,7
8.75,I,6,0,1,6,65,11
8.83,I,6,0,1,6,63,9
8.92,I,6,0,1,6,65,11
9.0,I,6,0,1,6,65,11
9.0,vi,3,9,6,6,65,11
9.25,vi,3,9,6,6,63,9
9.75,vi,3,9,6,6,63,9
9.83,vi,3,9,6,6,61,7
9.92,vi,3,9,6,6,63,9
10.0,vi,3,9,6,6,59,5
10.0,IV,11,5,4,6,59,5
10.08,IV,11,5,4,6,59,5
10.75,IV,11,5,4,6,63,9
10.83,IV,11,5,4,6,61,7
10.92,IV,11,5,4,6,63,9
11.0,V7,1,7,5,6,63,9
11.0,V7,1,7,5,6,63,9
11.08,V7,1,7,5,6,61,7
11.33,V7,1,7,5,6,58,4
11.42,V7,1,7,5,6,59,5
11.5,V7,1,7,5,6,61,7
11.83,V7,1,7,5,6,58,4
11.92,V7,1,7,5,6,56,2
12.0,V7,1,7,5,6,58,4
12.0,I,6,0,1,6,58,4
12.04,I,6,0,1,6,56,2
12.08,I,6,0,1,6,54,0
12.25,I,6,0,1,6,61,7
12.42,I,6,0,1,6,61,7
12.5,IV,11,5,4,6,61,7
12.5,IV,11,5,4,6,63,9
12.75,IV,11,5,4,6,65,11
12.92,IV,11,5,4,6,63,9
13.0,IV,11,5,4,6,63,9
13.0,I,6,0,1,6,63,9
13.17,I,6,0,1,6,61,7
13.75,I,6,0,1,6,61,7
13.92,I,6,0,1,6,63,9
14.0,I,6,0,1,6,66,0
14.0,IV,11,5,4,6,66,0
14.25,IV,11,5,4,6,63,9
14.67,IV,11,5,4,6,63,9
14.83,IV,11,5,4,6,62,8
14.92,IV,11,5,4,6,63,9
15.0,IV,11,5,4,6,66,0
15.25,IV,11,5,4,6,63,9
15.75,IV,11,5,4,6,63,9
16.0,I,6,0,1,6,63,9
16.0,I,6,0,1,6,61,7
16.33,I,6,0,1,6,63,9
16.5,I,6,0,1,6,61,7
16.83,I,6,0,1,6,63,9
16.92,I,6,0,1,6,61,7
17.0,I,6,0,1,6,66,0
17.08,I,6,0,1,6,61,7
17.17,I,6,0,1,6,63,9
17.25,I,6,0,1,6,61,7
17.75,I,6,0,1,6,61,7
17.83,I,6,0,1,6,63,9
18.0,I,6,0,1,6,66,0
18.0,IV,11,5,4,6,66,0
18.25,IV,11,5,4,6,63,9
18.75,IV,11,5,4,6,62,8
18.92,IV,11,5,4,6,63,9
19.0,IV,11,5,4,6,66,0
19.25,IV,11,5,4,6,63,9
19.92,IV,11,5,4,6,58,4
20.0,IV,11,5,4,6,56,2
20.0,V7,1,7,5,6,56,2
20.42,V7,1,7,5,6,58,4
20.5,V7,1,7,5,6,56,2
20.92,V7,1,7,5,6,56,2
21.0,V7,1,7,5,6,61,7
21.17,V7,1,7,5,6,63,9
21.25,V7,1,7,5,6,65,11
21.33,V7,1,7,5,6,61,7
21.42,V7,1,7,5,6,63,9
21.5,V7,1,7,5,6,61,7
21.58,V7,1,7,5,6,63,9
21.67,V7,1,7,5,6,61,7
21.75,V7,1,7,5,6,66,0
21.83,V7,1,7,5,6,61,7
21.92,V7,1,7,5,6,63,9
22.0,I,6,0,1,6,63,9
22.0,I,6,0,1,6,63,9
22.08,I,6,0,1,6,61,7
22.83,I,6,0,1,6,63,9
22.92,I,6,0,1,6,65,11
23.0,I,6,0,1,6,65,11
23.0,vi,3,9,6,6,65,11
23.25,vi,3,9,6,6,63,9
23.75,vi,3,9,6,6,63,9
23.83,vi,3,9,6,6,61,7
23.92,vi,3,9,6,6,63,9
24.0,vi,3,9,6,6,63,9
24.0,IV,11,5,4,6,63,9
24.08,IV,11,5,4,6,59,5
24.67,IV,11,5,4,6,59,5
24.75,IV,11,5,4,6,63,9
24.83,IV,11,5,4,6,61,7
24.92,IV,11,5,4,6,63,9
25.0,IV,11,5,4,6,63,9
25.0,V7,1,7,5,6,63,9
25.08,V7,1,7,5,6,61,7
25.33,V7,1,7,5,6,58,4
25.42,V7,1,7,5,6,59,5
25.5,V7,1,7,5,6,61,7
25.83,V7,1,7,5,6,58,4
25.92,V7,1,7,5,6,56,2
26.0,I,6,0,1,6,56,2
26.0,I,6,0,1,6,58,4
26.04,I,6,0,1,6,56,2
26.08,I,6,0,1,6,54,0
26.25,I,6,0,1,6,61,7
26.42,I,6,0,1,6,61,7
26.5,IV,11,5,4,6,61,7
26.5,IV,11,5,4,6,63,9
26.75,IV,11,5,4,6,65,11
26.92,IV,11,5,4,6,63,9
27.0,I,6,0,1,6,63,9
27.0,I,6,0,1,6,63,9
27.17,I,6,0,1,6,61,7
27.5,V7,1,7,5,6,61,7
28.0,I,6,0,1,6,61,7
29.0,vi,3,9,6,6,61,7
30.0,IV,11,5,4,6,61,7
31.0,V7,1,7,5,6,61,7
32.0,I,6,0,1,6,61,7
33.0,vi,3,9,6,6,61,7
34.0,IV,11,5,4,6,61,7
35.0,V7,1,7,5,6,61,7
36.0,I,6,0,1,6,61,7
36.5,IV,11,5,4,6,61,7
37.0,I,6,0,1,6,61,7
37.5,V7,1,7,5,6,61,7
37.83,V7,1,7,5,6,58,4
37.92,V7,1,7,5,6,59,5
38.0,V7,1,7,5,6,61,7
38.0,I,6,0,1,6,61,7
38.75,I,6,0,1,6,65,11
38.83,I,6,0,1,6,63,9
38.92,I,6,0,1,6,65,11
39.0,I,6,0,1,6,65,11
39.0,vi,3,9,6,6,65,11
39.25,vi,3,9,6,6,63,9
39.75,vi,3,9,6,6,63,9
39.83,vi,3,9,6,6,61,7
39.92,vi,3,9,6,6,63,9
40.0,IV,11,5,4,6,63,9
40.0,IV,11,5,4,6,63,9
40.08,IV,11,5,4,6,59,5
40.67,IV,11,5,4,6,59,5
40.75,IV,11,5,4,6,63,9
40.83,IV,11,5,4,6,61,7
40.92,IV,11,5,4,6,63,9
41.0,IV,11,5,4,6,63,9
41.0,V7,1,7,5,6,63,9
41.08,V7,1,7,5,6,61,7
41.33,V7,1,7,5,6,58,4
41.42,V7,1,7,5,6,59,5
41.5,V7,1,7,5,6,61,7
41.83,V7,1,7,5,6,58,4
41.92,V7,1,7,5,6,56,2
42.0,I,6,0,1,6,56,2
42.0,I,6,0,1,6,58,4
42.04,I,6,0,1,6,56,2
42.08,I,6,0,1,6,54,0
42.25,I,6,0,1,6,61,7
42.42,I,6,0,1,6,61,7
42.5,I,6,0,1,6,63,9
42.5,IV,11,5,4,6,63,9
42.75,IV,11,5,4,6,63,9
42.92,IV,11,5,4,6,63,9
43.0,V7,1,7,5,6,63,9
43.0,V7,1,7,5,6,65,11
43.33,V7,1,7,5,6,58,4
43.42,V7,1,7,5,6,59,5
43.5,V7,1,7,5,6,61,7
43.83,V7,1,7,5,6,58,4
43.92,V7,1,7,5,6,56,2
44.0,I,6,0,1,6,56,2
44.0,I,6,0,1,6,58,4
44.08,I,6,0,1,6,56,2
44.17,I,6,0,1,6,54,0
45.0,vi,3,9,6,6,54,0
45.0,vi,3,9,6,6,63,9
45.75,vi,3,9,6,6,70,4
46.0,vi,3,9,6,6,63,9
46.0,IV,11,5,4,6,63,9
46.75,IV,11,5,4,6,70,4
46.92,IV,11,5,4,6,73,7
47.0,IV,11,5,4,6,68,2
47.0,V7,1,7,5,6,68,2
