Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
5.5,V7/bIII,1,10,7,3,68,5
5.56,V7/bIII,1,10,7,3,68,5
5.61,V7/bIII,1,10,7,3,68,5
5.67,V7/bIII,1,10,7,3,70,7
5.78,V7/bIII,1,10,7,3,68,5
5.83,V7/bIII,1,10,7,3,66,3
5.94,V7/bIII,1,10,7,3,68,5
6.0,i,3,0,1,3,68,5
7.0,v,10,7,5,3,68,5
7.89,v,10,7,5,3,68,5
7.94,v,10,7,5,3,68,5
8.0,i,3,0,1,3,68,5
8.0,i,3,0,1,3,68,5
8.06,i,3,0,1,3,70,7
8.17,i,3,0,1,3,68,5
8.22,i,3,0,1,3,66,3
8.33,i,3,0,1,3,68,5
9.0,v,10,7,5,3,68,5
10.0,iv,8,5,4,3,68,5
10.67,iv,8,5,4,3,63,0
10.72,iv,8,5,4,3,61,10
10.78,iv,8,5,4,3,63,0
10.83,iv,8,5,4,3,61,10
10.94,iv,8,5,4,3,63,0
11.06,iv,8,5,4,3,66,3
11.17,iv,8,5,4,3,63,0
12.0,iv,8,5,4,3,70,7
12.0,V,10,7,5,3,70,7
12.17,V,10,7,5,3,68,5
12.28,V,10,7,5,3,66,3
13.22,V,10,7,5,3,58,7
13.28,V,10,7,5,3,63,0
13.67,V,10,7,5,3,58,7
13.78,V,10,7,5,3,63,0
13.83,V,10,7,5,3,63,0
13.89,V,10,7,5,3,61,10
14.0,V,10,7,5,3,63,0
14.0,i,3,0,1,3,63,0
14.08,i,3,0,1,3,66,3
14.17,i,3,0,1,3,65,2
14.25,i,3,0,1,3,63,0
15.0,v,10,7,5,3,63,0
16.0,i,3,0,1,3,63,0
17.0,v,10,7,5,3,63,0
17.17,v,10,7,5,3,63,0
17.25,v,10,7,5,3,70,7
18.0,i,3,0,1,3,70,7
18.33,i,3,0,1,3,70,7
18.5,i,3,0,1,3,68,5
18.61,i,3,0,1,3,66,3
18.67,i,3,0,1,3,68,5
19.0,v,10,7,5,3,68,5
20.0,i,3,0,1,3,68,5
20.08,i,3,0,1,3,58,7
20.17,i,3,0,1,3,63,0
20.25,i,3,0,1,3,61,10
20.33,i,3,0,1,3,63,0
20.42,i,3,0,1,3,61,10
20.58,i,3,0,1,3,66,3
20.67,i,3,0,1,3,63,0
21.0,v,10,7,5,3,63,0
22.0,i,3,0,1,3,63,0
22.33,i,3,0,1,3,70,7
22.5,i,3,0,1,3,68,5
22.58,i,3,0,1,3,66,3
22.67,i,3,0,1,3,69,6
22.83,i,3,0,1,3,68,5
22.92,i,3,0,1,3,66,3
