Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.0,I,3,0,1,3,66,3
4.12,I,3,0,1,3,66,3
4.25,I,3,0,1,3,66,3
4.38,I,3,0,1,3,66,3
4.5,I,3,0,1,3,66,3
4.62,I,3,0,1,3,66,3
4.75,I,3,0,1,3,63,0
4.88,I,3,0,1,3,60,9
5.0,I,3,0,1,3,63,0
5.25,I,3,0,1,3,63,0
5.38,I,3,0,1,3,60,9
5.88,I,3,0,1,3,58,7
6.0,I,3,0,1,3,65,2
6.12,I,3,0,1,3,65,2
6.25,I,3,0,1,3,66,3
6.38,I,3,0,1,3,66,3
6.5,I,3,0,1,3,66,3
6.75,I,3,0,1,3,63,0
6.88,I,3,0,1,3,60,9
7.0,I,3,0,1,3,63,0
7.25,I,3,0,1,3,63,0
7.38,I,3,0,1,3,60,9
7.88,I,3,0,1,3,58,7
8.0,I,3,0,1,3,66,3
8.12,I,3,0,1,3,66,3
8.25,I,3,0,1,3,66,3
8.38,I,3,0,1,3,66,3
8.5,I,3,0,1,3,66,3
8.62,I,3,0,1,3,66,3
8.75,I,3,0,1,3,63,0
8.88,I,3,0,1,3,60,9
9.0,I,3,0,1,3,63,0
9.25,I,3,0,1,3,60,9
9.38,I,3,0,1,3,66,3
9.88,I,3,0,1,3,63,0
10.0,I,3,0,1,3,66,3
10.12,I,3,0,1,3,66,3
10.25,I,3,0,1,3,66,3
10.38,I,3,0,1,3,66,3
10.5,I,3,0,1,3,66,3
10.75,I,3,0,1,3,66,3
11.0,I,3,0,1,3,66,3
11.25,I,3,0,1,3,66,3
11.5,I,3,0,1,3,66,3
11.75,I,3,0,1,3,66,3
12.0,IV,8,5,4,3,66,3
12.0,IV,8,5,4,3,63,0
13.12,IV,8,5,4,3,66,3
13.25,IV,8,5,4,3,66,3
13.38,IV,8,5,4,3,66,3
13.62,IV,8,5,4,3,63,0
13.75,IV,8,5,4,3,66,3
14.0,IV,8,5,4,3,63,0
14.0,I,3,0,1,3,63,0
14.12,I,3,0,1,3,60,9
15.62,I,3,0,1,3,66,3
15.88,I,3,0,1,3,66,3
16.0,V,10,7,5,3,66,3
16.0,V,10,7,5,3,66,3
16.12,V,10,7,5,3,66,3
16.25,V,10,7,5,3,66,3
16.38,V,10,7,5,3,65,2
16.62,V,10,7,5,3,65,2
16.88,V,10,7,5,3,66,3
17.0,IV,8,5,4,3,66,3
17.75,IV,8,5,4,3,66,3
17.88,IV,8,5,4,3,66,3
18.0,I,3,0,1,3,66,3
18.12,I,3,0,1,3,66,3
18.25,I,3,0,1,3,60,9
18.38,I,3,0,1,3,60,9
18.5,I,3,0,1,3,63,0
18.75,I,3,0,1,3,63,0
19.0,I,3,0,1,3,63,0
19.88,I,3,0,1,3,66,3
20.12,I,3,0,1,3,66,3
20.25,I,3,0,1,3,66,3
20.38,I,3,0,1,3,66,3
20.5,I,3,0,1,3,66,3
20.62,I,3,0,1,3,66,3
20.75,I,3,0,1,3,63,0
20.88,I,3,0,1,3,60,9
21.0,I,3,0,1,3,63,0
21.25,I,3,0,1,3,60,9
21.38,I,3,0,1,3,66,3
21.5,I,3,0,1,3,67,4
22.0,I,3,0,1,3,66,3
22.12,I,3,0,1,3,66,3
22.25,I,3,0,1,3,66,3
22.38,I,3,0,1,3,66,3
22.5,I,3,0,1,3,66,3
22.62,I,3,0,1,3,66,3
22.75,I,3,0,1,3,63,0
22.88,I,3,0,1,3,60,9
23.0,I,3,0,1,3,63,0
23.25,I,3,0,1,3,63,0
23.5,I,3,0,1,3,60,9
24.0,I,3,0,1,3,65,2
24.12,I,3,0,1,3,65,2
24.25,I,3,0,1,3,66,3
24.38,I,3,0,1,3,66,3
24.5,I,3,0,1,3,66,3
24.62,I,3,0,1,3,66,3
24.75,I,3,0,1,3,63,0
24.88,I,3,0,1,3,61,10
25.0,I,3,0,1,3,63,0
25.25,I,3,0,1,3,63,0
25.5,I,3,0,1,3,66,3
25.62,I,3,0,1,3,67,4
25.88,I,3,0,1,3,60,9
26.0,I,3,0,1,3,66,3
26.25,I,3,0,1,3,66,3
26.38,I,3,0,1,3,66,3
26.5,I,3,0,1,3,66,3
26.62,I,3,0,1,3,66,3
26.75,I,3,0,1,3,66,3
26.88,I,3,0,1,3,66,3
27.0,I,3,0,1,3,66,3
27.25,I,3,0,1,3,66,3
27.5,I,3,0,1,3,66,3
27.75,I,3,0,1,3,66,3
28.0,I,3,0,1,3,63,0
28.0,IV,8,5,4,3,63,0
29.12,IV,8,5,4,3,63,0
29.25,IV,8,5,4,3,66,3
29.38,IV,8,5,4,3,66,3
29.62,IV,8,5,4,3,63,0
29.75,IV,8,5,4,3,66,3
30.0,I,3,0,1,3,66,3
30.0,I,3,0,1,3,63,0
31.62,I,3,0,1,3,66,3
31.88,I,3,0,1,3,66,3
32.0,I,3,0,1,3,66,3
32.0,V,10,7,5,3,66,3
32.12,V,10,7,5,3,66,3
32.25,V,10,7,5,3,66,3
32.38,V,10,7,5,3,66,3
32.5,V,10,7,5,3,65,2
32.75,V,10,7,5,3,65,2
33.0,V,10,7,5,3,66,3
33.0,IV,8,5,4,3,66,3
33.75,IV,8,5,4,3,65,2
33.88,IV,8,5,4,3,66,3
34.0,I,3,0,1,3,66,3
34.12,I,3,0,1,3,66,3
34.25,I,3,0,1,3,63,0
34.38,I,3,0,1,3,60,9
34.5,I,3,0,1,3,63,0
34.75,I,3,0,1,3,63,0
35.0,I,3,0,1,3,63,0
35.88,I,3,0,1,3,66,3
36.12,I,3,0,1,3,66,3
36.25,I,3,0,1,3,66,3
36.38,I,3,0,1,3,66,3
36.5,I,3,0,1,3,66,3
36.62,I,3,0,1,3,67,4
36.75,I,3,0,1,3,63,0
36.88,I,3,0,1,3,60,9
37.0,I,3,0,1,3,63,0
37.25,I,3,0,1,3,60,9
37.38,I,3,0,1,3,66,3
37.88,I,3,0,1,3,58,7
38.0,I,3,0,1,3,66,3
38.12,I,3,0,1,3,66,3
38.25,I,3,0,1,3,66,3
38.38,I,3,0,1,3,66,3
38.5,I,3,0,1,3,66,3
38.75,I,3,0,1,3,63,0
38.88,I,3,0,1,3,61,10
39.0,I,3,0,1,3,63,0
39.12,I,3,0,1,3,63,0
39.25,I,3,0,1,3,63,0
39.5,I,3,0,1,3,60,9
39.88,I,3,0,1,3,58,7
40.0,I,3,0,1,3,65,2
40.12,I,3,0,1,3,66,3
40.25,I,3,0,1,3,66,3
40.38,I,3,0,1,3,66,3
40.5,I,3,0,1,3,66,3
40.62,I,3,0,1,3,66,3
40.75,I,3,0,1,3,63,0
40.88,I,3,0,1,3,61,10
41.0,I,3,0,1,3,63,0
41.25,I,3,0,1,3,60,9
41.38,I,3,0,1,3,66,3
41.88,I,3,0,1,3,66,3
42.0,I,3,0,1,3,66,3
42.12,I,3,0,1,3,66,3
42.25,I,3,0,1,3,66,3
42.38,I,3,0,1,3,66,3
42.5,I,3,0,1,3,66,3
42.75,I,3,0,1,3,66,3
43.0,I,3,0,1,3,66,3
43.25,I,3,0,1,3,66,3
43.5,I,3,0,1,3,66,3
43.75,I,3,0,1,3,66,3
44.0,I,3,0,1,3,63,0
44.0,IV,8,5,4,3,63,0
45.12,IV,8,5,4,3,65,2
45.25,IV,8,5,4,3,66,3
45.38,IV,8,5,4,3,66,3
45.62,IV,8,5,4,3,63,0
45.75,IV,8,5,4,3,66,3
46.0,I,3,0,1,3,66,3
46.0,I,3,0,1,3,63,0
46.12,I,3,0,1,3,60,9
47.62,I,3,0,1,3,66,3
47.88,I,3,0,1,3,66,3
48.0,V,10,7,5,3,66,3
48.0,V,10,7,5,3,66,3
48.12,V,10,7,5,3,66,3
