Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
11.88,I,10,0,1,10,65,7
12.0,I,10,0,1,10,65,7
12.12,I,10,0,1,10,65,7
12.25,I,10,0,1,10,65,7
12.38,I,10,0,1,10,65,7
12.5,I,10,0,1,10,65,7
12.62,I,10,0,1,10,65,7
12.75,I,10,0,1,10,63,5
12.88,I,10,0,1,10,62,4
13.0,I,10,0,1,10,63,5
13.12,I,10,0,1,10,62,4
13.38,I,10,0,1,10,65,7
13.88,I,10,0,1,10,65,7
14.0,I,10,0,1,10,65,7
14.12,I,10,0,1,10,65,7
14.25,I,10,0,1,10,65,7
14.38,I,10,0,1,10,65,7
14.5,I,10,0,1,10,65,7
14.62,I,10,0,1,10,62,4
14.75,I,10,0,1,10,63,5
14.88,I,10,0,1,10,62,4
15.0,I,10,0,1,10,63,5
15.12,I,10,0,1,10,62,4
15.38,I,10,0,1,10,58,0
15.88,I,10,0,1,10,58,0
16.0,I,10,0,1,10,65,7
16.0,IV,3,5,4,10,65,7
16.12,IV,3,5,4,10,61,3
16.25,IV,3,5,4,10,63,5
16.5,IV,3,5,4,10,63,5
16.62,IV,3,5,4,10,61,3
16.75,IV,3,5,4,10,63,5
16.88,IV,3,5,4,10,61,3
17.0,IV,3,5,4,10,63,5
17.25,IV,3,5,4,10,61,3
17.38,IV,3,5,4,10,65,7
17.88,IV,3,5,4,10,65,7
18.0,IV,3,5,4,10,65,7
18.0,I,10,0,1,10,65,7
18.12,I,10,0,1,10,65,7
18.25,I,10,0,1,10,65,7
18.38,I,10,0,1,10,62,4
18.5,I,10,0,1,10,65,7
18.62,I,10,0,1,10,62,4
18.75,I,10,0,1,10,63,5
18.88,I,10,0,1,10,62,4
19.0,I,10,0,1,10,63,5
19.12,I,10,0,1,10,62,4
19.25,I,10,0,1,10,58,0
19.38,I,10,0,1,10,58,0
19.88,I,10,0,1,10,65,7
20.0,I,10,0,1,10,65,7
20.0,V,5,7,5,10,65,7
20.12,V,5,7,5,10,62,4
20.25,V,5,7,5,10,63,5
20.38,V,5,7,5,10,62,4
20.5,V,5,7,5,10,63,5
20.62,V,5,7,5,10,62,4
20.75,V,5,7,5,10,63,5
20.88,V,5,7,5,10,62,4
21.0,V,5,7,5,10,63,5
21.25,V,5,7,5,10,62,4
21.38,V,5,7,5,10,65,7
21.62,V,5,7,5,10,58,0
21.75,V,5,7,5,10,62,4
21.88,V,5,7,5,10,63,5
22.0,I,10,0,1,10,63,5
22.0,I,10,0,1,10,65,7
22.12,I,10,0,1,10,65,7
22.25,I,10,0,1,10,65,7
22.38,I,10,0,1,10,65,7
22.62,I,10,0,1,10,62,4
22.75,I,10,0,1,10,63,5
