Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
12.62,bVII,8,10,7,10,58,0
12.75,bVII,8,10,7,10,58,0
12.88,bVII,8,10,7,10,61,3
13.0,I,10,0,1,10,61,3
13.62,I,10,0,1,10,58,0
13.75,I,10,0,1,10,58,0
13.88,I,10,0,1,10,61,3
14.0,bVII,8,10,7,10,61,3
14.12,bVII,8,10,7,10,61,3
14.38,bVII,8,10,7,10,61,3
14.5,bVII,8,10,7,10,61,3
14.62,bVII,8,10,7,10,58,0
15.0,I,10,0,1,10,58,0
16.0,bVII,8,10,7,10,58,0
16.62,bVII,8,10,7,10,58,0
16.75,bVII,8,10,7,10,58,0
16.88,bVII,8,10,7,10,61,3
17.0,I,10,0,1,10,61,3
17.62,I,10,0,1,10,58,0
17.75,I,10,0,1,10,58,0
17.88,I,10,0,1,10,61,3
18.0,bVII,8,10,7,10,61,3
18.12,bVII,8,10,7,10,58,0
18.25,bVII,8,10,7,10,58,0
18.38,bVII,8,10,7,10,61,3
18.62,bVII,8,10,7,10,63,5
18.88,bVII,8,10,7,10,61,3
19.0,I,10,0,1,10,61,3
20.0,bVII,8,10,7,10,61,3
20.62,bVII,8,10,7,10,58,0
20.75,bVII,8,10,7,10,58,0
20.88,bVII,8,10,7,10,65,7
21.0,bIII,1,3,3,10,65,7
22.0,bVII,8,10,7,10,65,7
22.0,bVII,8,10,7,10,63,5
23.0,bVII,8,10,7,10,58,0
23.0,IV,3,5,4,10,58,0
23.38,IV,3,5,4,10,58,0
23.5,IV,3,5,4,10,58,0
23.62,IV,3,5,4,10,58,0
23.75,IV,3,5,4,10,58,0
23.88,IV,3,5,4,10,62,4
24.0,I,10,0,1,10,62,4
24.62,I,10,0,1,10,58,0
24.75,I,10,0,1,10,58,0
24.88,I,10,0,1,10,65,7
25.0,bIII,1,3,3,10,65,7
26.0,bIII,1,3,3,10,63,5
26.0,bVII,8,10,7,10,63,5
26.88,bVII,8,10,7,10,56,10
27.0,bVII,8,10,7,10,58,0
27.0,IV,3,5,4,10,58,0
27.12,IV,3,5,4,10,58,0
27.25,IV,3,5,4,10,58,0
27.5,IV,3,5,4,10,58,0
27.75,IV,3,5,4,10,58,0
27.88,IV,3,5,4,10,58,0
28.0,I,10,0,1,10,58,0
28.0,I,10,0,1,10,62,4
28.12,I,10,0,1,10,62,4
28.38,I,10,0,1,10,62,4
32.0,bVII,8,10,7,10,62,4
33.0,I,10,0,1,10,62,4
34.0,bVII,8,10,7,10,62,4
34.62,bVII,8,10,7,10,58,0
34.75,bVII,8,10,7,10,58,0
34.88,bVII,8,10,7,10,62,4
35.0,I,10,0,1,10,62,4
35.62,I,10,0,1,10,58,0
35.75,I,10,0,1,10,58,0
35.88,I,10,0,1,10,61,3
36.0,bVII,8,10,7,10,61,3
36.12,bVII,8,10,7,10,61,3
36.38,bVII,8,10,7,10,61,3
36.62,bVII,8,10,7,10,61,3
36.88,bVII,8,10,7,10,58,0
37.0,I,10,0,1,10,58,0
38.0,bVII,8,10,7,10,58,0
38.62,bVII,8,10,7,10,58,0
38.75,bVII,8,10,7,10,58,0
38.88,bVII,8,10,7,10,62,4
39.0,I,10,0,1,10,62,4
39.62,I,10,0,1,10,58,0
39.75,I,10,0,1,10,58,0
39.88,I,10,0,1,10,62,4
40.0,bVII,8,10,7,10,62,4
40.12,bVII,8,10,7,10,63,5
40.38,bVII,8,10,7,10,63,5
40.5,bVII,8,10,7,10,63,5
40.62,bVII,8,10,7,10,63,5
40.88,bVII,8,10,7,10,62,4
41.0,I,10,0,1,10,62,4
42.0,bVII,8,10,7,10,62,4
42.62,bVII,8,10,7,10,58,0
42.75,bVII,8,10,7,10,58,0
42.88,bVII,8,10,7,10,65,7
43.0,bIII,1,3,3,10,65,7
44.0,bIII,1,3,3,10,63,5
44.0,bVII,8,10,7,10,63,5
45.0,bVII,8,10,7,10,58,0
45.0,IV,3,5,4,10,58,0
45.38,IV,3,5,4,10,58,0
45.5,IV,3,5,4,10,58,0
45.62,IV,3,5,4,10,58,0
45.75,IV,3,5,4,10,58,0
45.88,IV,3,5,4,10,62,4
46.0,I,10,0,1,10,62,4
46.62,I,10,0,1,10,58,0
46.75,I,10,0,1,10,58,0
46.88,I,10,0,1,10,65,7
47.0,bIII,1,3,3,10,65,7
48.0,bVII,8,10,7,10,65,7
48.0,bVII,8,10,7,10,63,5
48.88,bVII,8,10,7,10,56,10
49.0,bVII,8,10,7,10,58,0
49.0,IV,3,5,4,10,58,0
49.12,IV,3,5,4,10,58,0
49.25,IV,3,5,4,10,58,0
49.5,IV,3,5,4,10,58,0
49.75,IV,3,5,4,10,58,0
49.88,IV,3,5,4,10,58,0
50.0,IV,3,5,4,10,62,4
50.0,I,10,0,1,10,62,4
50.12,I,10,0,1,10,62,4
