Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
6.12,I,2,0,1,2,66,4
6.25,I,2,0,1,2,66,4
6.38,I,2,0,1,2,66,4
6.44,I,2,0,1,2,68,6
6.62,I,2,0,1,2,66,4
6.75,I,2,0,1,2,64,2
6.88,I,2,0,1,2,66,4
6.94,I,2,0,1,2,62,0
7.06,I,2,0,1,2,62,0
7.19,I,2,0,1,2,62,0
7.25,I,2,0,1,2,64,2
7.69,I,2,0,1,2,59,9
7.94,I,2,0,1,2,59,9
8.0,I,2,0,1,2,62,0
8.12,I,2,0,1,2,59,9
8.31,I,2,0,1,2,64,2
8.38,I,2,0,1,2,62,0
9.12,I,2,0,1,2,66,4
9.25,I,2,0,1,2,66,4
9.31,I,2,0,1,2,66,4
9.44,I,2,0,1,2,68,6
9.62,I,2,0,1,2,66,4
9.75,I,2,0,1,2,64,2
9.88,I,2,0,1,2,66,4
10.06,I,2,0,1,2,62,0
10.12,I,2,0,1,2,62,0
10.25,I,2,0,1,2,62,0
10.38,I,2,0,1,2,64,2
10.62,I,2,0,1,2,57,7
10.75,I,2,0,1,2,59,9
10.88,I,2,0,1,2,62,0
11.0,I,2,0,1,2,62,0
11.12,I,2,0,1,2,59,9
11.25,I,2,0,1,2,64,2
11.38,I,2,0,1,2,62,0
12.25,I,2,0,1,2,66,4
12.31,I,2,0,1,2,66,4
12.44,I,2,0,1,2,66,4
12.5,I,2,0,1,2,68,6
12.62,I,2,0,1,2,66,4
12.81,I,2,0,1,2,64,2
12.88,I,2,0,1,2,66,4
12.94,I,2,0,1,2,62,0
13.0,I,2,0,1,2,62,0
13.12,I,2,0,1,2,62,0
13.19,I,2,0,1,2,64,2
13.62,I,2,0,1,2,59,9
13.81,I,2,0,1,2,61,11
13.94,I,2,0,1,2,61,11
14.06,I,2,0,1,2,59,9
14.25,I,2,0,1,2,64,2
14.31,I,2,0,1,2,62,0
15.25,I,2,0,1,2,66,4
15.31,I,2,0,1,2,66,4
15.44,I,2,0,1,2,68,6
15.69,I,2,0,1,2,66,4
15.75,I,2,0,1,2,64,2
15.88,I,2,0,1,2,66,4
16.12,I,2,0,1,2,62,0
16.19,I,2,0,1,2,62,0
16.31,I,2,0,1,2,62,0
16.38,I,2,0,1,2,64,2
16.75,I,2,0,1,2,59,9
16.94,I,2,0,1,2,62,0
17.06,I,2,0,1,2,62,0
17.19,I,2,0,1,2,59,9
17.31,I,2,0,1,2,64,2
24.25,I,2,0,1,2,66,4
24.31,I,2,0,1,2,66,4
24.44,I,2,0,1,2,68,6
24.62,I,2,0,1,2,66,4
24.75,I,2,0,1,2,64,2
24.94,I,2,0,1,2,66,4
25.0,I,2,0,1,2,62,0
25.12,I,2,0,1,2,62,0
25.19,I,2,0,1,2,62,0
25.25,I,2,0,1,2,64,2
25.69,I,2,0,1,2,59,9
25.94,I,2,0,1,2,62,0
26.0,I,2,0,1,2,62,0
26.12,I,2,0,1,2,59,9
26.25,I,2,0,1,2,64,2
