Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.88,I,0,0,1,0,55,7
3.94,I,0,0,1,0,55,7
4.0,I,0,0,1,0,55,7
4.12,I,0,0,1,0,55,7
4.19,I,0,0,1,0,57,9
4.31,I,0,0,1,0,52,4
4.44,I,0,0,1,0,55,7
4.5,V,7,7,5,0,55,7
4.62,V,7,7,5,0,55,7
4.75,V,7,7,5,0,60,0
4.81,V,7,7,5,0,62,2
5.0,vi,9,9,6,0,62,2
5.0,vi,9,9,6,0,62,2
5.06,vi,9,9,6,0,64,4
5.12,vi,9,9,6,0,64,4
5.38,vi,9,9,6,0,62,2
5.44,vi,9,9,6,0,62,2
5.5,ii65,2,2,2,0,62,2
5.56,ii65,2,2,2,0,60,0
5.62,ii65,2,2,2,0,60,0
6.0,I,0,0,1,0,60,0
6.0,I,0,0,1,0,64,4
6.06,I,0,0,1,0,64,4
6.25,I,0,0,1,0,65,5
6.38,I,0,0,1,0,64,4
6.44,I,0,0,1,0,64,4
6.5,V,7,7,5,0,64,4
6.56,V,7,7,5,0,62,2
6.81,V,7,7,5,0,64,4
6.88,V,7,7,5,0,62,2
6.94,V,7,7,5,0,62,2
7.0,IV,5,5,4,0,62,2
7.06,IV,5,5,4,0,60,0
7.5,I,0,0,1,0,60,0
7.94,I,0,0,1,0,55,7
8.0,I,0,0,1,0,55,7
8.06,I,0,0,1,0,55,7
8.25,I,0,0,1,0,57,9
8.38,I,0,0,1,0,60,0
8.44,I,0,0,1,0,55,7
8.5,V,7,7,5,0,55,7
8.56,V,7,7,5,0,55,7
8.75,V,7,7,5,0,60,0
8.81,V,7,7,5,0,62,2
8.94,V,7,7,5,0,62,2
9.0,vi,9,9,6,0,62,2
9.06,vi,9,9,6,0,64,4
9.25,vi,9,9,6,0,64,4
9.44,vi,9,9,6,0,62,2
9.5,ii65,2,2,2,0,62,2
9.5,ii65,2,2,2,0,62,2
9.56,ii65,2,2,2,0,60,0
9.62,ii65,2,2,2,0,60,0
10.0,ii65,2,2,2,0,64,4
10.0,I,0,0,1,0,64,4
10.06,I,0,0,1,0,64,4
10.25,I,0,0,1,0,65,5
10.38,I,0,0,1,0,64,4
10.44,I,0,0,1,0,64,4
10.5,V,7,7,5,0,64,4
10.56,V,7,7,5,0,62,2
10.81,V,7,7,5,0,64,4
10.88,V,7,7,5,0,62,2
10.94,V,7,7,5,0,62,2
11.0,IV,5,5,4,0,62,2
11.06,IV,5,5,4,0,60,0
11.5,I,0,0,1,0,60,0
11.75,I,0,0,1,0,64,4
11.81,I,0,0,1,0,62,2
11.94,I,0,0,1,0,60,0
12.0,vi,9,9,6,0,60,0
12.25,vi,9,9,6,0,64,4
12.31,vi,9,9,6,0,67,7
12.38,vi,9,9,6,0,69,9
12.5,I64,0,0,1,0,69,9
12.75,I64,0,0,1,0,67,7
12.81,I64,0,0,1,0,67,7
12.88,I64,0,0,1,0,64,4
12.91,I64,0,0,1,0,62,2
12.94,I64,0,0,1,0,60,0
13.0,IV,5,5,4,0,60,0
13.25,IV,5,5,4,0,57,9
13.31,IV,5,5,4,0,55,7
13.44,IV,5,5,4,0,64,4
13.5,I,0,0,1,0,64,4
14.06,I,0,0,1,0,64,4
14.12,I,0,0,1,0,64,4
14.25,I,0,0,1,0,65,5
14.38,I,0,0,1,0,64,4
14.44,I,0,0,1,0,64,4
14.5,V,7,7,5,0,64,4
14.56,V,7,7,5,0,62,2
14.81,V,7,7,5,0,64,4
14.88,V,7,7,5,0,62,2
14.94,V,7,7,5,0,62,2
15.0,IV,5,5,4,0,62,2
15.06,IV,5,5,4,0,60,0
15.5,I,0,0,1,0,60,0
15.94,I,0,0,1,0,52,4
16.0,I,0,0,1,0,55,7
16.12,I,0,0,1,0,55,7
16.19,I,0,0,1,0,57,9
16.31,I,0,0,1,0,60,0
16.44,I,0,0,1,0,55,7
16.5,V,7,7,5,0,55,7
16.56,V,7,7,5,0,55,7
16.69,V,7,7,5,0,60,0
16.75,V,7,7,5,0,62,2
17.0,V,7,7,5,0,62,2
17.0,vi,9,9,6,0,62,2
17.06,vi,9,9,6,0,64,4
17.12,vi,9,9,6,0,64,4
17.31,vi,9,9,6,0,62,2
17.38,vi,9,9,6,0,62,2
17.5,ii65,2,2,2,0,62,2
17.56,ii65,2,2,2,0,60,0
17.62,ii65,2,2,2,0,60,0
18.0,ii65,2,2,2,0,64,4
18.0,I,0,0,1,0,64,4
18.19,I,0,0,1,0,64,4
18.31,I,0,0,1,0,65,5
18.38,I,0,0,1,0,64,4
18.44,I,0,0,1,0,64,4
18.5,V,7,7,5,0,64,4
18.56,V,7,7,5,0,62,2
