Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.44,I,3,0,1,3,67,4
0.5,I,3,0,1,3,68,5
0.62,I,3,0,1,3,70,7
0.69,I,3,0,1,3,68,5
0.81,I,3,0,1,3,66,3
1.0,I,3,0,1,3,65,2
1.0,IV,8,5,4,3,65,2
1.38,IV,8,5,4,3,63,0
1.5,V,10,7,5,3,63,0
1.62,V,10,7,5,3,65,2
2.0,I,3,0,1,3,65,2
2.38,I,3,0,1,3,66,3
2.44,I,3,0,1,3,65,2
2.5,I,3,0,1,3,66,3
2.69,I,3,0,1,3,65,2
2.81,I,3,0,1,3,65,2
2.88,I,3,0,1,3,65,2
3.0,IV,8,5,4,3,65,2
3.0,IV,8,5,4,3,63,0
3.25,IV,8,5,4,3,60,9
3.38,IV,8,5,4,3,66,3
3.44,IV,8,5,4,3,65,2
3.5,V,10,7,5,3,65,2
3.62,V,10,7,5,3,63,0
4.0,I,3,0,1,3,63,0
4.38,I,3,0,1,3,66,3
4.44,I,3,0,1,3,68,5
4.5,I,3,0,1,3,70,7
4.75,I,3,0,1,3,63,0
5.0,IV,8,5,4,3,63,0
5.19,IV,8,5,4,3,70,7
5.31,IV,8,5,4,3,68,5
5.44,IV,8,5,4,3,66,3
5.5,IV,8,5,4,3,65,2
5.5,V,10,7,5,3,65,2
5.62,V,10,7,5,3,63,0
5.69,V,10,7,5,3,65,2
6.0,I,3,0,1,3,65,2
6.12,I,3,0,1,3,63,0
6.19,I,3,0,1,3,60,9
6.62,I,3,0,1,3,70,7
6.88,I,3,0,1,3,63,0
6.94,I,3,0,1,3,60,9
7.0,IV,8,5,4,3,60,9
7.38,IV,8,5,4,3,75,0
7.5,V,10,7,5,3,75,0
7.75,V,10,7,5,3,51,0
7.88,V,10,7,5,3,51,0
7.94,V,10,7,5,3,51,0
8.0,V,10,7,5,3,58,7
8.0,I,3,0,1,3,58,7
8.75,I,3,0,1,3,75,0
9.0,IV,8,5,4,3,75,0
9.12,IV,8,5,4,3,72,9
9.5,V,10,7,5,3,72,9
9.62,V,10,7,5,3,54,3
9.69,V,10,7,5,3,53,2
9.88,V,10,7,5,3,51,0
9.94,V,10,7,5,3,48,9
10.0,I,3,0,1,3,48,9
10.0,I,3,0,1,3,51,0
10.62,I,3,0,1,3,66,3
10.81,I,3,0,1,3,65,2
10.88,I,3,0,1,3,63,0
11.0,IV,8,5,4,3,63,0
11.0,IV,8,5,4,3,63,0
11.12,IV,8,5,4,3,65,2
11.5,V,10,7,5,3,65,2
11.75,V,10,7,5,3,51,0
11.88,V,10,7,5,3,51,0
11.94,V,10,7,5,3,51,0
12.0,I,3,0,1,3,51,0
12.0,I,3,0,1,3,60,9
12.25,I,3,0,1,3,58,7
12.5,I,3,0,1,3,60,9
12.62,I,3,0,1,3,58,7
12.94,I,3,0,1,3,66,3
13.0,IV,8,5,4,3,66,3
13.06,IV,8,5,4,3,65,2
13.5,V,10,7,5,3,65,2
13.62,V,10,7,5,3,60,9
13.88,V,10,7,5,3,58,7
13.94,V,10,7,5,3,55,4
14.0,V,10,7,5,3,58,7
14.0,I,3,0,1,3,58,7
14.12,I,3,0,1,3,60,9
14.19,I,3,0,1,3,58,7
14.25,I,3,0,1,3,55,4
15.0,IV,8,5,4,3,55,4
15.12,IV,8,5,4,3,67,4
15.38,IV,8,5,4,3,70,7
15.5,V,10,7,5,3,70,7
15.62,V,10,7,5,3,72,9
16.0,I,3,0,1,3,72,9
16.31,I,3,0,1,3,63,0
16.38,I,3,0,1,3,63,0
16.5,I,3,0,1,3,62,11
16.69,I,3,0,1,3,62,11
16.81,I,3,0,1,3,63,0
16.88,I,3,0,1,3,62,11
16.94,I,3,0,1,3,62,11
17.0,IV,8,5,4,3,62,11
17.06,IV,8,5,4,3,60,9
17.5,V,10,7,5,3,60,9
17.56,V,10,7,5,3,58,7
17.62,V,10,7,5,3,67,4
17.88,V,10,7,5,3,70,7
18.0,I,3,0,1,3,70,7
18.06,I,3,0,1,3,63,0
18.12,I,3,0,1,3,60,9
18.19,I,3,0,1,3,58,7
18.81,I,3,0,1,3,66,3
18.94,I,3,0,1,3,65,2
19.0,IV,8,5,4,3,65,2
19.06,IV,8,5,4,3,66,3
19.19,IV,8,5,4,3,63,0
19.31,IV,8,5,4,3,63,0
19.38,IV,8,5,4,3,65,2
19.5,V,10,7,5,3,65,2
20.0,I,3,0,1,3,65,2
20.5,I,3,0,1,3,63,0
20.62,I,3,0,1,3,62,11
20.69,I,3,0,1,3,62,11
20.81,I,3,0,1,3,58,7
20.94,I,3,0,1,3,60,9
21.0,IV,8,5,4,3,60,9
21.5,V,10,7,5,3,60,9
21.88,V,10,7,5,3,60,9
22.0,I,3,0,1,3,60,9
22.12,I,3,0,1,3,58,7
22.81,I,3,0,1,3,63,0
22.94,I,3,0,1,3,63,0
23.0,IV,8,5,4,3,63,0
23.06,IV,8,5,4,3,60,9
23.5,V,10,7,5,3,60,9
24.0,I,3,0,1,3,60,9
24.0,I,3,0,1,3,67,4
24.69,I,3,0,1,3,70,7
24.81,I,3,0,1,3,67,4
24.94,I,3,0,1,3,65,2
25.0,IV,8,5,4,3,65,2
25.06,IV,8,5,4,3,63,0
25.31,IV,8,5,4,3,67,4
25.44,IV,8,5,4,3,67,4
25.5,IV,8,5,4,3,65,2
25.5,V,10,7,5,3,65,2
25.56,V,10,7,5,3,63,0
25.62,V,10,7,5,3,60,9
25.81,V,10,7,5,3,63,0
25.94,V,10,7,5,3,60,9
26.0,I,3,0,1,3,60,9
26.0,I,3,0,1,3,67,4
26.56,I,3,0,1,3,58,7
26.62,I,3,0,1,3,60,9
26.69,I,3,0,1,3,63,0
26.81,I,3,0,1,3,65,2
27.0,IV,8,5,4,3,65,2
27.0,IV,8,5,4,3,67,4
27.06,IV,8,5,4,3,65,2
27.12,IV,8,5,4,3,63,0
27.19,IV,8,5,4,3,60,9
27.5,V,10,7,5,3,60,9
27.56,V,10,7,5,3,67,4
27.75,V,10,7,5,3,65,2
28.0,I,3,0,1,3,65,2
28.0,I,3,0,1,3,67,4
28.06,I,3,0,1,3,65,2
28.12,I,3,0,1,3,67,4
28.25,I,3,0,1,3,67,4
28.38,I,3,0,1,3,65,2
28.44,I,3,0,1,3,65,2
28.69,I,3,0,1,3,67,4
28.75,I,3,0,1,3,67,4
28.81,I,3,0,1,3,67,4
28.88,I,3,0,1,3,65,2
28.94,I,3,0,1,3,65,2
29.0,I,3,0,1,3,63,0
29.0,IV,8,5,4,3,63,0
29.06,IV,8,5,4,3,60,9
29.5,V,10,7,5,3,60,9
29.62,V,10,7,5,3,67,4
29.69,V,10,7,5,3,65,2
29.75,V,10,7,5,3,63,0
29.88,V,10,7,5,3,65,2
29.94,V,10,7,5,3,67,4
30.0,I,3,0,1,3,67,4
30.12,I,3,0,1,3,67,4
30.5,I,3,0,1,3,67,4
30.69,I,3,0,1,3,60,9
30.81,I,3,0,1,3,58,7
31.0,IV,8,5,4,3,58,7
31.5,IV,8,5,4,3,72,9
31.5,V,10,7,5,3,72,9
31.69,V,10,7,5,3,70,7
31.88,V,10,7,5,3,72,9
32.0,IV,8,5,4,3,72,9
32.38,IV,8,5,4,3,67,4
32.56,IV,8,5,4,3,70,7
32.88,IV,8,5,4,3,63,0
33.12,IV,8,5,4,3,63,0
33.31,IV,8,5,4,3,63,0
33.38,IV,8,5,4,3,60,9
33.56,IV,8,5,4,3,66,3
33.69,IV,8,5,4,3,65,2
33.75,IV,8,5,4,3,65,2
34.0,I,3,0,1,3,65,2
34.12,I,3,0,1,3,63,0
34.25,I,3,0,1,3,60,9
34.38,I,3,0,1,3,67,4
34.88,I,3,0,1,3,72,9
35.0,IV,8,5,4,3,72,9
35.12,IV,8,5,4,3,70,7
35.38,IV,8,5,4,3,72,9
35.5,V,10,7,5,3,72,9
36.0,IV,8,5,4,3,72,9
36.25,IV,8,5,4,3,66,3
36.75,IV,8,5,4,3,65,2
36.88,IV,8,5,4,3,65,2
37.0,IV,8,5,4,3,63,0
37.12,IV,8,5,4,3,63,0
37.38,IV,8,5,4,3,65,2
37.56,IV,8,5,4,3,58,7
37.62,IV,8,5,4,3,60,9
37.69,IV,8,5,4,3,60,9
37.75,IV,8,5,4,3,63,0
37.88,IV,8,5,4,3,60,9
37.94,IV,8,5,4,3,67,4
38.0,I,3,0,1,3,67,4
38.5,I,3,0,1,3,66,3
38.69,I,3,0,1,3,65,2
38.81,I,3,0,1,3,66,3
38.94,I,3,0,1,3,65,2
39.0,I,3,0,1,3,63,0
39.0,IV,8,5,4,3,63,0
39.06,IV,8,5,4,3,60,9
39.5,V,10,7,5,3,60,9
39.62,V,10,7,5,3,68,5
39.75,V,10,7,5,3,67,4
39.88,V,10,7,5,3,65,2
39.94,V,10,7,5,3,67,4
40.0,IV,8,5,4,3,67,4
40.5,IV,8,5,4,3,66,3
