Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.0,I,5,0,1,5,57,4
4.09,I,5,0,1,5,55,2
4.12,I,5,0,1,5,57,4
4.22,I,5,0,1,5,55,2
4.25,I,5,0,1,5,57,4
5.38,I,5,0,1,5,48,7
5.5,I,5,0,1,5,57,4
5.62,I,5,0,1,5,58,5
5.75,I,5,0,1,5,60,7
6.0,vi9,2,9,6,5,60,7
6.0,vi9,2,9,6,5,64,11
6.25,vi9,2,9,6,5,60,7
6.38,vi9,2,9,6,5,60,7
7.38,vi9,2,9,6,5,53,0
7.5,vi9,2,9,6,5,57,4
7.62,vi9,2,9,6,5,58,5
7.75,vi9,2,9,6,5,60,7
8.0,IV,10,5,4,5,60,7
8.0,IV,10,5,4,5,60,7
8.06,IV,10,5,4,5,62,9
8.25,IV,10,5,4,5,58,5
8.38,IV,10,5,4,5,58,5
9.38,IV,10,5,4,5,53,0
9.44,IV,10,5,4,5,53,0
9.5,IV,10,5,4,5,58,5
9.69,IV,10,5,4,5,58,5
9.81,IV,10,5,4,5,58,5
10.0,IV,10,5,4,5,61,8
10.38,IV,10,5,4,5,60,7
10.5,IV,10,5,4,5,58,5
10.88,IV,10,5,4,5,58,5
11.0,IV,10,5,4,5,53,0
12.0,IV,10,5,4,5,67,2
12.0,iii,9,4,3,5,67,2
12.5,ii,7,2,2,5,67,2
12.62,ii,7,2,2,5,64,11
12.81,ii,7,2,2,5,62,9
13.0,I,5,0,1,5,62,9
13.0,I,5,0,1,5,60,7
13.5,I,5,0,1,5,57,4
13.5,vii,4,11,7,5,57,4
13.62,vii,4,11,7,5,55,2
13.75,vii,4,11,7,5,53,0
14.0,vii,4,11,7,5,64,11
14.0,VId9,2,9,6,5,64,11
14.38,VId9,2,9,6,5,62,9
14.44,VId9,2,9,6,5,60,7
14.5,VId9,2,9,6,5,64,11
15.88,VId9,2,9,6,5,62,9
16.0,VId9,2,9,6,5,67,2
16.0,iii,9,4,3,5,67,2
16.5,ii,7,2,2,5,67,2
16.5,ii,7,2,2,5,69,4
16.56,ii,7,2,2,5,67,2
16.62,ii,7,2,2,5,65,0
16.88,ii,7,2,2,5,60,7
17.0,I,5,0,1,5,60,7
17.0,I,5,0,1,5,58,5
17.12,I,5,0,1,5,57,4
17.31,I,5,0,1,5,57,4
17.5,iii,9,4,3,5,57,4
17.5,iii,9,4,3,5,57,4
17.75,iii,9,4,3,5,67,2
18.0,iii,9,4,3,5,64,11
18.0,VId9,2,9,6,5,64,11
18.38,VId9,2,9,6,5,62,9
18.44,VId9,2,9,6,5,60,7
18.5,VId9,2,9,6,5,64,11
19.62,VId9,2,9,6,5,50,9
19.75,VId9,2,9,6,5,53,0
20.0,I,5,0,1,5,53,0
20.0,I,5,0,1,5,57,4
20.09,I,5,0,1,5,55,2
20.12,I,5,0,1,5,57,4
20.22,I,5,0,1,5,55,2
20.25,I,5,0,1,5,57,4
20.75,I,5,0,1,5,53,0
21.5,I,5,0,1,5,57,4
21.62,I,5,0,1,5,58,5
21.75,I,5,0,1,5,60,7
21.88,I,5,0,1,5,60,7
22.0,vi9,2,9,6,5,60,7
22.0,vi9,2,9,6,5,64,11
22.25,vi9,2,9,6,5,60,7
23.12,vi9,2,9,6,5,60,7
23.25,vi9,2,9,6,5,57,4
23.5,vi9,2,9,6,5,57,4
23.62,vi9,2,9,6,5,58,5
23.75,vi9,2,9,6,5,60,7
23.88,vi9,2,9,6,5,60,7
24.0,vi9,2,9,6,5,60,7
24.0,IV,10,5,4,5,60,7
24.06,IV,10,5,4,5,62,9
24.25,IV,10,5,4,5,58,5
25.38,IV,10,5,4,5,53,0
25.44,IV,10,5,4,5,53,0
25.62,IV,10,5,4,5,58,5
25.69,IV,10,5,4,5,58,5
26.12,IV,10,5,4,5,72,7
26.31,IV,10,5,4,5,68,3
26.5,IV,10,5,4,5,65,0
26.69,IV,10,5,4,5,61,8
26.88,IV,10,5,4,5,60,7
27.0,IV,10,5,4,5,58,5
28.0,iii,9,4,3,5,58,5
28.0,iii,9,4,3,5,67,2
28.12,iii,9,4,3,5,67,2
28.5,ii,7,2,2,5,67,2
28.62,ii,7,2,2,5,64,11
28.81,ii,7,2,2,5,62,9
29.0,ii,7,2,2,5,60,7
29.0,I,5,0,1,5,60,7
29.19,I,5,0,1,5,58,5
29.31,I,5,0,1,5,57,4
29.5,vii,4,11,7,5,57,4
29.5,vii,4,11,7,5,57,4
29.62,vii,4,11,7,5,55,2
29.75,vii,4,11,7,5,53,0
30.0,vii,4,11,7,5,64,11
30.0,VId9,2,9,6,5,64,11
30.62,VId9,2,9,6,5,65,0
30.75,VId9,2,9,6,5,64,11
30.88,VId9,2,9,6,5,65,0
31.0,VId9,2,9,6,5,64,11
32.0,iii,9,4,3,5,64,11
32.12,iii,9,4,3,5,67,2
32.5,ii,7,2,2,5,67,2
32.62,ii,7,2,2,5,64,11
32.81,ii,7,2,2,5,62,9
33.0,I,5,0,1,5,62,9
33.0,I,5,0,1,5,60,7
33.5,I,5,0,1,5,57,4
33.5,iii,9,4,3,5,57,4
33.75,iii,9,4,3,5,67,2
34.0,iii,9,4,3,5,64,11
34.0,VId9,2,9,6,5,64,11
34.38,VId9,2,9,6,5,62,9
34.44,VId9,2,9,6,5,60,7
34.5,VId9,2,9,6,5,64,11
35.38,VId9,2,9,6,5,65,0
35.62,VId9,2,9,6,5,62,9
35.81,VId9,2,9,6,5,65,0
36.0,ii9,7,2,2,5,65,0
36.0,ii9,7,2,2,5,69,4
36.22,ii9,7,2,2,5,67,2
36.25,ii9,7,2,2,5,69,4
36.34,ii9,7,2,2,5,67,2
36.38,ii9,7,2,2,5,69,4
36.47,ii9,7,2,2,5,67,2
36.5,ii9,7,2,2,5,69,4
36.59,ii9,7,2,2,5,67,2
36.62,ii9,7,2,2,5,69,4
37.62,ii9,7,2,2,5,62,9
37.88,ii9,7,2,2,5,65,0
38.0,iii7,9,4,3,5,65,0
38.0,iii7,9,4,3,5,62,9
38.12,iii7,9,4,3,5,67,2
38.34,iii7,9,4,3,5,62,9
38.38,iii7,9,4,3,5,64,11
38.47,iii7,9,4,3,5,62,9
38.5,iii7,9,4,3,5,64,11
38.59,iii7,9,4,3,5,62,9
38.62,iii7,9,4,3,5,64,11
38.75,iii7,9,4,3,5,62,9
38.78,iii7,9,4,3,5,60,7
39.19,iii7,9,4,3,5,62,9
39.62,iii7,9,4,3,5,60,7
39.69,iii7,9,4,3,5,62,9
39.81,iii7,9,4,3,5,65,0
39.94,iii7,9,4,3,5,62,9
40.0,ii,7,2,2,5,62,9
40.0,ii,7,2,2,5,65,0
40.25,ii,7,2,2,5,65,0
40.34,ii,7,2,2,5,60,7
40.38,ii,7,2,2,5,62,9
40.47,ii,7,2,2,5,60,7
40.5,ii,7,2,2,5,62,9
40.88,ii,7,2,2,5,65,0
41.12,ii,7,2,2,5,65,0
41.22,ii,7,2,2,5,60,7
41.25,ii,7,2,2,5,62,9
41.34,ii,7,2,2,5,60,7
41.38,ii,7,2,2,5,62,9
41.75,ii,7,2,2,5,60,7
41.88,ii,7,2,2,5,62,9
42.0,IV,10,5,4,5,62,9
42.0,IV,10,5,4,5,65,0
42.25,IV,10,5,4,5,62,9
42.38,IV,10,5,4,5,65,0
42.5,iii,9,4,3,5,65,0
42.62,iii,9,4,3,5,60,7
42.75,iii,9,4,3,5,62,9
42.88,iii,9,4,3,5,65,0
43.0,vi,2,9,6,5,65,0
43.12,vi,2,9,6,5,60,7
43.25,vi,2,9,6,5,62,9
43.38,vi,2,9,6,5,65,0
43.5,V,0,7,5,5,65,0
43.59,V,0,7,5,5,60,7
43.62,V,0,7,5,5,62,9
43.72,V,0,7,5,5,60,7
43.75,V,0,7,5,5,62,9
44.0,ii9,7,2,2,5,62,9
46.0,bIII,8,3,3,5,62,9
46.12,bIII,8,3,3,5,72,7
46.31,bIII,8,3,3,5,68,3
46.62,bIII,8,3,3,5,65,0
46.81,bIII,8,3,3,5,72,7
46.88,bIII,8,3,3,5,70,5
46.94,bIII,8,3,3,5,68,3
47.0,ii9,7,2,2,5,68,3
47.0,ii9,7,2,2,5,69,4
47.12,ii9,7,2,2,5,65,0
47.62,ii9,7,2,2,5,60,7
47.69,ii9,7,2,2,5,58,5
47.75,ii9,7,2,2,5,56,3
48.0,bIII,8,3,3,5,56,3
49.5,bIII,8,3,3,5,60,7
49.62,bIII,8,3,3,5,62,9
49.75,bIII,8,3,3,5,65,0
49.88,bIII,8,3,3,5,62,9
50.0,IV,10,5,4,5,62,9
50.0,IV,10,5,4,5,65,0
50.25,IV,10,5,4,5,62,9
50.38,IV,10,5,4,5,65,0
50.5,iii,9,4,3,5,65,0
50.62,iii,9,4,3,5,60,7
50.75,iii,9,4,3,5,62,9
50.88,iii,9,4,3,5,65,0
51.0,vi,2,9,6,5,65,0
51.12,vi,2,9,6,5,60,7
51.25,vi,2,9,6,5,62,9
51.38,vi,2,9,6,5,65,0
51.5,V,0,7,5,5,65,0
51.59,V,0,7,5,5,60,7
51.62,V,0,7,5,5,62,9
51.72,V,0,7,5,5,60,7
51.75,V,0,7,5,5,62,9
52.0,I,5,0,1,5,62,9
52.0,I,5,0,1,5,57,4
52.09,I,5,0,1,5,55,2
52.12,I,5,0,1,5,57,4
52.22,I,5,0,1,5,55,2
52.25,I,5,0,1,5,57,4
52.62,I,5,0,1,5,53,0
52.75,I,5,0,1,5,53,0
52.88,I,5,0,1,5,53,0
53.5,I,5,0,1,5,57,4
53.62,I,5,0,1,5,58,5
53.75,I,5,0,1,5,60,7
54.0,vi9,2,9,6,5,60,7
54.0,vi9,2,9,6,5,64,11
54.25,vi9,2,9,6,5,60,7
55.12,vi9,2,9,6,5,60,7
55.25,vi9,2,9,6,5,57,4
55.5,vi9,2,9,6,5,57,4
55.62,vi9,2,9,6,5,58,5
55.75,vi9,2,9,6,5,60,7
55.88,vi9,2,9,6,5,60,7
56.0,IV,10,5,4,5,60,7
56.0,IV,10,5,4,5,62,9
56.25,IV,10,5,4,5,58,5
57.5,IV,10,5,4,5,58,5
57.62,IV,10,5,4,5,58,5
57.81,IV,10,5,4,5,58,5
58.19,IV,10,5,4,5,72,7
58.38,IV,10,5,4,5,70,5
58.44,IV,10,5,4,5,72,7
58.56,IV,10,5,4,5,70,5
58.69,IV,10,5,4,5,72,7
58.72,IV,10,5,4,5,70,5
58.75,IV,10,5,4,5,68,3
58.88,IV,10,5,4,5,65,0
60.0,iii,9,4,3,5,65,0
60.0,iii,9,4,3,5,67,2
