Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.88,IV,6,5,4,1,56,7
9.0,IV,6,5,4,1,58,9
9.12,IV,6,5,4,1,56,7
9.25,IV,6,5,4,1,58,9
9.31,IV,6,5,4,1,56,7
9.38,IV,6,5,4,1,58,9
9.88,IV,6,5,4,1,58,9
9.94,IV,6,5,4,1,58,9
10.0,IV,6,5,4,1,60,11
10.0,V,8,7,5,1,60,11
10.12,V,8,7,5,1,59,10
10.25,V,8,7,5,1,60,11
10.38,V,8,7,5,1,59,10
10.5,V,8,7,5,1,58,9
10.75,V,8,7,5,1,56,7
10.88,V,8,7,5,1,61,0
11.0,vi,10,9,6,1,61,0
11.38,vi,10,9,6,1,61,0
11.44,vi,10,9,6,1,61,0
11.5,vi,10,9,6,1,56,7
11.62,vi,10,9,6,1,56,7
11.75,vi,10,9,6,1,54,5
12.0,IV,6,5,4,1,54,5
12.88,IV,6,5,4,1,56,7
13.0,IV,6,5,4,1,58,9
13.12,IV,6,5,4,1,56,7
13.25,IV,6,5,4,1,58,9
13.31,IV,6,5,4,1,56,7
13.38,IV,6,5,4,1,58,9
13.62,IV,6,5,4,1,54,5
13.88,IV,6,5,4,1,54,5
13.94,IV,6,5,4,1,54,5
14.0,V,8,7,5,1,54,5
14.0,V,8,7,5,1,60,11
14.12,V,8,7,5,1,58,9
14.25,V,8,7,5,1,59,10
14.31,V,8,7,5,1,58,9
14.38,V,8,7,5,1,58,9
14.56,V,8,7,5,1,56,7
14.62,V,8,7,5,1,58,9
15.0,V,8,7,5,1,61,0
15.0,vi,10,9,6,1,61,0
15.12,vi,10,9,6,1,61,0
15.25,vi,10,9,6,1,61,0
15.38,vi,10,9,6,1,56,7
15.5,vi,10,9,6,1,56,7
15.62,vi,10,9,6,1,54,5
16.0,IV,6,5,4,1,54,5
16.88,IV,6,5,4,1,56,7
17.0,IV,6,5,4,1,58,9
17.12,IV,6,5,4,1,58,9
17.25,IV,6,5,4,1,58,9
17.38,IV,6,5,4,1,56,7
17.5,IV,6,5,4,1,58,9
17.88,IV,6,5,4,1,58,9
17.94,IV,6,5,4,1,58,9
18.0,V,8,7,5,1,58,9
18.0,V,8,7,5,1,60,11
18.12,V,8,7,5,1,59,10
18.25,V,8,7,5,1,58,9
18.38,V,8,7,5,1,58,9
18.5,V,8,7,5,1,58,9
18.62,V,8,7,5,1,56,7
18.69,V,8,7,5,1,58,9
19.0,V,8,7,5,1,61,0
19.0,vi,10,9,6,1,61,0
19.12,vi,10,9,6,1,61,0
19.25,vi,10,9,6,1,61,0
19.38,vi,10,9,6,1,56,7
19.5,vi,10,9,6,1,56,7
19.62,vi,10,9,6,1,56,7
19.75,vi,10,9,6,1,54,5
20.0,IV,6,5,4,1,54,5
20.62,IV,6,5,4,1,56,7
20.75,IV,6,5,4,1,56,7
20.88,IV,6,5,4,1,56,7
21.0,IV,6,5,4,1,58,9
21.12,IV,6,5,4,1,57,8
21.25,IV,6,5,4,1,58,9
21.38,IV,6,5,4,1,58,9
21.62,IV,6,5,4,1,58,9
21.75,IV,6,5,4,1,58,9
21.88,IV,6,5,4,1,59,10
22.0,IV,6,5,4,1,60,11
22.0,V,8,7,5,1,60,11
22.12,V,8,7,5,1,59,10
22.25,V,8,7,5,1,60,11
22.38,V,8,7,5,1,59,10
22.5,V,8,7,5,1,60,11
22.62,V,8,7,5,1,56,7
22.75,V,8,7,5,1,58,9
22.88,V,8,7,5,1,56,7
23.0,vi,10,9,6,1,56,7
23.0,vi,10,9,6,1,61,0
23.12,vi,10,9,6,1,61,0
23.25,vi,10,9,6,1,61,0
23.38,vi,10,9,6,1,61,0
23.5,vi,10,9,6,1,61,0
23.62,vi,10,9,6,1,58,9
24.0,V,8,7,5,1,58,9
24.12,V,8,7,5,1,56,7
24.25,V,8,7,5,1,58,9
24.38,V,8,7,5,1,61,0
24.5,V,8,7,5,1,61,0
24.75,V,8,7,5,1,58,9
25.0,V,8,7,5,1,58,9
25.0,IV,6,5,4,1,58,9
25.25,IV,6,5,4,1,58,9
25.38,IV,6,5,4,1,60,11
25.5,V,8,7,5,1,60,11
25.62,V,8,7,5,1,60,11
25.88,V,8,7,5,1,61,0
26.0,I,1,0,1,1,61,0
27.0,I,1,0,1,1,61,0
27.0,IV,6,5,4,1,61,0
27.12,IV,6,5,4,1,61,0
27.25,IV,6,5,4,1,61,0
27.38,IV,6,5,4,1,61,0
27.5,V,8,7,5,1,61,0
27.62,V,8,7,5,1,58,9
27.88,V,8,7,5,1,56,7
28.0,vi,10,9,6,1,56,7
28.5,vi,10,9,6,1,58,9
29.0,IV,6,5,4,1,58,9
29.0,IV,6,5,4,1,58,9
29.25,IV,6,5,4,1,58,9
29.38,IV,6,5,4,1,60,11
29.5,V,8,7,5,1,60,11
29.62,V,8,7,5,1,60,11
29.75,V,8,7,5,1,61,0
29.88,V,8,7,5,1,61,0
30.0,I,1,0,1,1,61,0
31.0,IV,6,5,4,1,61,0
31.12,IV,6,5,4,1,61,0
31.25,IV,6,5,4,1,61,0
31.38,IV,6,5,4,1,61,0
31.5,IV,6,5,4,1,61,0
31.75,IV,6,5,4,1,58,9
32.0,IV,6,5,4,1,60,11
32.0,V,8,7,5,1,60,11
32.12,V,8,7,5,1,58,9
32.25,V,8,7,5,1,60,11
32.31,V,8,7,5,1,58,9
32.38,V,8,7,5,1,56,7
33.0,V,8,7,5,1,58,9
33.0,IV,6,5,4,1,58,9
33.12,IV,6,5,4,1,57,8
33.25,IV,6,5,4,1,58,9
33.31,IV,6,5,4,1,57,8
33.38,IV,6,5,4,1,58,9
33.75,IV,6,5,4,1,58,9
33.88,IV,6,5,4,1,60,11
34.0,IV,6,5,4,1,56,7
34.0,V,8,7,5,1,56,7
34.25,V,8,7,5,1,58,9
34.38,V,8,7,5,1,56,7
34.5,V,8,7,5,1,59,10
34.62,V,8,7,5,1,56,7
34.75,V,8,7,5,1,58,9
34.88,V,8,7,5,1,56,7
35.0,V,8,7,5,1,61,0
35.0,vi,10,9,6,1,61,0
35.25,vi,10,9,6,1,61,0
35.38,vi,10,9,6,1,61,0
35.5,vi,10,9,6,1,56,7
35.62,vi,10,9,6,1,56,7
35.75,vi,10,9,6,1,58,9
36.0,vi,10,9,6,1,54,5
36.0,IV,6,5,4,1,54,5
36.88,IV,6,5,4,1,56,7
37.0,IV,6,5,4,1,58,9
37.12,IV,6,5,4,1,57,8
37.25,IV,6,5,4,1,58,9
37.31,IV,6,5,4,1,57,8
