Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.12,I,6,0,1,6,64,10
4.25,I,6,0,1,6,66,0
4.31,I,6,0,1,6,64,10
4.44,I,6,0,1,6,66,0
4.88,I,6,0,1,6,64,10
5.0,I,6,0,1,6,66,0
5.12,I,6,0,1,6,64,10
5.25,I,6,0,1,6,66,0
5.38,I,6,0,1,6,64,10
5.5,I,6,0,1,6,68,2
5.75,I,6,0,1,6,66,0
6.12,I,6,0,1,6,64,10
6.25,I,6,0,1,6,66,0
6.38,I,6,0,1,6,64,10
6.44,I,6,0,1,6,66,0
6.88,I,6,0,1,6,66,0
7.0,I,6,0,1,6,70,4
7.12,I,6,0,1,6,73,7
7.25,I,6,0,1,6,70,4
7.38,I,6,0,1,6,68,2
7.5,I,6,0,1,6,66,0
7.75,I,6,0,1,6,68,2
8.12,I,6,0,1,6,64,10
8.25,I,6,0,1,6,66,0
8.31,I,6,0,1,6,64,10
8.44,I,6,0,1,6,66,0
8.88,I,6,0,1,6,64,10
9.0,I,6,0,1,6,66,0
9.12,I,6,0,1,6,64,10
9.25,I,6,0,1,6,66,0
9.38,I,6,0,1,6,64,10
9.5,I,6,0,1,6,68,2
9.75,I,6,0,1,6,66,0
10.12,I,6,0,1,6,64,10
10.25,I,6,0,1,6,66,0
10.31,I,6,0,1,6,64,10
10.44,I,6,0,1,6,66,0
10.88,I,6,0,1,6,66,0
10.94,I,6,0,1,6,66,0
11.0,I,6,0,1,6,70,4
11.12,I,6,0,1,6,68,2
11.19,I,6,0,1,6,68,2
11.31,I,6,0,1,6,66,0
11.44,I,6,0,1,6,68,2
11.56,I,6,0,1,6,63,9
11.75,I,6,0,1,6,63,9
11.81,I,6,0,1,6,66,0
12.0,I,6,0,1,6,68,2
12.0,IV,11,5,4,6,68,2
12.25,IV,11,5,4,6,66,0
12.38,IV,11,5,4,6,66,0
12.88,IV,11,5,4,6,70,4
13.0,V,1,7,5,6,70,4
13.12,V,1,7,5,6,70,4
13.38,V,1,7,5,6,68,2
13.44,V,1,7,5,6,66,0
13.5,V,1,7,5,6,63,9
13.75,V,1,7,5,6,63,9
13.81,V,1,7,5,6,61,7
13.94,V,1,7,5,6,63,9
14.0,I,6,0,1,6,63,9
14.12,I,6,0,1,6,66,0
14.38,I,6,0,1,6,63,9
14.44,I,6,0,1,6,61,7
14.5,I,6,0,1,6,58,4
14.62,I,6,0,1,6,56,2
14.69,I,6,0,1,6,54,0
14.88,I,6,0,1,6,54,0
16.12,I,6,0,1,6,64,10
16.25,I,6,0,1,6,66,0
16.38,I,6,0,1,6,64,10
16.44,I,6,0,1,6,66,0
16.88,I,6,0,1,6,64,10
17.0,I,6,0,1,6,66,0
17.12,I,6,0,1,6,64,10
17.25,I,6,0,1,6,66,0
17.38,I,6,0,1,6,64,10
17.5,I,6,0,1,6,68,2
17.75,I,6,0,1,6,66,0
18.12,I,6,0,1,6,64,10
18.25,I,6,0,1,6,66,0
18.38,I,6,0,1,6,64,10
18.44,I,6,0,1,6,66,0
18.88,I,6,0,1,6,66,0
19.0,I,6,0,1,6,70,4
19.12,I,6,0,1,6,73,7
19.25,I,6,0,1,6,70,4
19.38,I,6,0,1,6,68,2
19.5,I,6,0,1,6,66,0
19.69,I,6,0,1,6,68,2
20.12,I,6,0,1,6,64,10
20.25,I,6,0,1,6,66,0
20.38,I,6,0,1,6,64,10
20.44,I,6,0,1,6,66,0
20.88,I,6,0,1,6,64,10
20.94,I,6,0,1,6,66,0
21.12,I,6,0,1,6,64,10
21.19,I,6,0,1,6,66,0
21.38,I,6,0,1,6,64,10
21.44,I,6,0,1,6,68,2
21.69,I,6,0,1,6,66,0
22.12,I,6,0,1,6,64,10
22.19,I,6,0,1,6,64,10
22.25,I,6,0,1,6,66,0
22.38,I,6,0,1,6,64,10
22.44,I,6,0,1,6,66,0
22.88,I,6,0,1,6,66,0
23.0,I,6,0,1,6,69,3
23.12,I,6,0,1,6,68,2
23.25,I,6,0,1,6,68,2
23.31,I,6,0,1,6,66,0
23.38,I,6,0,1,6,68,2
23.44,I,6,0,1,6,63,9
23.75,I,6,0,1,6,63,9
23.81,I,6,0,1,6,66,0
24.0,I,6,0,1,6,68,2
24.0,IV,11,5,4,6,68,2
24.25,IV,11,5,4,6,66,0
24.38,IV,11,5,4,6,66,0
24.88,IV,11,5,4,6,70,4
25.0,V,1,7,5,6,70,4
25.12,V,1,7,5,6,70,4
25.38,V,1,7,5,6,68,2
25.44,V,1,7,5,6,66,0
25.5,V,1,7,5,6,63,9
25.75,V,1,7,5,6,63,9
25.81,V,1,7,5,6,61,7
25.94,V,1,7,5,6,63,9
26.0,I,6,0,1,6,63,9
26.12,I,6,0,1,6,66,0
29.0,vih7,3,9,6,6,66,0
30.0,bVIs4,2,8,6,6,66,0
31.0,bV,0,6,4,6,66,0
33.0,bIII,9,3,3,6,66,0
34.0,bII,7,1,2,6,66,0
35.0,I,6,0,1,6,66,0
37.12,I,6,0,1,6,64,10
37.25,I,6,0,1,6,66,0
37.38,I,6,0,1,6,64,10
37.44,I,6,0,1,6,66,0
37.88,I,6,0,1,6,64,10
38.0,I,6,0,1,6,66,0
38.12,I,6,0,1,6,64,10
38.25,I,6,0,1,6,66,0
38.38,I,6,0,1,6,63,9
38.5,I,6,0,1,6,68,2
38.75,I,6,0,1,6,66,0
39.12,I,6,0,1,6,64,10
39.25,I,6,0,1,6,66,0
39.31,I,6,0,1,6,64,10
39.44,I,6,0,1,6,66,0
39.88,I,6,0,1,6,66,0
39.94,I,6,0,1,6,70,4
40.12,I,6,0,1,6,73,7
40.19,I,6,0,1,6,70,4
40.38,I,6,0,1,6,68,2
40.5,I,6,0,1,6,66,0
40.69,I,6,0,1,6,68,2
41.12,I,6,0,1,6,64,10
41.19,I,6,0,1,6,64,10
41.31,I,6,0,1,6,64,10
41.38,I,6,0,1,6,66,0
41.88,I,6,0,1,6,64,10
42.0,I,6,0,1,6,66,0
42.12,I,6,0,1,6,63,9
42.19,I,6,0,1,6,66,0
42.31,I,6,0,1,6,63,9
42.44,I,6,0,1,6,69,3
42.5,I,6,0,1,6,68,2
42.56,I,6,0,1,6,66,0
42.69,I,6,0,1,6,68,2
43.12,I,6,0,1,6,64,10
43.25,I,6,0,1,6,66,0
43.38,I,6,0,1,6,64,10
43.44,I,6,0,1,6,66,0
43.88,I,6,0,1,6,66,0
44.0,I,6,0,1,6,69,3
44.06,I,6,0,1,6,68,2
44.19,I,6,0,1,6,68,2
44.25,I,6,0,1,6,66,0
44.38,I,6,0,1,6,69,3
44.44,I,6,0,1,6,63,9
44.75,I,6,0,1,6,63,9
44.81,I,6,0,1,6,66,0
44.88,I,6,0,1,6,68,2
45.0,IV,11,5,4,6,68,2
45.25,IV,11,5,4,6,66,0
45.31,IV,11,5,4,6,66,0
45.88,IV,11,5,4,6,70,4
46.0,V,1,7,5,6,70,4
46.12,V,1,7,5,6,70,4
46.38,V,1,7,5,6,68,2
46.44,V,1,7,5,6,66,0
46.5,V,1,7,5,6,63,9
46.75,V,1,7,5,6,63,9
46.81,V,1,7,5,6,61,7
46.94,V,1,7,5,6,63,9
47.0,I,6,0,1,6,63,9
47.06,I,6,0,1,6,66,0
47.5,I,6,0,1,6,63,9
47.56,I,6,0,1,6,61,7
47.62,I,6,0,1,6,58,4
47.75,I,6,0,1,6,58,4
47.81,I,6,0,1,6,56,2
47.88,I,6,0,1,6,54,0
48.0,I,6,0,1,6,54,0
48.62,I,6,0,1,6,66,0
49.12,I,6,0,1,6,64,10
49.25,I,6,0,1,6,66,0
49.31,I,6,0,1,6,64,10
49.44,I,6,0,1,6,66,0
49.88,I,6,0,1,6,64,10
50.0,I,6,0,1,6,66,0
50.12,I,6,0,1,6,64,10
50.25,I,6,0,1,6,66,0
50.38,I,6,0,1,6,64,10
50.5,I,6,0,1,6,68,2
50.69,I,6,0,1,6,66,0
51.12,I,6,0,1,6,64,10
51.25,I,6,0,1,6,66,0
51.31,I,6,0,1,6,64,10
51.44,I,6,0,1,6,66,0
51.88,I,6,0,1,6,66,0
51.94,I,6,0,1,6,70,4
52.12,I,6,0,1,6,73,7
52.19,I,6,0,1,6,70,4
52.38,I,6,0,1,6,68,2
52.5,I,6,0,1,6,66,0
52.69,I,6,0,1,6,68,2
53.12,I,6,0,1,6,61,7
53.19,I,6,0,1,6,64,10
53.31,I,6,0,1,6,61,7
53.38,I,6,0,1,6,66,0
53.88,I,6,0,1,6,64,10
54.0,I,6,0,1,6,66,0
54.12,I,6,0,1,6,63,9
54.19,I,6,0,1,6,66,0
54.31,I,6,0,1,6,63,9
54.44,I,6,0,1,6,68,2
54.69,I,6,0,1,6,66,0
55.12,I,6,0,1,6,64,10
55.25,I,6,0,1,6,66,0
55.31,I,6,0,1,6,64,10
55.44,I,6,0,1,6,66,0
55.88,I,6,0,1,6,66,0
56.0,I,6,0,1,6,70,4
56.12,I,6,0,1,6,68,2
56.25,I,6,0,1,6,68,2
56.31,I,6,0,1,6,66,0
56.44,I,6,0,1,6,68,2
56.56,I,6,0,1,6,63,9
56.75,I,6,0,1,6,63,9
56.81,I,6,0,1,6,66,0
56.94,I,6,0,1,6,68,2
57.0,IV,11,5,4,6,68,2
57.25,IV,11,5,4,6,66,0
57.31,IV,11,5,4,6,66,0
57.88,IV,11,5,4,6,70,4
58.0,V,1,7,5,6,70,4
58.12,V,1,7,5,6,70,4
58.38,V,1,7,5,6,68,2
58.44,V,1,7,5,6,66,0
58.5,V,1,7,5,6,63,9
58.75,V,1,7,5,6,63,9
58.81,V,1,7,5,6,61,7
58.94,V,1,7,5,6,63,9
59.0,I,6,0,1,6,63,9
59.12,I,6,0,1,6,66,0
64.0,vih7,3,9,6,6,66,0
65.0,bVIs4,2,8,6,6,66,0
66.0,bV,0,6,4,6,66,0
68.0,bIII,9,3,3,6,66,0
69.0,bII,7,1,2,6,66,0
70.0,I,6,0,1,6,66,0
74.0,I,6,0,1,6,70,4
74.25,I,6,0,1,6,70,4
74.62,I,6,0,1,6,71,5
74.75,I,6,0,1,6,69,3
74.88,I,6,0,1,6,73,7
75.38,I,6,0,1,6,71,5
75.44,I,6,0,1,6,69,3
75.5,I,6,0,1,6,71,5
75.62,I,6,0,1,6,69,3
75.75,I,6,0,1,6,61,7
75.81,I,6,0,1,6,63,9
75.88,I,6,0,1,6,66,0
75.94,I,6,0,1,6,68,2
76.0,I,6,0,1,6,70,4
76.25,I,6,0,1,6,70,4
76.62,I,6,0,1,6,71,5
76.75,I,6,0,1,6,69,3
76.88,I,6,0,1,6,73,7
77.38,I,6,0,1,6,71,5
77.44,I,6,0,1,6,69,3
77.5,I,6,0,1,6,71,5
77.62,I,6,0,1,6,69,3
77.75,I,6,0,1,6,68,2
77.88,I,6,0,1,6,66,0
78.0,I,6,0,1,6,70,4
78.25,I,6,0,1,6,70,4
78.62,I,6,0,1,6,71,5
78.75,I,6,0,1,6,69,3
78.88,I,6,0,1,6,73,7
79.38,I,6,0,1,6,71,5
79.44,I,6,0,1,6,69,3
79.5,I,6,0,1,6,71,5
79.62,I,6,0,1,6,71,5
79.75,I,6,0,1,6,71,5
79.81,I,6,0,1,6,70,4
79.88,I,6,0,1,6,66,0
