Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
12.0,i,4,0,1,4,59,7
12.25,i,4,0,1,4,59,7
12.42,i,4,0,1,4,59,7
12.67,i,4,0,1,4,59,7
12.75,i,4,0,1,4,59,7
12.92,i,4,0,1,4,59,7
13.0,bII,5,1,2,4,59,7
13.0,bII,5,1,2,4,60,8
13.17,bII,5,1,2,4,60,8
13.25,bII,5,1,2,4,60,8
13.42,bII,5,1,2,4,60,8
13.92,bII,5,1,2,4,57,5
14.0,i6,4,0,1,4,57,5
14.0,i6,4,0,1,4,59,7
14.17,i6,4,0,1,4,59,7
14.25,i6,4,0,1,4,59,7
14.42,i6,4,0,1,4,59,7
14.92,i6,4,0,1,4,57,5
15.0,bIII,7,3,3,4,57,5
15.0,bIII,7,3,3,4,59,7
15.17,bIII,7,3,3,4,59,7
15.25,bIII,7,3,3,4,59,7
15.42,bIII,7,3,3,4,59,7
16.0,i,4,0,1,4,59,7
16.0,i,4,0,1,4,59,7
16.25,i,4,0,1,4,59,7
16.42,i,4,0,1,4,59,7
16.67,i,4,0,1,4,59,7
16.83,i,4,0,1,4,59,7
16.92,i,4,0,1,4,59,7
17.0,i,4,0,1,4,60,8
17.0,bII,5,1,2,4,60,8
17.25,bII,5,1,2,4,60,8
17.42,bII,5,1,2,4,60,8
17.92,bII,5,1,2,4,57,5
18.0,bII,5,1,2,4,59,7
18.0,i6,4,0,1,4,59,7
18.17,i6,4,0,1,4,59,7
18.25,i6,4,0,1,4,59,7
18.42,i6,4,0,1,4,59,7
18.5,i6,4,0,1,4,59,7
18.92,i6,4,0,1,4,59,7
19.0,i6,4,0,1,4,59,7
19.0,bIII,7,3,3,4,59,7
19.25,bIII,7,3,3,4,59,7
19.42,bIII,7,3,3,4,59,7
20.0,bIII,7,3,3,4,59,7
20.0,i,4,0,1,4,59,7
20.25,i,4,0,1,4,59,7
20.42,i,4,0,1,4,59,7
20.67,i,4,0,1,4,59,7
20.92,i,4,0,1,4,59,7
21.0,i,4,0,1,4,60,8
21.0,bII,5,1,2,4,60,8
21.17,bII,5,1,2,4,60,8
21.25,bII,5,1,2,4,60,8
21.42,bII,5,1,2,4,63,11
22.0,bII,5,1,2,4,59,7
22.0,i6,4,0,1,4,59,7
