Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,I,5,0,1,5,68,3
1.25,I,5,0,1,5,68,3
1.5,I,5,0,1,5,68,3
1.75,I,5,0,1,5,68,3
2.0,I,5,0,1,5,68,3
2.25,I,5,0,1,5,68,3
2.38,I,5,0,1,5,68,3
2.5,I,5,0,1,5,68,3
2.88,I,5,0,1,5,65,0
3.0,I,5,0,1,5,68,3
3.12,I,5,0,1,5,68,3
3.25,I,5,0,1,5,68,3
3.38,I,5,0,1,5,68,3
3.5,I,5,0,1,5,68,3
3.62,I,5,0,1,5,68,3
3.75,I,5,0,1,5,68,3
3.88,I,5,0,1,5,68,3
4.0,I,5,0,1,5,68,3
4.12,I,5,0,1,5,68,3
4.25,I,5,0,1,5,68,3
4.38,I,5,0,1,5,68,3
4.5,I,5,0,1,5,68,3
4.75,I,5,0,1,5,67,2
5.0,I,5,0,1,5,65,0
5.0,IV,10,5,4,5,65,0
5.25,IV,10,5,4,5,67,2
6.0,IV,10,5,4,5,71,6
6.25,IV,10,5,4,5,70,5
6.38,IV,10,5,4,5,68,3
6.62,IV,10,5,4,5,65,0
6.88,IV,10,5,4,5,65,0
7.0,I,5,0,1,5,65,0
7.12,I,5,0,1,5,68,3
7.88,I,5,0,1,5,77,0
8.25,I,5,0,1,5,75,10
8.5,I,5,0,1,5,72,7
8.75,I,5,0,1,5,69,4
8.88,I,5,0,1,5,67,2
9.0,V,0,7,5,5,67,2
9.25,V,0,7,5,5,64,11
9.31,V,0,7,5,5,62,9
9.38,V,0,7,5,5,60,7
9.88,V,0,7,5,5,60,7
10.0,V,0,7,5,5,62,9
10.0,IV,10,5,4,5,62,9
10.12,IV,10,5,4,5,65,0
10.25,IV,10,5,4,5,65,0
10.38,IV,10,5,4,5,67,2
10.62,IV,10,5,4,5,67,2
10.75,IV,10,5,4,5,65,0
10.88,IV,10,5,4,5,65,0
10.94,IV,10,5,4,5,62,9
11.0,IV,10,5,4,5,60,7
11.0,I,5,0,1,5,60,7
11.88,I,5,0,1,5,65,0
12.12,I,5,0,1,5,62,9
12.25,I,5,0,1,5,60,7
12.75,I,5,0,1,5,68,3
13.0,I,5,0,1,5,68,3
13.25,I,5,0,1,5,68,3
13.5,I,5,0,1,5,68,3
13.62,I,5,0,1,5,68,3
13.75,I,5,0,1,5,68,3
14.25,I,5,0,1,5,68,3
14.38,I,5,0,1,5,68,3
14.5,I,5,0,1,5,68,3
14.62,I,5,0,1,5,68,3
14.75,I,5,0,1,5,68,3
14.81,I,5,0,1,5,67,2
14.88,I,5,0,1,5,65,0
14.94,I,5,0,1,5,62,9
15.25,I,5,0,1,5,68,3
15.38,I,5,0,1,5,68,3
15.5,I,5,0,1,5,68,3
15.75,I,5,0,1,5,68,3
15.88,I,5,0,1,5,68,3
16.12,I,5,0,1,5,68,3
16.25,I,5,0,1,5,68,3
16.5,I,5,0,1,5,68,3
16.75,I,5,0,1,5,68,3
17.0,IV,10,5,4,5,68,3
17.0,IV,10,5,4,5,67,2
17.25,IV,10,5,4,5,65,0
18.0,IV,10,5,4,5,71,6
18.25,IV,10,5,4,5,70,5
18.38,IV,10,5,4,5,68,3
18.62,IV,10,5,4,5,65,0
18.88,IV,10,5,4,5,67,2
19.0,I,5,0,1,5,67,2
19.12,I,5,0,1,5,68,3
19.88,I,5,0,1,5,77,0
20.25,I,5,0,1,5,75,10
20.5,I,5,0,1,5,72,7
20.75,I,5,0,1,5,69,4
20.88,I,5,0,1,5,67,2
21.0,V,0,7,5,5,67,2
21.25,V,0,7,5,5,64,11
21.31,V,0,7,5,5,62,9
21.38,V,0,7,5,5,60,7
21.88,V,0,7,5,5,60,7
22.0,V,0,7,5,5,62,9
22.0,IV,10,5,4,5,62,9
22.12,IV,10,5,4,5,65,0
22.25,IV,10,5,4,5,65,0
22.38,IV,10,5,4,5,67,2
22.62,IV,10,5,4,5,67,2
22.75,IV,10,5,4,5,65,0
22.88,IV,10,5,4,5,65,0
22.94,IV,10,5,4,5,62,9
23.0,I,5,0,1,5,62,9
23.0,I,5,0,1,5,60,7
