Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
31.75,iio,4,2,2,2,65,3
31.81,iio,4,2,2,2,62,0
31.88,iio,4,2,2,2,60,10
31.94,iio,4,2,2,2,69,7
32.0,i,2,0,1,2,69,7
32.06,i,2,0,1,2,62,0
32.12,i,2,0,1,2,65,3
32.25,i,2,0,1,2,62,0
32.31,i,2,0,1,2,62,0
32.38,i,2,0,1,2,65,3
32.5,i,2,0,1,2,62,0
32.56,i,2,0,1,2,62,0
32.62,i,2,0,1,2,65,3
32.75,i,2,0,1,2,62,0
32.81,i,2,0,1,2,62,0
32.88,i,2,0,1,2,65,3
33.0,i,2,0,1,2,62,0
33.0,bVI,10,8,6,2,62,0
33.06,bVI,10,8,6,2,62,0
33.12,bVI,10,8,6,2,62,0
33.19,bVI,10,8,6,2,62,0
33.25,bVI,10,8,6,2,65,3
33.31,bVI,10,8,6,2,65,3
33.38,bVI,10,8,6,2,62,0
33.44,bVI,10,8,6,2,62,0
33.5,bVII,0,10,7,2,62,0
33.5,bVII,0,10,7,2,65,3
33.69,bVII,0,10,7,2,62,0
33.75,bVII,0,10,7,2,62,0
33.81,bVII,0,10,7,2,62,0
33.88,bVII,0,10,7,2,62,0
33.94,bVII,0,10,7,2,65,3
34.0,i,2,0,1,2,65,3
34.06,i,2,0,1,2,65,3
34.19,i,2,0,1,2,62,0
34.25,i,2,0,1,2,65,3
34.38,i,2,0,1,2,62,0
34.44,i,2,0,1,2,62,0
34.5,i,2,0,1,2,65,3
34.62,i,2,0,1,2,62,0
34.69,i,2,0,1,2,65,3
34.81,i,2,0,1,2,62,0
34.88,i,2,0,1,2,62,0
34.94,i,2,0,1,2,62,0
35.0,bVI,10,8,6,2,62,0
35.0,bVI,10,8,6,2,65,3
35.06,bVI,10,8,6,2,62,0
35.12,bVI,10,8,6,2,62,0
35.19,bVI,10,8,6,2,62,0
35.31,bVI,10,8,6,2,65,3
35.38,bVI,10,8,6,2,62,0
35.44,bVI,10,8,6,2,62,0
35.5,bVI,10,8,6,2,65,3
35.5,bVII,0,10,7,2,65,3
35.62,bVII,0,10,7,2,62,0
35.75,bVII,0,10,7,2,65,3
35.81,bVII,0,10,7,2,62,0
35.88,bVII,0,10,7,2,60,10
35.94,bVII,0,10,7,2,69,7
36.0,i,2,0,1,2,69,7
36.06,i,2,0,1,2,62,0
36.12,i,2,0,1,2,65,3
36.25,i,2,0,1,2,62,0
36.31,i,2,0,1,2,62,0
36.38,i,2,0,1,2,65,3
36.5,i,2,0,1,2,62,0
36.56,i,2,0,1,2,62,0
36.62,i,2,0,1,2,65,3
36.75,i,2,0,1,2,62,0
36.81,i,2,0,1,2,62,0
36.88,i,2,0,1,2,65,3
37.0,i,2,0,1,2,62,0
37.0,bVI,10,8,6,2,62,0
37.06,bVI,10,8,6,2,62,0
37.12,bVI,10,8,6,2,62,0
37.19,bVI,10,8,6,2,62,0
37.25,bVI,10,8,6,2,65,3
