Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
24.0,I,2,0,1,2,50,0
24.75,I,2,0,1,2,54,4
24.88,I,2,0,1,2,57,7
25.0,I,2,0,1,2,62,0
25.12,I,2,0,1,2,64,2
25.19,I,2,0,1,2,62,0
25.88,I,2,0,1,2,60,10
25.94,I,2,0,1,2,62,0
26.0,I,2,0,1,2,64,2
26.06,I,2,0,1,2,62,0
26.19,I,2,0,1,2,60,10
26.31,I,2,0,1,2,57,7
26.88,I,2,0,1,2,55,5
26.94,I,2,0,1,2,55,5
27.06,I,2,0,1,2,55,5
27.19,I,2,0,1,2,57,7
27.25,I,2,0,1,2,54,4
27.38,I,2,0,1,2,50,0
28.0,I,2,0,1,2,50,0
28.75,I,2,0,1,2,54,4
28.88,I,2,0,1,2,57,7
29.0,I,2,0,1,2,62,0
29.12,I,2,0,1,2,64,2
29.19,I,2,0,1,2,62,0
29.88,I,2,0,1,2,60,10
29.94,I,2,0,1,2,62,0
30.0,I,2,0,1,2,64,2
30.06,I,2,0,1,2,62,0
30.19,I,2,0,1,2,60,10
30.31,I,2,0,1,2,57,7
30.88,I,2,0,1,2,55,5
30.94,I,2,0,1,2,55,5
31.06,I,2,0,1,2,55,5
31.19,I,2,0,1,2,57,7
31.25,I,2,0,1,2,54,4
31.38,I,2,0,1,2,50,0
44.0,I,2,0,1,2,50,0
44.75,I,2,0,1,2,54,4
44.88,I,2,0,1,2,57,7
45.0,I,2,0,1,2,62,0
45.12,I,2,0,1,2,64,2
45.19,I,2,0,1,2,62,0
45.88,I,2,0,1,2,60,10
45.94,I,2,0,1,2,62,0
46.0,I,2,0,1,2,64,2
46.06,I,2,0,1,2,62,0
46.19,I,2,0,1,2,60,10
46.31,I,2,0,1,2,57,7
46.88,I,2,0,1,2,55,5
46.94,I,2,0,1,2,55,5
47.06,I,2,0,1,2,55,5
47.19,I,2,0,1,2,57,7
47.25,I,2,0,1,2,54,4
47.38,I,2,0,1,2,50,0
48.0,I,2,0,1,2,50,0
48.75,I,2,0,1,2,54,4
48.88,I,2,0,1,2,57,7
49.0,I,2,0,1,2,62,0
49.12,I,2,0,1,2,64,2
49.19,I,2,0,1,2,62,0
49.88,I,2,0,1,2,60,10
49.94,I,2,0,1,2,62,0
50.0,I,2,0,1,2,64,2
50.06,I,2,0,1,2,62,0
50.19,I,2,0,1,2,60,10
50.31,I,2,0,1,2,57,7
50.88,I,2,0,1,2,55,5
50.94,I,2,0,1,2,55,5
51.06,I,2,0,1,2,55,5
51.19,I,2,0,1,2,57,7
51.25,I,2,0,1,2,54,4
51.38,I,2,0,1,2,50,0
64.0,I,2,0,1,2,50,0
64.75,I,2,0,1,2,54,4
64.88,I,2,0,1,2,57,7
65.0,I,2,0,1,2,62,0
65.12,I,2,0,1,2,64,2
65.19,I,2,0,1,2,62,0
65.88,I,2,0,1,2,60,10
65.94,I,2,0,1,2,62,0
66.0,I,2,0,1,2,64,2
66.06,I,2,0,1,2,62,0
66.19,I,2,0,1,2,60,10
66.31,I,2,0,1,2,57,7
66.88,I,2,0,1,2,55,5
66.94,I,2,0,1,2,55,5
67.06,I,2,0,1,2,55,5
67.19,I,2,0,1,2,57,7
67.25,I,2,0,1,2,54,4
67.38,I,2,0,1,2,50,0
68.0,I,2,0,1,2,50,0
68.75,I,2,0,1,2,54,4
68.88,I,2,0,1,2,57,7
69.0,I,2,0,1,2,62,0
69.12,I,2,0,1,2,64,2
69.19,I,2,0,1,2,62,0
69.88,I,2,0,1,2,60,10
69.94,I,2,0,1,2,62,0
70.0,I,2,0,1,2,64,2
70.06,I,2,0,1,2,62,0
70.19,I,2,0,1,2,60,10
70.31,I,2,0,1,2,57,7
70.88,I,2,0,1,2,55,5
70.94,I,2,0,1,2,55,5
71.06,I,2,0,1,2,55,5
71.19,I,2,0,1,2,57,7
71.25,I,2,0,1,2,54,4
71.38,I,2,0,1,2,50,0
72.0,I,2,0,1,2,50,0
72.75,I,2,0,1,2,54,4
72.88,I,2,0,1,2,57,7
73.0,I,2,0,1,2,62,0
73.12,I,2,0,1,2,64,2
73.19,I,2,0,1,2,62,0
73.88,I,2,0,1,2,60,10
73.94,I,2,0,1,2,62,0
74.0,I,2,0,1,2,64,2
74.06,I,2,0,1,2,62,0
74.19,I,2,0,1,2,60,10
74.31,I,2,0,1,2,57,7
74.88,I,2,0,1,2,55,5
74.94,I,2,0,1,2,55,5
75.06,I,2,0,1,2,55,5
75.19,I,2,0,1,2,57,7
75.25,I,2,0,1,2,54,4
75.38,I,2,0,1,2,50,0
76.0,I,2,0,1,2,50,0
76.75,I,2,0,1,2,54,4
76.88,I,2,0,1,2,57,7
77.0,I,2,0,1,2,62,0
77.12,I,2,0,1,2,64,2
77.19,I,2,0,1,2,62,0
77.88,I,2,0,1,2,60,10
77.94,I,2,0,1,2,62,0
78.0,I,2,0,1,2,64,2
78.06,I,2,0,1,2,62,0
78.19,I,2,0,1,2,60,10
78.31,I,2,0,1,2,57,7
78.88,I,2,0,1,2,55,5
78.94,I,2,0,1,2,55,5
79.06,I,2,0,1,2,55,5
79.19,I,2,0,1,2,57,7
79.25,I,2,0,1,2,54,4
79.38,I,2,0,1,2,50,0
80.0,End,2,0,1,2,50,0
