Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.0,bVII,7,10,7,9,59,2
8.88,bVII,7,10,7,9,57,0
9.0,i,9,0,1,9,57,0
9.75,i,9,0,1,9,57,0
9.88,i,9,0,1,9,59,2
10.0,i,9,0,1,9,57,0
11.0,v,4,7,5,9,57,0
11.12,v,4,7,5,9,55,10
11.25,v,4,7,5,9,59,2
11.38,v,4,7,5,9,59,2
11.75,v,4,7,5,9,55,10
11.88,v,4,7,5,9,59,2
12.25,v,4,7,5,9,55,10
12.38,v,4,7,5,9,60,3
12.62,v,4,7,5,9,59,2
12.88,v,4,7,5,9,59,2
13.0,i,9,0,1,9,59,2
13.12,i,9,0,1,9,57,0
13.88,i,9,0,1,9,52,7
14.0,i,9,0,1,9,60,3
14.25,i,9,0,1,9,60,3
14.5,i,9,0,1,9,60,3
14.75,i,9,0,1,9,60,3
14.88,i,9,0,1,9,59,2
15.0,v,4,7,5,9,59,2
15.12,v,4,7,5,9,55,10
15.88,v,4,7,5,9,55,10
16.0,v,4,7,5,9,59,2
16.12,v,4,7,5,9,59,2
16.38,v,4,7,5,9,60,3
16.75,v,4,7,5,9,59,2
16.88,v,4,7,5,9,57,0
17.0,i,9,0,1,9,57,0
19.0,v,4,7,5,9,57,0
19.25,v,4,7,5,9,59,2
19.5,v,4,7,5,9,59,2
19.75,v,4,7,5,9,59,2
20.0,v,4,7,5,9,60,3
20.5,v,4,7,5,9,59,2
20.88,v,4,7,5,9,57,0
21.0,iv,2,5,4,9,57,0
22.38,iv,2,5,4,9,57,0
22.5,iv,2,5,4,9,57,0
22.62,iv,2,5,4,9,59,2
22.88,iv,2,5,4,9,55,10
23.0,bVII,7,10,7,9,55,10
24.25,bVII,7,10,7,9,60,3
24.5,bVII,7,10,7,9,60,3
24.62,bVII,7,10,7,9,60,3
24.75,bVII,7,10,7,9,59,2
24.88,bVII,7,10,7,9,59,2
25.0,i,9,0,1,9,59,2
25.0,i,9,0,1,9,57,0
26.25,i,9,0,1,9,60,3
26.5,i,9,0,1,9,60,3
26.62,i,9,0,1,9,60,3
26.75,i,9,0,1,9,57,0
26.88,i,9,0,1,9,59,2
27.0,v,4,7,5,9,59,2
27.5,v,4,7,5,9,59,2
28.0,v,4,7,5,9,60,3
28.25,v,4,7,5,9,60,3
28.5,v,4,7,5,9,60,3
28.75,v,4,7,5,9,59,2
28.88,v,4,7,5,9,59,2
29.0,i,9,0,1,9,59,2
29.0,i,9,0,1,9,57,0
30.25,i,9,0,1,9,60,3
30.5,i,9,0,1,9,60,3
30.75,i,9,0,1,9,57,0
30.88,i,9,0,1,9,59,2
31.0,v,4,7,5,9,59,2
31.38,v,4,7,5,9,59,2
31.88,v,4,7,5,9,59,2
32.62,v,4,7,5,9,60,3
32.75,v,4,7,5,9,59,2
32.88,v,4,7,5,9,59,2
33.0,i,9,0,1,9,59,2
33.12,i,9,0,1,9,57,0
33.38,i,9,0,1,9,55,10
33.5,i,9,0,1,9,57,0
33.75,i,9,0,1,9,55,10
33.88,i,9,0,1,9,59,2
34.0,i,9,0,1,9,57,0
35.0,v,4,7,5,9,57,0
35.25,v,4,7,5,9,59,2
35.5,v,4,7,5,9,59,2
35.75,v,4,7,5,9,59,2
36.0,v,4,7,5,9,60,3
36.5,v,4,7,5,9,59,2
36.88,v,4,7,5,9,57,0
37.0,iv,2,5,4,9,57,0
37.88,iv,2,5,4,9,57,0
38.0,iv,2,5,4,9,57,0
38.12,iv,2,5,4,9,57,0
38.38,iv,2,5,4,9,57,0
38.75,iv,2,5,4,9,59,2
38.88,iv,2,5,4,9,55,10
39.0,bVII,7,10,7,9,55,10
39.88,bVII,7,10,7,9,55,10
40.0,bVII,7,10,7,9,60,3
