Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.88,IV,2,5,4,9,57,0
4.0,IV,2,5,4,9,61,4
4.0,I,9,0,1,9,61,4
4.12,I,9,0,1,9,61,4
4.25,I,9,0,1,9,61,4
4.38,I,9,0,1,9,62,5
4.5,IV,2,5,4,9,62,5
5.0,IV,2,5,4,9,64,7
5.0,v,4,7,5,9,64,7
5.25,v,4,7,5,9,60,3
5.38,v,4,7,5,9,62,5
5.44,v,4,7,5,9,60,3
5.5,IV,2,5,4,9,60,3
5.5,IV,2,5,4,9,57,0
5.88,IV,2,5,4,9,57,0
6.0,IV,2,5,4,9,60,3
6.0,I,9,0,1,9,60,3
6.12,I,9,0,1,9,57,0
6.19,I,9,0,1,9,57,0
6.25,I,9,0,1,9,57,0
6.5,IV,2,5,4,9,57,0
7.0,v,4,7,5,9,57,0
7.0,v,4,7,5,9,69,0
7.17,v,4,7,5,9,67,10
7.33,v,4,7,5,9,64,7
7.5,IV,2,5,4,9,64,7
7.5,IV,2,5,4,9,62,5
7.62,IV,2,5,4,9,60,3
7.75,IV,2,5,4,9,57,0
7.88,IV,2,5,4,9,57,0
8.0,IV,2,5,4,9,61,4
8.0,I,9,0,1,9,61,4
8.12,I,9,0,1,9,61,4
8.25,I,9,0,1,9,61,4
8.38,I,9,0,1,9,62,5
8.5,IV,2,5,4,9,62,5
9.0,v,4,7,5,9,62,5
9.0,v,4,7,5,9,64,7
9.25,v,4,7,5,9,60,3
9.38,v,4,7,5,9,62,5
9.44,v,4,7,5,9,64,7
9.5,IV,2,5,4,9,64,7
9.88,IV,2,5,4,9,57,0
10.0,IV,2,5,4,9,60,3
10.0,I,9,0,1,9,60,3
10.12,I,9,0,1,9,57,0
10.19,I,9,0,1,9,57,0
10.25,I,9,0,1,9,57,0
10.5,IV,2,5,4,9,57,0
11.0,v,4,7,5,9,57,0
11.5,IV,2,5,4,9,57,0
11.88,IV,2,5,4,9,57,0
12.0,I,9,0,1,9,57,0
12.0,I,9,0,1,9,60,3
12.25,I,9,0,1,9,59,2
12.38,I,9,0,1,9,57,0
12.5,I,9,0,1,9,59,2
12.5,IV,2,5,4,9,59,2
12.62,IV,2,5,4,9,57,0
12.88,IV,2,5,4,9,55,10
13.0,v,4,7,5,9,55,10
13.0,v,4,7,5,9,57,0
13.12,v,4,7,5,9,57,0
13.25,v,4,7,5,9,57,0
13.38,v,4,7,5,9,57,0
13.5,IV,2,5,4,9,57,0
13.88,IV,2,5,4,9,57,0
14.0,IV,2,5,4,9,69,0
14.0,I,9,0,1,9,69,0
14.12,I,9,0,1,9,69,0
14.38,I,9,0,1,9,61,4
14.5,I,9,0,1,9,62,5
14.5,IV,2,5,4,9,62,5
14.88,IV,2,5,4,9,60,3
15.0,v,4,7,5,9,60,3
15.12,v,4,7,5,9,64,7
15.25,v,4,7,5,9,60,3
15.38,v,4,7,5,9,62,5
15.5,IV,2,5,4,9,62,5
15.88,IV,2,5,4,9,57,0
16.0,IV,2,5,4,9,60,3
16.0,I,9,0,1,9,60,3
16.25,I,9,0,1,9,59,2
16.38,I,9,0,1,9,57,0
16.5,I,9,0,1,9,59,2
16.5,IV,2,5,4,9,59,2
16.62,IV,2,5,4,9,57,0
16.75,IV,2,5,4,9,57,0
16.88,IV,2,5,4,9,55,10
17.0,v,4,7,5,9,55,10
17.0,v,4,7,5,9,57,0
17.25,v,4,7,5,9,57,0
17.38,v,4,7,5,9,57,0
17.5,IV,2,5,4,9,57,0
17.88,IV,2,5,4,9,57,0
18.0,IV,2,5,4,9,60,3
18.0,I,9,0,1,9,60,3
18.12,I,9,0,1,9,60,3
18.25,I,9,0,1,9,57,0
18.38,I,9,0,1,9,57,0
18.5,I,9,0,1,9,59,2
18.5,IV,2,5,4,9,59,2
18.62,IV,2,5,4,9,57,0
18.75,IV,2,5,4,9,57,0
18.88,IV,2,5,4,9,55,10
19.0,IV,2,5,4,9,57,0
19.0,v,4,7,5,9,57,0
19.25,v,4,7,5,9,57,0
19.38,v,4,7,5,9,57,0
19.5,IV,2,5,4,9,57,0
19.88,IV,2,5,4,9,57,0
20.0,IV,2,5,4,9,61,4
20.0,I,9,0,1,9,61,4
20.12,I,9,0,1,9,61,4
20.25,I,9,0,1,9,61,4
20.38,I,9,0,1,9,62,5
20.5,IV,2,5,4,9,62,5
21.0,IV,2,5,4,9,69,0
21.0,v,4,7,5,9,69,0
21.17,v,4,7,5,9,67,10
21.33,v,4,7,5,9,64,7
21.5,v,4,7,5,9,62,5
21.5,IV,2,5,4,9,62,5
21.62,IV,2,5,4,9,57,0
21.75,IV,2,5,4,9,60,3
21.88,IV,2,5,4,9,57,0
22.0,IV,2,5,4,9,60,3
22.0,I,9,0,1,9,60,3
22.12,I,9,0,1,9,57,0
22.19,I,9,0,1,9,57,0
22.25,I,9,0,1,9,57,0
22.5,IV,2,5,4,9,57,0
23.0,v,4,7,5,9,57,0
23.0,v,4,7,5,9,64,7
23.25,v,4,7,5,9,60,3
23.38,v,4,7,5,9,62,5
23.5,IV,2,5,4,9,62,5
23.62,IV,2,5,4,9,57,0
23.75,IV,2,5,4,9,59,2
23.88,IV,2,5,4,9,57,0
24.0,IV,2,5,4,9,61,4
24.0,I,9,0,1,9,61,4
24.12,I,9,0,1,9,61,4
24.25,I,9,0,1,9,61,4
24.38,I,9,0,1,9,62,5
24.5,IV,2,5,4,9,62,5
25.0,v,4,7,5,9,62,5
25.0,v,4,7,5,9,64,7
25.25,v,4,7,5,9,60,3
25.38,v,4,7,5,9,62,5
25.44,v,4,7,5,9,64,7
25.5,IV,2,5,4,9,64,7
25.62,IV,2,5,4,9,57,0
25.75,IV,2,5,4,9,60,3
25.88,IV,2,5,4,9,57,0
26.0,IV,2,5,4,9,60,3
26.0,I,9,0,1,9,60,3
26.12,I,9,0,1,9,57,0
26.19,I,9,0,1,9,57,0
26.25,I,9,0,1,9,57,0
26.5,IV,2,5,4,9,57,0
27.0,v,4,7,5,9,57,0
27.5,IV,2,5,4,9,57,0
27.88,IV,2,5,4,9,57,0
28.0,IV,2,5,4,9,60,3
28.0,I,9,0,1,9,60,3
28.38,I,9,0,1,9,57,0
28.5,IV,2,5,4,9,57,0
28.5,IV,2,5,4,9,59,2
28.62,IV,2,5,4,9,57,0
28.88,IV,2,5,4,9,55,10
29.0,IV,2,5,4,9,57,0
29.0,v,4,7,5,9,57,0
29.12,v,4,7,5,9,57,0
29.25,v,4,7,5,9,57,0
29.38,v,4,7,5,9,57,0
29.5,IV,2,5,4,9,57,0
30.0,IV,2,5,4,9,69,0
30.0,I,9,0,1,9,69,0
30.12,I,9,0,1,9,69,0
30.38,I,9,0,1,9,60,3
30.5,I,9,0,1,9,62,5
30.5,IV,2,5,4,9,62,5
30.88,IV,2,5,4,9,60,3
31.0,v,4,7,5,9,60,3
31.12,v,4,7,5,9,64,7
31.25,v,4,7,5,9,64,7
31.38,v,4,7,5,9,62,5
31.5,IV,2,5,4,9,62,5
31.88,IV,2,5,4,9,57,0
32.0,I,9,0,1,9,57,0
32.0,I,9,0,1,9,60,3
32.25,I,9,0,1,9,59,2
32.38,I,9,0,1,9,57,0
32.5,IV,2,5,4,9,57,0
32.5,IV,2,5,4,9,59,2
32.62,IV,2,5,4,9,57,0
32.88,IV,2,5,4,9,55,10
33.0,v,4,7,5,9,55,10
33.0,v,4,7,5,9,57,0
33.25,v,4,7,5,9,57,0
33.38,v,4,7,5,9,57,0
33.5,IV,2,5,4,9,57,0
33.88,IV,2,5,4,9,57,0
34.0,IV,2,5,4,9,60,3
34.0,I,9,0,1,9,60,3
34.25,I,9,0,1,9,59,2
34.38,I,9,0,1,9,57,0
34.5,I,9,0,1,9,59,2
34.5,IV,2,5,4,9,59,2
34.62,IV,2,5,4,9,57,0
34.88,IV,2,5,4,9,55,10
35.0,v,4,7,5,9,55,10
35.12,v,4,7,5,9,57,0
35.25,v,4,7,5,9,57,0
35.38,v,4,7,5,9,57,0
35.5,v,4,7,5,9,55,10
35.5,IV,2,5,4,9,55,10
35.88,IV,2,5,4,9,57,0
36.0,I,9,0,1,9,57,0
36.0,I,9,0,1,9,61,4
36.12,I,9,0,1,9,61,4
36.25,I,9,0,1,9,61,4
36.38,I,9,0,1,9,62,5
36.5,IV,2,5,4,9,62,5
37.0,v,4,7,5,9,62,5
37.0,v,4,7,5,9,64,7
37.25,v,4,7,5,9,60,3
37.38,v,4,7,5,9,62,5
37.44,v,4,7,5,9,60,3
37.5,v,4,7,5,9,57,0
37.5,IV,2,5,4,9,57,0
37.62,IV,2,5,4,9,57,0
37.75,IV,2,5,4,9,60,3
37.88,IV,2,5,4,9,57,0
38.0,I,9,0,1,9,57,0
38.0,I,9,0,1,9,60,3
38.12,I,9,0,1,9,57,0
38.19,I,9,0,1,9,57,0
38.25,I,9,0,1,9,57,0
38.5,IV,2,5,4,9,57,0
39.0,IV,2,5,4,9,69,0
39.0,v,4,7,5,9,69,0
39.17,v,4,7,5,9,67,10
39.33,v,4,7,5,9,64,7
39.5,v,4,7,5,9,62,5
39.5,IV,2,5,4,9,62,5
39.62,IV,2,5,4,9,60,3
39.75,IV,2,5,4,9,57,0
39.88,IV,2,5,4,9,57,0
40.0,I,9,0,1,9,57,0
40.0,I,9,0,1,9,61,4
40.12,I,9,0,1,9,61,4
40.25,I,9,0,1,9,61,4
40.38,I,9,0,1,9,62,5
40.5,IV,2,5,4,9,62,5
41.0,IV,2,5,4,9,64,7
41.0,v,4,7,5,9,64,7
41.25,v,4,7,5,9,60,3
41.38,v,4,7,5,9,62,5
41.44,v,4,7,5,9,64,7
41.5,IV,2,5,4,9,64,7
41.62,IV,2,5,4,9,57,0
41.75,IV,2,5,4,9,60,3
41.88,IV,2,5,4,9,57,0
42.0,I,9,0,1,9,57,0
42.0,I,9,0,1,9,60,3
42.12,I,9,0,1,9,57,0
42.19,I,9,0,1,9,57,0
42.25,I,9,0,1,9,57,0
42.5,IV,2,5,4,9,57,0
43.0,v,4,7,5,9,57,0
43.5,IV,2,5,4,9,57,0
44.0,I,9,0,1,9,57,0
44.5,IV,2,5,4,9,57,0
45.0,v,4,7,5,9,57,0
45.5,IV,2,5,4,9,57,0
46.0,I,9,0,1,9,57,0
46.5,IV,2,5,4,9,57,0
47.0,v,4,7,5,9,57,0
47.5,IV,2,5,4,9,57,0
48.0,I,9,0,1,9,57,0
48.5,IV,2,5,4,9,57,0
49.0,v,4,7,5,9,57,0
49.5,IV,2,5,4,9,57,0
50.0,I,9,0,1,9,57,0
50.5,IV,2,5,4,9,57,0
51.0,v,4,7,5,9,57,0
51.5,IV,2,5,4,9,57,0
52.0,I,9,0,1,9,57,0
52.5,IV,2,5,4,9,57,0
53.0,v,4,7,5,9,57,0
53.5,IV,2,5,4,9,57,0
54.0,I,9,0,1,9,57,0
54.5,IV,2,5,4,9,57,0
55.0,v,4,7,5,9,57,0
55.5,IV,2,5,4,9,57,0
56.0,I,9,0,1,9,57,0
56.5,IV,2,5,4,9,57,0
57.0,v,4,7,5,9,57,0
57.5,IV,2,5,4,9,57,0
58.0,I,9,0,1,9,57,0
58.5,IV,2,5,4,9,57,0
59.0,v,4,7,5,9,57,0
59.5,IV,2,5,4,9,57,0
59.88,IV,2,5,4,9,57,0
60.0,IV,2,5,4,9,60,3
60.0,I,9,0,1,9,60,3
60.5,IV,2,5,4,9,60,3
61.0,v,4,7,5,9,60,3
61.5,IV,2,5,4,9,60,3
61.88,IV,2,5,4,9,57,0
62.0,IV,2,5,4,9,60,3
62.0,I,9,0,1,9,60,3
62.25,I,9,0,1,9,59,2
62.38,I,9,0,1,9,57,0
62.5,IV,2,5,4,9,57,0
62.5,IV,2,5,4,9,59,2
62.62,IV,2,5,4,9,57,0
62.88,IV,2,5,4,9,55,10
63.0,IV,2,5,4,9,57,0
63.0,v,4,7,5,9,57,0
63.12,v,4,7,5,9,57,0
63.25,v,4,7,5,9,57,0
63.38,v,4,7,5,9,57,0
63.5,IV,2,5,4,9,57,0
63.88,IV,2,5,4,9,69,0
64.0,I,9,0,1,9,69,0
64.0,I,9,0,1,9,69,0
64.12,I,9,0,1,9,69,0
64.38,I,9,0,1,9,60,3
64.5,I,9,0,1,9,62,5
64.5,IV,2,5,4,9,62,5
64.88,IV,2,5,4,9,60,3
65.0,v,4,7,5,9,60,3
65.12,v,4,7,5,9,64,7
65.19,v,4,7,5,9,64,7
65.31,v,4,7,5,9,62,5
65.38,v,4,7,5,9,60,3
65.5,IV,2,5,4,9,60,3
65.88,IV,2,5,4,9,57,0
66.0,IV,2,5,4,9,60,3
66.0,I,9,0,1,9,60,3
66.25,I,9,0,1,9,59,2
66.38,I,9,0,1,9,57,0
66.5,I,9,0,1,9,59,2
66.5,IV,2,5,4,9,59,2
66.62,IV,2,5,4,9,57,0
66.88,IV,2,5,4,9,55,10
67.0,v,4,7,5,9,55,10
67.0,v,4,7,5,9,57,0
67.25,v,4,7,5,9,57,0
67.38,v,4,7,5,9,57,0
67.5,IV,2,5,4,9,57,0
67.88,IV,2,5,4,9,57,0
68.0,IV,2,5,4,9,60,3
68.0,I,9,0,1,9,60,3
68.12,I,9,0,1,9,60,3
68.25,I,9,0,1,9,57,0
68.5,I,9,0,1,9,59,2
68.5,IV,2,5,4,9,59,2
68.62,IV,2,5,4,9,57,0
68.75,IV,2,5,4,9,57,0
68.88,IV,2,5,4,9,55,10
69.0,IV,2,5,4,9,57,0
69.0,v,4,7,5,9,57,0
69.12,v,4,7,5,9,57,0
69.25,v,4,7,5,9,57,0
69.38,v,4,7,5,9,57,0
69.5,IV,2,5,4,9,57,0
69.88,IV,2,5,4,9,57,0
70.0,I,9,0,1,9,57,0
70.0,I,9,0,1,9,61,4
70.12,I,9,0,1,9,61,4
70.25,I,9,0,1,9,61,4
70.38,I,9,0,1,9,62,5
70.5,IV,2,5,4,9,62,5
71.0,v,4,7,5,9,62,5
71.0,v,4,7,5,9,64,7
71.25,v,4,7,5,9,60,3
71.38,v,4,7,5,9,62,5
71.5,IV,2,5,4,9,62,5
71.5,IV,2,5,4,9,57,0
71.75,IV,2,5,4,9,60,3
