Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.0,i,8,0,1,8,62,6
0.17,i,8,0,1,8,61,5
0.33,i,8,0,1,8,59,3
0.5,i,8,0,1,8,61,5
0.67,i,8,0,1,8,56,0
0.83,i,8,0,1,8,56,0
1.0,i,8,0,1,8,56,0
1.17,i,8,0,1,8,59,3
1.22,i,8,0,1,8,59,3
1.26,i,8,0,1,8,61,5
1.3,i,8,0,1,8,59,3
1.35,i,8,0,1,8,62,6
1.39,i,8,0,1,8,59,3
1.44,i,8,0,1,8,62,6
1.48,i,8,0,1,8,59,3
1.52,i,8,0,1,8,61,5
1.56,i,8,0,1,8,59,3
1.61,i,8,0,1,8,56,0
1.78,i,8,0,1,8,59,3
1.83,i,8,0,1,8,56,0
1.87,i,8,0,1,8,56,0
1.91,i,8,0,1,8,54,10
1.96,i,8,0,1,8,56,0
2.0,iv7,1,5,4,8,56,0
3.0,i,8,0,1,8,56,0
3.0,i,8,0,1,8,71,3
3.17,i,8,0,1,8,68,0
3.35,i,8,0,1,8,63,7
3.39,i,8,0,1,8,63,7
3.44,i,8,0,1,8,61,5
3.48,i,8,0,1,8,63,7
3.52,i,8,0,1,8,66,10
3.7,i,8,0,1,8,63,7
3.74,i,8,0,1,8,61,5
3.78,i,8,0,1,8,63,7
3.83,i,8,0,1,8,61,5
3.87,i,8,0,1,8,63,7
3.91,i,8,0,1,8,61,5
3.96,i,8,0,1,8,63,7
6.0,bVId7,4,8,6,8,63,7
6.5,V7,3,7,5,8,63,7
7.0,i,8,0,1,8,63,7
7.5,i,8,0,1,8,62,6
7.56,i,8,0,1,8,61,5
7.62,i,8,0,1,8,59,3
7.69,i,8,0,1,8,59,3
7.75,i,8,0,1,8,61,5
7.88,i,8,0,1,8,56,0
8.0,i,8,0,1,8,56,0
8.0,bVId7,4,8,6,8,56,0
8.5,V7,3,7,5,8,56,0
9.0,i,8,0,1,8,56,0
9.38,i,8,0,1,8,59,3
9.44,i,8,0,1,8,59,3
9.5,i,8,0,1,8,56,0
9.56,i,8,0,1,8,56,0
9.75,i,8,0,1,8,61,5
9.88,i,8,0,1,8,59,3
10.0,i,8,0,1,8,59,3
10.0,bIII,11,3,3,8,59,3
10.12,bIII,11,3,3,8,56,0
10.19,bIII,11,3,3,8,54,10
10.25,bIII,11,3,3,8,54,10
10.31,bIII,11,3,3,8,56,0
10.38,bIII,11,3,3,8,59,3
10.88,bIII,11,3,3,8,54,10
10.94,bIII,11,3,3,8,56,0
11.06,bIII,11,3,3,8,56,0
11.12,bIII,11,3,3,8,54,10
11.25,bIII,11,3,3,8,56,0
11.88,bIII,11,3,3,8,62,6
11.94,bIII,11,3,3,8,59,3
12.0,i,8,0,1,8,59,3
12.06,i,8,0,1,8,61,5
12.19,i,8,0,1,8,59,3
12.25,i,8,0,1,8,56,0
12.31,i,8,0,1,8,56,0
12.44,i,8,0,1,8,56,0
12.5,bVII,6,10,7,8,56,0
12.88,bVII,6,10,7,8,56,0
13.0,i,8,0,1,8,56,0
13.5,bVII,6,10,7,8,56,0
13.75,bVII,6,10,7,8,62,6
13.81,bVII,6,10,7,8,61,5
13.88,bVII,6,10,7,8,59,3
14.0,i,8,0,1,8,59,3
14.0,i,8,0,1,8,59,3
14.5,bVII,6,10,7,8,59,3
14.88,bVII,6,10,7,8,54,10
