Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
15.88,V,9,7,5,2,50,0
16.0,I,2,0,1,2,50,0
16.0,I,2,0,1,2,52,2
16.12,I,2,0,1,2,52,2
16.38,I,2,0,1,2,52,2
16.62,I,2,0,1,2,52,2
17.75,I,2,0,1,2,50,0
17.88,I,2,0,1,2,50,0
18.0,I,2,0,1,2,54,4
18.0,IV,7,5,4,2,54,4
18.12,IV,7,5,4,2,47,9
18.5,IV,7,5,4,2,47,9
18.75,IV,7,5,4,2,45,7
19.0,V,9,7,5,2,45,7
19.75,V,9,7,5,2,50,0
19.88,V,9,7,5,2,50,0
20.0,V,9,7,5,2,52,2
20.0,I,2,0,1,2,52,2
20.12,I,2,0,1,2,52,2
20.38,I,2,0,1,2,52,2
20.88,I,2,0,1,2,52,2
21.75,I,2,0,1,2,50,0
21.88,I,2,0,1,2,50,0
22.0,IV,7,5,4,2,50,0
22.0,IV,7,5,4,2,54,4
22.25,IV,7,5,4,2,47,9
22.75,IV,7,5,4,2,50,0
23.0,V,9,7,5,2,50,0
23.0,V,9,7,5,2,45,7
23.75,V,9,7,5,2,50,0
23.88,V,9,7,5,2,50,0
24.0,I,2,0,1,2,50,0
24.12,I,2,0,1,2,52,2
24.38,I,2,0,1,2,52,2
24.5,I,2,0,1,2,52,2
24.75,I,2,0,1,2,52,2
25.75,I,2,0,1,2,50,0
25.88,I,2,0,1,2,50,0
26.0,I,2,0,1,2,54,4
26.0,IV,7,5,4,2,54,4
26.12,IV,7,5,4,2,47,9
27.0,V,9,7,5,2,47,9
27.0,V,9,7,5,2,45,7
27.88,V,9,7,5,2,50,0
28.0,V,9,7,5,2,52,2
28.0,I,2,0,1,2,52,2
29.0,I,2,0,1,2,54,4
29.25,I,2,0,1,2,55,5
29.38,I,2,0,1,2,54,4
29.62,I,2,0,1,2,52,2
29.75,I,2,0,1,2,50,0
30.0,I,2,0,1,2,47,9
30.0,IV,7,5,4,2,47,9
30.88,IV,7,5,4,2,50,0
31.0,IV,7,5,4,2,45,7
31.0,V,9,7,5,2,45,7
32.0,V,9,7,5,2,52,2
32.0,I,2,0,1,2,52,2
33.0,I,2,0,1,2,54,4
33.25,I,2,0,1,2,55,5
33.38,I,2,0,1,2,54,4
33.62,I,2,0,1,2,52,2
33.75,I,2,0,1,2,50,0
34.0,IV,7,5,4,2,50,0
34.0,IV,7,5,4,2,47,9
34.88,IV,7,5,4,2,50,0
35.0,IV,7,5,4,2,45,7
35.0,V,9,7,5,2,45,7
36.0,I,2,0,1,2,45,7
38.0,IV,7,5,4,2,45,7
39.0,V,9,7,5,2,45,7
39.62,V,9,7,5,2,52,2
