Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
60.0,I,9,0,1,9,57,0
60.5,I,9,0,1,9,57,0
61.0,I,9,0,1,9,57,0
61.25,I,9,0,1,9,55,10
61.75,I,9,0,1,9,60,3
62.25,I,9,0,1,9,57,0
62.5,I,9,0,1,9,57,0
63.75,I,9,0,1,9,55,10
63.88,I,9,0,1,9,55,10
64.0,I,9,0,1,9,52,7
64.0,V,4,7,5,9,52,7
64.12,V,4,7,5,9,52,7
64.25,V,4,7,5,9,52,7
64.5,V,4,7,5,9,52,7
65.75,V,4,7,5,9,52,7
65.88,V,4,7,5,9,52,7
66.0,V,4,7,5,9,52,7
66.25,V,4,7,5,9,52,7
66.38,V,4,7,5,9,52,7
68.0,V,4,7,5,9,52,7
68.5,V,4,7,5,9,52,7
68.75,V,4,7,5,9,52,7
69.0,V,4,7,5,9,52,7
69.25,V,4,7,5,9,52,7
69.5,V,4,7,5,9,52,7
69.75,V,4,7,5,9,52,7
70.0,V,4,7,5,9,55,10
70.5,V,4,7,5,9,52,7
72.0,V,4,7,5,9,57,0
72.0,I,9,0,1,9,57,0
72.25,I,9,0,1,9,57,0
73.0,I,9,0,1,9,57,0
73.25,I,9,0,1,9,57,0
73.38,I,9,0,1,9,57,0
73.62,I,9,0,1,9,57,0
74.5,I,9,0,1,9,60,3
75.0,I,9,0,1,9,57,0
76.0,I,9,0,1,9,57,0
76.5,I,9,0,1,9,57,0
77.0,I,9,0,1,9,57,0
77.25,I,9,0,1,9,55,10
77.5,I,9,0,1,9,57,0
77.75,I,9,0,1,9,55,10
78.25,I,9,0,1,9,60,3
78.75,I,9,0,1,9,57,0
79.0,I,9,0,1,9,55,10
79.5,I,9,0,1,9,52,7
79.75,I,9,0,1,9,50,5
80.0,I,9,0,1,9,52,7
80.0,V,4,7,5,9,52,7
80.12,V,4,7,5,9,50,5
80.25,V,4,7,5,9,52,7
80.5,V,4,7,5,9,52,7
81.75,V,4,7,5,9,52,7
82.0,V,4,7,5,9,52,7
82.12,V,4,7,5,9,50,5
82.25,V,4,7,5,9,52,7
82.5,V,4,7,5,9,52,7
83.75,V,4,7,5,9,50,5
84.0,V,4,7,5,9,52,7
84.5,V,4,7,5,9,52,7
85.0,V,4,7,5,9,52,7
85.25,V,4,7,5,9,50,5
85.38,V,4,7,5,9,52,7
85.75,V,4,7,5,9,50,5
86.0,V,4,7,5,9,55,10
86.12,V,4,7,5,9,52,7
88.0,bVII,7,10,7,9,52,7
88.25,bVII,7,10,7,9,55,10
88.5,bVII,7,10,7,9,55,10
88.88,bVII,7,10,7,9,55,10
89.12,bVII,7,10,7,9,55,10
89.5,bVII,7,10,7,9,55,10
89.62,bVII,7,10,7,9,55,10
89.88,bVII,7,10,7,9,55,10
92.0,IV,2,5,4,9,55,10
92.25,IV,2,5,4,9,50,5
92.5,IV,2,5,4,9,50,5
92.75,IV,2,5,4,9,48,3
93.0,IV,2,5,4,9,50,5
93.12,IV,2,5,4,9,48,3
93.38,IV,2,5,4,9,50,5
93.62,IV,2,5,4,9,48,3
94.0,IV,2,5,4,9,53,8
94.5,IV,2,5,4,9,50,5
94.75,IV,2,5,4,9,50,5
95.62,IV,2,5,4,9,50,5
95.75,IV,2,5,4,9,52,7
95.88,IV,2,5,4,9,52,7
96.0,V,4,7,5,9,52,7
96.0,V,4,7,5,9,52,7
96.25,V,4,7,5,9,52,7
96.5,V,4,7,5,9,52,7
99.62,V,4,7,5,9,55,10
99.75,V,4,7,5,9,57,0
99.88,V,4,7,5,9,57,0
100.0,I,9,0,1,9,57,0
100.0,I,9,0,1,9,57,0
100.25,I,9,0,1,9,57,0
100.5,I,9,0,1,9,57,0
108.0,I,9,0,1,9,57,0
108.25,I,9,0,1,9,57,0
108.62,I,9,0,1,9,55,10
109.0,I,9,0,1,9,57,0
109.38,I,9,0,1,9,57,0
109.62,I,9,0,1,9,55,10
109.88,I,9,0,1,9,60,3
110.38,I,9,0,1,9,57,0
111.75,I,9,0,1,9,52,7
111.88,I,9,0,1,9,50,5
112.0,V,4,7,5,9,50,5
112.0,V,4,7,5,9,52,7
112.25,V,4,7,5,9,52,7
112.38,V,4,7,5,9,52,7
113.75,V,4,7,5,9,52,7
113.88,V,4,7,5,9,50,5
114.0,V,4,7,5,9,52,7
114.25,V,4,7,5,9,52,7
114.5,V,4,7,5,9,52,7
115.75,V,4,7,5,9,52,7
115.88,V,4,7,5,9,50,5
116.0,V,4,7,5,9,52,7
116.12,V,4,7,5,9,50,5
116.38,V,4,7,5,9,52,7
117.62,V,4,7,5,9,52,7
117.75,V,4,7,5,9,52,7
117.88,V,4,7,5,9,50,5
118.0,V,4,7,5,9,52,7
118.12,V,4,7,5,9,50,5
118.25,V,4,7,5,9,52,7
118.5,V,4,7,5,9,52,7
120.0,V,4,7,5,9,57,0
120.0,I,9,0,1,9,57,0
120.5,I,9,0,1,9,57,0
120.75,I,9,0,1,9,55,10
121.0,I,9,0,1,9,57,0
121.5,I,9,0,1,9,57,0
121.62,I,9,0,1,9,55,10
121.88,I,9,0,1,9,60,3
122.25,I,9,0,1,9,57,0
123.75,I,9,0,1,9,55,10
124.0,I,9,0,1,9,57,0
124.5,I,9,0,1,9,57,0
124.75,I,9,0,1,9,55,10
125.0,I,9,0,1,9,57,0
125.25,I,9,0,1,9,55,10
125.5,I,9,0,1,9,57,0
125.75,I,9,0,1,9,55,10
126.0,I,9,0,1,9,60,3
126.5,I,9,0,1,9,57,0
127.0,I,9,0,1,9,55,10
127.5,I,9,0,1,9,52,7
127.75,I,9,0,1,9,50,5
128.0,V,4,7,5,9,50,5
128.0,V,4,7,5,9,52,7
128.12,V,4,7,5,9,50,5
128.25,V,4,7,5,9,52,7
128.5,V,4,7,5,9,52,7
129.75,V,4,7,5,9,52,7
129.88,V,4,7,5,9,50,5
130.0,V,4,7,5,9,52,7
130.12,V,4,7,5,9,50,5
130.25,V,4,7,5,9,52,7
130.5,V,4,7,5,9,52,7
131.75,V,4,7,5,9,52,7
131.88,V,4,7,5,9,50,5
132.0,V,4,7,5,9,52,7
132.12,V,4,7,5,9,50,5
132.25,V,4,7,5,9,52,7
132.5,V,4,7,5,9,52,7
133.75,V,4,7,5,9,52,7
133.88,V,4,7,5,9,50,5
134.0,V,4,7,5,9,52,7
134.12,V,4,7,5,9,50,5
134.25,V,4,7,5,9,52,7
134.5,V,4,7,5,9,52,7
136.0,bVII,7,10,7,9,52,7
136.25,bVII,7,10,7,9,55,10
136.5,bVII,7,10,7,9,55,10
137.0,bVII,7,10,7,9,55,10
137.12,bVII,7,10,7,9,55,10
137.5,bVII,7,10,7,9,55,10
137.62,bVII,7,10,7,9,55,10
137.88,bVII,7,10,7,9,55,10
140.0,IV,2,5,4,9,55,10
140.25,IV,2,5,4,9,50,5
140.5,IV,2,5,4,9,50,5
140.75,IV,2,5,4,9,50,5
141.0,IV,2,5,4,9,50,5
141.12,IV,2,5,4,9,48,3
141.38,IV,2,5,4,9,50,5
141.62,IV,2,5,4,9,48,3
142.0,IV,2,5,4,9,53,8
142.5,IV,2,5,4,9,50,5
142.75,IV,2,5,4,9,50,5
143.62,IV,2,5,4,9,50,5
143.75,IV,2,5,4,9,52,7
143.88,IV,2,5,4,9,52,7
144.0,V,4,7,5,9,52,7
144.0,V,4,7,5,9,52,7
144.25,V,4,7,5,9,52,7
144.5,V,4,7,5,9,52,7
147.62,V,4,7,5,9,57,0
147.75,V,4,7,5,9,57,0
147.88,V,4,7,5,9,57,0
148.0,V,4,7,5,9,57,0
148.0,I,9,0,1,9,57,0
148.25,I,9,0,1,9,57,0
148.5,I,9,0,1,9,57,0
151.62,I,9,0,1,9,59,2
151.75,I,9,0,1,9,61,4
151.88,I,9,0,1,9,59,2
152.0,I,9,0,1,9,61,4
152.25,I,9,0,1,9,61,4
152.5,I,9,0,1,9,61,4
155.75,I,9,0,1,9,59,2
155.88,I,9,0,1,9,59,2
156.0,V,4,7,5,9,59,2
156.0,V,4,7,5,9,59,2
156.25,V,4,7,5,9,59,2
156.5,V,4,7,5,9,59,2
159.75,V,4,7,5,9,59,2
159.88,V,4,7,5,9,57,0
160.0,V,4,7,5,9,59,2
160.25,V,4,7,5,9,59,2
160.5,V,4,7,5,9,59,2
163.75,V,4,7,5,9,61,4
164.0,V,4,7,5,9,61,4
164.0,I,9,0,1,9,61,4
164.25,I,9,0,1,9,61,4
164.5,I,9,0,1,9,61,4
168.0,I,9,0,1,9,61,4
168.25,I,9,0,1,9,61,4
168.5,I,9,0,1,9,61,4
171.62,I,9,0,1,9,57,0
