Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.5,I,10,0,1,10,67,9
3.88,I,10,0,1,10,65,7
4.0,I,10,0,1,10,65,7
4.25,I,10,0,1,10,67,9
5.12,I,10,0,1,10,67,9
5.38,I,10,0,1,10,67,9
5.62,I,10,0,1,10,65,7
5.75,I,10,0,1,10,65,7
6.0,I,10,0,1,10,65,7
6.12,I,10,0,1,10,60,2
6.25,I,10,0,1,10,62,4
7.12,I,10,0,1,10,67,9
7.25,I,10,0,1,10,65,7
7.5,I,10,0,1,10,61,3
7.75,I,10,0,1,10,61,3
7.88,I,10,0,1,10,60,2
8.0,I,10,0,1,10,58,0
8.0,IV,3,5,4,10,58,0
9.12,IV,3,5,4,10,61,3
9.38,IV,3,5,4,10,61,3
9.62,IV,3,5,4,10,58,0
9.75,IV,3,5,4,10,58,0
10.0,IV,3,5,4,10,61,3
10.0,I,10,0,1,10,61,3
10.25,I,10,0,1,10,62,4
11.62,I,10,0,1,10,62,4
11.75,I,10,0,1,10,62,4
12.0,I,10,0,1,10,63,5
12.0,V,5,7,5,10,63,5
12.25,V,5,7,5,10,62,4
12.38,V,5,7,5,10,63,5
12.62,V,5,7,5,10,64,6
12.88,V,5,7,5,10,65,7
13.25,V,5,7,5,10,61,3
13.5,V,5,7,5,10,60,2
13.75,V,5,7,5,10,58,0
13.88,V,5,7,5,10,58,0
14.0,I,10,0,1,10,58,0
14.12,I,10,0,1,10,55,9
14.25,I,10,0,1,10,53,7
15.88,I,10,0,1,10,53,7
16.0,I,10,0,1,10,61,3
16.25,I,10,0,1,10,61,3
16.5,I,10,0,1,10,61,3
16.62,I,10,0,1,10,60,2
16.75,I,10,0,1,10,61,3
16.88,I,10,0,1,10,58,0
17.0,I,10,0,1,10,60,2
17.12,I,10,0,1,10,58,0
17.25,I,10,0,1,10,58,0
17.38,I,10,0,1,10,61,3
17.88,I,10,0,1,10,58,0
18.0,I,10,0,1,10,61,3
18.25,I,10,0,1,10,61,3
18.38,I,10,0,1,10,61,3
18.5,I,10,0,1,10,61,3
18.75,I,10,0,1,10,56,10
18.88,I,10,0,1,10,56,10
19.0,I,10,0,1,10,58,0
19.25,I,10,0,1,10,58,0
19.38,I,10,0,1,10,53,7
19.88,I,10,0,1,10,53,7
20.0,I,10,0,1,10,61,3
20.12,I,10,0,1,10,61,3
20.25,I,10,0,1,10,61,3
20.38,I,10,0,1,10,58,0
20.5,I,10,0,1,10,60,2
20.62,I,10,0,1,10,56,10
20.75,I,10,0,1,10,56,10
20.88,I,10,0,1,10,56,10
21.0,I,10,0,1,10,58,0
21.25,I,10,0,1,10,58,0
21.38,I,10,0,1,10,61,3
22.0,I,10,0,1,10,62,4
22.12,I,10,0,1,10,62,4
22.25,I,10,0,1,10,60,2
22.38,I,10,0,1,10,58,0
22.5,I,10,0,1,10,60,2
22.75,I,10,0,1,10,56,10
23.0,I,10,0,1,10,58,0
23.12,I,10,0,1,10,58,0
23.38,I,10,0,1,10,58,0
23.88,I,10,0,1,10,53,7
24.0,I,10,0,1,10,62,4
24.12,I,10,0,1,10,61,3
24.25,I,10,0,1,10,60,2
