Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
2.0,I,7,0,1,7,62,7
2.06,I,7,0,1,7,62,7
2.19,I,7,0,1,7,64,9
2.38,I,7,0,1,7,62,7
2.44,I,7,0,1,7,59,4
2.5,I,7,0,1,7,57,2
2.56,I,7,0,1,7,59,4
3.12,I,7,0,1,7,62,7
3.19,I,7,0,1,7,64,9
3.31,I,7,0,1,7,62,7
3.38,I,7,0,1,7,60,5
3.44,I,7,0,1,7,59,4
3.81,I,7,0,1,7,55,0
3.88,I,7,0,1,7,55,0
4.0,I,7,0,1,7,62,7
4.12,I,7,0,1,7,62,7
4.19,I,7,0,1,7,62,7
4.44,I,7,0,1,7,62,7
4.5,I,7,0,1,7,60,5
4.56,I,7,0,1,7,59,4
4.62,I,7,0,1,7,57,2
4.69,I,7,0,1,7,55,0
4.88,I,7,0,1,7,57,2
5.0,V,2,7,5,7,57,2
5.06,V,2,7,5,7,57,2
6.0,V,2,7,5,7,60,5
6.06,V,2,7,5,7,60,5
6.19,V,2,7,5,7,62,7
6.44,V,2,7,5,7,60,5
6.5,V,2,7,5,7,59,4
6.62,V,2,7,5,7,57,2
6.69,V,2,7,5,7,59,4
7.06,V,2,7,5,7,60,5
7.12,V,2,7,5,7,60,5
7.19,V,2,7,5,7,62,7
7.31,V,2,7,5,7,60,5
7.38,V,2,7,5,7,62,7
7.44,V,2,7,5,7,60,5
7.5,V,2,7,5,7,59,4
7.94,V,2,7,5,7,60,5
8.0,V,2,7,5,7,60,5
8.06,V,2,7,5,7,60,5
8.19,V,2,7,5,7,62,7
8.44,V,2,7,5,7,60,5
8.5,V,2,7,5,7,59,4
8.56,V,2,7,5,7,57,2
8.69,V,2,7,5,7,55,0
8.75,V,2,7,5,7,57,2
8.81,V,2,7,5,7,55,0
9.0,I,7,0,1,7,55,0
9.0,I,7,0,1,7,59,4
9.88,I,7,0,1,7,62,7
10.0,I,7,0,1,7,62,7
10.25,I,7,0,1,7,64,9
10.31,I,7,0,1,7,62,7
10.44,I,7,0,1,7,60,5
10.5,I,7,0,1,7,59,4
10.75,I,7,0,1,7,59,4
10.81,I,7,0,1,7,60,5
11.0,I,7,0,1,7,62,7
11.06,I,7,0,1,7,62,7
11.25,I,7,0,1,7,64,9
11.31,I,7,0,1,7,62,7
11.44,I,7,0,1,7,60,5
11.56,I,7,0,1,7,59,4
11.88,I,7,0,1,7,62,7
11.94,I,7,0,1,7,62,7
12.0,I,7,0,1,7,62,7
12.06,I,7,0,1,7,62,7
12.25,I,7,0,1,7,62,7
12.38,I,7,0,1,7,64,9
12.5,I,7,0,1,7,65,10
12.56,I,7,0,1,7,65,10
12.75,I,7,0,1,7,64,9
12.88,I,7,0,1,7,62,7
12.94,I,7,0,1,7,64,9
13.0,IV,0,5,4,7,64,9
13.38,IV,0,5,4,7,62,7
13.44,IV,0,5,4,7,60,5
14.0,IV,0,5,4,7,67,0
14.12,IV,0,5,4,7,67,0
14.25,IV,0,5,4,7,67,0
14.38,IV,0,5,4,7,67,0
14.5,IV,0,5,4,7,69,2
14.56,IV,0,5,4,7,67,0
14.69,IV,0,5,4,7,66,11
14.88,IV,0,5,4,7,64,9
15.0,I,7,0,1,7,64,9
15.12,I,7,0,1,7,62,7
15.19,I,7,0,1,7,59,4
15.38,I,7,0,1,7,62,7
15.44,I,7,0,1,7,62,7
15.5,I,7,0,1,7,64,9
15.56,I,7,0,1,7,62,7
15.62,I,7,0,1,7,60,5
15.69,I,7,0,1,7,59,4
16.0,V,2,7,5,7,59,4
16.0,V,2,7,5,7,59,4
16.06,V,2,7,5,7,57,2
16.25,V,2,7,5,7,59,4
16.38,V,2,7,5,7,57,2
16.44,V,2,7,5,7,59,4
16.5,V,2,7,5,7,57,2
16.62,V,2,7,5,7,57,2
16.75,V,2,7,5,7,59,4
16.88,V,2,7,5,7,57,2
16.94,V,2,7,5,7,62,7
18.0,V,2,7,5,7,64,9
18.0,IV,0,5,4,7,64,9
18.12,IV,0,5,4,7,64,9
18.25,IV,0,5,4,7,64,9
18.38,IV,0,5,4,7,66,11
18.44,IV,0,5,4,7,67,0
18.56,IV,0,5,4,7,66,11
18.62,IV,0,5,4,7,64,9
18.88,IV,0,5,4,7,64,9
19.0,I,7,0,1,7,64,9
19.12,I,7,0,1,7,62,7
19.19,I,7,0,1,7,60,5
19.25,I,7,0,1,7,59,4
19.38,I,7,0,1,7,60,5
19.44,I,7,0,1,7,62,7
20.0,I,7,0,1,7,60,5
20.0,V,2,7,5,7,60,5
20.06,V,2,7,5,7,57,2
20.31,V,2,7,5,7,67,0
20.38,V,2,7,5,7,67,0
20.44,V,2,7,5,7,71,4
20.56,V,2,7,5,7,69,2
20.62,V,2,7,5,7,67,0
20.69,V,2,7,5,7,64,9
20.75,V,2,7,5,7,67,0
20.81,V,2,7,5,7,67,0
21.0,I,7,0,1,7,67,0
21.0,I,7,0,1,7,67,0
21.06,I,7,0,1,7,64,9
21.12,I,7,0,1,7,62,7
21.88,I,7,0,1,7,67,0
22.0,IV,0,5,4,7,67,0
22.0,IV,0,5,4,7,64,9
22.12,IV,0,5,4,7,64,9
22.25,IV,0,5,4,7,64,9
22.38,IV,0,5,4,7,67,0
22.5,IV,0,5,4,7,70,3
22.62,IV,0,5,4,7,67,0
22.69,IV,0,5,4,7,70,3
22.88,IV,0,5,4,7,67,0
23.0,I,7,0,1,7,67,0
23.12,I,7,0,1,7,67,0
23.19,I,7,0,1,7,64,9
23.31,I,7,0,1,7,67,0
23.44,I,7,0,1,7,67,0
23.5,I,7,0,1,7,67,0
23.53,I,7,0,1,7,64,9
23.56,I,7,0,1,7,62,7
23.81,I,7,0,1,7,62,7
23.88,I,7,0,1,7,62,7
24.0,I,7,0,1,7,57,2
24.0,V,2,7,5,7,57,2
24.12,V,2,7,5,7,57,2
24.25,V,2,7,5,7,57,2
24.38,V,2,7,5,7,59,4
24.5,V,2,7,5,7,60,5
24.62,V,2,7,5,7,59,4
24.69,V,2,7,5,7,60,5
24.88,V,2,7,5,7,59,4
24.94,V,2,7,5,7,62,7
26.0,V,2,7,5,7,57,2
26.12,V,2,7,5,7,57,2
26.19,V,2,7,5,7,57,2
26.38,V,2,7,5,7,59,4
26.44,V,2,7,5,7,60,5
26.56,V,2,7,5,7,60,5
26.62,V,2,7,5,7,62,7
26.69,V,2,7,5,7,59,4
26.81,V,2,7,5,7,57,2
26.94,V,2,7,5,7,57,2
27.0,V,2,7,5,7,55,0
27.0,I,7,0,1,7,55,0
28.0,I,9,0,1,9,55,0
28.88,I,9,0,1,9,62,5
28.94,I,9,0,1,9,64,7
29.0,I,9,0,1,9,64,7
29.25,I,9,0,1,9,64,7
29.31,I,9,0,1,9,64,7
29.44,I,9,0,1,9,66,9
29.56,I,9,0,1,9,64,7
29.88,I,9,0,1,9,64,7
29.94,I,9,0,1,9,62,5
30.0,I,9,0,1,9,64,7
30.12,I,9,0,1,9,66,9
30.19,I,9,0,1,9,64,7
30.38,I,9,0,1,9,62,5
30.44,I,9,0,1,9,61,4
30.88,I,9,0,1,9,64,7
30.94,I,9,0,1,9,64,7
31.06,I,9,0,1,9,64,7
31.25,I,9,0,1,9,64,7
31.38,I,9,0,1,9,64,7
31.44,I,9,0,1,9,62,5
31.56,I,9,0,1,9,61,4
31.69,I,9,0,1,9,59,2
31.75,I,9,0,1,9,57,0
31.88,I,9,0,1,9,59,2
32.0,V,4,7,5,9,59,2
32.12,V,4,7,5,9,59,2
32.88,V,4,7,5,9,62,5
32.94,V,4,7,5,9,62,5
33.25,V,4,7,5,9,64,7
33.38,V,4,7,5,9,62,5
33.44,V,4,7,5,9,64,7
33.56,V,4,7,5,9,66,9
33.94,V,4,7,5,9,61,4
34.0,V,4,7,5,9,64,7
34.12,V,4,7,5,9,61,4
34.19,V,4,7,5,9,64,7
34.38,V,4,7,5,9,61,4
34.44,V,4,7,5,9,66,9
34.94,V,4,7,5,9,69,0
35.0,V,4,7,5,9,72,3
35.06,V,4,7,5,9,71,2
35.19,V,4,7,5,9,69,0
35.31,V,4,7,5,9,66,9
35.5,V,4,7,5,9,69,0
35.62,V,4,7,5,9,66,9
35.75,V,4,7,5,9,64,7
35.88,V,4,7,5,9,59,2
35.94,V,4,7,5,9,61,4
36.0,I,9,0,1,9,61,4
36.12,I,9,0,1,9,59,2
36.19,I,9,0,1,9,57,0
36.88,I,9,0,1,9,64,7
37.0,I,9,0,1,9,64,7
37.12,I,9,0,1,9,63,6
37.25,I,9,0,1,9,64,7
37.38,I,9,0,1,9,62,5
37.44,I,9,0,1,9,64,7
37.56,I,9,0,1,9,61,4
37.62,I,9,0,1,9,69,0
37.69,I,9,0,1,9,71,2
37.75,I,9,0,1,9,69,0
38.06,I,9,0,1,9,66,9
38.12,I,9,0,1,9,69,0
38.19,I,9,0,1,9,66,9
38.31,I,9,0,1,9,69,0
38.38,I,9,0,1,9,69,0
38.44,I,9,0,1,9,69,0
38.5,I,9,0,1,9,66,9
38.56,I,9,0,1,9,64,7
38.88,I,9,0,1,9,64,7
39.0,I,9,0,1,9,64,7
39.06,I,9,0,1,9,64,7
39.25,I,9,0,1,9,64,7
39.31,I,9,0,1,9,66,9
39.44,I,9,0,1,9,67,10
39.69,I,9,0,1,9,67,10
39.75,I,9,0,1,9,69,0
39.81,I,9,0,1,9,69,0
39.94,I,9,0,1,9,69,0
40.0,I,9,0,1,9,66,9
40.0,IV,2,5,4,9,66,9
40.06,IV,2,5,4,9,62,5
40.25,IV,2,5,4,9,64,7
40.31,IV,2,5,4,9,60,3
40.81,IV,2,5,4,9,69,0
40.88,IV,2,5,4,9,69,0
41.0,IV,2,5,4,9,72,3
41.12,IV,2,5,4,9,69,0
41.19,IV,2,5,4,9,67,10
41.25,IV,2,5,4,9,72,3
41.38,IV,2,5,4,9,69,0
41.44,IV,2,5,4,9,72,3
41.56,IV,2,5,4,9,69,0
41.62,IV,2,5,4,9,67,10
41.81,IV,2,5,4,9,69,0
41.88,IV,2,5,4,9,69,0
42.0,I,9,0,1,9,69,0
42.0,I,9,0,1,9,72,3
42.12,I,9,0,1,9,69,0
42.19,I,9,0,1,9,67,10
42.25,I,9,0,1,9,67,10
42.44,I,9,0,1,9,69,0
42.5,I,9,0,1,9,69,0
42.56,I,9,0,1,9,67,10
42.62,I,9,0,1,9,64,7
42.81,I,9,0,1,9,64,7
42.88,I,9,0,1,9,64,7
43.0,V,4,7,5,9,64,7
43.0,V,4,7,5,9,59,2
43.12,V,4,7,5,9,59,2
43.25,V,4,7,5,9,59,2
43.38,V,4,7,5,9,61,4
43.44,V,4,7,5,9,62,5
43.56,V,4,7,5,9,62,5
43.75,V,4,7,5,9,59,2
43.81,V,4,7,5,9,57,0
43.88,V,4,7,5,9,56,11
43.94,V,4,7,5,9,64,7
45.0,IV,2,5,4,9,64,7
45.0,IV,2,5,4,9,66,9
45.12,IV,2,5,4,9,66,9
45.25,IV,2,5,4,9,66,9
45.38,IV,2,5,4,9,68,11
45.44,IV,2,5,4,9,69,0
45.56,IV,2,5,4,9,68,11
45.62,IV,2,5,4,9,66,9
45.88,IV,2,5,4,9,66,9
46.0,I,9,0,1,9,66,9
46.12,I,9,0,1,9,64,7
46.19,I,9,0,1,9,62,5
46.25,I,9,0,1,9,61,4
46.38,I,9,0,1,9,62,5
46.44,I,9,0,1,9,64,7
47.0,V,4,7,5,9,64,7
47.0,V,4,7,5,9,62,5
47.06,V,4,7,5,9,59,2
47.31,V,4,7,5,9,69,0
47.38,V,4,7,5,9,69,0
47.44,V,4,7,5,9,72,3
47.56,V,4,7,5,9,69,0
47.69,V,4,7,5,9,72,3
47.81,V,4,7,5,9,69,0
47.88,V,4,7,5,9,69,0
48.0,I,9,0,1,9,69,0
48.12,I,9,0,1,9,69,0
48.19,I,9,0,1,9,66,9
48.25,I,9,0,1,9,64,7
48.88,I,9,0,1,9,69,0
49.0,I,9,0,1,9,66,9
49.0,IV,2,5,4,9,66,9
49.12,IV,2,5,4,9,66,9
49.25,IV,2,5,4,9,66,9
49.38,IV,2,5,4,9,69,0
49.5,IV,2,5,4,9,72,3
49.62,IV,2,5,4,9,69,0
49.69,IV,2,5,4,9,72,3
49.81,IV,2,5,4,9,69,0
50.0,I,9,0,1,9,69,0
50.12,I,9,0,1,9,69,0
50.19,I,9,0,1,9,66,9
50.31,I,9,0,1,9,69,0
50.44,I,9,0,1,9,69,0
50.5,I,9,0,1,9,69,0
50.53,I,9,0,1,9,66,9
50.56,I,9,0,1,9,64,7
50.88,I,9,0,1,9,64,7
51.0,I,9,0,1,9,59,2
51.0,V,4,7,5,9,59,2
51.12,V,4,7,5,9,59,2
51.25,V,4,7,5,9,59,2
51.38,V,4,7,5,9,61,4
51.5,V,4,7,5,9,62,5
51.62,V,4,7,5,9,61,4
51.69,V,4,7,5,9,62,5
51.88,V,4,7,5,9,61,4
51.94,V,4,7,5,9,64,7
52.38,V,4,7,5,9,66,9
52.44,V,4,7,5,9,68,11
53.0,V,4,7,5,9,59,2
53.12,V,4,7,5,9,59,2
53.19,V,4,7,5,9,59,2
53.38,V,4,7,5,9,61,4
53.44,V,4,7,5,9,62,5
53.56,V,4,7,5,9,62,5
53.62,V,4,7,5,9,64,7
53.69,V,4,7,5,9,61,4
53.81,V,4,7,5,9,59,2
53.94,V,4,7,5,9,59,2
54.0,V,4,7,5,9,57,0
54.0,I,9,0,1,9,57,0
54.88,I,9,0,1,9,61,4
54.94,I,9,0,1,9,62,5
55.0,I,9,0,1,9,64,7
55.38,I,9,0,1,9,64,7
55.44,I,9,0,1,9,62,5
55.5,I,9,0,1,9,62,5
55.62,I,9,0,1,9,61,4
55.88,I,9,0,1,9,61,4
55.94,I,9,0,1,9,62,5
56.0,I,9,0,1,9,64,7
56.19,I,9,0,1,9,66,9
56.25,I,9,0,1,9,64,7
56.38,I,9,0,1,9,62,5
56.44,I,9,0,1,9,61,4
57.12,I,9,0,1,9,64,7
57.19,I,9,0,1,9,66,9
57.25,I,9,0,1,9,64,7
57.38,I,9,0,1,9,62,5
57.44,I,9,0,1,9,62,5
57.56,I,9,0,1,9,61,4
57.62,I,9,0,1,9,61,4
57.69,I,9,0,1,9,61,4
57.75,I,9,0,1,9,62,5
57.81,I,9,0,1,9,62,5
57.88,I,9,0,1,9,61,4
58.0,V,4,7,5,9,61,4
58.06,V,4,7,5,9,61,4
58.12,V,4,7,5,9,59,2
58.44,V,4,7,5,9,56,11
59.0,V,4,7,5,9,62,5
59.19,V,4,7,5,9,64,7
59.25,V,4,7,5,9,62,5
59.38,V,4,7,5,9,61,4
59.44,V,4,7,5,9,61,4
59.62,V,4,7,5,9,59,2
60.12,V,4,7,5,9,62,5
60.19,V,4,7,5,9,64,7
60.25,V,4,7,5,9,62,5
60.38,V,4,7,5,9,61,4
60.44,V,4,7,5,9,59,2
61.0,V,4,7,5,9,62,5
