Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.0,IV,7,5,4,2,62,0
4.5,IV,7,5,4,2,62,0
4.75,IV,7,5,4,2,61,11
4.88,IV,7,5,4,2,59,9
5.0,IV,7,5,4,2,57,7
5.0,V,9,7,5,2,57,7
5.25,V,9,7,5,2,57,7
5.38,V,9,7,5,2,57,7
5.62,V,9,7,5,2,57,7
5.75,V,9,7,5,2,55,5
6.0,I,2,0,1,2,55,5
6.0,I,2,0,1,2,57,7
6.12,I,2,0,1,2,57,7
6.25,I,2,0,1,2,59,9
6.38,I,2,0,1,2,57,7
6.75,I,2,0,1,2,54,4
6.88,I,2,0,1,2,50,0
7.0,IV,7,5,4,2,50,0
7.5,IV,7,5,4,2,54,4
7.62,IV,7,5,4,2,54,4
7.75,IV,7,5,4,2,57,7
8.0,IV,7,5,4,2,57,7
8.0,I,2,0,1,2,57,7
8.12,I,2,0,1,2,57,7
8.25,I,2,0,1,2,59,9
8.38,I,2,0,1,2,57,7
8.88,I,2,0,1,2,57,7
9.0,IV,7,5,4,2,57,7
9.0,IV,7,5,4,2,59,9
9.25,IV,7,5,4,2,57,7
9.5,IV,7,5,4,2,55,5
9.75,IV,7,5,4,2,54,4
10.0,V,9,7,5,2,54,4
10.0,V,9,7,5,2,54,4
10.12,V,9,7,5,2,52,2
10.38,V,9,7,5,2,52,2
12.0,V,9,7,5,2,62,0
12.0,IV,7,5,4,2,62,0
12.5,IV,7,5,4,2,62,0
12.75,IV,7,5,4,2,61,11
12.88,IV,7,5,4,2,59,9
13.0,V,9,7,5,2,59,9
13.0,V,9,7,5,2,57,7
13.25,V,9,7,5,2,57,7
13.38,V,9,7,5,2,57,7
13.62,V,9,7,5,2,57,7
13.75,V,9,7,5,2,55,5
14.0,I,2,0,1,2,55,5
14.0,I,2,0,1,2,57,7
14.12,I,2,0,1,2,59,9
14.38,I,2,0,1,2,57,7
14.75,I,2,0,1,2,54,4
14.88,I,2,0,1,2,50,0
15.0,IV,7,5,4,2,50,0
15.5,IV,7,5,4,2,54,4
