Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.88,I,5,0,1,5,65,0
4.0,IV6,10,5,4,5,65,0
4.5,IV6,10,5,4,5,65,0
4.75,IV6,10,5,4,5,64,11
4.88,IV6,10,5,4,5,62,9
5.0,V,0,7,5,5,62,9
5.25,V,0,7,5,5,60,7
5.38,V,0,7,5,5,60,7
5.62,V,0,7,5,5,57,4
6.0,V,0,7,5,5,57,4
6.0,I,5,0,1,5,57,4
6.12,I,5,0,1,5,57,4
6.38,I,5,0,1,5,60,7
6.75,I,5,0,1,5,57,4
6.88,I,5,0,1,5,53,0
7.0,IV6,10,5,4,5,53,0
7.5,IV6,10,5,4,5,53,0
7.62,IV6,10,5,4,5,55,2
8.0,IV6,10,5,4,5,57,4
8.0,I,5,0,1,5,57,4
8.12,I,5,0,1,5,60,7
8.5,I,5,0,1,5,57,4
8.62,I,5,0,1,5,60,7
8.88,I,5,0,1,5,62,9
9.0,IV6,10,5,4,5,62,9
9.12,IV6,10,5,4,5,60,7
9.38,IV6,10,5,4,5,58,5
9.62,IV6,10,5,4,5,57,4
10.0,V,0,7,5,5,57,4
10.0,V,0,7,5,5,55,2
10.12,V,0,7,5,5,55,2
10.38,V,0,7,5,5,55,2
11.75,V,0,7,5,5,65,0
12.0,IV6,10,5,4,5,65,0
12.38,IV6,10,5,4,5,65,0
12.62,IV6,10,5,4,5,64,11
12.88,IV6,10,5,4,5,62,9
13.0,V,0,7,5,5,62,9
13.25,V,0,7,5,5,60,7
13.38,V,0,7,5,5,60,7
13.62,V,0,7,5,5,57,4
14.0,V,0,7,5,5,57,4
14.0,I,5,0,1,5,57,4
14.12,I,5,0,1,5,57,4
14.38,I,5,0,1,5,60,7
14.75,I,5,0,1,5,53,0
14.88,I,5,0,1,5,53,0
15.0,IV6,10,5,4,5,53,0
15.5,IV6,10,5,4,5,53,0
15.62,IV6,10,5,4,5,55,2
15.88,IV6,10,5,4,5,57,4
16.0,I,5,0,1,5,57,4
16.12,I,5,0,1,5,62,9
16.38,I,5,0,1,5,60,7
16.75,I,5,0,1,5,57,4
16.88,I,5,0,1,5,58,5
17.0,IV6,10,5,4,5,58,5
17.12,IV6,10,5,4,5,57,4
17.5,IV6,10,5,4,5,55,2
17.62,IV6,10,5,4,5,55,2
17.75,IV6,10,5,4,5,53,0
17.88,IV6,10,5,4,5,55,2
18.0,V,0,7,5,5,55,2
18.62,V,0,7,5,5,57,4
18.75,V,0,7,5,5,55,2
19.0,V,0,7,5,5,53,0
19.0,I,5,0,1,5,53,0
21.5,I,5,0,1,5,65,0
21.62,I,5,0,1,5,65,0
21.88,I,5,0,1,5,65,0
22.0,IV6,10,5,4,5,65,0
22.25,IV6,10,5,4,5,65,0
22.38,IV6,10,5,4,5,65,0
22.62,IV6,10,5,4,5,64,11
22.88,IV6,10,5,4,5,62,9
23.0,V,0,7,5,5,62,9
23.12,V,0,7,5,5,60,7
23.38,V,0,7,5,5,57,4
23.62,V,0,7,5,5,57,4
24.0,V,0,7,5,5,57,4
24.0,I,5,0,1,5,57,4
24.12,I,5,0,1,5,60,7
24.38,I,5,0,1,5,60,7
24.62,I,5,0,1,5,57,4
24.88,I,5,0,1,5,53,0
25.0,IV6,10,5,4,5,53,0
26.0,IV6,10,5,4,5,57,4
26.0,I,5,0,1,5,57,4
26.12,I,5,0,1,5,62,9
26.38,I,5,0,1,5,60,7
26.62,I,5,0,1,5,57,4
27.0,IV6,10,5,4,5,57,4
27.0,IV6,10,5,4,5,53,0
27.5,IV6,10,5,4,5,53,0
27.75,IV6,10,5,4,5,55,2
27.88,IV6,10,5,4,5,57,4
28.0,I,5,0,1,5,57,4
28.12,I,5,0,1,5,62,9
28.38,I,5,0,1,5,60,7
28.62,I,5,0,1,5,60,7
28.88,I,5,0,1,5,62,9
29.0,IV6,10,5,4,5,62,9
29.25,IV6,10,5,4,5,60,7
29.38,IV6,10,5,4,5,58,5
29.62,IV6,10,5,4,5,57,4
30.0,IV6,10,5,4,5,57,4
30.0,V,0,7,5,5,57,4
30.12,V,0,7,5,5,55,2
31.62,V,0,7,5,5,65,0
32.0,V,0,7,5,5,65,0
32.0,IV6,10,5,4,5,65,0
32.12,IV6,10,5,4,5,65,0
32.38,IV6,10,5,4,5,65,0
32.62,IV6,10,5,4,5,64,11
32.88,IV6,10,5,4,5,62,9
33.0,V,0,7,5,5,62,9
33.12,V,0,7,5,5,60,7
33.25,V,0,7,5,5,60,7
33.38,V,0,7,5,5,60,7
33.62,V,0,7,5,5,57,4
34.0,V,0,7,5,5,57,4
34.0,I,5,0,1,5,57,4
34.25,I,5,0,1,5,57,4
34.38,I,5,0,1,5,60,7
34.62,I,5,0,1,5,57,4
35.0,I,5,0,1,5,53,0
35.0,IV6,10,5,4,5,53,0
35.62,IV6,10,5,4,5,55,2
35.88,IV6,10,5,4,5,57,4
36.0,I,5,0,1,5,57,4
36.12,I,5,0,1,5,62,9
36.38,I,5,0,1,5,60,7
36.75,I,5,0,1,5,57,4
36.88,I,5,0,1,5,53,0
37.0,IV6,10,5,4,5,53,0
37.5,IV6,10,5,4,5,53,0
37.75,IV6,10,5,4,5,55,2
38.0,I,5,0,1,5,55,2
38.0,I,5,0,1,5,57,4
38.25,I,5,0,1,5,62,9
38.38,I,5,0,1,5,60,7
38.62,I,5,0,1,5,60,7
38.88,I,5,0,1,5,62,9
39.0,IV6,10,5,4,5,62,9
39.12,IV6,10,5,4,5,60,7
39.38,IV6,10,5,4,5,58,5
39.75,IV6,10,5,4,5,57,4
39.88,IV6,10,5,4,5,57,4
40.0,V,0,7,5,5,57,4
40.12,V,0,7,5,5,55,2
41.75,V,0,7,5,5,65,0
42.0,IV6,10,5,4,5,65,0
42.5,IV6,10,5,4,5,65,0
42.75,IV6,10,5,4,5,64,11
42.88,IV6,10,5,4,5,62,9
43.0,V,0,7,5,5,62,9
43.25,V,0,7,5,5,60,7
43.38,V,0,7,5,5,60,7
43.62,V,0,7,5,5,57,4
44.0,V,0,7,5,5,57,4
44.0,I,5,0,1,5,57,4
44.12,I,5,0,1,5,57,4
44.38,I,5,0,1,5,60,7
44.75,I,5,0,1,5,53,0
44.88,I,5,0,1,5,53,0
45.0,IV6,10,5,4,5,53,0
45.5,IV6,10,5,4,5,53,0
45.62,IV6,10,5,4,5,55,2
46.0,IV6,10,5,4,5,57,4
46.0,I,5,0,1,5,57,4
46.12,I,5,0,1,5,60,7
46.5,I,5,0,1,5,60,7
46.62,I,5,0,1,5,60,7
46.88,I,5,0,1,5,62,9
47.0,IV6,10,5,4,5,62,9
47.12,IV6,10,5,4,5,60,7
47.38,IV6,10,5,4,5,58,5
47.62,IV6,10,5,4,5,57,4
48.0,IV6,10,5,4,5,55,2
48.0,V,0,7,5,5,55,2
48.12,V,0,7,5,5,55,2
48.38,V,0,7,5,5,55,2
49.75,V,0,7,5,5,65,0
50.0,IV6,10,5,4,5,65,0
50.5,IV6,10,5,4,5,65,0
50.75,IV6,10,5,4,5,64,11
50.88,IV6,10,5,4,5,62,9
51.0,V,0,7,5,5,62,9
51.25,V,0,7,5,5,60,7
51.38,V,0,7,5,5,60,7
51.62,V,0,7,5,5,57,4
52.0,I,5,0,1,5,57,4
52.0,I,5,0,1,5,57,4
52.12,I,5,0,1,5,57,4
52.38,I,5,0,1,5,60,7
52.75,I,5,0,1,5,57,4
52.88,I,5,0,1,5,53,0
53.0,IV6,10,5,4,5,53,0
53.5,IV6,10,5,4,5,53,0
53.62,IV6,10,5,4,5,55,2
53.88,IV6,10,5,4,5,57,4
54.0,I,5,0,1,5,57,4
54.12,I,5,0,1,5,62,9
54.38,I,5,0,1,5,60,7
54.75,I,5,0,1,5,57,4
54.88,I,5,0,1,5,58,5
55.0,IV6,10,5,4,5,58,5
55.12,IV6,10,5,4,5,57,4
55.5,IV6,10,5,4,5,55,2
55.62,IV6,10,5,4,5,55,2
55.75,IV6,10,5,4,5,53,0
55.88,IV6,10,5,4,5,55,2
56.0,V,0,7,5,5,55,2
56.62,V,0,7,5,5,57,4
56.75,V,0,7,5,5,55,2
57.0,V,0,7,5,5,53,0
57.0,I,5,0,1,5,53,0
60.75,I,5,0,1,5,65,0
61.0,IV6,10,5,4,5,65,0
61.12,IV6,10,5,4,5,65,0
61.38,IV6,10,5,4,5,65,0
61.62,IV6,10,5,4,5,64,11
61.88,IV6,10,5,4,5,62,9
62.0,V,0,7,5,5,62,9
62.12,V,0,7,5,5,60,7
62.38,V,0,7,5,5,60,7
62.75,V,0,7,5,5,57,4
63.0,V,0,7,5,5,57,4
63.0,I,5,0,1,5,57,4
63.12,I,5,0,1,5,60,7
63.5,I,5,0,1,5,60,7
63.62,I,5,0,1,5,57,4
63.75,I,5,0,1,5,55,2
64.0,I,5,0,1,5,53,0
64.0,IV6,10,5,4,5,53,0
64.62,IV6,10,5,4,5,55,2
65.0,IV6,10,5,4,5,57,4
65.0,I,5,0,1,5,57,4
65.12,I,5,0,1,5,62,9
65.38,I,5,0,1,5,60,7
65.62,I,5,0,1,5,57,4
65.75,I,5,0,1,5,53,0
66.0,I,5,0,1,5,53,0
66.0,IV6,10,5,4,5,53,0
66.62,IV6,10,5,4,5,55,2
66.88,IV6,10,5,4,5,57,4
67.0,I,5,0,1,5,57,4
67.25,I,5,0,1,5,62,9
67.5,I,5,0,1,5,60,7
67.75,I,5,0,1,5,53,0
67.88,I,5,0,1,5,53,0
68.0,IV6,10,5,4,5,53,0
68.62,IV6,10,5,4,5,55,2
68.88,IV6,10,5,4,5,57,4
69.0,I,5,0,1,5,57,4
69.25,I,5,0,1,5,62,9
69.38,I,5,0,1,5,60,7
69.75,I,5,0,1,5,53,0
70.0,I,5,0,1,5,53,0
70.0,IV6,10,5,4,5,53,0
70.75,IV6,10,5,4,5,55,2
71.0,IV6,10,5,4,5,57,4
71.0,I,5,0,1,5,57,4
71.25,I,5,0,1,5,62,9
71.38,I,5,0,1,5,60,7
71.62,I,5,0,1,5,60,7
72.0,I,5,0,1,5,62,9
72.0,IV6,10,5,4,5,62,9
72.12,IV6,10,5,4,5,60,7
72.25,IV6,10,5,4,5,58,5
72.5,IV6,10,5,4,5,58,5
72.62,IV6,10,5,4,5,57,4
72.88,IV6,10,5,4,5,55,2
73.0,V,0,7,5,5,55,2
73.25,V,0,7,5,5,53,0
73.38,V,0,7,5,5,53,0
74.62,V,0,7,5,5,65,0
75.0,V,0,7,5,5,65,0
75.0,IV6,10,5,4,5,65,0
75.12,IV6,10,5,4,5,65,0
75.38,IV6,10,5,4,5,65,0
75.62,IV6,10,5,4,5,65,0
75.88,IV6,10,5,4,5,65,0
76.0,V,0,7,5,5,65,0
76.0,V,0,7,5,5,64,11
76.25,V,0,7,5,5,64,11
76.62,V,0,7,5,5,62,9
77.0,I,5,0,1,5,62,9
77.0,I,5,0,1,5,62,9
77.12,I,5,0,1,5,62,9
77.38,I,5,0,1,5,60,7
77.62,I,5,0,1,5,57,4
77.75,I,5,0,1,5,53,0
77.88,I,5,0,1,5,53,0
78.0,IV6,10,5,4,5,53,0
78.75,IV6,10,5,4,5,55,2
79.0,I,5,0,1,5,55,2
79.0,I,5,0,1,5,57,4
79.12,I,5,0,1,5,62,9
79.38,I,5,0,1,5,60,7
79.5,I,5,0,1,5,57,4
79.75,I,5,0,1,5,57,4
79.88,I,5,0,1,5,53,0
80.0,IV6,10,5,4,5,53,0
80.5,IV6,10,5,4,5,53,0
80.75,IV6,10,5,4,5,55,2
80.88,IV6,10,5,4,5,57,4
81.0,I,5,0,1,5,57,4
81.12,I,5,0,1,5,62,9
81.5,I,5,0,1,5,60,7
81.62,I,5,0,1,5,57,4
81.88,I,5,0,1,5,53,0
82.0,IV6,10,5,4,5,53,0
82.12,IV6,10,5,4,5,65,0
82.5,IV6,10,5,4,5,64,11
82.62,IV6,10,5,4,5,62,9
83.0,IV6,10,5,4,5,60,7
83.25,IV6,10,5,4,5,62,9
83.5,IV6,10,5,4,5,57,4
83.75,IV6,10,5,4,5,57,4
84.0,V,0,7,5,5,57,4
84.25,V,0,7,5,5,55,2
84.38,V,0,7,5,5,55,2
85.75,V,0,7,5,5,65,0
86.0,IV6,10,5,4,5,65,0
86.38,IV6,10,5,4,5,65,0
86.62,IV6,10,5,4,5,64,11
86.88,IV6,10,5,4,5,62,9
87.0,V,0,7,5,5,62,9
87.25,V,0,7,5,5,60,7
87.38,V,0,7,5,5,60,7
87.62,V,0,7,5,5,57,4
88.0,I,5,0,1,5,57,4
88.0,I,5,0,1,5,57,4
88.12,I,5,0,1,5,57,4
88.38,I,5,0,1,5,60,7
88.75,I,5,0,1,5,57,4
88.88,I,5,0,1,5,53,0
