Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.69,I,0,0,1,0,64,4
3.88,I,0,0,1,0,62,2
4.0,I,0,0,1,0,64,4
4.25,I,0,0,1,0,60,0
4.69,I,0,0,1,0,62,2
4.75,I,0,0,1,0,60,0
5.0,IV,5,5,4,0,60,0
5.44,IV,5,5,4,0,60,0
5.5,IV,5,5,4,0,62,2
5.62,IV,5,5,4,0,60,0
5.69,IV,5,5,4,0,62,2
5.75,IV,5,5,4,0,60,0
6.0,I,0,0,1,0,60,0
6.12,I,0,0,1,0,57,9
6.19,I,0,0,1,0,55,7
7.0,IV,5,5,4,0,55,7
7.88,IV,5,5,4,0,60,0
7.94,IV,5,5,4,0,62,2
8.0,I,0,0,1,0,62,2
8.12,I,0,0,1,0,64,4
8.38,I,0,0,1,0,60,0
8.75,I,0,0,1,0,60,0
8.81,I,0,0,1,0,57,9
8.88,I,0,0,1,0,60,0
9.0,IV,5,5,4,0,60,0
9.62,IV,5,5,4,0,60,0
9.69,IV,5,5,4,0,62,2
9.81,IV,5,5,4,0,60,0
9.94,IV,5,5,4,0,57,9
10.0,IV,5,5,4,0,60,0
10.0,I,0,0,1,0,60,0
10.12,I,0,0,1,0,57,9
10.19,I,0,0,1,0,55,7
11.0,IV,5,5,4,0,55,7
12.0,I,0,0,1,0,55,7
12.0,I,0,0,1,0,55,7
12.5,ii,2,2,2,0,55,7
12.5,ii,2,2,2,0,57,9
13.0,ii,2,2,2,0,60,0
13.0,IV,5,5,4,0,60,0
13.5,IV,5,5,4,0,62,2
13.5,V,7,7,5,0,62,2
13.75,V,7,7,5,0,64,4
14.0,V,7,7,5,0,55,7
14.0,I,0,0,1,0,55,7
14.25,I,0,0,1,0,55,7
14.5,ii,2,2,2,0,55,7
14.5,ii,2,2,2,0,57,9
14.75,ii,2,2,2,0,57,9
15.0,ii,2,2,2,0,60,0
15.0,IV,5,5,4,0,60,0
15.25,IV,5,5,4,0,60,0
15.5,IV,5,5,4,0,62,2
15.5,V,7,7,5,0,62,2
15.69,V,7,7,5,0,60,0
15.75,V,7,7,5,0,57,9
16.0,V,7,7,5,0,60,0
16.0,I,0,0,1,0,60,0
16.12,I,0,0,1,0,55,7
16.5,I,0,0,1,0,60,0
16.62,I,0,0,1,0,55,7
17.0,I,0,0,1,0,64,4
17.12,I,0,0,1,0,60,0
17.5,I,0,0,1,0,55,7
17.62,I,0,0,1,0,57,9
17.75,I,0,0,1,0,60,0
18.0,ii,2,2,2,0,60,0
18.12,ii,2,2,2,0,60,0
18.25,ii,2,2,2,0,62,2
18.38,ii,2,2,2,0,60,0
18.5,ii,2,2,2,0,57,9
18.56,ii,2,2,2,0,60,0
19.0,ii,2,2,2,0,64,4
19.0,V,7,7,5,0,64,4
19.12,V,7,7,5,0,62,2
19.62,V,7,7,5,0,60,0
19.81,V,7,7,5,0,62,2
20.0,V,7,7,5,0,69,9
20.0,I,0,0,1,0,69,9
20.88,I,0,0,1,0,64,4
21.0,IV,5,5,4,0,64,4
21.12,IV,5,5,4,0,62,2
21.17,IV,5,5,4,0,64,4
21.21,IV,5,5,4,0,62,2
21.25,IV,5,5,4,0,60,0
21.38,IV,5,5,4,0,60,0
21.62,IV,5,5,4,0,55,7
21.69,IV,5,5,4,0,60,0
21.75,IV,5,5,4,0,62,2
21.88,IV,5,5,4,0,60,0
22.0,I,0,0,1,0,60,0
22.0,I,0,0,1,0,57,9
22.12,I,0,0,1,0,55,7
23.0,IV,5,5,4,0,55,7
23.81,IV,5,5,4,0,57,9
23.88,IV,5,5,4,0,60,0
23.94,IV,5,5,4,0,62,2
24.0,I,0,0,1,0,62,2
24.19,I,0,0,1,0,64,4
24.25,I,0,0,1,0,62,2
24.38,I,0,0,1,0,62,2
24.5,I,0,0,1,0,60,0
24.56,I,0,0,1,0,57,9
25.0,IV,5,5,4,0,57,9
25.38,IV,5,5,4,0,60,0
25.44,IV,5,5,4,0,62,2
25.56,IV,5,5,4,0,60,0
25.88,IV,5,5,4,0,60,0
25.94,IV,5,5,4,0,57,9
26.0,I,0,0,1,0,57,9
26.12,I,0,0,1,0,55,7
27.0,IV,5,5,4,0,55,7
27.62,IV,5,5,4,0,64,4
27.69,IV,5,5,4,0,62,2
27.75,IV,5,5,4,0,64,4
28.0,IV,5,5,4,0,55,7
28.0,I,0,0,1,0,55,7
28.5,I,0,0,1,0,57,9
28.5,ii,2,2,2,0,57,9
29.0,ii,2,2,2,0,60,0
29.0,IV,5,5,4,0,60,0
29.5,V,7,7,5,0,60,0
29.5,V,7,7,5,0,62,2
29.75,V,7,7,5,0,64,4
30.0,I,0,0,1,0,64,4
30.0,I,0,0,1,0,55,7
30.25,I,0,0,1,0,55,7
30.5,I,0,0,1,0,57,9
30.5,ii,2,2,2,0,57,9
30.75,ii,2,2,2,0,64,4
31.0,IV,5,5,4,0,64,4
31.0,IV,5,5,4,0,62,2
31.06,IV,5,5,4,0,60,0
31.12,IV,5,5,4,0,57,9
31.25,IV,5,5,4,0,60,0
31.5,V,7,7,5,0,60,0
31.5,V,7,7,5,0,62,2
31.69,V,7,7,5,0,60,0
31.75,V,7,7,5,0,57,9
32.0,I,0,0,1,0,57,9
32.0,I,0,0,1,0,60,0
32.12,I,0,0,1,0,55,7
32.5,I,0,0,1,0,60,0
32.62,I,0,0,1,0,55,7
33.0,I,0,0,1,0,64,4
33.12,I,0,0,1,0,60,0
33.5,I,0,0,1,0,55,7
33.62,I,0,0,1,0,57,9
33.75,I,0,0,1,0,60,0
34.0,ii,2,2,2,0,60,0
34.12,ii,2,2,2,0,60,0
34.25,ii,2,2,2,0,62,2
34.38,ii,2,2,2,0,60,0
34.5,ii,2,2,2,0,57,9
34.62,ii,2,2,2,0,60,0
35.0,V,7,7,5,0,60,0
35.0,V,7,7,5,0,64,4
35.12,V,7,7,5,0,62,2
35.5,V,7,7,5,0,69,9
36.0,I,0,0,1,0,69,9
36.0,I,0,0,1,0,64,4
36.38,I,0,0,1,0,69,9
36.5,I,0,0,1,0,64,4
41.0,IV,5,5,4,0,64,4
41.5,IV,5,5,4,0,60,0
41.62,IV,5,5,4,0,62,2
41.88,IV,5,5,4,0,64,4
42.0,I,0,0,1,0,64,4
43.0,IV,5,5,4,0,64,4
43.5,IV,5,5,4,0,57,9
43.62,IV,5,5,4,0,60,0
43.88,IV,5,5,4,0,62,2
44.0,ii,2,2,2,0,62,2
45.0,V,7,7,5,0,62,2
45.69,V,7,7,5,0,69,9
46.0,iii,4,4,3,0,69,9
46.0,iii,4,4,3,0,64,4
46.25,iii,4,4,3,0,67,7
46.31,iii,4,4,3,0,64,4
46.88,iii,4,4,3,0,62,2
46.94,iii,4,4,3,0,60,0
47.0,V,9,7,5,2,60,0
47.0,V,9,7,5,2,57,7
47.62,V,9,7,5,2,66,4
47.88,V,9,7,5,2,66,4
48.0,I,2,0,1,2,66,4
48.0,I,2,0,1,2,66,4
48.12,I,2,0,1,2,64,2
48.25,I,2,0,1,2,62,0
48.38,I,2,0,1,2,62,0
48.44,I,2,0,1,2,64,2
48.5,I,2,0,1,2,66,4
48.62,I,2,0,1,2,62,0
48.75,I,2,0,1,2,62,0
48.88,I,2,0,1,2,59,9
49.0,IV,7,5,4,2,59,9
49.38,IV,7,5,4,2,64,2
49.88,IV,7,5,4,2,62,0
50.0,I,2,0,1,2,62,0
50.0,I,2,0,1,2,59,9
50.12,I,2,0,1,2,61,11
50.19,I,2,0,1,2,59,9
50.25,I,2,0,1,2,57,7
50.56,I,2,0,1,2,55,5
50.62,I,2,0,1,2,54,4
51.0,IV,7,5,4,2,54,4
51.62,IV,7,5,4,2,66,4
51.75,IV,7,5,4,2,64,2
52.0,I,2,0,1,2,64,2
52.12,I,2,0,1,2,64,2
52.19,I,2,0,1,2,62,0
52.5,I,2,0,1,2,59,9
52.62,I,2,0,1,2,62,0
52.69,I,2,0,1,2,59,9
52.81,I,2,0,1,2,64,2
52.94,I,2,0,1,2,66,4
53.0,IV,7,5,4,2,66,4
53.62,IV,7,5,4,2,64,2
53.75,IV,7,5,4,2,62,0
54.0,I,2,0,1,2,62,0
54.06,I,2,0,1,2,59,9
54.19,I,2,0,1,2,59,9
54.25,I,2,0,1,2,57,7
54.56,I,2,0,1,2,54,4
55.0,IV,7,5,4,2,54,4
55.62,IV,7,5,4,2,66,4
55.69,IV,7,5,4,2,64,2
55.75,IV,7,5,4,2,66,4
56.0,IV,7,5,4,2,57,7
56.0,I,2,0,1,2,57,7
56.5,ii,4,2,2,2,57,7
56.5,ii,4,2,2,2,59,9
57.0,ii,4,2,2,2,62,0
57.0,IV,7,5,4,2,62,0
57.5,IV,7,5,4,2,64,2
57.5,V,9,7,5,2,64,2
57.69,V,9,7,5,2,62,0
58.0,V,9,7,5,2,57,7
58.0,I,2,0,1,2,57,7
58.25,I,2,0,1,2,57,7
58.5,I,2,0,1,2,59,9
58.5,ii,4,2,2,2,59,9
58.75,ii,4,2,2,2,66,4
59.0,ii,4,2,2,2,64,2
59.0,IV,7,5,4,2,64,2
59.06,IV,7,5,4,2,62,0
59.12,IV,7,5,4,2,59,9
59.25,IV,7,5,4,2,62,0
59.5,V,9,7,5,2,62,0
59.5,V,9,7,5,2,64,2
59.69,V,9,7,5,2,62,0
59.75,V,9,7,5,2,59,9
60.0,I,2,0,1,2,59,9
60.0,I,2,0,1,2,62,0
60.12,I,2,0,1,2,57,7
60.5,I,2,0,1,2,62,0
60.62,I,2,0,1,2,57,7
61.0,I,2,0,1,2,66,4
61.12,I,2,0,1,2,62,0
61.5,I,2,0,1,2,57,7
61.62,I,2,0,1,2,59,9
61.75,I,2,0,1,2,62,0
62.0,ii,4,2,2,2,62,0
62.12,ii,4,2,2,2,62,0
62.25,ii,4,2,2,2,64,2
62.38,ii,4,2,2,2,62,0
62.5,ii,4,2,2,2,59,9
62.62,ii,4,2,2,2,62,0
63.0,ii,4,2,2,2,66,4
63.0,V,9,7,5,2,66,4
63.12,V,9,7,5,2,64,2
64.0,I,2,0,1,2,64,2
64.38,I,2,0,1,2,64,2
64.5,I,2,0,1,2,66,4
64.62,I,2,0,1,2,66,4
64.75,I,2,0,1,2,64,2
64.88,I,2,0,1,2,62,0
64.94,I,2,0,1,2,64,2
65.0,I,2,0,1,2,66,4
65.25,I,2,0,1,2,64,2
65.38,I,2,0,1,2,64,2
65.44,I,2,0,1,2,62,0
65.62,I,2,0,1,2,62,0
65.88,I,2,0,1,2,64,2
66.0,ii,4,2,2,2,64,2
66.0,ii,4,2,2,2,62,0
66.12,ii,4,2,2,2,59,9
66.25,ii,4,2,2,2,62,0
66.88,ii,4,2,2,2,59,9
67.0,V,9,7,5,2,59,9
67.0,V,9,7,5,2,66,4
67.12,V,9,7,5,2,64,2
67.25,V,9,7,5,2,64,2
67.38,V,9,7,5,2,62,0
67.44,V,9,7,5,2,66,4
67.62,V,9,7,5,2,64,2
67.75,V,9,7,5,2,64,2
67.94,V,9,7,5,2,62,0
68.0,I,2,0,1,2,62,0
68.12,I,2,0,1,2,59,9
68.25,I,2,0,1,2,57,7
68.62,I,2,0,1,2,55,5
68.69,I,2,0,1,2,54,4
69.5,I,2,0,1,2,66,4
69.62,I,2,0,1,2,64,2
69.69,I,2,0,1,2,64,2
69.81,I,2,0,1,2,62,0
69.94,I,2,0,1,2,66,4
70.0,ii,4,2,2,2,66,4
70.06,ii,4,2,2,2,64,2
70.12,ii,4,2,2,2,64,2
70.19,ii,4,2,2,2,62,0
70.31,ii,4,2,2,2,66,4
70.5,ii,4,2,2,2,64,2
70.56,ii,4,2,2,2,64,2
70.62,ii,4,2,2,2,62,0
70.75,ii,4,2,2,2,64,2
70.88,ii,4,2,2,2,62,0
70.94,ii,4,2,2,2,59,9
71.0,V,9,7,5,2,59,9
71.06,V,9,7,5,2,62,0
71.5,V,9,7,5,2,71,9
72.0,I,2,0,1,2,71,9
72.0,I,2,0,1,2,66,4
72.38,I,2,0,1,2,59,9
72.56,I,2,0,1,2,57,7
73.56,I,2,0,1,2,57,7
73.62,I,2,0,1,2,66,4
73.88,I,2,0,1,2,64,2
74.0,ii,4,2,2,2,64,2
74.06,ii,4,2,2,2,66,4
74.19,ii,4,2,2,2,64,2
74.31,ii,4,2,2,2,62,0
74.5,ii,4,2,2,2,59,9
74.62,ii,4,2,2,2,62,0
74.69,ii,4,2,2,2,64,2
74.81,ii,4,2,2,2,62,0
74.88,ii,4,2,2,2,59,9
75.0,V,9,7,5,2,59,9
75.0,V,9,7,5,2,62,0
76.0,End,9,7,5,2,62,0
