Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.0,I,4,0,1,4,59,7
8.5,I,4,0,1,4,61,9
8.67,I,4,0,1,4,59,7
8.83,I,4,0,1,4,57,5
8.92,I,4,0,1,4,56,4
9.5,I,4,0,1,4,54,2
9.67,I,4,0,1,4,57,5
9.75,I,4,0,1,4,56,4
10.0,I,4,0,1,4,52,0
10.5,I,4,0,1,4,50,10
10.5,v,11,7,5,4,50,10
10.67,v,11,7,5,4,57,5
10.83,v,11,7,5,4,49,9
11.0,I,4,0,1,4,49,9
11.0,I,4,0,1,4,47,7
12.0,I,4,0,1,4,59,7
12.5,I,4,0,1,4,61,9
12.67,I,4,0,1,4,59,7
12.83,I,4,0,1,4,57,5
13.0,I,4,0,1,4,56,4
13.5,I,4,0,1,4,54,2
13.67,I,4,0,1,4,57,5
13.83,I,4,0,1,4,56,4
14.0,I,4,0,1,4,52,0
14.5,I,4,0,1,4,50,10
14.5,v,11,7,5,4,50,10
14.67,v,11,7,5,4,57,5
14.83,v,11,7,5,4,49,9
15.0,v,11,7,5,4,47,7
15.0,I,4,0,1,4,47,7
15.83,I,4,0,1,4,52,0
16.0,I,4,0,1,4,59,7
16.17,I,4,0,1,4,59,7
16.33,I,4,0,1,4,59,7
16.5,I,4,0,1,4,59,7
16.67,I,4,0,1,4,57,5
16.83,I,4,0,1,4,57,5
17.0,I,4,0,1,4,57,5
17.17,I,4,0,1,4,55,3
17.33,I,4,0,1,4,55,3
17.5,I,4,0,1,4,55,3
17.58,I,4,0,1,4,57,5
17.83,I,4,0,1,4,55,3
17.92,I,4,0,1,4,57,5
18.0,IV,9,5,4,4,57,5
19.83,IV,9,5,4,4,62,10
20.0,i,4,0,1,4,62,10
20.0,i,4,0,1,4,71,7
20.17,i,4,0,1,4,71,7
20.33,i,4,0,1,4,71,7
20.5,i,4,0,1,4,71,7
20.67,i,4,0,1,4,69,5
20.75,i,4,0,1,4,69,5
21.0,i,4,0,1,4,69,5
21.17,i,4,0,1,4,67,3
21.33,i,4,0,1,4,67,3
21.5,i,4,0,1,4,67,3
21.58,i,4,0,1,4,69,5
21.83,i,4,0,1,4,67,3
21.92,i,4,0,1,4,69,5
22.0,ii7,6,2,2,4,69,5
23.0,V,11,7,5,4,69,5
24.0,V,11,7,5,4,71,7
24.0,I,4,0,1,4,71,7
24.5,I,4,0,1,4,73,9
24.67,I,4,0,1,4,71,7
24.83,I,4,0,1,4,69,5
25.0,I,4,0,1,4,68,4
25.5,I,4,0,1,4,66,2
25.67,I,4,0,1,4,69,5
25.83,I,4,0,1,4,68,4
26.0,I,4,0,1,4,64,0
26.5,I,4,0,1,4,62,10
26.5,v,11,7,5,4,62,10
26.67,v,11,7,5,4,69,5
26.83,v,11,7,5,4,61,9
27.0,v,11,7,5,4,59,7
27.0,I,4,0,1,4,59,7
28.0,I,4,0,1,4,71,7
28.5,I,4,0,1,4,73,9
28.67,I,4,0,1,4,71,7
28.83,I,4,0,1,4,69,5
29.0,I,4,0,1,4,68,4
29.5,I,4,0,1,4,66,2
29.67,I,4,0,1,4,69,5
29.83,I,4,0,1,4,68,4
30.0,I,4,0,1,4,64,0
30.5,I,4,0,1,4,62,10
30.5,v,11,7,5,4,62,10
30.67,v,11,7,5,4,69,5
30.83,v,11,7,5,4,61,9
30.92,v,11,7,5,4,59,7
31.0,I,4,0,1,4,59,7
34.5,v,11,7,5,4,59,7
35.0,I,4,0,1,4,59,7
38.5,v,11,7,5,4,59,7
39.0,I,4,0,1,4,59,7
39.83,I,4,0,1,4,64,0
40.0,I,4,0,1,4,71,7
40.17,I,4,0,1,4,71,7
40.33,I,4,0,1,4,71,7
40.5,I,4,0,1,4,71,7
40.67,I,4,0,1,4,69,5
40.83,I,4,0,1,4,69,5
40.92,I,4,0,1,4,69,5
41.17,I,4,0,1,4,67,3
41.33,I,4,0,1,4,67,3
41.5,I,4,0,1,4,67,3
41.67,I,4,0,1,4,69,5
41.83,I,4,0,1,4,67,3
41.92,I,4,0,1,4,69,5
42.0,IV,9,5,4,4,69,5
43.83,IV,9,5,4,4,71,7
44.0,IV,9,5,4,4,71,7
44.0,i,4,0,1,4,71,7
44.17,i,4,0,1,4,71,7
44.33,i,4,0,1,4,71,7
44.5,i,4,0,1,4,71,7
44.58,i,4,0,1,4,69,5
44.83,i,4,0,1,4,69,5
45.0,i,4,0,1,4,69,5
45.17,i,4,0,1,4,67,3
45.33,i,4,0,1,4,67,3
45.5,i,4,0,1,4,67,3
45.58,i,4,0,1,4,69,5
45.83,i,4,0,1,4,67,3
