Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
7.88,I,4,0,1,4,64,0
8.12,I,4,0,1,4,64,0
8.25,I,4,0,1,4,64,0
8.38,I,4,0,1,4,64,0
8.5,I,4,0,1,4,64,0
8.62,I,4,0,1,4,59,7
8.75,I,4,0,1,4,59,7
8.88,I,4,0,1,4,59,7
9.0,I,4,0,1,4,59,7
9.25,I,4,0,1,4,59,7
9.38,I,4,0,1,4,61,9
10.0,IV,9,5,4,4,61,9
10.75,bVII,2,10,7,4,61,9
11.25,IV,9,5,4,4,61,9
11.88,IV,9,5,4,4,54,2
12.0,IV,9,5,4,4,59,7
12.0,I,4,0,1,4,59,7
12.25,I,4,0,1,4,59,7
12.38,I,4,0,1,4,59,7
12.5,I,4,0,1,4,59,7
12.62,I,4,0,1,4,68,4
12.75,I,4,0,1,4,56,4
12.88,I,4,0,1,4,54,2
13.0,I,4,0,1,4,52,0
13.25,I,4,0,1,4,52,0
13.38,I,4,0,1,4,52,0
14.75,IV,9,5,4,4,52,0
15.25,I,4,0,1,4,52,0
15.88,I,4,0,1,4,64,0
16.25,I,4,0,1,4,64,0
16.38,I,4,0,1,4,64,0
16.5,I,4,0,1,4,64,0
16.75,I,4,0,1,4,59,7
17.0,I,4,0,1,4,59,7
17.25,I,4,0,1,4,59,7
17.38,I,4,0,1,4,61,9
17.62,I,4,0,1,4,59,7
17.75,I,4,0,1,4,57,5
18.0,IV,9,5,4,4,57,5
18.75,bVII,2,10,7,4,57,5
19.25,IV,9,5,4,4,57,5
19.88,IV,9,5,4,4,57,5
20.0,IV,9,5,4,4,59,7
20.0,I,4,0,1,4,59,7
20.12,I,4,0,1,4,59,7
20.5,I,4,0,1,4,59,7
20.62,I,4,0,1,4,71,7
20.75,I,4,0,1,4,56,4
20.88,I,4,0,1,4,54,2
21.0,I,4,0,1,4,52,0
21.25,I,4,0,1,4,52,0
21.5,I,4,0,1,4,52,0
21.62,I,4,0,1,4,54,2
21.75,I,4,0,1,4,56,4
22.75,IV,9,5,4,4,56,4
23.25,I,4,0,1,4,56,4
23.62,I,4,0,1,4,57,5
23.75,I,4,0,1,4,59,7
23.88,I,4,0,1,4,57,5
24.0,I,4,0,1,4,59,7
24.25,I,4,0,1,4,59,7
24.38,I,4,0,1,4,59,7
24.62,I,4,0,1,4,68,4
24.75,I,4,0,1,4,56,4
24.88,I,4,0,1,4,54,2
25.0,I,4,0,1,4,52,0
25.25,I,4,0,1,4,52,0
25.5,I,4,0,1,4,52,0
26.75,IV,9,5,4,4,52,0
27.25,I,4,0,1,4,52,0
28.75,IV,9,5,4,4,52,0
29.25,I,4,0,1,4,52,0
30.75,IV,9,5,4,4,52,0
31.25,I,4,0,1,4,52,0
32.75,IV,9,5,4,4,52,0
33.25,I,4,0,1,4,52,0
34.0,I,4,0,1,4,64,0
34.12,I,4,0,1,4,64,0
34.38,I,4,0,1,4,64,0
34.5,I,4,0,1,4,64,0
34.62,I,4,0,1,4,73,9
34.75,I,4,0,1,4,59,7
34.88,I,4,0,1,4,59,7
35.0,I,4,0,1,4,59,7
35.25,I,4,0,1,4,59,7
35.38,I,4,0,1,4,59,7
35.5,I,4,0,1,4,61,9
36.0,IV,9,5,4,4,61,9
36.75,bVII,2,10,7,4,61,9
37.25,IV,9,5,4,4,61,9
37.88,IV,9,5,4,4,57,5
38.0,I,4,0,1,4,57,5
38.0,I,4,0,1,4,59,7
38.12,I,4,0,1,4,57,5
38.25,I,4,0,1,4,59,7
38.38,I,4,0,1,4,59,7
38.5,I,4,0,1,4,59,7
38.62,I,4,0,1,4,68,4
38.75,I,4,0,1,4,56,4
38.88,I,4,0,1,4,54,2
39.0,I,4,0,1,4,52,0
39.12,I,4,0,1,4,52,0
39.25,I,4,0,1,4,52,0
39.38,I,4,0,1,4,52,0
39.62,I,4,0,1,4,47,7
40.75,IV,9,5,4,4,47,7
41.25,I,4,0,1,4,47,7
42.0,I,4,0,1,4,64,0
42.12,I,4,0,1,4,64,0
42.38,I,4,0,1,4,64,0
42.5,I,4,0,1,4,64,0
42.88,I,4,0,1,4,59,7
43.12,I,4,0,1,4,59,7
43.25,I,4,0,1,4,59,7
43.5,I,4,0,1,4,59,7
43.62,I,4,0,1,4,61,9
43.75,I,4,0,1,4,73,9
44.0,IV,9,5,4,4,73,9
44.75,bVII,2,10,7,4,73,9
45.25,IV,9,5,4,4,73,9
45.88,IV,9,5,4,4,54,2
46.0,IV,9,5,4,4,59,7
46.0,I,4,0,1,4,59,7
46.25,I,4,0,1,4,59,7
46.38,I,4,0,1,4,59,7
46.5,I,4,0,1,4,59,7
46.62,I,4,0,1,4,71,7
46.75,I,4,0,1,4,56,4
46.88,I,4,0,1,4,54,2
47.0,I,4,0,1,4,52,0
47.25,I,4,0,1,4,52,0
47.5,I,4,0,1,4,52,0
48.75,IV,9,5,4,4,52,0
49.25,I,4,0,1,4,52,0
49.88,I,4,0,1,4,59,7
50.0,I,4,0,1,4,59,7
50.25,I,4,0,1,4,59,7
50.38,I,4,0,1,4,59,7
50.62,I,4,0,1,4,68,4
50.75,I,4,0,1,4,56,4
50.88,I,4,0,1,4,54,2
51.0,I,4,0,1,4,52,0
51.25,I,4,0,1,4,52,0
51.38,I,4,0,1,4,52,0
52.75,IV,9,5,4,4,52,0
53.25,I,4,0,1,4,52,0
54.75,IV,9,5,4,4,52,0
55.25,I,4,0,1,4,52,0
56.75,IV,9,5,4,4,52,0
57.25,I,4,0,1,4,52,0
58.75,IV,9,5,4,4,52,0
59.25,I,4,0,1,4,52,0
60.0,IV,9,5,4,4,52,0
60.75,bVII,2,10,7,4,52,0
61.25,IV,9,5,4,4,52,0
62.75,bVII,2,10,7,4,52,0
63.25,IV,9,5,4,4,52,0
64.0,I,4,0,1,4,52,0
64.75,IV,9,5,4,4,52,0
65.25,I,4,0,1,4,52,0
66.75,IV,9,5,4,4,52,0
67.25,I,4,0,1,4,52,0
68.0,IV,9,5,4,4,52,0
68.75,bVII,2,10,7,4,52,0
69.25,IV,9,5,4,4,52,0
70.75,bVII,2,10,7,4,52,0
71.25,IV,9,5,4,4,52,0
72.0,I,4,0,1,4,52,0
72.75,IV,9,5,4,4,52,0
73.25,I,4,0,1,4,52,0
74.75,IV,9,5,4,4,52,0
75.25,I,4,0,1,4,52,0
76.75,IV,9,5,4,4,52,0
77.25,I,4,0,1,4,52,0
78.75,IV,9,5,4,4,52,0
79.25,I,4,0,1,4,52,0
80.75,IV,9,5,4,4,52,0
81.25,I,4,0,1,4,52,0
81.88,I,4,0,1,4,64,0
82.12,I,4,0,1,4,64,0
82.25,I,4,0,1,4,64,0
82.38,I,4,0,1,4,64,0
82.5,I,4,0,1,4,64,0
82.62,I,4,0,1,4,59,7
82.75,I,4,0,1,4,59,7
82.88,I,4,0,1,4,59,7
83.0,I,4,0,1,4,59,7
83.25,I,4,0,1,4,59,7
83.38,I,4,0,1,4,59,7
83.5,I,4,0,1,4,61,9
83.62,I,4,0,1,4,59,7
83.75,I,4,0,1,4,57,5
84.0,IV,9,5,4,4,57,5
84.75,bVII,2,10,7,4,57,5
85.25,IV,9,5,4,4,57,5
85.88,IV,9,5,4,4,54,2
86.0,IV,9,5,4,4,59,7
86.0,I,4,0,1,4,59,7
86.25,I,4,0,1,4,59,7
86.38,I,4,0,1,4,59,7
86.5,I,4,0,1,4,59,7
86.62,I,4,0,1,4,68,4
86.75,I,4,0,1,4,56,4
86.88,I,4,0,1,4,54,2
87.0,I,4,0,1,4,52,0
87.25,I,4,0,1,4,52,0
87.38,I,4,0,1,4,52,0
88.75,IV,9,5,4,4,52,0
89.25,I,4,0,1,4,52,0
89.88,I,4,0,1,4,64,0
90.0,I,4,0,1,4,64,0
90.25,I,4,0,1,4,64,0
90.38,I,4,0,1,4,64,0
90.62,I,4,0,1,4,73,9
90.75,I,4,0,1,4,59,7
91.0,I,4,0,1,4,59,7
91.25,I,4,0,1,4,59,7
91.5,I,4,0,1,4,59,7
91.62,I,4,0,1,4,61,9
92.0,IV,9,5,4,4,61,9
92.75,bVII,2,10,7,4,61,9
93.25,IV,9,5,4,4,61,9
93.88,IV,9,5,4,4,54,2
94.0,IV,9,5,4,4,59,7
94.0,I,4,0,1,4,59,7
94.25,I,4,0,1,4,59,7
94.5,I,4,0,1,4,59,7
94.62,I,4,0,1,4,68,4
94.75,I,4,0,1,4,56,4
94.88,I,4,0,1,4,54,2
95.0,I,4,0,1,4,52,0
95.25,I,4,0,1,4,52,0
95.5,I,4,0,1,4,52,0
95.62,I,4,0,1,4,54,2
95.75,I,4,0,1,4,56,4
96.75,IV,9,5,4,4,56,4
97.25,I,4,0,1,4,56,4
97.88,I,4,0,1,4,59,7
98.0,I,4,0,1,4,59,7
98.25,I,4,0,1,4,59,7
98.5,I,4,0,1,4,59,7
98.62,I,4,0,1,4,68,4
98.75,I,4,0,1,4,56,4
98.88,I,4,0,1,4,54,2
99.0,I,4,0,1,4,52,0
99.25,I,4,0,1,4,52,0
99.5,I,4,0,1,4,52,0
100.75,IV,9,5,4,4,52,0
101.25,I,4,0,1,4,52,0
102.75,IV,9,5,4,4,52,0
103.25,I,4,0,1,4,52,0
104.75,IV,9,5,4,4,52,0
105.25,I,4,0,1,4,52,0
106.75,IV,9,5,4,4,52,0
107.25,I,4,0,1,4,52,0
108.75,IV,9,5,4,4,52,0
109.25,I,4,0,1,4,52,0
110.0,End,4,0,1,4,52,0
