Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
2.25,I,5,0,1,5,60,7
2.38,I,5,0,1,5,65,0
2.5,I,5,0,1,5,67,2
2.62,I,5,0,1,5,69,4
2.71,I,5,0,1,5,68,3
2.88,I,5,0,1,5,67,2
3.0,V6,0,7,5,5,67,2
3.0,V6,0,7,5,5,65,0
3.12,V6,0,7,5,5,67,2
3.38,V6,0,7,5,5,60,7
4.0,vi7,2,9,6,5,60,7
4.12,vi7,2,9,6,5,57,4
4.21,vi7,2,9,6,5,60,7
4.25,vi7,2,9,6,5,60,7
4.38,vi7,2,9,6,5,60,7
4.5,vi7,2,9,6,5,60,7
4.62,vi7,2,9,6,5,60,7
4.71,vi7,2,9,6,5,58,5
5.0,I,5,0,1,5,58,5
5.5,V9,0,7,5,5,58,5
6.0,I,5,0,1,5,58,5
6.12,I,5,0,1,5,65,0
6.25,I,5,0,1,5,65,0
6.38,I,5,0,1,5,65,0
6.5,I,5,0,1,5,67,2
6.62,I,5,0,1,5,69,4
6.71,I,5,0,1,5,68,3
6.88,I,5,0,1,5,67,2
7.0,I,5,0,1,5,65,0
7.0,V6,0,7,5,5,65,0
7.12,V6,0,7,5,5,67,2
7.38,V6,0,7,5,5,62,9
7.5,V6,0,7,5,5,60,7
8.0,vi7,2,9,6,5,60,7
8.12,vi7,2,9,6,5,57,4
8.21,vi7,2,9,6,5,60,7
8.25,vi7,2,9,6,5,60,7
8.38,vi7,2,9,6,5,60,7
8.5,vi7,2,9,6,5,60,7
8.62,vi7,2,9,6,5,60,7
8.71,vi7,2,9,6,5,58,5
9.0,I,5,0,1,5,58,5
9.5,V9,0,7,5,5,58,5
10.0,I,5,0,1,5,58,5
10.25,I,5,0,1,5,65,0
10.33,I,5,0,1,5,60,7
10.38,I,5,0,1,5,62,9
10.5,I,5,0,1,5,65,0
10.62,I,5,0,1,5,65,0
10.71,I,5,0,1,5,65,0
10.75,I,5,0,1,5,65,0
10.88,I,5,0,1,5,65,0
10.96,I,5,0,1,5,67,2
11.0,V6,0,7,5,5,67,2
11.08,V6,0,7,5,5,67,2
11.12,V6,0,7,5,5,69,4
11.21,V6,0,7,5,5,69,4
11.33,V6,0,7,5,5,67,2
11.42,V6,0,7,5,5,69,4
11.46,V6,0,7,5,5,67,2
11.5,V6,0,7,5,5,65,0
11.54,V6,0,7,5,5,67,2
12.0,vi7,2,9,6,5,67,2
12.12,vi7,2,9,6,5,57,4
12.21,vi7,2,9,6,5,60,7
12.25,vi7,2,9,6,5,60,7
12.38,vi7,2,9,6,5,60,7
12.5,vi7,2,9,6,5,60,7
12.58,vi7,2,9,6,5,65,0
12.62,vi7,2,9,6,5,65,0
12.71,vi7,2,9,6,5,65,0
13.0,I,5,0,1,5,65,0
13.5,V9,0,7,5,5,65,0
14.0,I,5,0,1,5,65,0
14.12,I,5,0,1,5,65,0
14.21,I,5,0,1,5,60,7
14.25,I,5,0,1,5,65,0
14.38,I,5,0,1,5,65,0
14.5,I,5,0,1,5,65,0
14.58,I,5,0,1,5,60,7
14.62,I,5,0,1,5,62,9
14.71,I,5,0,1,5,60,7
14.75,I,5,0,1,5,65,0
14.88,I,5,0,1,5,65,0
15.0,V6,0,7,5,5,65,0
15.0,V6,0,7,5,5,67,2
15.12,V6,0,7,5,5,69,4
15.21,V6,0,7,5,5,69,4
15.33,V6,0,7,5,5,67,2
15.42,V6,0,7,5,5,69,4
15.46,V6,0,7,5,5,67,2
15.5,V6,0,7,5,5,65,0
15.54,V6,0,7,5,5,67,2
15.88,V6,0,7,5,5,62,9
16.0,vi7,2,9,6,5,62,9
16.0,vi7,2,9,6,5,65,0
16.08,vi7,2,9,6,5,65,0
16.33,vi7,2,9,6,5,60,7
16.38,vi7,2,9,6,5,62,9
16.5,vi7,2,9,6,5,65,0
16.58,vi7,2,9,6,5,65,0
16.62,vi7,2,9,6,5,62,9
16.75,vi7,2,9,6,5,65,0
16.88,vi7,2,9,6,5,65,0
16.96,vi7,2,9,6,5,67,2
17.0,V/vi,9,4,3,5,67,2
17.04,V/vi,9,4,3,5,67,2
17.12,V/vi,9,4,3,5,67,2
17.88,V/vi,9,4,3,5,65,0
18.0,bVII,3,10,7,5,65,0
18.0,bVII,3,10,7,5,70,5
18.25,bVII,3,10,7,5,69,4
18.38,bVII,3,10,7,5,67,2
18.46,bVII,3,10,7,5,65,0
18.5,IV,10,5,4,5,65,0
18.5,IV,10,5,4,5,65,0
19.0,bVII,3,10,7,5,65,0
19.12,bVII,3,10,7,5,70,5
19.25,bVII,3,10,7,5,69,4
19.38,bVII,3,10,7,5,67,2
19.46,bVII,3,10,7,5,65,0
19.5,bVII,3,10,7,5,65,0
19.5,IV,10,5,4,5,65,0
19.75,IV,10,5,4,5,68,3
19.83,IV,10,5,4,5,67,2
20.0,V,0,7,5,5,67,2
22.0,I,5,0,1,5,67,2
22.25,I,5,0,1,5,60,7
22.38,I,5,0,1,5,65,0
22.5,I,5,0,1,5,67,2
22.62,I,5,0,1,5,69,4
22.71,I,5,0,1,5,67,2
22.75,I,5,0,1,5,68,3
22.79,I,5,0,1,5,67,2
22.83,I,5,0,1,5,67,2
22.88,I,5,0,1,5,67,2
22.96,I,5,0,1,5,65,0
23.0,I,5,0,1,5,65,0
23.0,V6,0,7,5,5,65,0
23.12,V6,0,7,5,5,67,2
23.38,V6,0,7,5,5,64,11
23.42,V6,0,7,5,5,62,9
23.46,V6,0,7,5,5,60,7
23.5,V6,0,7,5,5,62,9
24.0,vi7,2,9,6,5,62,9
24.12,vi7,2,9,6,5,57,4
24.21,vi7,2,9,6,5,60,7
24.25,vi7,2,9,6,5,60,7
24.46,vi7,2,9,6,5,60,7
24.5,vi7,2,9,6,5,60,7
24.62,vi7,2,9,6,5,60,7
24.71,vi7,2,9,6,5,58,5
25.0,I,5,0,1,5,58,5
25.12,I,5,0,1,5,57,4
25.25,I,5,0,1,5,58,5
25.38,I,5,0,1,5,60,7
25.5,I,5,0,1,5,55,2
25.5,V9,0,7,5,5,55,2
25.75,V9,0,7,5,5,60,7
26.0,I,5,0,1,5,60,7
26.25,I,5,0,1,5,69,4
26.33,I,5,0,1,5,69,4
26.38,I,5,0,1,5,67,2
26.5,I,5,0,1,5,69,4
26.62,I,5,0,1,5,67,2
26.71,I,5,0,1,5,65,0
26.75,I,5,0,1,5,68,3
26.88,I,5,0,1,5,67,2
26.96,I,5,0,1,5,65,0
27.0,V6,0,7,5,5,65,0
27.0,V6,0,7,5,5,68,3
27.12,V6,0,7,5,5,67,2
27.21,V6,0,7,5,5,67,2
27.33,V6,0,7,5,5,68,3
27.38,V6,0,7,5,5,67,2
27.88,V6,0,7,5,5,68,3
27.96,V6,0,7,5,5,67,2
28.0,vi7,2,9,6,5,67,2
28.0,vi7,2,9,6,5,65,0
28.08,vi7,2,9,6,5,65,0
28.12,vi7,2,9,6,5,67,2
28.21,vi7,2,9,6,5,62,9
28.62,vi7,2,9,6,5,68,3
28.71,vi7,2,9,6,5,67,2
28.75,vi7,2,9,6,5,65,0
28.88,vi7,2,9,6,5,67,2
29.0,IV,10,5,4,5,67,2
