Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.38,vi,9,9,6,0,57,9
4.44,vi,9,9,6,0,60,0
4.62,vi,9,9,6,0,60,0
4.69,vi,9,9,6,0,57,9
4.81,vi,9,9,6,0,62,2
4.94,vi,9,9,6,0,57,9
5.0,II,2,2,2,0,57,9
6.0,IV,5,5,4,0,57,9
6.38,IV,5,5,4,0,45,9
6.5,IV,5,5,4,0,57,9
6.56,IV,5,5,4,0,59,11
6.62,IV,5,5,4,0,60,0
6.75,IV,5,5,4,0,57,9
6.88,IV,5,5,4,0,62,2
7.0,V,7,7,5,0,62,2
8.0,vi,9,9,6,0,62,2
8.38,vi,9,9,6,0,57,9
8.44,vi,9,9,6,0,60,0
8.62,vi,9,9,6,0,60,0
8.69,vi,9,9,6,0,57,9
8.88,vi,9,9,6,0,62,2
9.0,II,2,2,2,0,62,2
9.06,II,2,2,2,0,57,9
9.12,II,2,2,2,0,57,9
9.38,II,2,2,2,0,55,7
9.62,II,2,2,2,0,57,9
10.0,IV,5,5,4,0,57,9
10.38,IV,5,5,4,0,55,7
10.44,IV,5,5,4,0,64,4
10.62,IV,5,5,4,0,62,2
10.75,IV,5,5,4,0,60,0
10.94,IV,5,5,4,0,57,9
11.0,V,7,7,5,0,57,9
11.06,V,7,7,5,0,62,2
11.62,V,7,7,5,0,60,0
11.88,V,7,7,5,0,62,2
12.0,I,0,0,1,0,62,2
12.25,I,0,0,1,0,64,4
12.44,I,0,0,1,0,64,4
13.0,vi,9,9,6,0,64,4
13.25,vi,9,9,6,0,64,4
13.38,vi,9,9,6,0,64,4
14.0,IV,5,5,4,0,64,4
14.12,IV,5,5,4,0,52,4
14.19,IV,5,5,4,0,52,4
14.25,IV,5,5,4,0,64,4
14.44,IV,5,5,4,0,64,4
14.62,IV,5,5,4,0,62,2
15.0,I,0,0,1,0,62,2
15.12,I,0,0,1,0,52,4
15.19,I,0,0,1,0,52,4
15.25,I,0,0,1,0,64,4
16.25,I,0,0,1,0,64,4
16.38,I,0,0,1,0,64,4
17.0,vi,9,9,6,0,64,4
17.12,vi,9,9,6,0,52,4
17.19,vi,9,9,6,0,64,4
17.31,vi,9,9,6,0,64,4
17.5,vi,9,9,6,0,64,4
17.62,vi,9,9,6,0,62,2
17.69,vi,9,9,6,0,57,9
18.0,IV,5,5,4,0,57,9
18.19,IV,5,5,4,0,64,4
18.31,IV,5,5,4,0,64,4
18.5,IV,5,5,4,0,64,4
18.69,IV,5,5,4,0,60,0
18.88,IV,5,5,4,0,55,7
18.94,IV,5,5,4,0,55,7
19.0,I,0,0,1,0,55,7
19.12,I,0,0,1,0,64,4
19.38,I,0,0,1,0,64,4
19.75,I,0,0,1,0,60,0
19.88,I,0,0,1,0,57,9
19.94,I,0,0,1,0,57,9
20.0,vi,9,9,6,0,57,9
