Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.25,i,4,0,1,4,52,0
8.5,i,4,0,1,4,54,2
8.62,i,4,0,1,4,55,3
8.88,i,4,0,1,4,57,5
9.12,i,4,0,1,4,55,3
9.5,i,4,0,1,4,54,2
9.62,i,4,0,1,4,52,0
9.88,i,4,0,1,4,52,0
10.0,V,11,7,5,4,52,0
10.12,V,11,7,5,4,51,11
10.5,V,11,7,5,4,52,0
10.62,V,11,7,5,4,54,2
11.0,V,11,7,5,4,52,0
11.12,V,11,7,5,4,51,11
12.0,i,4,0,1,4,51,11
12.25,i,4,0,1,4,52,0
12.5,i,4,0,1,4,54,2
12.62,i,4,0,1,4,55,3
13.0,i,4,0,1,4,57,5
13.12,i,4,0,1,4,55,3
13.38,i,4,0,1,4,54,2
13.62,i,4,0,1,4,52,0
13.88,i,4,0,1,4,52,0
14.0,V,11,7,5,4,52,0
14.12,V,11,7,5,4,51,11
14.5,V,11,7,5,4,52,0
14.62,V,11,7,5,4,54,2
15.0,V,11,7,5,4,52,0
15.12,V,11,7,5,4,51,11
16.0,i,4,0,1,4,51,11
16.25,i,4,0,1,4,64,0
16.5,i,4,0,1,4,62,10
16.5,bVII,2,10,7,4,62,10
16.75,bVII,2,10,7,4,62,10
17.0,bVII,2,10,7,4,55,3
17.0,bIII,7,3,3,4,55,3
17.25,bIII,7,3,3,4,55,3
17.38,bIII,7,3,3,4,57,5
17.5,bVII,2,10,7,4,57,5
17.62,bVII,2,10,7,4,57,5
17.88,bVII,2,10,7,4,59,7
18.0,i,4,0,1,4,59,7
18.12,i,4,0,1,4,59,7
18.5,i,4,0,1,4,59,7
18.62,i,4,0,1,4,57,5
18.75,i,4,0,1,4,55,3
18.88,i,4,0,1,4,59,7
20.25,i,4,0,1,4,64,0
20.5,i,4,0,1,4,62,10
20.5,bVII,2,10,7,4,62,10
20.75,bVII,2,10,7,4,62,10
21.0,bIII,7,3,3,4,62,10
21.0,bIII,7,3,3,4,55,3
21.25,bIII,7,3,3,4,55,3
21.38,bIII,7,3,3,4,57,5
21.5,bVII,2,10,7,4,57,5
21.62,bVII,2,10,7,4,57,5
21.88,bVII,2,10,7,4,59,7
22.0,IV,9,5,4,4,59,7
22.12,IV,9,5,4,4,59,7
22.5,IV,9,5,4,4,59,7
22.62,IV,9,5,4,4,57,5
22.75,IV,9,5,4,4,55,3
22.88,IV,9,5,4,4,59,7
23.0,V,11,7,5,4,59,7
24.0,i,4,0,1,4,59,7
24.25,i,4,0,1,4,52,0
24.5,i,4,0,1,4,54,2
24.62,i,4,0,1,4,55,3
24.88,i,4,0,1,4,57,5
25.12,i,4,0,1,4,55,3
25.38,i,4,0,1,4,54,2
25.75,i,4,0,1,4,52,0
26.0,i,4,0,1,4,52,0
26.0,V,11,7,5,4,52,0
26.25,V,11,7,5,4,51,11
26.5,V,11,7,5,4,52,0
26.75,V,11,7,5,4,54,2
27.0,V,11,7,5,4,52,0
27.12,V,11,7,5,4,51,11
28.0,i,4,0,1,4,51,11
28.25,i,4,0,1,4,52,0
28.5,i,4,0,1,4,54,2
28.62,i,4,0,1,4,55,3
29.0,i,4,0,1,4,57,5
29.12,i,4,0,1,4,55,3
29.38,i,4,0,1,4,54,2
29.62,i,4,0,1,4,52,0
30.0,V,11,7,5,4,52,0
30.0,V,11,7,5,4,52,0
30.12,V,11,7,5,4,51,11
30.5,V,11,7,5,4,52,0
30.62,V,11,7,5,4,54,2
