Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
59.12,i,10,0,1,10,56,10
59.25,i,10,0,1,10,58,0
59.38,i,10,0,1,10,56,10
59.5,i,10,0,1,10,58,0
59.62,i,10,0,1,10,56,10
59.75,i,10,0,1,10,58,0
59.88,i,10,0,1,10,61,3
60.0,i,10,0,1,10,58,0
61.12,i,10,0,1,10,56,10
61.25,i,10,0,1,10,58,0
61.38,i,10,0,1,10,56,10
61.5,i,10,0,1,10,58,0
61.62,i,10,0,1,10,58,0
61.75,i,10,0,1,10,58,0
61.88,i,10,0,1,10,63,5
62.12,i,10,0,1,10,61,3
62.62,i,10,0,1,10,58,0
62.75,i,10,0,1,10,58,0
63.0,i,10,0,1,10,58,0
63.62,i,10,0,1,10,58,0
64.0,i,10,0,1,10,61,3
64.12,i,10,0,1,10,63,5
64.25,i,10,0,1,10,65,7
64.38,i,10,0,1,10,61,3
65.12,i,10,0,1,10,56,10
65.25,i,10,0,1,10,58,0
65.5,i,10,0,1,10,61,3
65.62,i,10,0,1,10,56,10
65.75,i,10,0,1,10,56,10
65.88,i,10,0,1,10,56,10
66.0,i,10,0,1,10,58,0
67.88,i,10,0,1,10,61,3
68.0,i,10,0,1,10,65,7
68.12,i,10,0,1,10,61,3
68.25,i,10,0,1,10,63,5
68.38,i,10,0,1,10,61,3
68.5,i,10,0,1,10,63,5
68.62,i,10,0,1,10,61,3
68.75,i,10,0,1,10,58,0
68.88,i,10,0,1,10,61,3
69.0,i,10,0,1,10,58,0
69.12,i,10,0,1,10,58,0
69.88,i,10,0,1,10,58,0
70.0,i,10,0,1,10,53,7
70.12,i,10,0,1,10,55,9
70.25,i,10,0,1,10,53,7
70.38,i,10,0,1,10,58,0
70.5,i,10,0,1,10,56,10
70.75,i,10,0,1,10,56,10
70.88,i,10,0,1,10,58,0
71.12,i,10,0,1,10,58,0
71.25,i,10,0,1,10,58,0
71.38,i,10,0,1,10,61,3
71.5,i,10,0,1,10,58,0
72.0,i,10,0,1,10,61,3
72.12,i,10,0,1,10,61,3
72.25,i,10,0,1,10,63,5
72.38,i,10,0,1,10,61,3
72.5,i,10,0,1,10,63,5
72.62,i,10,0,1,10,61,3
72.75,i,10,0,1,10,63,5
72.81,i,10,0,1,10,65,7
72.88,i,10,0,1,10,61,3
73.38,i,10,0,1,10,53,7
73.5,i,10,0,1,10,56,10
