Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.5,V7,11,7,5,4,69,5
0.62,V7,11,7,5,4,69,5
0.88,V7,11,7,5,4,67,3
1.0,V7,11,7,5,4,66,2
1.0,i,4,0,1,4,66,2
1.06,i,4,0,1,4,64,0
2.25,i,4,0,1,4,64,0
2.38,i,4,0,1,4,62,10
2.5,i,4,0,1,4,64,0
2.62,i,4,0,1,4,64,0
3.0,i,4,0,1,4,62,10
3.06,i,4,0,1,4,61,9
3.12,i,4,0,1,4,59,7
4.5,i,4,0,1,4,69,5
4.62,i,4,0,1,4,69,5
5.0,IV,9,5,4,4,69,5
5.0,IV,9,5,4,4,67,3
6.25,IV,9,5,4,4,64,0
6.38,IV,9,5,4,4,61,9
6.5,IV,9,5,4,4,64,0
6.62,IV,9,5,4,4,64,0
7.0,IV,9,5,4,4,62,10
7.0,i,4,0,1,4,62,10
7.06,i,4,0,1,4,61,9
7.12,i,4,0,1,4,59,7
8.5,i,4,0,1,4,69,5
8.62,i,4,0,1,4,69,5
8.88,i,4,0,1,4,67,3
8.94,i,4,0,1,4,66,2
9.0,i,4,0,1,4,64,0
9.0,V7,11,7,5,4,64,0
9.06,V7,11,7,5,4,62,10
9.12,V7,11,7,5,4,59,7
9.19,V7,11,7,5,4,57,5
9.25,V7,11,7,5,4,55,3
10.0,IVd7,9,5,4,4,55,3
10.25,IVd7,9,5,4,4,64,0
10.38,IVd7,9,5,4,4,62,10
10.5,IVd7,9,5,4,4,64,0
10.56,IVd7,9,5,4,4,62,10
10.62,IVd7,9,5,4,4,64,0
10.75,IVd7,9,5,4,4,64,0
11.0,IVd7,9,5,4,4,62,10
11.0,I,4,0,1,4,62,10
12.25,V7,11,7,5,4,62,10
12.62,V7,11,7,5,4,69,5
12.75,V7,11,7,5,4,69,5
12.88,V7,11,7,5,4,67,3
13.0,V7,11,7,5,4,66,2
13.0,i,4,0,1,4,66,2
13.06,i,4,0,1,4,64,0
14.12,i,4,0,1,4,62,10
14.25,i,4,0,1,4,64,0
14.38,i,4,0,1,4,62,10
14.5,i,4,0,1,4,64,0
