Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
6.25,iv,0,5,4,7,60,5
6.38,iv,0,5,4,7,60,5
6.62,iv,0,5,4,7,62,7
6.88,iv,0,5,4,7,63,8
7.0,bVII,5,10,7,7,63,8
7.12,bVII,5,10,7,7,67,0
7.38,bVII,5,10,7,7,69,2
7.62,bVII,5,10,7,7,70,3
7.88,bVII,5,10,7,7,70,3
8.0,i,7,0,1,7,70,3
8.12,i,7,0,1,7,69,2
8.38,i,7,0,1,7,67,0
8.62,i,7,0,1,7,65,10
8.88,i,7,0,1,7,64,9
9.0,vih7,4,9,6,7,64,9
10.0,i,7,0,1,7,64,9
11.0,vih7,4,9,6,7,64,9
12.0,iv,0,5,4,7,64,9
12.25,iv,0,5,4,7,60,5
12.38,iv,0,5,4,7,60,5
12.62,iv,0,5,4,7,62,7
12.88,iv,0,5,4,7,63,8
13.0,bVII,5,10,7,7,63,8
13.12,bVII,5,10,7,7,67,0
13.38,bVII,5,10,7,7,69,2
13.62,bVII,5,10,7,7,70,3
13.88,bVII,5,10,7,7,70,3
14.0,i,7,0,1,7,70,3
14.12,i,7,0,1,7,69,2
14.38,i,7,0,1,7,67,0
14.62,i,7,0,1,7,65,10
14.88,i,7,0,1,7,64,9
15.0,vih7,4,9,6,7,64,9
15.62,vih7,4,9,6,7,62,7
16.0,i,7,0,1,7,62,7
16.75,i,7,0,1,7,62,7
17.0,i,7,0,1,7,64,9
17.0,v6,2,7,5,7,64,9
18.0,V7/ii,4,9,6,7,64,9
18.88,V7/ii,4,9,6,7,65,10
18.94,V7/ii,4,9,6,7,64,9
19.0,V7/ii,4,9,6,7,62,7
19.0,i,7,0,1,7,62,7
19.75,i,7,0,1,7,62,7
20.0,i,7,0,1,7,64,9
20.0,v6,2,7,5,7,64,9
21.0,V7/ii,4,9,6,7,64,9
23.0,iv,0,5,4,7,64,9
23.25,iv,0,5,4,7,60,5
23.38,iv,0,5,4,7,60,5
23.62,iv,0,5,4,7,58,3
23.88,iv,0,5,4,7,57,2
24.0,bVII,5,10,7,7,57,2
24.25,bVII,5,10,7,7,57,2
24.38,bVII,5,10,7,7,60,5
24.62,bVII,5,10,7,7,62,7
24.88,bVII,5,10,7,7,62,7
25.0,i,7,0,1,7,62,7
25.12,i,7,0,1,7,60,5
25.38,i,7,0,1,7,58,3
25.62,i,7,0,1,7,57,2
25.88,i,7,0,1,7,58,3
25.94,i,7,0,1,7,57,2
26.0,i,7,0,1,7,55,0
26.0,vih7,4,9,6,7,55,0
27.0,i,7,0,1,7,55,0
28.0,vih7,4,9,6,7,55,0
29.0,iv,0,5,4,7,55,0
29.25,iv,0,5,4,7,60,5
29.38,iv,0,5,4,7,60,5
29.62,iv,0,5,4,7,62,7
29.88,iv,0,5,4,7,63,8
30.0,bVII,5,10,7,7,63,8
30.12,bVII,5,10,7,7,62,7
30.38,bVII,5,10,7,7,60,5
30.62,bVII,5,10,7,7,63,8
30.88,bVII,5,10,7,7,62,7
31.0,i,7,0,1,7,62,7
31.12,i,7,0,1,7,60,5
31.38,i,7,0,1,7,58,3
31.62,i,7,0,1,7,57,2
31.88,i,7,0,1,7,58,3
32.0,vih7,4,9,6,7,58,3
32.5,vih7,4,9,6,7,57,2
33.0,i,7,0,1,7,57,2
33.0,i,7,0,1,7,55,0
33.75,i,7,0,1,7,62,7
34.0,i,7,0,1,7,64,9
34.0,v6,2,7,5,7,64,9
35.0,V7/ii,4,9,6,7,64,9
35.88,V7/ii,4,9,6,7,65,10
35.94,V7/ii,4,9,6,7,64,9
36.0,i,7,0,1,7,64,9
36.0,i,7,0,1,7,62,7
36.75,i,7,0,1,7,62,7
37.0,v6,2,7,5,7,62,7
37.0,v6,2,7,5,7,64,9
38.0,V7/ii,4,9,6,7,64,9
40.0,vi,9,9,6,0,64,9
40.5,bVI,8,8,6,0,64,9
41.0,vi,9,9,6,0,64,9
41.5,bVI,8,8,6,0,64,9
42.0,vi,9,9,6,0,64,9
42.5,bVI,8,8,6,0,64,9
43.0,vi,9,9,6,0,64,9
43.5,bVI,8,8,6,0,64,9
44.0,I,0,0,1,0,64,9
44.57,bVI,8,8,6,0,64,9
45.0,I,0,0,1,0,64,9
45.57,bVI,8,8,6,0,64,9
46.0,I,0,0,1,0,64,9
46.57,bVI,8,8,6,0,64,9
47.0,I,0,0,1,0,64,9
47.75,I,0,0,1,0,53,5
48.0,vi,9,9,6,0,53,5
48.0,vi,9,9,6,0,55,7
48.12,vi,9,9,6,0,57,9
48.25,vi,9,9,6,0,60,0
48.31,vi,9,9,6,0,57,9
48.44,vi,9,9,6,0,56,8
48.5,bVI,8,8,6,0,56,8
48.56,bVI,8,8,6,0,56,8
48.69,bVI,8,8,6,0,56,8
48.75,bVI,8,8,6,0,60,0
48.88,bVI,8,8,6,0,62,2
49.0,vi,9,9,6,0,62,2
49.5,bVI,8,8,6,0,62,2
50.0,vi,9,9,6,0,62,2
50.0,vi,9,9,6,0,57,9
50.12,vi,9,9,6,0,57,9
50.25,vi,9,9,6,0,60,0
50.31,vi,9,9,6,0,57,9
50.44,vi,9,9,6,0,56,8
50.5,bVI,8,8,6,0,56,8
50.56,bVI,8,8,6,0,56,8
50.62,bVI,8,8,6,0,56,8
50.69,bVI,8,8,6,0,56,8
50.75,bVI,8,8,6,0,60,0
50.88,bVI,8,8,6,0,62,2
51.0,vi,9,9,6,0,62,2
51.5,bVI,8,8,6,0,62,2
52.0,I,0,0,1,0,62,2
52.57,bVI,8,8,6,0,62,2
53.0,I,0,0,1,0,62,2
53.57,bVI,8,8,6,0,62,2
54.0,I,0,0,1,0,62,2
54.57,bVI,8,8,6,0,62,2
55.0,I,0,0,1,0,62,2
56.0,vi,9,9,6,0,62,2
56.0,vi,9,9,6,0,65,5
56.06,vi,9,9,6,0,64,4
56.12,vi,9,9,6,0,62,2
56.19,vi,9,9,6,0,64,4
56.31,vi,9,9,6,0,62,2
56.5,bVI,8,8,6,0,62,2
56.5,bVI,8,8,6,0,64,4
