Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.38,I,1,0,1,1,65,4
4.44,I,1,0,1,1,66,5
4.5,vi7,10,9,6,1,66,5
4.56,vi7,10,9,6,1,65,4
4.62,vi7,10,9,6,1,61,0
4.75,vi7,10,9,6,1,58,9
4.88,vi7,10,9,6,1,56,7
4.94,vi7,10,9,6,1,58,9
5.0,vi7,10,9,6,1,61,0
5.0,V11,8,7,5,1,61,0
5.25,V11,8,7,5,1,58,9
5.38,V11,8,7,5,1,63,2
5.5,I,1,0,1,1,63,2
5.62,I,1,0,1,1,65,4
6.12,I,1,0,1,1,56,7
6.19,I,1,0,1,1,65,4
6.31,I,1,0,1,1,66,5
6.44,I,1,0,1,1,65,4
6.5,vi7,10,9,6,1,65,4
6.5,vi7,10,9,6,1,63,2
6.62,vi7,10,9,6,1,61,0
6.75,vi7,10,9,6,1,58,9
6.88,vi7,10,9,6,1,56,7
6.94,vi7,10,9,6,1,58,9
7.0,V11,8,7,5,1,58,9
7.0,V11,8,7,5,1,61,0
7.12,V11,8,7,5,1,61,0
7.38,V11,8,7,5,1,58,9
7.5,I,1,0,1,1,58,9
8.25,I,1,0,1,1,61,0
8.31,I,1,0,1,1,63,2
8.38,I,1,0,1,1,65,4
8.44,I,1,0,1,1,68,7
8.5,vi7,10,9,6,1,68,7
8.56,vi7,10,9,6,1,65,4
8.81,vi7,10,9,6,1,56,7
8.88,vi7,10,9,6,1,56,7
8.94,vi7,10,9,6,1,58,9
9.0,vi7,10,9,6,1,61,0
9.0,V11,8,7,5,1,61,0
9.25,V11,8,7,5,1,58,9
9.38,V11,8,7,5,1,63,2
9.5,I,1,0,1,1,63,2
9.62,I,1,0,1,1,65,4
10.0,iii7,5,4,3,1,65,4
10.0,iii7,5,4,3,1,70,9
10.12,iii7,5,4,3,1,68,7
10.25,iii7,5,4,3,1,65,4
10.38,iii7,5,4,3,1,63,2
10.5,ii7,3,2,2,1,63,2
10.5,ii7,3,2,2,1,61,0
10.56,ii7,3,2,2,1,56,7
10.62,ii7,3,2,2,1,58,9
10.81,ii7,3,2,2,1,56,7
10.88,ii7,3,2,2,1,58,9
11.0,ii7,3,2,2,1,61,0
11.0,V11,8,7,5,1,61,0
11.25,V11,8,7,5,1,58,9
11.38,V11,8,7,5,1,58,9
11.5,I,1,0,1,1,58,9
12.5,vi7,10,9,6,1,58,9
13.0,V11,8,7,5,1,58,9
13.5,I,1,0,1,1,58,9
14.31,I,1,0,1,1,56,7
14.38,I,1,0,1,1,65,4
14.44,I,1,0,1,1,66,5
14.5,vi7,10,9,6,1,66,5
14.56,vi7,10,9,6,1,65,4
14.62,vi7,10,9,6,1,61,0
14.75,vi7,10,9,6,1,58,9
14.88,vi7,10,9,6,1,56,7
14.94,vi7,10,9,6,1,58,9
15.0,V11,8,7,5,1,58,9
15.0,V11,8,7,5,1,61,0
15.25,V11,8,7,5,1,58,9
15.38,V11,8,7,5,1,63,2
15.5,I,1,0,1,1,63,2
15.62,I,1,0,1,1,65,4
16.31,I,1,0,1,1,65,4
16.38,I,1,0,1,1,66,5
16.44,I,1,0,1,1,65,4
16.5,vi7,10,9,6,1,65,4
16.56,vi7,10,9,6,1,63,2
16.69,vi7,10,9,6,1,61,0
16.75,vi7,10,9,6,1,58,9
16.81,vi7,10,9,6,1,56,7
17.0,vi7,10,9,6,1,61,0
17.0,V11,8,7,5,1,61,0
17.25,V11,8,7,5,1,58,9
17.38,V11,8,7,5,1,58,9
17.5,I,1,0,1,1,58,9
18.31,I,1,0,1,1,65,4
18.44,I,1,0,1,1,66,5
18.5,vi7,10,9,6,1,66,5
18.56,vi7,10,9,6,1,65,4
18.62,vi7,10,9,6,1,61,0
18.81,vi7,10,9,6,1,56,7
18.88,vi7,10,9,6,1,56,7
18.94,vi7,10,9,6,1,58,9
19.0,V11,8,7,5,1,58,9
19.0,V11,8,7,5,1,61,0
19.25,V11,8,7,5,1,58,9
19.38,V11,8,7,5,1,63,2
19.5,I,1,0,1,1,63,2
19.56,I,1,0,1,1,65,4
20.0,I,1,0,1,1,70,9
20.0,iii7,5,4,3,1,70,9
20.06,iii7,5,4,3,1,65,4
20.19,iii7,5,4,3,1,68,7
20.31,iii7,5,4,3,1,65,4
20.38,iii7,5,4,3,1,63,2
20.5,ii7,3,2,2,1,63,2
20.5,ii7,3,2,2,1,61,0
20.62,ii7,3,2,2,1,58,9
20.94,ii7,3,2,2,1,56,7
21.0,V11,8,7,5,1,56,7
21.0,V11,8,7,5,1,58,9
21.06,V11,8,7,5,1,61,0
21.25,V11,8,7,5,1,58,9
21.38,V11,8,7,5,1,58,9
21.5,I,1,0,1,1,58,9
22.5,vi7,10,9,6,1,58,9
23.0,V11,8,7,5,1,58,9
23.5,I,1,0,1,1,58,9
24.0,I,2,0,1,2,58,9
24.5,vi7,11,9,6,2,58,9
25.0,V11,9,7,5,2,58,9
25.5,I,2,0,1,2,58,9
26.31,I,2,0,1,2,66,4
26.44,I,2,0,1,2,67,5
26.5,vi7,11,9,6,2,67,5
26.5,vi7,11,9,6,2,66,4
26.62,vi7,11,9,6,2,64,2
26.75,vi7,11,9,6,2,62,0
26.88,vi7,11,9,6,2,59,9
27.0,V11,9,7,5,2,59,9
27.25,V11,9,7,5,2,57,7
27.31,V11,9,7,5,2,59,9
27.38,V11,9,7,5,2,64,2
27.5,I,2,0,1,2,64,2
27.5,I,2,0,1,2,59,9
27.62,I,2,0,1,2,64,2
27.75,I,2,0,1,2,66,4
28.25,I,2,0,1,2,62,0
28.31,I,2,0,1,2,64,2
