Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,I,5,0,1,5,60,7
1.0,I,5,0,1,5,65,0
1.12,I,5,0,1,5,62,9
1.17,I,5,0,1,5,60,7
1.5,IV,10,5,4,5,60,7
1.75,V,0,7,5,5,60,7
1.92,V,0,7,5,5,70,5
2.0,I,5,0,1,5,70,5
2.42,I,5,0,1,5,70,5
2.5,V7,0,7,5,5,70,5
2.5,V7,0,7,5,5,68,3
2.54,V7,0,7,5,5,67,2
2.58,V7,0,7,5,5,65,0
2.62,V7,0,7,5,5,63,10
2.67,V7,0,7,5,5,60,7
2.92,V7,0,7,5,5,65,0
3.0,I,5,0,1,5,65,0
3.12,I,5,0,1,5,63,10
3.17,I,5,0,1,5,60,7
3.5,IV,10,5,4,5,60,7
3.75,V,0,7,5,5,60,7
4.0,I,5,0,1,5,60,7
4.25,I,5,0,1,5,63,10
4.33,I,5,0,1,5,65,0
4.42,I,5,0,1,5,67,2
4.5,I,5,0,1,5,65,0
4.5,V7,0,7,5,5,65,0
4.54,V7,0,7,5,5,63,10
4.58,V7,0,7,5,5,60,7
4.83,V7,0,7,5,5,67,2
5.0,I,5,0,1,5,67,2
5.33,I,5,0,1,5,68,3
5.5,vi,2,9,6,5,68,3
5.83,vi,2,9,6,5,70,5
6.0,vi,2,9,6,5,65,0
6.0,V/V,7,2,2,5,65,0
6.33,V/V,7,2,2,5,68,3
6.42,V/V,7,2,2,5,65,0
6.46,V/V,7,2,2,5,62,9
6.5,V,0,7,5,5,62,9
6.5,V,0,7,5,5,60,7
6.67,V,0,7,5,5,60,7
6.75,V,0,7,5,5,65,0
6.83,V,0,7,5,5,62,9
6.92,V,0,7,5,5,65,0
7.0,I,5,0,1,5,65,0
7.08,I,5,0,1,5,68,3
7.5,IV,10,5,4,5,68,3
7.75,V,0,7,5,5,68,3
8.0,I,5,0,1,5,68,3
8.25,I,5,0,1,5,70,5
8.42,I,5,0,1,5,70,5
8.67,I,5,0,1,5,60,7
8.75,I,5,0,1,5,65,0
8.83,I,5,0,1,5,62,9
8.92,I,5,0,1,5,65,0
9.0,I,5,0,1,5,65,0
9.08,I,5,0,1,5,63,10
9.12,I,5,0,1,5,60,7
9.5,IV,10,5,4,5,60,7
9.75,V,0,7,5,5,60,7
10.0,I,5,0,1,5,60,7
10.0,I,5,0,1,5,68,3
10.38,I,5,0,1,5,68,3
10.42,I,5,0,1,5,67,2
10.44,I,5,0,1,5,65,0
10.47,I,5,0,1,5,62,9
10.5,I,5,0,1,5,60,7
10.5,V7,0,7,5,5,60,7
10.67,V7,0,7,5,5,60,7
10.75,V7,0,7,5,5,65,0
10.88,V7,0,7,5,5,62,9
10.92,V7,0,7,5,5,65,0
11.0,I,5,0,1,5,65,0
11.0,I,5,0,1,5,65,0
11.08,I,5,0,1,5,63,10
11.12,I,5,0,1,5,60,7
11.5,IV,10,5,4,5,60,7
11.75,V,0,7,5,5,60,7
12.0,I,5,0,1,5,60,7
12.25,I,5,0,1,5,63,10
12.33,I,5,0,1,5,65,0
12.38,I,5,0,1,5,68,3
12.5,V7,0,7,5,5,68,3
12.75,V7,0,7,5,5,68,3
12.79,V7,0,7,5,5,67,2
12.88,V7,0,7,5,5,67,2
12.92,V7,0,7,5,5,65,0
13.0,I,5,0,1,5,65,0
13.0,I,5,0,1,5,65,0
13.12,I,5,0,1,5,62,9
13.17,I,5,0,1,5,60,7
13.38,I,5,0,1,5,68,3
13.5,vi,2,9,6,5,68,3
13.83,vi,2,9,6,5,69,4
13.92,vi,2,9,6,5,72,7
14.0,V/V,7,2,2,5,72,7
14.0,V/V,7,2,2,5,65,0
14.25,V/V,7,2,2,5,68,3
14.33,V/V,7,2,2,5,68,3
14.42,V/V,7,2,2,5,67,2
14.5,V,0,7,5,5,67,2
14.5,V,0,7,5,5,65,0
14.54,V,0,7,5,5,60,7
14.67,V,0,7,5,5,60,7
14.75,V,0,7,5,5,65,0
14.83,V,0,7,5,5,62,9
14.92,V,0,7,5,5,65,0
15.0,I,5,0,1,5,65,0
15.0,I,5,0,1,5,65,0
15.08,I,5,0,1,5,62,9
15.12,I,5,0,1,5,60,7
15.5,IV,10,5,4,5,60,7
15.75,V,0,7,5,5,60,7
15.92,V,0,7,5,5,70,5
16.0,V,0,7,5,5,72,7
16.0,I,5,0,1,5,72,7
16.42,I,5,0,1,5,67,2
16.5,I,5,0,1,5,65,0
16.54,I,5,0,1,5,62,9
16.58,I,5,0,1,5,60,7
16.75,I,5,0,1,5,65,0
16.83,I,5,0,1,5,62,9
16.88,I,5,0,1,5,60,7
17.0,I,5,0,1,5,65,0
17.12,I,5,0,1,5,62,9
17.17,I,5,0,1,5,60,7
17.33,I,5,0,1,5,65,0
17.42,I,5,0,1,5,62,9
17.46,I,5,0,1,5,60,7
17.5,IV,10,5,4,5,60,7
17.75,V,0,7,5,5,60,7
17.75,V,0,7,5,5,65,0
17.83,V,0,7,5,5,62,9
17.88,V,0,7,5,5,60,7
18.0,I,5,0,1,5,60,7
18.25,I,5,0,1,5,65,0
18.33,I,5,0,1,5,62,9
18.38,I,5,0,1,5,60,7
18.5,V7,0,7,5,5,60,7
18.75,V7,0,7,5,5,65,0
18.83,V7,0,7,5,5,62,9
18.88,V7,0,7,5,5,60,7
19.0,I,5,0,1,5,60,7
19.25,I,5,0,1,5,65,0
19.33,I,5,0,1,5,62,9
19.38,I,5,0,1,5,60,7
19.5,IV,10,5,4,5,60,7
19.75,IV,10,5,4,5,65,0
19.75,V,0,7,5,5,65,0
19.83,V,0,7,5,5,62,9
19.88,V,0,7,5,5,60,7
20.0,I,5,0,1,5,60,7
20.25,I,5,0,1,5,63,10
20.33,I,5,0,1,5,65,0
20.42,I,5,0,1,5,67,2
20.5,V7,0,7,5,5,67,2
20.5,V7,0,7,5,5,65,0
20.54,V7,0,7,5,5,62,9
20.58,V7,0,7,5,5,60,7
20.83,V7,0,7,5,5,67,2
21.0,I,5,0,1,5,67,2
21.33,I,5,0,1,5,68,3
21.5,vi,2,9,6,5,68,3
21.83,vi,2,9,6,5,69,4
21.92,vi,2,9,6,5,72,7
22.0,vi,2,9,6,5,65,0
22.0,V/V,7,2,2,5,65,0
22.33,V/V,7,2,2,5,67,2
22.42,V/V,7,2,2,5,65,0
22.46,V/V,7,2,2,5,62,9
22.5,V/V,7,2,2,5,60,7
22.5,V,0,7,5,5,60,7
22.67,V,0,7,5,5,60,7
22.75,V,0,7,5,5,65,0
22.83,V,0,7,5,5,62,9
22.92,V,0,7,5,5,65,0
23.0,I,5,0,1,5,65,0
23.0,I,5,0,1,5,65,0
23.04,I,5,0,1,5,68,3
