Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
6.0,I,2,0,1,2,59,9
6.12,I,2,0,1,2,62,0
6.25,I,2,0,1,2,62,0
6.38,I,2,0,1,2,62,0
6.62,I,2,0,1,2,64,2
6.75,I,2,0,1,2,62,0
6.88,I,2,0,1,2,66,4
7.0,I,2,0,1,2,66,4
8.0,I,2,0,1,2,64,2
8.12,I,2,0,1,2,66,4
8.25,I,2,0,1,2,65,3
8.38,I,2,0,1,2,66,4
8.5,I,2,0,1,2,64,2
8.62,I,2,0,1,2,62,0
8.75,I,2,0,1,2,62,0
8.88,I,2,0,1,2,62,0
9.0,I,2,0,1,2,64,2
9.12,I,2,0,1,2,66,4
9.38,I,2,0,1,2,66,4
10.0,I,2,0,1,2,65,3
10.12,I,2,0,1,2,66,4
10.25,I,2,0,1,2,65,3
10.38,I,2,0,1,2,66,4
10.5,I,2,0,1,2,64,2
10.62,I,2,0,1,2,62,0
10.75,I,2,0,1,2,62,0
10.88,I,2,0,1,2,66,4
11.12,I,2,0,1,2,66,4
11.25,I,2,0,1,2,66,4
11.38,I,2,0,1,2,64,2
11.62,I,2,0,1,2,62,0
12.0,I,2,0,1,2,64,2
12.12,I,2,0,1,2,66,4
12.25,I,2,0,1,2,64,2
12.38,I,2,0,1,2,66,4
12.5,I,2,0,1,2,64,2
12.62,I,2,0,1,2,62,0
12.75,I,2,0,1,2,62,0
13.0,I,2,0,1,2,64,2
13.12,I,2,0,1,2,66,4
13.38,I,2,0,1,2,66,4
14.0,V,9,7,5,2,66,4
14.0,V,9,7,5,2,64,2
14.12,V,9,7,5,2,64,2
14.38,V,9,7,5,2,62,0
14.5,V,9,7,5,2,64,2
14.62,V,9,7,5,2,64,2
14.88,V,9,7,5,2,64,2
15.12,V,9,7,5,2,66,4
15.88,V,9,7,5,2,65,3
16.0,vi,11,9,6,2,65,3
16.25,vi,11,9,6,2,64,2
16.38,vi,11,9,6,2,62,0
