Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
14.25,i,4,0,1,4,67,3
14.31,i,4,0,1,4,67,3
14.38,i,4,0,1,4,67,3
14.88,i,4,0,1,4,61,9
15.0,i,4,0,1,4,64,0
15.0,bIII,7,3,3,4,64,0
15.12,bIII,7,3,3,4,64,0
15.25,bIII,7,3,3,4,66,2
15.5,IV,9,5,4,4,66,2
16.0,i,4,0,1,4,66,2
16.25,i,4,0,1,4,67,3
16.38,i,4,0,1,4,67,3
16.5,i,4,0,1,4,67,3
16.75,i,4,0,1,4,62,10
16.81,i,4,0,1,4,64,0
17.0,bIII,7,3,3,4,64,0
17.0,bIII,7,3,3,4,67,3
17.12,bIII,7,3,3,4,64,0
17.25,bIII,7,3,3,4,64,0
17.5,IV,9,5,4,4,64,0
18.0,i,4,0,1,4,64,0
18.25,i,4,0,1,4,67,3
18.38,i,4,0,1,4,67,3
18.5,i,4,0,1,4,67,3
18.56,i,4,0,1,4,62,10
18.88,i,4,0,1,4,62,10
18.94,i,4,0,1,4,62,10
19.0,i,4,0,1,4,64,0
19.0,bIII,7,3,3,4,64,0
19.12,bIII,7,3,3,4,64,0
19.25,bIII,7,3,3,4,66,2
19.5,IV,9,5,4,4,66,2
20.0,i,4,0,1,4,66,2
20.25,i,4,0,1,4,67,3
20.38,i,4,0,1,4,67,3
20.75,i,4,0,1,4,64,0
20.88,i,4,0,1,4,64,0
21.0,i,4,0,1,4,67,3
21.12,i,4,0,1,4,64,0
21.25,i,4,0,1,4,64,0
23.25,i,4,0,1,4,67,3
23.31,i,4,0,1,4,67,3
23.38,i,4,0,1,4,67,3
24.0,i,4,0,1,4,64,0
24.0,bIII,7,3,3,4,64,0
24.12,bIII,7,3,3,4,64,0
24.25,bIII,7,3,3,4,66,2
24.5,IV,9,5,4,4,66,2
25.0,IV,9,5,4,4,67,3
25.0,i,4,0,1,4,67,3
25.12,i,4,0,1,4,67,3
25.5,i,4,0,1,4,62,10
25.62,i,4,0,1,4,64,0
25.75,i,4,0,1,4,64,0
25.88,i,4,0,1,4,61,9
26.0,bIII,7,3,3,4,61,9
26.0,bIII,7,3,3,4,67,3
26.12,bIII,7,3,3,4,64,0
26.25,bIII,7,3,3,4,64,0
26.5,IV,9,5,4,4,64,0
27.0,i,4,0,1,4,64,0
27.25,i,4,0,1,4,67,3
27.31,i,4,0,1,4,67,3
27.44,i,4,0,1,4,67,3
27.5,i,4,0,1,4,61,9
27.88,i,4,0,1,4,61,9
28.0,bIII,7,3,3,4,61,9
28.0,bIII,7,3,3,4,64,0
28.12,bIII,7,3,3,4,64,0
28.19,bIII,7,3,3,4,64,0
28.25,bIII,7,3,3,4,66,2
28.5,IV,9,5,4,4,66,2
28.88,IV,9,5,4,4,64,0
29.0,IV,9,5,4,4,67,3
29.0,i,4,0,1,4,67,3
29.06,i,4,0,1,4,67,3
29.12,i,4,0,1,4,67,3
29.19,i,4,0,1,4,67,3
29.38,i,4,0,1,4,61,9
29.5,i,4,0,1,4,64,0
29.88,i,4,0,1,4,64,0
29.94,i,4,0,1,4,64,0
30.0,i,4,0,1,4,66,2
30.12,i,4,0,1,4,64,0
30.25,i,4,0,1,4,64,0
32.0,IV,9,5,4,4,64,0
33.0,V,11,7,5,4,64,0
34.0,bVII,2,10,7,4,64,0
35.0,i,4,0,1,4,64,0
36.0,ii,6,2,2,4,64,0
36.5,bVII,2,10,7,4,64,0
37.0,i,4,0,1,4,64,0
38.0,ii,6,2,2,4,64,0
38.5,bVII,2,10,7,4,64,0
39.0,i,4,0,1,4,64,0
40.0,ii,6,2,2,4,64,0
40.5,bVII,2,10,7,4,64,0
41.0,i,4,0,1,4,64,0
42.0,ii,6,2,2,4,64,0
42.5,bVII,2,10,7,4,64,0
43.0,i,4,0,1,4,64,0
50.75,i,4,0,1,4,67,3
51.25,i,4,0,1,4,67,3
51.31,i,4,0,1,4,67,3
51.38,i,4,0,1,4,67,3
51.88,i,4,0,1,4,61,9
52.0,i,4,0,1,4,64,0
52.0,bIII,7,3,3,4,64,0
52.12,bIII,7,3,3,4,64,0
52.25,bIII,7,3,3,4,67,3
52.5,IV,9,5,4,4,67,3
53.0,i,4,0,1,4,67,3
53.12,i,4,0,1,4,67,3
53.25,i,4,0,1,4,67,3
53.62,i,4,0,1,4,62,10
53.69,i,4,0,1,4,64,0
54.0,bIII,7,3,3,4,64,0
54.0,bIII,7,3,3,4,66,2
54.12,bIII,7,3,3,4,64,0
54.25,bIII,7,3,3,4,64,0
54.5,IV,9,5,4,4,64,0
55.0,i,4,0,1,4,64,0
55.12,i,4,0,1,4,67,3
55.25,i,4,0,1,4,67,3
55.38,i,4,0,1,4,67,3
55.5,i,4,0,1,4,67,3
56.0,i,4,0,1,4,64,0
56.0,bIII,7,3,3,4,64,0
56.06,bIII,7,3,3,4,64,0
56.12,bIII,7,3,3,4,64,0
56.25,bIII,7,3,3,4,66,2
56.5,IV,9,5,4,4,66,2
56.75,IV,9,5,4,4,64,0
56.81,IV,9,5,4,4,61,9
57.0,i,4,0,1,4,61,9
57.12,i,4,0,1,4,67,3
57.25,i,4,0,1,4,67,3
57.38,i,4,0,1,4,57,5
57.62,i,4,0,1,4,61,9
57.75,i,4,0,1,4,64,0
57.88,i,4,0,1,4,64,0
58.0,i,4,0,1,4,66,2
58.12,i,4,0,1,4,64,0
58.25,i,4,0,1,4,64,0
60.0,IV,9,5,4,4,64,0
61.0,V,11,7,5,4,64,0
62.0,bVII,2,10,7,4,64,0
63.0,i,4,0,1,4,64,0
64.0,ii,6,2,2,4,64,0
64.5,bVII,2,10,7,4,64,0
65.0,i,4,0,1,4,64,0
66.0,ii,6,2,2,4,64,0
66.5,bVII,2,10,7,4,64,0
67.0,i,4,0,1,4,64,0
68.0,ii,6,2,2,4,64,0
68.5,bVII,2,10,7,4,64,0
69.0,i,4,0,1,4,64,0
70.0,ii,6,2,2,4,64,0
70.5,bVII,2,10,7,4,64,0
71.0,i,4,0,1,4,64,0
72.0,ii,6,2,2,4,64,0
72.5,bVII,2,10,7,4,64,0
73.0,i,4,0,1,4,64,0
74.0,ii,6,2,2,4,64,0
74.5,bVII,2,10,7,4,64,0
75.0,End,2,10,7,4,64,0
