Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.59,I,10,0,1,10,53,7
4.62,I,10,0,1,10,60,2
4.66,I,10,0,1,10,60,2
4.69,I,10,0,1,10,60,2
4.72,I,10,0,1,10,60,2
4.75,I,10,0,1,10,60,2
4.84,I,10,0,1,10,60,2
4.91,I,10,0,1,10,58,0
4.94,I,10,0,1,10,55,9
5.0,vi,7,9,6,10,55,9
5.0,vi,7,9,6,10,58,0
5.06,vi,7,9,6,10,60,2
6.0,V,5,7,5,10,60,2
6.53,V,5,7,5,10,53,7
6.56,V,5,7,5,10,60,2
6.59,V,5,7,5,10,60,2
6.62,V,5,7,5,10,60,2
6.66,V,5,7,5,10,60,2
6.69,V,5,7,5,10,60,2
6.78,V,5,7,5,10,60,2
6.88,V,5,7,5,10,58,0
6.91,V,5,7,5,10,55,9
6.94,V,5,7,5,10,58,0
7.0,IV,3,5,4,10,58,0
8.0,I,10,0,1,10,58,0
8.53,I,10,0,1,10,60,2
8.56,I,10,0,1,10,60,2
8.59,I,10,0,1,10,60,2
8.62,I,10,0,1,10,60,2
8.66,I,10,0,1,10,60,2
8.69,I,10,0,1,10,60,2
8.78,I,10,0,1,10,60,2
8.88,I,10,0,1,10,58,0
8.91,I,10,0,1,10,55,9
8.94,I,10,0,1,10,58,0
9.0,vi,7,9,6,10,58,0
9.03,vi,7,9,6,10,60,2
9.97,vi,7,9,6,10,46,0
10.0,vi,7,9,6,10,63,5
10.0,V7,5,7,5,10,63,5
10.12,V7,5,7,5,10,63,5
10.25,V7,5,7,5,10,63,5
10.38,V7,5,7,5,10,63,5
10.5,V7,5,7,5,10,63,5
10.62,V7,5,7,5,10,63,5
10.75,V7,5,7,5,10,63,5
10.88,V7,5,7,5,10,63,5
11.0,V7,5,7,5,10,63,5
11.25,V7,5,7,5,10,63,5
11.5,V7,5,7,5,10,62,4
11.75,V7,5,7,5,10,60,2
11.88,V7,5,7,5,10,58,0
12.0,I,10,0,1,10,58,0
12.0,I,10,0,1,10,58,0
12.25,I,10,0,1,10,58,0
12.38,I,10,0,1,10,60,2
12.44,I,10,0,1,10,58,0
12.5,I,10,0,1,10,62,4
12.75,I,10,0,1,10,62,4
12.81,I,10,0,1,10,60,2
12.88,I,10,0,1,10,58,0
12.94,I,10,0,1,10,58,0
13.0,IV,3,5,4,10,58,0
14.25,IV,3,5,4,10,58,0
14.38,IV,3,5,4,10,60,2
14.44,IV,3,5,4,10,58,0
14.5,IV,3,5,4,10,62,4
14.75,IV,3,5,4,10,62,4
14.81,IV,3,5,4,10,60,2
14.88,IV,3,5,4,10,58,0
14.94,IV,3,5,4,10,58,0
15.0,I,10,0,1,10,58,0
16.0,vi,7,9,6,10,58,0
16.25,vi,7,9,6,10,58,0
16.38,vi,7,9,6,10,60,2
16.44,vi,7,9,6,10,58,0
16.5,vi,7,9,6,10,62,4
16.75,vi,7,9,6,10,62,4
16.81,vi,7,9,6,10,60,2
16.88,vi,7,9,6,10,58,0
16.94,vi,7,9,6,10,55,9
17.0,vi,7,9,6,10,53,7
17.0,V,5,7,5,10,53,7
18.97,V,5,7,5,10,46,0
19.0,V,5,7,5,10,63,5
19.12,V,5,7,5,10,63,5
19.25,V,5,7,5,10,63,5
19.38,V,5,7,5,10,63,5
19.5,V,5,7,5,10,63,5
19.62,V,5,7,5,10,63,5
19.75,V,5,7,5,10,63,5
19.88,V,5,7,5,10,63,5
20.0,V,5,7,5,10,63,5
20.25,V,5,7,5,10,63,5
20.5,V,5,7,5,10,62,4
20.75,V,5,7,5,10,60,2
20.88,V,5,7,5,10,58,0
21.0,I,10,0,1,10,58,0
21.0,I,10,0,1,10,58,0
21.19,I,10,0,1,10,62,4
21.25,I,10,0,1,10,62,4
21.28,I,10,0,1,10,60,2
21.31,I,10,0,1,10,62,4
21.34,I,10,0,1,10,60,2
21.38,I,10,0,1,10,60,2
21.41,I,10,0,1,10,62,4
21.47,I,10,0,1,10,62,4
21.75,I,10,0,1,10,65,7
21.81,I,10,0,1,10,60,2
21.88,I,10,0,1,10,58,0
21.94,I,10,0,1,10,58,0
22.0,I,10,0,1,10,58,0
23.0,vi,7,9,6,10,58,0
24.0,V,5,7,5,10,58,0
24.53,V,5,7,5,10,60,2
24.56,V,5,7,5,10,60,2
24.59,V,5,7,5,10,60,2
24.62,V,5,7,5,10,60,2
24.66,V,5,7,5,10,60,2
24.69,V,5,7,5,10,60,2
24.75,V,5,7,5,10,60,2
24.81,V,5,7,5,10,58,0
24.84,V,5,7,5,10,55,9
24.94,V,5,7,5,10,58,0
25.0,IV,3,5,4,10,58,0
25.31,IV,3,5,4,10,62,4
25.38,IV,3,5,4,10,60,2
26.0,I,10,0,1,10,60,2
26.44,I,10,0,1,10,60,2
26.47,I,10,0,1,10,60,2
26.5,I,10,0,1,10,62,4
26.56,I,10,0,1,10,62,4
26.59,I,10,0,1,10,62,4
26.62,I,10,0,1,10,62,4
26.69,I,10,0,1,10,65,7
26.75,I,10,0,1,10,62,4
26.78,I,10,0,1,10,60,2
26.88,I,10,0,1,10,58,0
26.91,I,10,0,1,10,55,9
26.94,I,10,0,1,10,58,0
26.97,I,10,0,1,10,60,2
27.0,vi,7,9,6,10,60,2
28.0,V7,5,7,5,10,60,2
28.44,V7,5,7,5,10,53,7
28.5,V7,5,7,5,10,63,5
28.62,V7,5,7,5,10,63,5
28.75,V7,5,7,5,10,63,5
28.88,V7,5,7,5,10,63,5
29.0,V7,5,7,5,10,63,5
29.25,V7,5,7,5,10,63,5
29.5,V7,5,7,5,10,62,4
29.75,V7,5,7,5,10,60,2
29.88,V7,5,7,5,10,58,0
30.0,V7,5,7,5,10,58,0
30.0,I,10,0,1,10,58,0
30.25,I,10,0,1,10,58,0
30.38,I,10,0,1,10,60,2
30.44,I,10,0,1,10,58,0
30.5,I,10,0,1,10,62,4
30.75,I,10,0,1,10,62,4
30.81,I,10,0,1,10,60,2
30.88,I,10,0,1,10,58,0
30.94,I,10,0,1,10,58,0
31.0,IV,3,5,4,10,58,0
32.25,IV,3,5,4,10,58,0
32.38,IV,3,5,4,10,60,2
32.44,IV,3,5,4,10,58,0
32.5,IV,3,5,4,10,62,4
32.75,IV,3,5,4,10,62,4
32.81,IV,3,5,4,10,60,2
32.88,IV,3,5,4,10,58,0
32.94,IV,3,5,4,10,58,0
33.0,I,10,0,1,10,58,0
34.0,vi,7,9,6,10,58,0
34.25,vi,7,9,6,10,58,0
34.38,vi,7,9,6,10,60,2
34.44,vi,7,9,6,10,58,0
34.5,vi,7,9,6,10,62,4
34.75,vi,7,9,6,10,62,4
34.81,vi,7,9,6,10,60,2
34.88,vi,7,9,6,10,58,0
34.94,vi,7,9,6,10,55,9
35.0,vi,7,9,6,10,53,7
35.0,V,5,7,5,10,53,7
37.0,V,5,7,5,10,63,5
37.12,V,5,7,5,10,63,5
37.25,V,5,7,5,10,63,5
37.38,V,5,7,5,10,63,5
37.5,V,5,7,5,10,63,5
37.62,V,5,7,5,10,63,5
37.75,V,5,7,5,10,63,5
37.88,V,5,7,5,10,63,5
38.0,V,5,7,5,10,63,5
38.25,V,5,7,5,10,63,5
38.5,V,5,7,5,10,62,4
38.75,V,5,7,5,10,60,2
38.88,V,5,7,5,10,58,0
39.0,V,5,7,5,10,58,0
39.0,I,10,0,1,10,58,0
39.12,I,10,0,1,10,60,2
39.16,I,10,0,1,10,60,2
39.19,I,10,0,1,10,63,5
39.22,I,10,0,1,10,65,7
39.28,I,10,0,1,10,65,7
39.38,I,10,0,1,10,62,4
39.41,I,10,0,1,10,65,7
39.5,I,10,0,1,10,65,7
39.62,I,10,0,1,10,65,7
39.69,I,10,0,1,10,65,7
39.75,I,10,0,1,10,62,4
39.81,I,10,0,1,10,65,7
39.88,I,10,0,1,10,62,4
39.94,I,10,0,1,10,62,4
40.0,I,10,0,1,10,65,7
40.06,I,10,0,1,10,62,4
40.09,I,10,0,1,10,60,2
40.12,I,10,0,1,10,58,0
41.0,vi,7,9,6,10,58,0
42.0,V,5,7,5,10,58,0
42.53,V,5,7,5,10,60,2
42.56,V,5,7,5,10,60,2
42.62,V,5,7,5,10,60,2
42.66,V,5,7,5,10,60,2
42.69,V,5,7,5,10,60,2
42.75,V,5,7,5,10,60,2
42.81,V,5,7,5,10,58,0
42.84,V,5,7,5,10,58,0
42.91,V,5,7,5,10,55,9
42.94,V,5,7,5,10,58,0
43.0,IV,3,5,4,10,58,0
43.25,IV,3,5,4,10,58,0
43.28,IV,3,5,4,10,58,0
43.31,IV,3,5,4,10,62,4
43.38,IV,3,5,4,10,58,0
43.44,IV,3,5,4,10,61,3
44.0,I,10,0,1,10,61,3
44.53,I,10,0,1,10,61,3
44.56,I,10,0,1,10,61,3
44.59,I,10,0,1,10,61,3
44.62,I,10,0,1,10,61,3
44.66,I,10,0,1,10,61,3
44.69,I,10,0,1,10,61,3
44.72,I,10,0,1,10,58,0
45.0,vi,7,9,6,10,58,0
45.06,vi,7,9,6,10,58,0
45.09,vi,7,9,6,10,58,0
45.12,vi,7,9,6,10,58,0
45.19,vi,7,9,6,10,58,0
45.22,vi,7,9,6,10,58,0
45.25,vi,7,9,6,10,58,0
45.28,vi,7,9,6,10,58,0
45.31,vi,7,9,6,10,58,0
45.34,vi,7,9,6,10,60,2
45.41,vi,7,9,6,10,55,9
45.81,vi,7,9,6,10,58,0
45.84,vi,7,9,6,10,58,0
45.88,vi,7,9,6,10,58,0
45.91,vi,7,9,6,10,58,0
45.94,vi,7,9,6,10,58,0
46.0,V7,5,7,5,10,58,0
46.53,V7,5,7,5,10,53,7
46.59,V7,5,7,5,10,55,9
46.62,V7,5,7,5,10,58,0
46.66,V7,5,7,5,10,58,0
46.69,V7,5,7,5,10,60,2
46.75,V7,5,7,5,10,58,0
46.81,V7,5,7,5,10,55,9
47.25,V7,5,7,5,10,62,4
47.38,V7,5,7,5,10,65,7
47.5,V7,5,7,5,10,62,4
47.62,V7,5,7,5,10,62,4
47.75,V7,5,7,5,10,58,0
48.0,I,10,0,1,10,58,0
48.25,I,10,0,1,10,58,0
48.38,I,10,0,1,10,60,2
48.44,I,10,0,1,10,58,0
48.5,I,10,0,1,10,62,4
48.75,I,10,0,1,10,62,4
48.81,I,10,0,1,10,60,2
48.88,I,10,0,1,10,58,0
48.94,I,10,0,1,10,58,0
49.0,IV,3,5,4,10,58,0
49.19,IV,3,5,4,10,61,3
49.25,IV,3,5,4,10,58,0
49.38,IV,3,5,4,10,55,9
50.25,IV,3,5,4,10,58,0
50.38,IV,3,5,4,10,60,2
50.44,IV,3,5,4,10,58,0
50.5,IV,3,5,4,10,62,4
50.75,IV,3,5,4,10,62,4
50.81,IV,3,5,4,10,60,2
50.88,IV,3,5,4,10,58,0
50.94,IV,3,5,4,10,58,0
51.0,I,10,0,1,10,58,0
51.69,I,10,0,1,10,63,5
51.72,I,10,0,1,10,65,7
51.75,I,10,0,1,10,64,6
51.78,I,10,0,1,10,63,5
51.81,I,10,0,1,10,63,5
51.88,I,10,0,1,10,63,5
51.94,I,10,0,1,10,63,5
52.0,I,10,0,1,10,63,5
52.0,vi,7,9,6,10,63,5
52.03,vi,7,9,6,10,63,5
52.06,vi,7,9,6,10,63,5
52.09,vi,7,9,6,10,60,2
52.16,vi,7,9,6,10,63,5
52.19,vi,7,9,6,10,65,7
52.25,vi,7,9,6,10,58,0
52.38,vi,7,9,6,10,60,2
52.44,vi,7,9,6,10,58,0
52.5,vi,7,9,6,10,62,4
52.75,vi,7,9,6,10,62,4
52.81,vi,7,9,6,10,60,2
52.88,vi,7,9,6,10,58,0
52.94,vi,7,9,6,10,55,9
53.0,vi,7,9,6,10,53,7
53.0,V,5,7,5,10,53,7
55.12,V,5,7,5,10,68,10
55.19,V,5,7,5,10,68,10
55.22,V,5,7,5,10,68,10
55.28,V,5,7,5,10,65,7
55.34,V,5,7,5,10,63,5
55.41,V,5,7,5,10,63,5
55.47,V,5,7,5,10,61,3
55.5,V,5,7,5,10,58,0
55.66,V,5,7,5,10,68,10
55.72,V,5,7,5,10,68,10
55.75,V,5,7,5,10,68,10
55.78,V,5,7,5,10,65,7
55.84,V,5,7,5,10,63,5
55.91,V,5,7,5,10,63,5
55.97,V,5,7,5,10,61,3
56.0,V,5,7,5,10,58,0
56.25,V,5,7,5,10,58,0
56.38,V,5,7,5,10,58,0
56.5,V,5,7,5,10,62,4
56.62,V,5,7,5,10,62,4
56.75,V,5,7,5,10,62,4
57.0,I,10,0,1,10,62,4
59.0,vi,7,9,6,10,62,4
60.0,V,5,7,5,10,62,4
61.0,IV,3,5,4,10,62,4
62.0,I,10,0,1,10,62,4
63.0,vi,7,9,6,10,62,4
64.0,V,5,7,5,10,62,4
65.0,IV,3,5,4,10,62,4
66.0,I,10,0,1,10,62,4
67.0,vi,7,9,6,10,62,4
68.0,V,5,7,5,10,62,4
69.0,IV,3,5,4,10,62,4
70.0,I,10,0,1,10,62,4
71.0,vi,7,9,6,10,62,4
72.0,V,5,7,5,10,62,4
73.0,IV,3,5,4,10,62,4
74.0,I,10,0,1,10,62,4
75.0,vi,7,9,6,10,62,4
76.0,V,5,7,5,10,62,4
77.0,IV,3,5,4,10,62,4
78.0,I,10,0,1,10,62,4
78.5,I,10,0,1,10,67,9
78.69,I,10,0,1,10,65,7
78.88,I,10,0,1,10,63,5
78.94,I,10,0,1,10,62,4
79.0,I,10,0,1,10,60,2
79.0,vi,7,9,6,10,60,2
79.03,vi,7,9,6,10,62,4
79.5,vi,7,9,6,10,65,7
79.69,vi,7,9,6,10,63,5
79.88,vi,7,9,6,10,62,4
79.94,vi,7,9,6,10,60,2
80.0,vi,7,9,6,10,60,2
80.0,V,5,7,5,10,60,2
80.5,V,5,7,5,10,63,5
80.69,V,5,7,5,10,62,4
80.81,V,5,7,5,10,65,7
80.88,V,5,7,5,10,60,2
80.94,V,5,7,5,10,58,0
81.0,V,5,7,5,10,58,0
81.0,IV,3,5,4,10,58,0
82.0,I,10,0,1,10,58,0
82.5,I,10,0,1,10,67,9
82.69,I,10,0,1,10,65,7
82.88,I,10,0,1,10,63,5
82.94,I,10,0,1,10,62,4
83.0,vi,7,9,6,10,62,4
83.0,vi,7,9,6,10,60,2
83.03,vi,7,9,6,10,62,4
83.5,vi,7,9,6,10,65,7
83.69,vi,7,9,6,10,63,5
83.88,vi,7,9,6,10,62,4
83.94,vi,7,9,6,10,60,2
84.0,vi,7,9,6,10,60,2
84.0,V,5,7,5,10,60,2
84.5,V,5,7,5,10,63,5
84.69,V,5,7,5,10,67,9
84.81,V,5,7,5,10,70,0
84.88,V,5,7,5,10,67,9
84.94,V,5,7,5,10,65,7
85.0,IV,3,5,4,10,65,7
86.0,I,10,0,1,10,65,7
86.5,I,10,0,1,10,67,9
86.69,I,10,0,1,10,65,7
86.88,I,10,0,1,10,63,5
86.94,I,10,0,1,10,65,7
87.0,vi,7,9,6,10,65,7
87.0,vi,7,9,6,10,60,2
87.03,vi,7,9,6,10,62,4
87.5,vi,7,9,6,10,65,7
87.69,vi,7,9,6,10,63,5
87.88,vi,7,9,6,10,62,4
87.94,vi,7,9,6,10,60,2
88.0,vi,7,9,6,10,60,2
88.0,V,5,7,5,10,60,2
88.5,V,5,7,5,10,63,5
88.69,V,5,7,5,10,67,9
88.81,V,5,7,5,10,70,0
88.94,V,5,7,5,10,67,9
89.0,IV,3,5,4,10,67,9
89.03,IV,3,5,4,10,65,7
89.06,IV,3,5,4,10,60,2
89.09,IV,3,5,4,10,62,4
89.12,IV,3,5,4,10,60,2
89.19,IV,3,5,4,10,58,0
90.0,I,10,0,1,10,58,0
91.0,vi,7,9,6,10,58,0
92.0,V,5,7,5,10,58,0
93.0,IV,3,5,4,10,58,0
94.0,I,10,0,1,10,58,0
95.0,End,10,0,1,10,58,0
