Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
1.0,I,7,0,1,7,73,6
1.0,I,7,0,1,7,74,7
1.12,I,7,0,1,7,74,7
1.38,I,7,0,1,7,74,7
1.62,I,7,0,1,7,74,7
1.75,I,7,0,1,7,76,9
1.88,I,7,0,1,7,74,7
2.0,I,7,0,1,7,71,4
2.25,I,7,0,1,7,71,4
2.38,I,7,0,1,7,71,4
3.0,I,7,0,1,7,74,7
3.25,I,7,0,1,7,74,7
3.38,I,7,0,1,7,74,7
3.62,I,7,0,1,7,74,7
3.75,I,7,0,1,7,76,9
3.88,I,7,0,1,7,74,7
4.0,I,7,0,1,7,71,4
4.25,I,7,0,1,7,71,4
4.38,I,7,0,1,7,74,7
4.62,I,7,0,1,7,72,5
4.75,I,7,0,1,7,71,4
5.0,IV,0,5,4,7,71,4
5.12,IV,0,5,4,7,72,5
5.25,IV,0,5,4,7,72,5
5.5,IV,0,5,4,7,72,5
5.75,IV,0,5,4,7,72,5
5.88,IV,0,5,4,7,67,0
6.0,IV,0,5,4,7,72,5
6.25,IV,0,5,4,7,72,5
6.38,IV,0,5,4,7,74,7
6.62,IV,0,5,4,7,72,5
6.75,IV,0,5,4,7,72,5
6.88,IV,0,5,4,7,72,5
7.0,I,7,0,1,7,72,5
7.25,I,7,0,1,7,71,4
7.5,I,7,0,1,7,71,4
7.75,I,7,0,1,7,71,4
8.0,I,7,0,1,7,71,4
8.25,I,7,0,1,7,74,7
8.38,I,7,0,1,7,71,4
8.62,I,7,0,1,7,69,2
8.75,I,7,0,1,7,67,0
9.0,I,7,0,1,7,69,2
9.0,V,2,7,5,7,69,2
9.25,V,2,7,5,7,69,2
10.0,V,2,7,5,7,69,2
10.12,V,2,7,5,7,71,4
10.38,V,2,7,5,7,69,2
10.62,V,2,7,5,7,69,2
10.75,V,2,7,5,7,67,0
10.88,V,2,7,5,7,66,11
11.0,V,2,7,5,7,67,0
11.0,I,7,0,1,7,67,0
11.25,I,7,0,1,7,67,0
11.5,IV,0,5,4,7,67,0
12.0,I,7,0,1,7,67,0
12.25,V7,2,7,5,7,67,0
12.88,V7,2,7,5,7,74,7
13.0,V7,2,7,5,7,74,7
13.0,I,7,0,1,7,74,7
13.25,I,7,0,1,7,74,7
13.38,I,7,0,1,7,74,7
13.62,I,7,0,1,7,74,7
13.75,I,7,0,1,7,76,9
14.0,I,7,0,1,7,71,4
14.25,I,7,0,1,7,71,4
14.38,I,7,0,1,7,71,4
14.88,I,7,0,1,7,74,7
15.0,I,7,0,1,7,74,7
15.25,I,7,0,1,7,74,7
15.38,I,7,0,1,7,74,7
15.62,I,7,0,1,7,74,7
15.75,I,7,0,1,7,76,9
16.0,I,7,0,1,7,71,4
16.25,I,7,0,1,7,71,4
16.38,I,7,0,1,7,74,7
16.62,I,7,0,1,7,72,5
16.75,I,7,0,1,7,71,4
17.0,IV,0,5,4,7,71,4
17.25,IV,0,5,4,7,72,5
17.5,IV,0,5,4,7,72,5
17.75,IV,0,5,4,7,72,5
17.88,IV,0,5,4,7,67,0
18.12,IV,0,5,4,7,72,5
18.38,IV,0,5,4,7,72,5
18.5,IV,0,5,4,7,74,7
18.62,IV,0,5,4,7,72,5
