Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
7.75,I,7,0,1,7,64,9
8.0,I,7,0,1,7,62,7
8.25,I,7,0,1,7,60,5
8.5,I,7,0,1,7,59,4
8.62,I,7,0,1,7,60,5
8.88,I,7,0,1,7,62,7
9.0,I,7,0,1,7,62,7
9.0,vi,4,9,6,7,62,7
9.88,vi,4,9,6,7,64,9
10.0,IV,0,5,4,7,64,9
10.12,IV,0,5,4,7,64,9
10.38,IV,0,5,4,7,64,9
10.44,IV,0,5,4,7,62,7
10.5,IV,0,5,4,7,60,5
10.5,I6,7,0,1,7,60,5
10.62,I6,7,0,1,7,59,4
10.88,I6,7,0,1,7,60,5
11.0,ii,9,2,2,7,60,5
12.0,I,7,0,1,7,60,5
12.12,I,7,0,1,7,59,4
12.25,I,7,0,1,7,57,2
12.38,I,7,0,1,7,55,0
12.56,I,7,0,1,7,55,0
12.62,I,7,0,1,7,60,5
12.88,I,7,0,1,7,59,4
13.0,vi,4,9,6,7,59,4
13.0,vi,4,9,6,7,59,4
14.0,IV,0,5,4,7,59,4
14.12,IV,0,5,4,7,55,0
14.38,IV,0,5,4,7,55,0
14.5,I6,7,0,1,7,55,0
14.5,I6,7,0,1,7,55,0
14.62,I6,7,0,1,7,55,0
14.88,I6,7,0,1,7,57,2
15.0,V,2,7,5,7,57,2
15.12,V,2,7,5,7,57,2
15.62,V,2,7,5,7,60,5
15.75,V,2,7,5,7,64,9
16.0,V,2,7,5,7,62,7
16.0,I,7,0,1,7,62,7
16.25,I,7,0,1,7,60,5
16.5,I,7,0,1,7,59,4
16.75,I,7,0,1,7,60,5
16.88,I,7,0,1,7,62,7
17.0,vi,4,9,6,7,62,7
17.12,vi,4,9,6,7,62,7
18.0,IV,0,5,4,7,62,7
18.12,IV,0,5,4,7,64,9
18.25,IV,0,5,4,7,64,9
18.38,IV,0,5,4,7,64,9
18.5,I6,7,0,1,7,64,9
18.5,I6,7,0,1,7,62,7
18.62,I6,7,0,1,7,60,5
18.69,I6,7,0,1,7,59,4
18.88,I6,7,0,1,7,60,5
19.0,ii,9,2,2,7,60,5
19.12,ii,9,2,2,7,60,5
19.62,ii,9,2,2,7,62,7
19.88,ii,9,2,2,7,59,4
20.0,I,7,0,1,7,59,4
20.12,I,7,0,1,7,59,4
20.25,I,7,0,1,7,57,2
20.5,I,7,0,1,7,55,0
20.75,I,7,0,1,7,60,5
20.88,I,7,0,1,7,57,2
21.0,vi,4,9,6,7,57,2
21.0,vi,4,9,6,7,59,4
21.38,vi,4,9,6,7,59,4
22.0,IV,0,5,4,7,59,4
22.38,IV,0,5,4,7,55,0
22.5,I6,7,0,1,7,55,0
22.62,I6,7,0,1,7,55,0
22.88,I6,7,0,1,7,57,2
23.0,V,2,7,5,7,57,2
23.12,V,2,7,5,7,57,2
24.0,V,2,7,5,7,59,4
24.25,V,2,7,5,7,62,7
24.5,V,2,7,5,7,59,4
24.75,V,2,7,5,7,57,2
24.88,V,2,7,5,7,55,0
25.0,I,7,0,1,7,55,0
26.0,IV,0,5,4,7,55,0
26.38,IV,0,5,4,7,55,0
26.5,V,2,7,5,7,55,0
26.62,V,2,7,5,7,59,4
26.88,V,2,7,5,7,57,2
27.0,I,7,0,1,7,57,2
27.12,I,7,0,1,7,57,2
27.25,I,7,0,1,7,55,0
27.88,I,7,0,1,7,55,0
28.0,IV,0,5,4,7,55,0
28.0,IV,0,5,4,7,59,4
28.25,IV,0,5,4,7,62,7
28.5,IV,0,5,4,7,64,9
28.5,V,2,7,5,7,64,9
28.62,V,2,7,5,7,66,11
28.75,V,2,7,5,7,64,9
29.0,vi,4,9,6,7,64,9
30.0,IV,0,5,4,7,64,9
30.38,IV,0,5,4,7,55,0
30.5,IV,0,5,4,7,59,4
30.5,V,2,7,5,7,59,4
30.88,V,2,7,5,7,57,2
31.0,I,7,0,1,7,57,2
31.12,I,7,0,1,7,55,0
32.0,IV,0,5,4,7,55,0
32.38,IV,0,5,4,7,55,0
32.5,V,2,7,5,7,55,0
32.5,V,2,7,5,7,59,4
32.88,V,2,7,5,7,57,2
33.0,I,7,0,1,7,57,2
33.12,I,7,0,1,7,55,0
34.0,IV,0,5,4,7,55,0
34.5,V,2,7,5,7,55,0
34.62,V,2,7,5,7,59,4
34.75,V,2,7,5,7,59,4
34.88,V,2,7,5,7,64,9
35.0,V,2,7,5,7,62,7
35.0,I,7,0,1,7,62,7
35.19,I,7,0,1,7,62,7
35.38,I,7,0,1,7,62,7
35.62,I,7,0,1,7,60,5
35.75,I,7,0,1,7,59,4
35.94,I,7,0,1,7,60,5
36.0,vi,4,9,6,7,60,5
36.12,vi,4,9,6,7,62,7
36.38,vi,4,9,6,7,62,7
36.5,vi,4,9,6,7,67,0
36.69,vi,4,9,6,7,66,11
36.88,vi,4,9,6,7,66,11
37.0,IV,0,5,4,7,66,11
37.12,IV,0,5,4,7,64,9
37.38,IV,0,5,4,7,62,7
37.5,IV,0,5,4,7,60,5
37.5,I6,7,0,1,7,60,5
37.62,I6,7,0,1,7,59,4
