Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.5,V,7,7,5,0,75,3
4.69,V,7,7,5,0,72,0
4.81,V,7,7,5,0,69,9
5.0,IV,5,5,4,0,69,9
5.44,IV,5,5,4,0,72,0
5.56,IV,5,5,4,0,72,0
5.62,IV,5,5,4,0,72,0
5.75,IV,5,5,4,0,69,9
6.0,V,7,7,5,0,69,9
6.5,V,7,7,5,0,75,3
6.69,V,7,7,5,0,74,2
6.81,V,7,7,5,0,72,0
6.88,V,7,7,5,0,74,2
7.0,IV,5,5,4,0,74,2
7.38,IV,5,5,4,0,70,10
7.44,IV,5,5,4,0,70,10
7.5,IV,5,5,4,0,72,0
7.62,IV,5,5,4,0,72,0
7.75,IV,5,5,4,0,70,10
7.88,IV,5,5,4,0,72,0
8.0,V,7,7,5,0,72,0
8.5,V,7,7,5,0,75,3
8.62,V,7,7,5,0,74,2
8.75,V,7,7,5,0,72,0
8.88,V,7,7,5,0,69,9
9.0,IV,5,5,4,0,69,9
9.5,IV,5,5,4,0,69,9
9.75,IV,5,5,4,0,70,10
9.81,IV,5,5,4,0,70,10
9.88,IV,5,5,4,0,71,11
10.0,Id7,0,0,1,0,71,11
10.0,Id7,0,0,1,0,72,0
10.12,Id7,0,0,1,0,70,10
10.19,Id7,0,0,1,0,67,7
10.25,Id7,0,0,1,0,72,0
10.38,Id7,0,0,1,0,67,7
10.75,Id7,0,0,1,0,72,0
10.88,Id7,0,0,1,0,67,7
11.0,IV,5,5,4,0,67,7
11.0,IV,5,5,4,0,69,9
11.12,IV,5,5,4,0,72,0
11.5,IV,5,5,4,0,72,0
11.62,IV,5,5,4,0,70,10
11.75,IV,5,5,4,0,72,0
11.88,IV,5,5,4,0,70,10
12.0,Id7,0,0,1,0,70,10
12.88,Id7,0,0,1,0,72,0
13.0,Id7,0,0,1,0,69,9
13.0,IV,5,5,4,0,69,9
14.0,V,7,7,5,0,69,9
14.38,V,7,7,5,0,75,3
14.56,V,7,7,5,0,74,2
14.69,V,7,7,5,0,72,0
14.75,V,7,7,5,0,74,2
14.81,V,7,7,5,0,72,0
14.88,V,7,7,5,0,74,2
15.0,IV,5,5,4,0,74,2
15.44,IV,5,5,4,0,72,0
15.56,IV,5,5,4,0,72,0
15.62,IV,5,5,4,0,69,9
16.0,V,7,7,5,0,69,9
16.5,V,7,7,5,0,75,3
16.62,V,7,7,5,0,74,2
16.75,V,7,7,5,0,72,0
16.81,V,7,7,5,0,69,9
16.88,V,7,7,5,0,72,0
16.94,V,7,7,5,0,74,2
17.0,IV,5,5,4,0,74,2
17.38,IV,5,5,4,0,69,9
17.44,IV,5,5,4,0,72,0
17.56,IV,5,5,4,0,72,0
17.62,IV,5,5,4,0,70,10
17.75,IV,5,5,4,0,72,0
18.0,V,7,7,5,0,72,0
18.5,V,7,7,5,0,75,3
18.69,V,7,7,5,0,74,2
18.81,V,7,7,5,0,72,0
18.94,V,7,7,5,0,69,9
19.0,IV,5,5,4,0,69,9
19.5,IV,5,5,4,0,69,9
19.75,IV,5,5,4,0,72,0
19.81,IV,5,5,4,0,72,0
19.88,IV,5,5,4,0,72,0
20.0,IV,5,5,4,0,76,4
20.0,Id7,0,0,1,0,76,4
20.12,Id7,0,0,1,0,72,0
20.19,Id7,0,0,1,0,72,0
20.25,Id7,0,0,1,0,72,0
20.38,Id7,0,0,1,0,72,0
20.94,Id7,0,0,1,0,74,2
21.0,IV,5,5,4,0,74,2
21.06,IV,5,5,4,0,72,0
21.5,IV,5,5,4,0,75,3
21.62,IV,5,5,4,0,72,0
21.75,IV,5,5,4,0,72,0
21.88,IV,5,5,4,0,69,9
22.0,Id7,0,0,1,0,69,9
22.62,Id7,0,0,1,0,72,0
22.69,Id7,0,0,1,0,70,10
23.0,IV,5,5,4,0,70,10
24.0,V,7,7,5,0,70,10
24.25,V,7,7,5,0,71,11
24.44,V,7,7,5,0,71,11
24.56,V,7,7,5,0,69,9
24.62,V,7,7,5,0,71,11
24.75,V,7,7,5,0,71,11
25.0,IV,5,5,4,0,71,11
25.38,IV,5,5,4,0,72,0
25.62,IV,5,5,4,0,72,0
25.75,IV,5,5,4,0,69,9
25.88,IV,5,5,4,0,69,9
26.0,V,7,7,5,0,69,9
26.44,V,7,7,5,0,72,0
26.5,V,7,7,5,0,74,2
26.62,V,7,7,5,0,74,2
26.75,V,7,7,5,0,74,2
26.88,V,7,7,5,0,72,0
27.0,IV,5,5,4,0,72,0
27.25,IV,5,5,4,0,69,9
27.31,IV,5,5,4,0,69,9
27.38,IV,5,5,4,0,72,0
27.56,IV,5,5,4,0,69,9
27.62,IV,5,5,4,0,72,0
28.0,V,7,7,5,0,72,0
28.44,V,7,7,5,0,70,10
28.5,V,7,7,5,0,75,3
28.69,V,7,7,5,0,72,0
28.75,V,7,7,5,0,74,2
29.0,IV,5,5,4,0,74,2
29.12,IV,5,5,4,0,70,10
29.31,IV,5,5,4,0,75,3
29.5,IV,5,5,4,0,72,0
29.75,IV,5,5,4,0,72,0
29.81,IV,5,5,4,0,70,10
29.88,IV,5,5,4,0,72,0
30.0,IV,5,5,4,0,72,0
30.0,Id7,0,0,1,0,72,0
30.75,Id7,0,0,1,0,72,0
30.88,Id7,0,0,1,0,67,7
31.0,Id7,0,0,1,0,69,9
31.0,IV,5,5,4,0,69,9
31.12,IV,5,5,4,0,72,0
31.5,IV,5,5,4,0,75,3
31.69,IV,5,5,4,0,72,0
31.75,IV,5,5,4,0,72,0
32.0,Id7,0,0,1,0,72,0
32.0,Id7,0,0,1,0,70,10
32.62,Id7,0,0,1,0,72,0
32.69,Id7,0,0,1,0,70,10
33.0,IV,5,5,4,0,70,10
34.0,ii,6,2,2,4,70,10
36.0,V,11,7,5,4,70,10
38.0,ii,6,2,2,4,70,10
40.0,V,7,7,5,0,70,10
41.88,V,7,7,5,0,71,11
42.44,V,7,7,5,0,71,11
42.5,V,7,7,5,0,71,11
42.62,V,7,7,5,0,71,11
43.0,IV,5,5,4,0,71,11
43.25,IV,5,5,4,0,72,0
43.31,IV,5,5,4,0,72,0
43.38,IV,5,5,4,0,72,0
43.5,IV,5,5,4,0,69,9
43.62,IV,5,5,4,0,60,0
44.0,V,7,7,5,0,60,0
44.44,V,7,7,5,0,62,2
44.5,V,7,7,5,0,72,0
44.56,V,7,7,5,0,74,2
44.69,V,7,7,5,0,72,0
44.75,V,7,7,5,0,74,2
45.0,IV,5,5,4,0,74,2
45.12,IV,5,5,4,0,72,0
45.31,IV,5,5,4,0,72,0
45.5,IV,5,5,4,0,72,0
45.62,IV,5,5,4,0,69,9
45.75,IV,5,5,4,0,60,0
46.0,V,7,7,5,0,60,0
46.5,V,7,7,5,0,75,3
46.69,V,7,7,5,0,74,2
46.75,V,7,7,5,0,72,0
46.88,V,7,7,5,0,67,7
46.94,V,7,7,5,0,67,7
47.0,V,7,7,5,0,79,7
47.0,IV,5,5,4,0,79,7
47.19,IV,5,5,4,0,76,4
47.31,IV,5,5,4,0,72,0
47.62,IV,5,5,4,0,74,2
47.69,IV,5,5,4,0,76,4
47.81,IV,5,5,4,0,72,0
47.88,IV,5,5,4,0,72,0
48.0,IV,5,5,4,0,72,0
48.0,Id7,0,0,1,0,72,0
48.06,Id7,0,0,1,0,70,10
48.12,Id7,0,0,1,0,72,0
48.25,Id7,0,0,1,0,67,7
48.75,Id7,0,0,1,0,72,0
48.88,Id7,0,0,1,0,67,7
49.0,IV,5,5,4,0,67,7
49.0,IV,5,5,4,0,69,9
49.12,IV,5,5,4,0,72,0
49.5,IV,5,5,4,0,75,3
