Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.0,I,7,0,1,7,50,7
4.62,I,7,0,1,7,50,7
4.69,I,7,0,1,7,50,7
4.75,IV,0,5,4,7,50,7
4.75,IV,0,5,4,7,52,9
4.81,IV,0,5,4,7,50,7
4.88,IV,0,5,4,7,48,5
5.0,IV,0,5,4,7,50,7
5.0,I,7,0,1,7,50,7
5.67,IV,0,5,4,7,50,7
6.0,I,7,0,1,7,50,7
6.88,I,7,0,1,7,47,4
6.94,I,7,0,1,7,47,4
7.0,I,7,0,1,7,47,4
7.62,I,7,0,1,7,47,4
7.69,I,7,0,1,7,48,5
7.75,V,2,7,5,7,48,5
7.81,V,2,7,5,7,47,4
7.88,V,2,7,5,7,45,2
8.0,I,7,0,1,7,45,2
8.0,I,7,0,1,7,47,4
8.67,V,2,7,5,7,47,4
9.0,I,7,0,1,7,47,4
10.0,I,7,0,1,7,50,7
10.62,I,7,0,1,7,50,7
10.69,I,7,0,1,7,52,9
10.75,IV,0,5,4,7,52,9
10.81,IV,0,5,4,7,50,7
10.88,IV,0,5,4,7,48,5
10.94,IV,0,5,4,7,50,7
11.0,I,7,0,1,7,50,7
11.67,IV,0,5,4,7,50,7
12.0,I,7,0,1,7,50,7
13.0,I,7,0,1,7,47,4
13.17,I,7,0,1,7,47,4
13.25,I,7,0,1,7,47,4
13.5,I,7,0,1,7,47,4
13.58,I,7,0,1,7,43,0
13.67,V,2,7,5,7,43,0
13.75,V,2,7,5,7,45,2
13.83,V,2,7,5,7,42,11
14.0,V,2,7,5,7,43,0
14.0,I,7,0,1,7,43,0
15.0,V,2,7,5,7,43,0
15.0,V,2,7,5,7,50,7
15.25,V,2,7,5,7,54,11
15.5,V,2,7,5,7,57,2
15.81,V,2,7,5,7,57,2
15.88,V,2,7,5,7,57,2
16.0,V,2,7,5,7,55,0
16.0,IV,0,5,4,7,55,0
16.06,IV,0,5,4,7,55,0
16.25,IV,0,5,4,7,55,0
16.31,IV,0,5,4,7,55,0
16.5,IV,0,5,4,7,52,9
16.5,I,7,0,1,7,52,9
16.56,I,7,0,1,7,50,7
16.81,I,7,0,1,7,50,7
16.88,I,7,0,1,7,50,7
17.0,V,2,7,5,7,50,7
17.0,V,2,7,5,7,50,7
17.25,V,2,7,5,7,54,11
17.5,V,2,7,5,7,57,2
17.81,V,2,7,5,7,55,0
17.88,V,2,7,5,7,55,0
18.0,V,2,7,5,7,55,0
18.0,IV,0,5,4,7,55,0
18.25,IV,0,5,4,7,55,0
18.5,IV,0,5,4,7,52,9
18.5,I,7,0,1,7,52,9
18.56,I,7,0,1,7,50,7
18.81,I,7,0,1,7,47,4
18.88,I,7,0,1,7,45,2
19.0,I,7,0,1,7,43,0
19.5,I,7,0,1,7,47,4
20.0,I,7,0,1,7,50,7
20.62,I,7,0,1,7,47,4
20.75,I,7,0,1,7,48,5
20.75,V,2,7,5,7,48,5
