Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.5,I,7,0,1,7,70,3
3.62,I,7,0,1,7,70,3
3.88,I,7,0,1,7,70,3
4.12,I,7,0,1,7,70,3
4.38,I,7,0,1,7,70,3
4.62,I,7,0,1,7,69,2
4.88,I,7,0,1,7,69,2
5.0,I,7,0,1,7,67,0
5.0,IV,0,5,4,7,67,0
5.25,IV,0,5,4,7,67,0
5.5,IV,0,5,4,7,67,0
5.75,IV,0,5,4,7,67,0
5.88,IV,0,5,4,7,67,0
6.0,IV,0,5,4,7,69,2
6.25,IV,0,5,4,7,64,9
7.38,IV,0,5,4,7,64,9
7.5,IV,0,5,4,7,71,4
7.62,IV,0,5,4,7,74,7
7.88,IV,0,5,4,7,76,9
8.12,IV,0,5,4,7,74,7
8.38,IV,0,5,4,7,76,9
8.75,IV,0,5,4,7,74,7
8.88,IV,0,5,4,7,70,3
8.94,IV,0,5,4,7,69,2
9.0,IV,0,5,4,7,67,0
9.0,I,7,0,1,7,67,0
11.5,I,7,0,1,7,70,3
11.62,I,7,0,1,7,70,3
11.88,I,7,0,1,7,70,3
12.12,I,7,0,1,7,70,3
12.38,I,7,0,1,7,70,3
12.62,I,7,0,1,7,69,2
12.88,I,7,0,1,7,69,2
13.0,IV,0,5,4,7,69,2
13.0,IV,0,5,4,7,67,0
13.12,IV,0,5,4,7,67,0
13.38,IV,0,5,4,7,67,0
13.62,IV,0,5,4,7,67,0
13.88,IV,0,5,4,7,69,2
14.12,IV,0,5,4,7,64,9
15.38,IV,0,5,4,7,62,7
15.5,IV,0,5,4,7,71,4
15.62,IV,0,5,4,7,74,7
15.88,IV,0,5,4,7,76,9
16.12,IV,0,5,4,7,74,7
16.5,IV,0,5,4,7,74,7
16.75,IV,0,5,4,7,74,7
17.0,I,7,0,1,7,74,7
17.0,I,7,0,1,7,70,3
17.06,I,7,0,1,7,69,2
17.12,I,7,0,1,7,67,0
18.38,I,7,0,1,7,64,9
18.5,I,7,0,1,7,71,4
18.62,I,7,0,1,7,74,7
18.69,I,7,0,1,7,76,9
19.0,V,2,7,5,7,76,9
19.0,V,2,7,5,7,71,4
19.25,V,2,7,5,7,69,2
19.5,V,2,7,5,7,69,2
19.88,V,2,7,5,7,71,4
20.38,V,2,7,5,7,64,9
20.5,V,2,7,5,7,71,4
20.62,V,2,7,5,7,74,7
20.69,V,2,7,5,7,76,9
20.88,V,2,7,5,7,71,4
20.94,V,2,7,5,7,69,2
21.0,V,2,7,5,7,67,0
21.0,I,7,0,1,7,67,0
22.38,I,7,0,1,7,64,9
22.5,I,7,0,1,7,71,4
22.62,I,7,0,1,7,74,7
22.69,I,7,0,1,7,76,9
22.88,I,7,0,1,7,71,4
23.0,V,2,7,5,7,71,4
23.25,V,2,7,5,7,69,2
23.62,V,2,7,5,7,69,2
23.88,V,2,7,5,7,62,7
24.5,V,2,7,5,7,74,7
24.62,V,2,7,5,7,74,7
24.88,V,2,7,5,7,70,3
24.94,V,2,7,5,7,69,2
25.0,V,2,7,5,7,67,0
25.0,I,7,0,1,7,67,0
26.38,I,7,0,1,7,64,9
26.5,I,7,0,1,7,71,4
26.62,I,7,0,1,7,74,7
26.88,I,7,0,1,7,76,9
27.0,V,2,7,5,7,76,9
27.62,V,2,7,5,7,74,7
28.5,V,2,7,5,7,76,9
28.62,V,2,7,5,7,74,7
28.88,V,2,7,5,7,70,3
28.94,V,2,7,5,7,69,2
29.0,V,2,7,5,7,67,0
29.0,I,7,0,1,7,67,0
30.62,I,7,0,1,7,67,0
31.0,bVII,5,10,7,7,67,0
31.5,bVII,5,10,7,7,67,0
31.62,bVII,5,10,7,7,69,2
31.88,bVII,5,10,7,7,65,10
32.12,bVII,5,10,7,7,65,10
32.5,bVII,5,10,7,7,69,2
32.62,bVII,5,10,7,7,69,2
32.88,bVII,5,10,7,7,69,2
35.0,I,7,0,1,7,69,2
35.0,I,7,0,1,7,74,7
35.12,I,7,0,1,7,74,7
35.5,I,7,0,1,7,74,7
35.62,I,7,0,1,7,74,7
35.88,I,7,0,1,7,74,7
36.5,I,7,0,1,7,71,4
36.75,I,7,0,1,7,71,4
36.88,I,7,0,1,7,74,7
37.62,I,7,0,1,7,70,3
37.75,I,7,0,1,7,69,2
38.25,I,7,0,1,7,67,0
39.0,I,7,0,1,7,69,2
39.0,bVII,5,10,7,7,69,2
39.5,bVII,5,10,7,7,69,2
39.88,bVII,5,10,7,7,65,10
40.12,bVII,5,10,7,7,65,10
40.5,bVII,5,10,7,7,67,0
40.62,bVII,5,10,7,7,65,10
40.88,bVII,5,10,7,7,69,2
42.88,bVII,5,10,7,7,71,4
43.0,I,7,0,1,7,71,4
43.12,I,7,0,1,7,74,7
43.5,I,7,0,1,7,74,7
43.75,I,7,0,1,7,74,7
44.0,I,7,0,1,7,74,7
44.38,I,7,0,1,7,71,4
