Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.12,Id7,3,0,1,3,58,7
0.25,Id7,3,0,1,3,60,9
0.38,Id7,3,0,1,3,61,10
0.5,Id7,3,0,1,3,61,10
0.62,Id7,3,0,1,3,61,10
0.75,Id7,3,0,1,3,61,10
0.88,Id7,3,0,1,3,60,9
1.0,Id7,3,0,1,3,60,9
1.25,Id7,3,0,1,3,58,7
1.5,Id7,3,0,1,3,58,7
1.75,Id7,3,0,1,3,55,4
1.88,Id7,3,0,1,3,58,7
2.12,Id7,3,0,1,3,60,9
2.88,Id7,3,0,1,3,61,10
3.12,Id7,3,0,1,3,61,10
3.25,Id7,3,0,1,3,60,9
3.38,Id7,3,0,1,3,56,5
3.5,Id7,3,0,1,3,58,7
3.75,Id7,3,0,1,3,55,4
3.88,Id7,3,0,1,3,58,7
4.12,Id7,3,0,1,3,51,0
4.75,Id7,3,0,1,3,61,10
4.88,Id7,3,0,1,3,58,7
5.0,IV,8,5,4,3,58,7
5.0,IV,8,5,4,3,61,10
5.25,IV,8,5,4,3,60,9
5.5,IV,8,5,4,3,58,7
5.62,IV,8,5,4,3,55,4
5.88,IV,8,5,4,3,58,7
6.12,IV,8,5,4,3,60,9
6.88,IV,8,5,4,3,61,10
7.0,I,3,0,1,3,61,10
7.12,I,3,0,1,3,61,10
7.25,I,3,0,1,3,60,9
7.5,I,3,0,1,3,58,7
7.75,I,3,0,1,3,55,4
7.88,I,3,0,1,3,58,7
8.12,I,3,0,1,3,51,0
9.0,V,10,7,5,3,51,0
9.0,V,10,7,5,3,61,10
9.12,V,10,7,5,3,61,10
9.25,V,10,7,5,3,60,9
9.38,V,10,7,5,3,58,7
9.62,V,10,7,5,3,55,4
9.88,V,10,7,5,3,58,7
10.12,V,10,7,5,3,60,9
10.88,V,10,7,5,3,58,7
11.12,V,10,7,5,3,58,7
