Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
0.0,I,9,0,1,9,57,0
0.25,I,9,0,1,9,57,0
0.5,I,9,0,1,9,57,0
0.67,I,9,0,1,9,57,0
0.75,I,9,0,1,9,57,0
1.0,I,9,0,1,9,57,0
1.17,I,9,0,1,9,57,0
1.25,I,9,0,1,9,57,0
1.5,I,9,0,1,9,57,0
2.0,I,9,0,1,9,61,4
2.25,I,9,0,1,9,61,4
2.5,I,9,0,1,9,61,4
2.58,I,9,0,1,9,61,4
2.67,I,9,0,1,9,61,4
2.75,I,9,0,1,9,61,4
3.0,I,9,0,1,9,61,4
3.17,I,9,0,1,9,61,4
3.25,I,9,0,1,9,61,4
3.5,I,9,0,1,9,61,4
4.0,I,9,0,1,9,64,7
4.25,I,9,0,1,9,64,7
4.42,I,9,0,1,9,64,7
4.5,I,9,0,1,9,64,7
4.58,I,9,0,1,9,64,7
4.67,I,9,0,1,9,64,7
4.75,I,9,0,1,9,64,7
5.0,I,9,0,1,9,64,7
5.17,I,9,0,1,9,64,7
5.25,I,9,0,1,9,64,7
5.5,I,9,0,1,9,64,7
5.67,I,9,0,1,9,64,7
5.75,I,9,0,1,9,64,7
5.92,I,9,0,1,9,64,7
6.0,V,4,7,5,9,64,7
6.0,V,4,7,5,9,64,7
6.42,V,4,7,5,9,64,7
6.5,V,4,7,5,9,64,7
6.92,V,4,7,5,9,64,7
7.0,V,4,7,5,9,64,7
7.25,V,4,7,5,9,64,7
7.42,V,4,7,5,9,64,7
7.67,V,4,7,5,9,64,7
7.75,V,4,7,5,9,64,7
7.92,V,4,7,5,9,64,7
8.0,V,4,7,5,9,57,0
8.0,I,9,0,1,9,57,0
8.25,I,9,0,1,9,61,4
8.5,I,9,0,1,9,64,7
9.0,I,9,0,1,9,57,0
9.25,I,9,0,1,9,61,4
9.42,I,9,0,1,9,64,7
9.92,I,9,0,1,9,52,7
10.0,I,9,0,1,9,57,0
10.25,I,9,0,1,9,61,4
10.5,I,9,0,1,9,64,7
10.75,I,9,0,1,9,66,9
10.92,I,9,0,1,9,64,7
11.0,I,9,0,1,9,67,10
11.25,I,9,0,1,9,64,7
11.5,I,9,0,1,9,60,3
11.67,I,9,0,1,9,60,3
11.75,I,9,0,1,9,57,0
11.92,I,9,0,1,9,57,0
12.0,I,9,0,1,9,64,7
12.0,IVd7,2,5,4,9,64,7
12.42,IVd7,2,5,4,9,62,5
12.5,IVd7,2,5,4,9,60,3
12.75,IVd7,2,5,4,9,57,0
13.0,IVd7,2,5,4,9,64,7
13.25,IVd7,2,5,4,9,62,5
13.42,IVd7,2,5,4,9,60,3
13.67,IVd7,2,5,4,9,64,7
13.75,IVd7,2,5,4,9,64,7
13.92,IVd7,2,5,4,9,64,7
14.0,IVd7,2,5,4,9,64,7
14.0,I,9,0,1,9,64,7
14.25,I,9,0,1,9,62,5
14.5,I,9,0,1,9,61,4
14.75,I,9,0,1,9,57,0
15.0,I,9,0,1,9,64,7
15.25,I,9,0,1,9,62,5
15.42,I,9,0,1,9,61,4
15.67,I,9,0,1,9,61,4
15.75,I,9,0,1,9,62,5
15.92,I,9,0,1,9,61,4
16.0,I,9,0,1,9,62,5
16.0,V7,4,7,5,9,62,5
16.25,V7,4,7,5,9,62,5
16.42,V7,4,7,5,9,61,4
16.5,V7,4,7,5,9,62,5
16.67,V7,4,7,5,9,64,7
16.75,V7,4,7,5,9,62,5
17.0,V7,4,7,5,9,64,7
17.25,V7,4,7,5,9,62,5
17.42,V7,4,7,5,9,61,4
17.75,V7,4,7,5,9,57,0
17.92,V7,4,7,5,9,57,0
18.0,I,9,0,1,9,57,0
19.75,I,9,0,1,9,57,0
19.92,I,9,0,1,9,57,0
20.0,I,9,0,1,9,57,0
20.25,I,9,0,1,9,61,4
20.5,I,9,0,1,9,64,7
21.0,I,9,0,1,9,57,0
21.17,I,9,0,1,9,61,4
21.42,I,9,0,1,9,64,7
21.75,I,9,0,1,9,64,7
21.92,I,9,0,1,9,64,7
22.0,I,9,0,1,9,57,0
22.25,I,9,0,1,9,61,4
22.5,I,9,0,1,9,64,7
22.75,I,9,0,1,9,66,9
23.0,I,9,0,1,9,67,10
23.25,I,9,0,1,9,64,7
23.42,I,9,0,1,9,60,3
23.67,I,9,0,1,9,57,0
23.75,I,9,0,1,9,59,2
23.92,I,9,0,1,9,57,0
24.0,I,9,0,1,9,64,7
24.0,IVd7,2,5,4,9,64,7
24.42,IVd7,2,5,4,9,62,5
24.5,IVd7,2,5,4,9,60,3
24.75,IVd7,2,5,4,9,57,0
25.0,IVd7,2,5,4,9,64,7
25.25,IVd7,2,5,4,9,62,5
25.42,IVd7,2,5,4,9,60,3
25.67,IVd7,2,5,4,9,64,7
25.75,IVd7,2,5,4,9,64,7
25.92,IVd7,2,5,4,9,64,7
26.0,IVd7,2,5,4,9,64,7
26.0,I,9,0,1,9,64,7
26.25,I,9,0,1,9,62,5
26.5,I,9,0,1,9,61,4
26.75,I,9,0,1,9,57,0
27.0,I,9,0,1,9,64,7
27.25,I,9,0,1,9,62,5
27.42,I,9,0,1,9,61,4
27.67,I,9,0,1,9,61,4
27.75,I,9,0,1,9,62,5
27.92,I,9,0,1,9,61,4
28.0,V7,4,7,5,9,61,4
28.0,V7,4,7,5,9,62,5
28.25,V7,4,7,5,9,62,5
28.42,V7,4,7,5,9,61,4
28.5,V7,4,7,5,9,62,5
28.67,V7,4,7,5,9,64,7
28.75,V7,4,7,5,9,62,5
29.0,V7,4,7,5,9,64,7
29.25,V7,4,7,5,9,62,5
29.42,V7,4,7,5,9,60,3
29.75,V7,4,7,5,9,57,0
29.92,V7,4,7,5,9,57,0
30.0,I,9,0,1,9,57,0
36.0,IVd7,2,5,4,9,57,0
38.0,I,9,0,1,9,57,0
40.0,V7,4,7,5,9,57,0
42.0,I,9,0,1,9,57,0
43.67,I,9,0,1,9,57,0
43.92,I,9,0,1,9,57,0
44.0,I,9,0,1,9,57,0
44.25,I,9,0,1,9,61,4
44.5,I,9,0,1,9,64,7
45.0,I,9,0,1,9,57,0
45.17,I,9,0,1,9,61,4
45.42,I,9,0,1,9,64,7
45.5,I,9,0,1,9,64,7
46.0,I,9,0,1,9,57,0
46.25,I,9,0,1,9,61,4
46.5,I,9,0,1,9,64,7
46.75,I,9,0,1,9,66,9
47.0,I,9,0,1,9,67,10
47.17,I,9,0,1,9,64,7
47.42,I,9,0,1,9,60,3
47.58,I,9,0,1,9,60,3
47.67,I,9,0,1,9,57,0
47.75,I,9,0,1,9,59,2
47.92,I,9,0,1,9,57,0
48.0,I,9,0,1,9,64,7
48.0,IVd7,2,5,4,9,64,7
48.42,IVd7,2,5,4,9,62,5
48.5,IVd7,2,5,4,9,60,3
48.75,IVd7,2,5,4,9,57,0
49.0,IVd7,2,5,4,9,64,7
49.25,IVd7,2,5,4,9,62,5
49.42,IVd7,2,5,4,9,60,3
49.67,IVd7,2,5,4,9,64,7
49.75,IVd7,2,5,4,9,64,7
49.92,IVd7,2,5,4,9,64,7
50.0,I,9,0,1,9,64,7
50.0,I,9,0,1,9,64,7
50.25,I,9,0,1,9,62,5
50.5,I,9,0,1,9,61,4
50.75,I,9,0,1,9,57,0
51.0,I,9,0,1,9,64,7
51.25,I,9,0,1,9,62,5
51.42,I,9,0,1,9,61,4
51.67,I,9,0,1,9,61,4
51.75,I,9,0,1,9,62,5
51.92,I,9,0,1,9,61,4
52.0,V7,4,7,5,9,61,4
52.0,V7,4,7,5,9,62,5
52.25,V7,4,7,5,9,62,5
52.42,V7,4,7,5,9,61,4
52.5,V7,4,7,5,9,62,5
52.67,V7,4,7,5,9,64,7
52.75,V7,4,7,5,9,62,5
53.0,V7,4,7,5,9,64,7
53.25,V7,4,7,5,9,62,5
53.42,V7,4,7,5,9,60,3
53.75,V7,4,7,5,9,57,0
53.92,V7,4,7,5,9,57,0
54.0,I,9,0,1,9,57,0
55.75,I,9,0,1,9,57,0
55.92,I,9,0,1,9,57,0
56.0,I,9,0,1,9,57,0
56.25,I,9,0,1,9,61,4
56.5,I,9,0,1,9,64,7
56.92,I,9,0,1,9,57,0
57.0,I,9,0,1,9,57,0
57.17,I,9,0,1,9,61,4
57.42,I,9,0,1,9,64,7
57.75,I,9,0,1,9,57,0
57.92,I,9,0,1,9,57,0
58.0,I,9,0,1,9,57,0
58.25,I,9,0,1,9,61,4
58.5,I,9,0,1,9,64,7
58.75,I,9,0,1,9,64,7
59.0,I,9,0,1,9,64,7
59.25,I,9,0,1,9,60,3
59.42,I,9,0,1,9,57,0
59.67,I,9,0,1,9,57,0
59.75,I,9,0,1,9,59,2
59.92,I,9,0,1,9,57,0
60.0,I,9,0,1,9,64,7
60.0,IVd7,2,5,4,9,64,7
60.42,IVd7,2,5,4,9,62,5
60.5,IVd7,2,5,4,9,60,3
60.75,IVd7,2,5,4,9,57,0
61.0,IVd7,2,5,4,9,64,7
61.25,IVd7,2,5,4,9,62,5
61.42,IVd7,2,5,4,9,60,3
61.67,IVd7,2,5,4,9,64,7
61.75,IVd7,2,5,4,9,64,7
61.92,IVd7,2,5,4,9,64,7
62.0,IVd7,2,5,4,9,64,7
62.0,I,9,0,1,9,64,7
62.25,I,9,0,1,9,62,5
62.5,I,9,0,1,9,61,4
62.75,I,9,0,1,9,57,0
63.0,I,9,0,1,9,64,7
63.25,I,9,0,1,9,62,5
63.42,I,9,0,1,9,61,4
63.67,I,9,0,1,9,61,4
63.75,I,9,0,1,9,62,5
63.92,I,9,0,1,9,61,4
64.0,V7,4,7,5,9,61,4
64.0,V7,4,7,5,9,62,5
64.25,V7,4,7,5,9,62,5
64.42,V7,4,7,5,9,61,4
64.5,V7,4,7,5,9,62,5
64.67,V7,4,7,5,9,64,7
64.75,V7,4,7,5,9,62,5
65.0,V7,4,7,5,9,64,7
65.25,V7,4,7,5,9,62,5
65.42,V7,4,7,5,9,61,4
65.75,V7,4,7,5,9,57,0
65.92,V7,4,7,5,9,57,0
66.0,I,9,0,1,9,57,0
72.0,IVd7,2,5,4,9,57,0
74.0,I,9,0,1,9,57,0
76.0,V7,4,7,5,9,57,0
78.0,I,9,0,1,9,57,0
79.75,I,9,0,1,9,57,0
79.92,I,9,0,1,9,57,0
80.0,I,9,0,1,9,57,0
80.25,I,9,0,1,9,61,4
80.5,I,9,0,1,9,64,7
80.75,I,9,0,1,9,64,7
81.0,I,9,0,1,9,57,0
81.17,I,9,0,1,9,61,4
81.42,I,9,0,1,9,64,7
81.67,I,9,0,1,9,64,7
81.92,I,9,0,1,9,64,7
82.0,I,9,0,1,9,57,0
82.25,I,9,0,1,9,61,4
82.5,I,9,0,1,9,64,7
82.92,I,9,0,1,9,64,7
83.0,I,9,0,1,9,64,7
83.25,I,9,0,1,9,60,3
83.42,I,9,0,1,9,60,3
83.67,I,9,0,1,9,57,0
83.75,I,9,0,1,9,59,2
83.92,I,9,0,1,9,57,0
84.0,IVd7,2,5,4,9,57,0
84.0,IVd7,2,5,4,9,64,7
84.42,IVd7,2,5,4,9,62,5
84.5,IVd7,2,5,4,9,60,3
84.75,IVd7,2,5,4,9,57,0
85.0,IVd7,2,5,4,9,64,7
85.25,IVd7,2,5,4,9,62,5
85.42,IVd7,2,5,4,9,60,3
85.67,IVd7,2,5,4,9,64,7
85.75,IVd7,2,5,4,9,64,7
85.92,IVd7,2,5,4,9,64,7
86.0,I,9,0,1,9,64,7
86.0,I,9,0,1,9,64,7
86.25,I,9,0,1,9,62,5
86.5,I,9,0,1,9,61,4
86.75,I,9,0,1,9,57,0
87.0,I,9,0,1,9,64,7
87.25,I,9,0,1,9,62,5
87.42,I,9,0,1,9,61,4
87.67,I,9,0,1,9,61,4
87.75,I,9,0,1,9,62,5
87.92,I,9,0,1,9,61,4
88.0,V7,4,7,5,9,61,4
88.0,V7,4,7,5,9,62,5
88.25,V7,4,7,5,9,62,5
88.42,V7,4,7,5,9,61,4
88.5,V7,4,7,5,9,62,5
88.67,V7,4,7,5,9,64,7
88.75,V7,4,7,5,9,62,5
89.0,V7,4,7,5,9,64,7
89.25,V7,4,7,5,9,62,5
89.42,V7,4,7,5,9,60,3
89.75,V7,4,7,5,9,61,4
89.92,V7,4,7,5,9,61,4
90.0,V7,4,7,5,9,57,0
90.0,I,9,0,1,9,57,0
91.0,IV,2,5,4,9,57,0
92.0,V,4,7,5,9,57,0
93.5,I,9,0,1,9,57,0
94.0,End,9,0,1,9,57,0
