Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
7.88,bVI,0,8,6,4,64,0
8.0,i,4,0,1,4,64,0
8.0,i,4,0,1,4,66,2
8.12,i,4,0,1,4,67,3
8.25,i,4,0,1,4,67,3
8.38,i,4,0,1,4,67,3
8.5,i,4,0,1,4,67,3
9.0,bVII,2,10,7,4,67,3
9.5,bVI,0,8,6,4,67,3
9.75,bVI,0,8,6,4,67,3
10.0,bVI,0,8,6,4,67,3
10.0,i,4,0,1,4,67,3
10.12,i,4,0,1,4,64,0
10.38,i,4,0,1,4,64,0
10.62,i,4,0,1,4,62,10
11.0,bVII,2,10,7,4,62,10
11.5,bVI,0,8,6,4,62,10
11.75,bVI,0,8,6,4,67,3
11.88,bVI,0,8,6,4,67,3
12.0,i,4,0,1,4,67,3
12.0,i,4,0,1,4,67,3
12.12,i,4,0,1,4,64,0
12.25,i,4,0,1,4,64,0
12.38,i,4,0,1,4,64,0
12.5,i,4,0,1,4,67,3
13.0,bVII,2,10,7,4,67,3
13.5,bVI,0,8,6,4,67,3
13.75,bVI,0,8,6,4,67,3
13.88,bVI,0,8,6,4,67,3
14.0,i,4,0,1,4,67,3
14.0,i,4,0,1,4,67,3
14.12,i,4,0,1,4,64,0
14.25,i,4,0,1,4,64,0
14.38,i,4,0,1,4,64,0
14.5,i,4,0,1,4,64,0
15.0,bVII,2,10,7,4,64,0
15.5,bVI,0,8,6,4,64,0
15.75,bVI,0,8,6,4,67,3
15.88,bVI,0,8,6,4,67,3
16.0,bVI,0,8,6,4,67,3
16.0,i,4,0,1,4,67,3
16.25,i,4,0,1,4,67,3
16.38,i,4,0,1,4,67,3
16.62,i,4,0,1,4,64,0
16.75,i,4,0,1,4,64,0
16.88,i,4,0,1,4,62,10
17.0,bVII,2,10,7,4,62,10
17.0,bVII,2,10,7,4,62,10
17.25,bVII,2,10,7,4,62,10
17.38,bVII,2,10,7,4,64,0
17.5,bVI,0,8,6,4,64,0
17.75,bVI,0,8,6,4,67,3
17.88,bVI,0,8,6,4,67,3
18.0,bVI,0,8,6,4,67,3
18.0,i,4,0,1,4,67,3
18.12,i,4,0,1,4,64,0
18.25,i,4,0,1,4,64,0
18.38,i,4,0,1,4,64,0
18.5,i,4,0,1,4,64,0
18.62,i,4,0,1,4,64,0
18.75,i,4,0,1,4,64,0
18.88,i,4,0,1,4,62,10
19.0,i,4,0,1,4,62,10
19.0,bVII,2,10,7,4,62,10
19.12,bVII,2,10,7,4,62,10
19.25,bVII,2,10,7,4,62,10
19.5,bVII,2,10,7,4,64,0
19.5,bVI,0,8,6,4,64,0
19.75,bVI,0,8,6,4,67,3
20.0,bVI,0,8,6,4,67,3
20.0,i,4,0,1,4,67,3
20.25,i,4,0,1,4,64,0
20.5,i,4,0,1,4,64,0
20.62,i,4,0,1,4,64,0
20.75,i,4,0,1,4,64,0
20.88,i,4,0,1,4,64,0
21.0,bVII,2,10,7,4,64,0
21.0,bVII,2,10,7,4,62,10
21.25,bVII,2,10,7,4,62,10
21.38,bVII,2,10,7,4,64,0
21.5,bVI,0,8,6,4,64,0
21.75,bVI,0,8,6,4,67,3
21.88,bVI,0,8,6,4,67,3
22.0,i,4,0,1,4,67,3
22.0,i,4,0,1,4,67,3
22.12,i,4,0,1,4,64,0
22.25,i,4,0,1,4,64,0
22.38,i,4,0,1,4,64,0
