Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
11.62,I,3,0,1,3,66,3
11.75,I,3,0,1,3,66,3
11.88,I,3,0,1,3,66,3
12.0,I,3,0,1,3,66,3
12.12,I,3,0,1,3,66,3
12.25,I,3,0,1,3,66,3
12.38,I,3,0,1,3,66,3
12.5,I,3,0,1,3,66,3
12.62,I,3,0,1,3,63,0
12.75,I,3,0,1,3,63,0
12.88,I,3,0,1,3,63,0
13.0,IV,8,5,4,3,63,0
13.0,IV,8,5,4,3,66,3
13.12,IV,8,5,4,3,63,0
13.25,IV,8,5,4,3,63,0
13.38,IV,8,5,4,3,61,10
13.5,IV,8,5,4,3,63,0
13.62,IV,8,5,4,3,63,0
13.75,IV,8,5,4,3,63,0
13.88,IV,8,5,4,3,67,4
14.0,I,3,0,1,3,67,4
15.62,I,3,0,1,3,66,3
15.75,I,3,0,1,3,66,3
15.88,I,3,0,1,3,66,3
16.0,I,3,0,1,3,66,3
16.0,IV,8,5,4,3,66,3
16.12,IV,8,5,4,3,66,3
16.25,IV,8,5,4,3,66,3
16.38,IV,8,5,4,3,66,3
16.5,IV,8,5,4,3,66,3
16.62,IV,8,5,4,3,63,0
16.75,IV,8,5,4,3,63,0
16.88,IV,8,5,4,3,66,3
17.0,IV,8,5,4,3,65,2
17.12,IV,8,5,4,3,63,0
17.5,IV,8,5,4,3,65,2
17.62,IV,8,5,4,3,63,0
17.75,IV,8,5,4,3,63,0
17.88,IV,8,5,4,3,60,9
18.0,I,3,0,1,3,60,9
19.75,I,3,0,1,3,66,3
19.88,I,3,0,1,3,66,3
20.0,V,10,7,5,3,66,3
20.12,V,10,7,5,3,66,3
20.25,V,10,7,5,3,65,2
20.38,V,10,7,5,3,63,0
20.62,V,10,7,5,3,60,9
20.88,V,10,7,5,3,58,7
21.0,V,10,7,5,3,60,9
21.0,IV,8,5,4,3,60,9
21.12,IV,8,5,4,3,60,9
21.25,IV,8,5,4,3,63,0
21.31,IV,8,5,4,3,63,0
21.38,IV,8,5,4,3,63,0
21.5,IV,8,5,4,3,66,3
21.75,IV,8,5,4,3,60,9
21.88,IV,8,5,4,3,60,9
22.0,I,3,0,1,3,60,9
23.62,I,3,0,1,3,58,7
23.75,I,3,0,1,3,60,9
23.88,I,3,0,1,3,60,9
24.0,I,3,0,1,3,63,0
24.12,I,3,0,1,3,63,0
24.25,I,3,0,1,3,65,2
24.38,I,3,0,1,3,66,3
24.62,I,3,0,1,3,65,2
24.75,I,3,0,1,3,63,0
24.88,I,3,0,1,3,63,0
25.0,I,3,0,1,3,65,2
25.0,IV,8,5,4,3,65,2
25.25,IV,8,5,4,3,65,2
25.5,IV,8,5,4,3,65,2
25.62,IV,8,5,4,3,63,0
25.75,IV,8,5,4,3,63,0
25.88,IV,8,5,4,3,66,3
26.0,I,3,0,1,3,66,3
27.88,I,3,0,1,3,58,7
28.0,IV,8,5,4,3,58,7
28.0,IV,8,5,4,3,66,3
28.25,IV,8,5,4,3,65,2
28.38,IV,8,5,4,3,65,2
28.5,IV,8,5,4,3,65,2
28.62,IV,8,5,4,3,63,0
28.75,IV,8,5,4,3,63,0
28.88,IV,8,5,4,3,63,0
29.0,IV,8,5,4,3,66,3
29.25,IV,8,5,4,3,65,2
29.38,IV,8,5,4,3,63,0
29.5,IV,8,5,4,3,65,2
29.62,IV,8,5,4,3,63,0
29.75,IV,8,5,4,3,63,0
29.88,IV,8,5,4,3,60,9
30.0,I,3,0,1,3,60,9
30.0,I,3,0,1,3,58,7
31.75,I,3,0,1,3,66,3
31.88,I,3,0,1,3,66,3
32.0,V,10,7,5,3,66,3
32.12,V,10,7,5,3,66,3
32.25,V,10,7,5,3,65,2
32.38,V,10,7,5,3,63,0
32.62,V,10,7,5,3,60,9
32.75,V,10,7,5,3,58,7
33.0,IV,8,5,4,3,58,7
33.0,IV,8,5,4,3,66,3
33.25,IV,8,5,4,3,63,0
33.38,IV,8,5,4,3,65,2
33.62,IV,8,5,4,3,63,0
33.75,IV,8,5,4,3,63,0
33.88,IV,8,5,4,3,60,9
34.0,I,3,0,1,3,60,9
35.62,I,3,0,1,3,58,7
35.75,I,3,0,1,3,61,10
35.88,I,3,0,1,3,58,7
36.0,I,3,0,1,3,63,0
36.12,I,3,0,1,3,63,0
36.25,I,3,0,1,3,65,2
36.38,I,3,0,1,3,66,3
36.62,I,3,0,1,3,65,2
36.88,I,3,0,1,3,58,7
37.0,IV,8,5,4,3,58,7
37.0,IV,8,5,4,3,63,0
37.12,IV,8,5,4,3,63,0
37.25,IV,8,5,4,3,66,3
37.38,IV,8,5,4,3,63,0
37.5,IV,8,5,4,3,66,3
37.62,IV,8,5,4,3,63,0
37.75,IV,8,5,4,3,63,0
37.88,IV,8,5,4,3,67,4
38.0,I,3,0,1,3,67,4
39.62,I,3,0,1,3,60,9
39.75,I,3,0,1,3,63,0
39.88,I,3,0,1,3,60,9
40.0,IV,8,5,4,3,60,9
40.0,IV,8,5,4,3,63,0
40.12,IV,8,5,4,3,63,0
40.25,IV,8,5,4,3,63,0
40.38,IV,8,5,4,3,60,9
40.5,IV,8,5,4,3,63,0
40.62,IV,8,5,4,3,63,0
40.75,IV,8,5,4,3,63,0
40.88,IV,8,5,4,3,60,9
41.0,IV,8,5,4,3,63,0
41.25,IV,8,5,4,3,63,0
41.38,IV,8,5,4,3,60,9
41.5,IV,8,5,4,3,66,3
41.62,IV,8,5,4,3,60,9
41.75,IV,8,5,4,3,60,9
41.88,IV,8,5,4,3,60,9
42.0,I,3,0,1,3,60,9
42.12,I,3,0,1,3,58,7
43.75,I,3,0,1,3,66,3
43.88,I,3,0,1,3,66,3
