Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.25,I,4,0,1,4,56,4
8.62,I,4,0,1,4,59,7
9.0,I,4,0,1,4,62,10
9.38,I,4,0,1,4,59,7
9.62,I,4,0,1,4,61,9
10.0,IV,9,5,4,4,61,9
10.25,IV,9,5,4,4,49,9
10.62,IV,9,5,4,4,52,0
11.0,IV,9,5,4,4,55,3
11.38,IV,9,5,4,4,52,0
11.5,IV,9,5,4,4,54,2
12.0,I,4,0,1,4,54,2
12.25,I,4,0,1,4,56,4
12.62,I,4,0,1,4,59,7
13.0,I,4,0,1,4,62,10
13.38,I,4,0,1,4,59,7
13.62,I,4,0,1,4,61,9
14.0,IV,9,5,4,4,61,9
14.25,IV,9,5,4,4,49,9
14.62,IV,9,5,4,4,52,0
15.0,IV,9,5,4,4,55,3
15.38,IV,9,5,4,4,52,0
15.62,IV,9,5,4,4,52,0
15.75,IV,9,5,4,4,52,0
15.88,IV,9,5,4,4,56,4
16.0,I,4,0,1,4,56,4
16.62,I,4,0,1,4,56,4
16.75,I,4,0,1,4,56,4
16.88,I,4,0,1,4,57,5
17.0,V,11,7,5,4,57,5
17.62,V,11,7,5,4,56,4
17.75,V,11,7,5,4,57,5
17.88,V,11,7,5,4,59,7
18.0,I,4,0,1,4,59,7
18.62,I,4,0,1,4,59,7
18.75,I,4,0,1,4,64,0
18.88,I,4,0,1,4,61,9
18.94,I,4,0,1,4,59,7
19.0,IV,9,5,4,4,59,7
19.0,IV,9,5,4,4,57,5
19.62,IV,9,5,4,4,61,9
19.75,IV,9,5,4,4,64,0
20.0,I,4,0,1,4,64,0
20.0,I,4,0,1,4,67,3
20.25,I,4,0,1,4,64,0
21.0,IV,9,5,4,4,64,0
21.5,IV,9,5,4,4,61,9
21.62,IV,9,5,4,4,64,0
22.0,IV,9,5,4,4,67,3
22.0,I,4,0,1,4,67,3
22.25,I,4,0,1,4,64,0
23.0,IV,9,5,4,4,64,0
23.5,IV,9,5,4,4,62,10
23.62,IV,9,5,4,4,64,0
24.0,IV,9,5,4,4,64,0
24.0,I,4,0,1,4,64,0
24.25,I,4,0,1,4,64,0
24.38,I,4,0,1,4,62,10
24.5,I,4,0,1,4,64,0
24.62,I,4,0,1,4,64,0
24.75,I,4,0,1,4,62,10
