Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.88,I,4,0,1,4,59,7
4.0,I,4,0,1,4,66,2
4.12,I,4,0,1,4,68,4
4.25,I,4,0,1,4,66,2
4.38,I,4,0,1,4,64,0
4.56,I,4,0,1,4,61,9
4.62,I,4,0,1,4,59,7
5.0,V,11,7,5,4,59,7
5.0,V,11,7,5,4,66,2
5.12,V,11,7,5,4,64,0
5.25,V,11,7,5,4,63,11
5.38,V,11,7,5,4,63,11
5.88,V,11,7,5,4,64,0
6.0,IV,9,5,4,4,64,0
6.0,IV,9,5,4,4,64,0
6.12,IV,9,5,4,4,61,9
6.38,IV,9,5,4,4,57,5
6.88,IV,9,5,4,4,52,0
7.0,IV,9,5,4,4,64,0
7.0,ii,6,2,2,4,64,0
7.25,ii,6,2,2,4,61,9
7.38,ii,6,2,2,4,57,5
8.0,ii,6,2,2,4,68,4
8.0,I,4,0,1,4,68,4
8.12,I,4,0,1,4,66,2
8.25,I,4,0,1,4,64,0
8.38,I,4,0,1,4,64,0
8.62,I,4,0,1,4,64,0
8.75,I,4,0,1,4,66,2
9.0,V,11,7,5,4,66,2
9.12,V,11,7,5,4,66,2
9.25,V,11,7,5,4,64,0
9.38,V,11,7,5,4,63,11
9.5,V,11,7,5,4,59,7
10.0,V,11,7,5,4,64,0
10.0,IV,9,5,4,4,64,0
10.12,IV,9,5,4,4,61,9
10.38,IV,9,5,4,4,57,5
11.0,IV,9,5,4,4,64,0
11.0,ii,6,2,2,4,64,0
11.25,ii,6,2,2,4,61,9
11.38,ii,6,2,2,4,57,5
11.88,ii,6,2,2,4,59,7
12.0,ii,6,2,2,4,66,2
12.0,I,4,0,1,4,66,2
12.12,I,4,0,1,4,68,4
12.38,I,4,0,1,4,66,2
12.5,V,11,7,5,4,66,2
12.62,V,11,7,5,4,64,0
12.75,V,11,7,5,4,63,11
12.88,V,11,7,5,4,64,0
13.0,IV,9,5,4,4,64,0
13.06,IV,9,5,4,4,63,11
13.12,IV,9,5,4,4,61,9
13.88,IV,9,5,4,4,59,7
14.0,IV,9,5,4,4,66,2
14.0,I,4,0,1,4,66,2
14.12,I,4,0,1,4,68,4
14.38,I,4,0,1,4,66,2
14.5,V,11,7,5,4,66,2
14.62,V,11,7,5,4,64,0
14.75,V,11,7,5,4,63,11
14.88,V,11,7,5,4,64,0
15.0,IV,9,5,4,4,64,0
15.06,IV,9,5,4,4,63,11
15.12,IV,9,5,4,4,61,9
16.0,I,4,0,1,4,61,9
19.88,I,4,0,1,4,59,7
20.0,I,4,0,1,4,66,2
20.12,I,4,0,1,4,68,4
20.25,I,4,0,1,4,66,2
20.38,I,4,0,1,4,64,0
20.56,I,4,0,1,4,61,9
20.62,I,4,0,1,4,59,7
20.88,I,4,0,1,4,59,7
21.0,I,4,0,1,4,66,2
21.0,V,11,7,5,4,66,2
21.12,V,11,7,5,4,64,0
21.25,V,11,7,5,4,63,11
21.38,V,11,7,5,4,63,11
21.88,V,11,7,5,4,64,0
22.0,IV,9,5,4,4,64,0
22.06,IV,9,5,4,4,64,0
22.12,IV,9,5,4,4,61,9
22.31,IV,9,5,4,4,57,5
22.38,IV,9,5,4,4,57,5
23.0,ii,6,2,2,4,57,5
23.0,ii,6,2,2,4,64,0
23.12,ii,6,2,2,4,61,9
23.38,ii,6,2,2,4,57,5
23.5,ii,6,2,2,4,61,9
24.0,I,4,0,1,4,61,9
24.0,I,4,0,1,4,68,4
24.12,I,4,0,1,4,68,4
24.25,I,4,0,1,4,66,2
24.38,I,4,0,1,4,64,0
24.62,I,4,0,1,4,64,0
24.75,I,4,0,1,4,66,2
25.0,V,11,7,5,4,66,2
25.12,V,11,7,5,4,66,2
25.25,V,11,7,5,4,64,0
25.38,V,11,7,5,4,63,11
25.5,V,11,7,5,4,59,7
26.0,V,11,7,5,4,64,0
