Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.75,I,3,0,1,3,63,0
3.92,I,3,0,1,3,63,0
4.17,I,3,0,1,3,63,0
4.25,I,3,0,1,3,63,0
4.5,I,3,0,1,3,63,0
5.0,I,3,0,1,3,63,0
5.25,I,3,0,1,3,60,9
5.5,I,3,0,1,3,60,9
5.75,I,3,0,1,3,58,7
5.92,I,3,0,1,3,58,7
6.0,I,3,0,1,3,55,4
7.75,I,3,0,1,3,63,0
7.92,I,3,0,1,3,63,0
8.0,IVd7,8,5,4,3,63,0
8.17,IVd7,8,5,4,3,63,0
8.25,IVd7,8,5,4,3,63,0
8.5,IVd7,8,5,4,3,63,0
9.0,IVd7,8,5,4,3,63,0
9.25,IVd7,8,5,4,3,60,9
9.5,IVd7,8,5,4,3,60,9
9.75,IVd7,8,5,4,3,58,7
9.92,IVd7,8,5,4,3,58,7
10.0,IVd7,8,5,4,3,55,4
10.0,I,3,0,1,3,55,4
11.67,I,3,0,1,3,63,0
11.92,I,3,0,1,3,63,0
12.0,I,3,0,1,3,63,0
12.0,V7,10,7,5,3,63,0
12.17,V7,10,7,5,3,63,0
12.25,V7,10,7,5,3,63,0
12.5,V7,10,7,5,3,63,0
12.67,V7,10,7,5,3,58,7
12.75,V7,10,7,5,3,60,9
12.92,V7,10,7,5,3,58,7
13.0,IVd7,8,5,4,3,58,7
13.0,IVd7,8,5,4,3,61,10
13.25,IVd7,8,5,4,3,60,9
13.42,IVd7,8,5,4,3,58,7
13.5,IVd7,8,5,4,3,60,9
13.75,IVd7,8,5,4,3,58,7
13.92,IVd7,8,5,4,3,58,7
14.0,IVd7,8,5,4,3,51,0
14.0,I,3,0,1,3,51,0
15.67,I,3,0,1,3,63,0
15.92,I,3,0,1,3,63,0
16.0,I,3,0,1,3,63,0
16.25,I,3,0,1,3,63,0
16.5,I,3,0,1,3,63,0
16.67,I,3,0,1,3,58,7
16.92,I,3,0,1,3,58,7
17.0,I,3,0,1,3,63,0
17.25,I,3,0,1,3,60,9
17.5,I,3,0,1,3,60,9
17.75,I,3,0,1,3,58,7
17.92,I,3,0,1,3,58,7
18.0,I,3,0,1,3,55,4
19.67,I,3,0,1,3,63,0
19.92,I,3,0,1,3,63,0
20.0,I,3,0,1,3,63,0
20.0,IVd7,8,5,4,3,63,0
20.25,IVd7,8,5,4,3,63,0
20.5,IVd7,8,5,4,3,63,0
20.67,IVd7,8,5,4,3,51,0
20.92,IVd7,8,5,4,3,51,0
21.0,IVd7,8,5,4,3,63,0
21.25,IVd7,8,5,4,3,60,9
21.5,IVd7,8,5,4,3,60,9
21.75,IVd7,8,5,4,3,58,7
21.92,IVd7,8,5,4,3,58,7
22.0,I,3,0,1,3,58,7
22.0,I,3,0,1,3,55,4
23.67,I,3,0,1,3,58,7
23.75,I,3,0,1,3,63,0
23.92,I,3,0,1,3,61,10
24.0,V7,10,7,5,3,61,10
24.0,V7,10,7,5,3,63,0
24.25,V7,10,7,5,3,63,0
24.42,V7,10,7,5,3,63,0
24.75,V7,10,7,5,3,60,9
24.92,V7,10,7,5,3,60,9
25.0,V7,10,7,5,3,61,10
25.0,IVd7,8,5,4,3,61,10
25.25,IVd7,8,5,4,3,60,9
25.42,IVd7,8,5,4,3,60,9
25.75,IVd7,8,5,4,3,58,7
25.92,IVd7,8,5,4,3,58,7
