Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
7.12,I,2,0,1,2,52,2
7.25,I,2,0,1,2,50,0
7.38,I,2,0,1,2,50,0
7.5,I,2,0,1,2,55,5
7.62,I,2,0,1,2,50,0
7.75,I,2,0,1,2,50,0
7.88,I,2,0,1,2,48,10
8.0,I,2,0,1,2,50,0
8.5,IV,7,5,4,2,50,0
9.0,I,2,0,1,2,50,0
9.25,I,2,0,1,2,50,0
9.38,I,2,0,1,2,50,0
9.5,I,2,0,1,2,53,3
9.62,I,2,0,1,2,50,0
9.75,I,2,0,1,2,53,3
9.88,I,2,0,1,2,53,3
10.0,I,2,0,1,2,50,0
10.12,I,2,0,1,2,48,10
10.5,IV,7,5,4,2,48,10
11.0,I,2,0,1,2,48,10
11.12,I,2,0,1,2,57,7
11.38,I,2,0,1,2,57,7
11.5,I,2,0,1,2,60,10
11.62,I,2,0,1,2,57,7
11.75,I,2,0,1,2,57,7
11.88,I,2,0,1,2,57,7
12.0,I,2,0,1,2,57,7
12.0,IV,7,5,4,2,57,7
12.12,IV,7,5,4,2,55,5
12.5,bIII,5,3,3,2,55,5
13.0,IV,7,5,4,2,55,5
13.12,IV,7,5,4,2,50,0
13.25,IV,7,5,4,2,50,0
13.38,IV,7,5,4,2,50,0
13.5,IV,7,5,4,2,53,3
13.62,IV,7,5,4,2,50,0
13.75,IV,7,5,4,2,53,3
13.88,IV,7,5,4,2,53,3
14.0,I,2,0,1,2,53,3
14.0,I,2,0,1,2,50,0
14.5,IV,7,5,4,2,50,0
15.0,I,2,0,1,2,50,0
15.12,I,2,0,1,2,57,7
15.38,I,2,0,1,2,57,7
15.5,I,2,0,1,2,60,10
15.62,I,2,0,1,2,57,7
15.75,I,2,0,1,2,59,9
15.88,I,2,0,1,2,60,10
16.0,V,9,7,5,2,60,10
16.0,V,9,7,5,2,57,7
16.12,V,9,7,5,2,55,5
16.5,V,9,7,5,2,57,7
17.25,V,9,7,5,2,50,0
17.38,V,9,7,5,2,50,0
17.5,V,9,7,5,2,54,4
17.62,V,9,7,5,2,50,0
17.75,V,9,7,5,2,53,3
17.88,V,9,7,5,2,53,3
18.0,V,9,7,5,2,50,0
18.0,I,2,0,1,2,50,0
18.5,IV,7,5,4,2,50,0
19.0,I,2,0,1,2,50,0
19.12,I,2,0,1,2,53,3
19.25,I,2,0,1,2,52,2
19.38,I,2,0,1,2,50,0
19.5,I,2,0,1,2,57,7
19.75,I,2,0,1,2,57,7
20.0,I,2,0,1,2,57,7
20.12,I,2,0,1,2,50,0
20.5,IV,7,5,4,2,50,0
21.0,I,2,0,1,2,50,0
21.12,I,2,0,1,2,52,2
21.25,I,2,0,1,2,50,0
21.38,I,2,0,1,2,50,0
21.5,I,2,0,1,2,53,3
21.62,I,2,0,1,2,50,0
21.75,I,2,0,1,2,53,3
21.88,I,2,0,1,2,53,3
22.0,I,2,0,1,2,50,0
22.12,I,2,0,1,2,48,10
22.5,IV,7,5,4,2,48,10
23.0,I,2,0,1,2,48,10
23.12,I,2,0,1,2,57,7
23.25,I,2,0,1,2,57,7
23.38,I,2,0,1,2,57,7
23.5,I,2,0,1,2,57,7
23.62,I,2,0,1,2,57,7
23.75,I,2,0,1,2,57,7
23.88,I,2,0,1,2,57,7
24.0,I,2,0,1,2,55,5
24.0,IV,7,5,4,2,55,5
24.5,bIII,5,3,3,2,55,5
25.0,IV,7,5,4,2,55,5
25.12,IV,7,5,4,2,50,0
25.25,IV,7,5,4,2,50,0
25.38,IV,7,5,4,2,50,0
25.5,IV,7,5,4,2,53,3
25.62,IV,7,5,4,2,50,0
25.75,IV,7,5,4,2,53,3
25.88,IV,7,5,4,2,53,3
26.0,I,2,0,1,2,53,3
26.0,I,2,0,1,2,50,0
26.5,IV,7,5,4,2,50,0
27.0,I,2,0,1,2,50,0
27.12,I,2,0,1,2,55,5
27.25,I,2,0,1,2,57,7
27.38,I,2,0,1,2,60,10
27.62,I,2,0,1,2,57,7
27.75,I,2,0,1,2,60,10
27.88,I,2,0,1,2,60,10
28.0,I,2,0,1,2,57,7
28.0,V,9,7,5,2,57,7
28.12,V,9,7,5,2,55,5
29.25,V,9,7,5,2,50,0
29.38,V,9,7,5,2,50,0
29.5,V,9,7,5,2,54,4
29.62,V,9,7,5,2,50,0
29.75,V,9,7,5,2,54,4
29.88,V,9,7,5,2,54,4
30.0,I,2,0,1,2,54,4
30.0,I,2,0,1,2,50,0
30.5,IV,7,5,4,2,50,0
31.0,I,2,0,1,2,50,0
31.25,I,2,0,1,2,50,0
31.38,I,2,0,1,2,50,0
31.5,I,2,0,1,2,55,5
31.62,I,2,0,1,2,55,5
31.75,I,2,0,1,2,55,5
31.88,I,2,0,1,2,53,3
32.0,I,2,0,1,2,57,7
32.12,I,2,0,1,2,50,0
32.5,IV,7,5,4,2,50,0
33.0,I,2,0,1,2,50,0
33.25,I,2,0,1,2,50,0
33.38,I,2,0,1,2,50,0
33.5,I,2,0,1,2,54,4
33.62,I,2,0,1,2,54,4
33.75,I,2,0,1,2,56,6
33.88,I,2,0,1,2,54,4
34.0,I,2,0,1,2,57,7
34.12,I,2,0,1,2,50,0
34.5,IV,7,5,4,2,50,0
35.0,I,2,0,1,2,50,0
35.25,I,2,0,1,2,50,0
35.38,I,2,0,1,2,50,0
35.5,I,2,0,1,2,54,4
35.62,I,2,0,1,2,54,4
35.75,I,2,0,1,2,56,6
35.88,I,2,0,1,2,54,4
36.0,I,2,0,1,2,57,7
36.0,IV,7,5,4,2,57,7
36.12,IV,7,5,4,2,57,7
36.38,IV,7,5,4,2,55,5
36.5,bIII,5,3,3,2,55,5
37.0,IV,7,5,4,2,55,5
37.12,IV,7,5,4,2,50,0
37.25,IV,7,5,4,2,50,0
37.38,IV,7,5,4,2,50,0
37.5,IV,7,5,4,2,53,3
37.62,IV,7,5,4,2,53,3
37.75,IV,7,5,4,2,55,5
37.88,IV,7,5,4,2,53,3
38.0,IV,7,5,4,2,57,7
38.0,I,2,0,1,2,57,7
38.12,I,2,0,1,2,50,0
38.5,IV,7,5,4,2,50,0
39.0,I,2,0,1,2,50,0
39.25,I,2,0,1,2,57,7
39.38,I,2,0,1,2,57,7
39.5,I,2,0,1,2,60,10
39.62,I,2,0,1,2,57,7
39.75,I,2,0,1,2,60,10
39.88,I,2,0,1,2,60,10
40.0,I,2,0,1,2,57,7
40.0,V,9,7,5,2,57,7
40.12,V,9,7,5,2,55,5
40.62,V,9,7,5,2,57,7
41.0,I,2,0,1,2,57,7
41.5,IV,7,5,4,2,57,7
42.0,I,2,0,1,2,57,7
42.12,I,2,0,1,2,48,10
42.25,I,2,0,1,2,50,0
42.38,I,2,0,1,2,50,0
42.5,I,2,0,1,2,54,4
42.62,I,2,0,1,2,50,0
42.75,I,2,0,1,2,50,0
42.88,I,2,0,1,2,48,10
43.0,I,2,0,1,2,50,0
43.5,IV,7,5,4,2,50,0
44.0,I,2,0,1,2,50,0
44.12,I,2,0,1,2,48,10
44.25,I,2,0,1,2,50,0
44.38,I,2,0,1,2,50,0
44.5,I,2,0,1,2,54,4
44.62,I,2,0,1,2,50,0
44.75,I,2,0,1,2,50,0
44.88,I,2,0,1,2,48,10
45.0,I,2,0,1,2,50,0
45.5,IV,7,5,4,2,50,0
46.0,I,2,0,1,2,50,0
46.12,I,2,0,1,2,57,7
46.25,I,2,0,1,2,57,7
46.38,I,2,0,1,2,57,7
46.5,I,2,0,1,2,60,10
46.62,I,2,0,1,2,57,7
46.75,I,2,0,1,2,57,7
46.88,I,2,0,1,2,57,7
47.0,I,2,0,1,2,57,7
47.0,IV,7,5,4,2,57,7
47.12,IV,7,5,4,2,55,5
47.5,bIII,5,3,3,2,55,5
48.0,IV,7,5,4,2,55,5
48.12,IV,7,5,4,2,50,0
48.25,IV,7,5,4,2,50,0
48.38,IV,7,5,4,2,50,0
48.5,IV,7,5,4,2,54,4
48.62,IV,7,5,4,2,50,0
48.75,IV,7,5,4,2,52,2
48.88,IV,7,5,4,2,48,10
49.0,IV,7,5,4,2,57,7
49.0,I,2,0,1,2,57,7
49.12,I,2,0,1,2,50,0
49.5,IV,7,5,4,2,50,0
50.0,I,2,0,1,2,50,0
50.38,I,2,0,1,2,57,7
50.5,I,2,0,1,2,60,10
50.62,I,2,0,1,2,57,7
50.75,I,2,0,1,2,60,10
50.88,I,2,0,1,2,60,10
51.0,I,2,0,1,2,57,7
51.0,V,9,7,5,2,57,7
51.12,V,9,7,5,2,55,5
52.12,V,9,7,5,2,50,0
52.25,V,9,7,5,2,50,0
52.38,V,9,7,5,2,50,0
52.5,V,9,7,5,2,53,3
52.62,V,9,7,5,2,50,0
52.75,V,9,7,5,2,53,3
52.88,V,9,7,5,2,53,3
53.0,V,9,7,5,2,50,0
53.0,I,2,0,1,2,50,0
53.12,I,2,0,1,2,48,10
53.5,IV,7,5,4,2,48,10
54.0,I,2,0,1,2,48,10
55.5,IV,7,5,4,2,48,10
56.0,I,2,0,1,2,48,10
57.5,IV,7,5,4,2,48,10
58.0,I,2,0,1,2,48,10
59.0,IV,7,5,4,2,48,10
59.5,bIII,5,3,3,2,48,10
60.0,IV,7,5,4,2,48,10
61.0,I,2,0,1,2,48,10
61.5,IV,7,5,4,2,48,10
62.0,I,2,0,1,2,48,10
63.0,V,9,7,5,2,48,10
65.0,I,2,0,1,2,48,10
65.5,IV,7,5,4,2,48,10
66.0,I,2,0,1,2,48,10
66.25,I,2,0,1,2,50,0
66.38,I,2,0,1,2,50,0
66.5,I,2,0,1,2,55,5
66.62,I,2,0,1,2,55,5
66.75,I,2,0,1,2,55,5
66.88,I,2,0,1,2,53,3
67.0,I,2,0,1,2,57,7
67.12,I,2,0,1,2,50,0
67.5,IV,7,5,4,2,50,0
68.0,I,2,0,1,2,50,0
