Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
3.0,I,5,0,1,5,62,9
3.25,I,5,0,1,5,65,0
3.38,I,5,0,1,5,62,9
3.5,I,5,0,1,5,65,0
3.75,I,5,0,1,5,65,0
3.88,I,5,0,1,5,62,9
4.0,vi,2,9,6,5,62,9
4.25,vi,2,9,6,5,68,3
4.38,vi,2,9,6,5,67,2
4.5,vi,2,9,6,5,67,2
4.56,vi,2,9,6,5,65,0
4.75,vi,2,9,6,5,65,0
4.88,vi,2,9,6,5,62,9
5.0,I,5,0,1,5,62,9
5.25,I,5,0,1,5,68,3
5.38,I,5,0,1,5,67,2
5.5,I,5,0,1,5,67,2
5.56,I,5,0,1,5,65,0
5.75,I,5,0,1,5,65,0
5.88,I,5,0,1,5,62,9
6.0,vi,2,9,6,5,62,9
6.25,vi,2,9,6,5,68,3
6.38,vi,2,9,6,5,67,2
6.44,vi,2,9,6,5,65,0
6.62,vi,2,9,6,5,67,2
7.0,I,5,0,1,5,67,2
7.0,I,5,0,1,5,69,4
7.12,I,5,0,1,5,67,2
7.25,I,5,0,1,5,65,0
7.38,I,5,0,1,5,62,9
7.5,I,5,0,1,5,65,0
7.62,I,5,0,1,5,65,0
7.88,I,5,0,1,5,62,9
8.0,vi,2,9,6,5,62,9
8.12,vi,2,9,6,5,60,7
8.19,vi,2,9,6,5,57,4
9.0,I,5,0,1,5,57,4
9.0,I,5,0,1,5,69,4
9.12,I,5,0,1,5,67,2
9.25,I,5,0,1,5,65,0
9.38,I,5,0,1,5,62,9
9.5,I,5,0,1,5,65,0
9.75,I,5,0,1,5,69,4
10.0,vi,2,9,6,5,69,4
10.0,vi,2,9,6,5,67,2
10.06,vi,2,9,6,5,65,0
10.38,vi,2,9,6,5,69,4
10.5,vi,2,9,6,5,67,2
10.56,vi,2,9,6,5,65,0
10.75,vi,2,9,6,5,69,4
11.0,I,5,0,1,5,69,4
12.0,vi,2,9,6,5,69,4
12.25,vi,2,9,6,5,69,4
12.38,vi,2,9,6,5,67,2
12.5,vi,2,9,6,5,67,2
12.62,vi,2,9,6,5,65,0
