Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
16.25,i,5,0,1,5,60,7
16.38,i,5,0,1,5,63,10
16.5,IV,10,5,4,5,63,10
16.62,IV,10,5,4,5,65,0
16.88,IV,10,5,4,5,56,3
17.0,bIII,8,3,3,5,56,3
17.38,bIII,8,3,3,5,65,0
17.5,bVI,1,8,6,5,65,0
17.62,bVI,1,8,6,5,63,10
17.75,bVI,1,8,6,5,61,8
17.88,bVI,1,8,6,5,60,7
18.0,i,5,0,1,5,60,7
18.25,i,5,0,1,5,61,8
18.38,i,5,0,1,5,60,7
18.5,IV,10,5,4,5,60,7
18.75,IV,10,5,4,5,58,5
18.88,IV,10,5,4,5,56,3
19.0,bIII,8,3,3,5,56,3
19.25,bIII,8,3,3,5,58,5
19.38,bIII,8,3,3,5,60,7
19.5,bVI,1,8,6,5,60,7
19.62,bVI,1,8,6,5,58,5
19.75,bVI,1,8,6,5,56,3
19.88,bVI,1,8,6,5,55,2
20.0,i,5,0,1,5,55,2
20.25,i,5,0,1,5,60,7
20.38,i,5,0,1,5,63,10
20.5,IV,10,5,4,5,63,10
20.62,IV,10,5,4,5,65,0
20.88,IV,10,5,4,5,56,3
21.0,bIII,8,3,3,5,56,3
21.25,bIII,8,3,3,5,56,3
21.38,bIII,8,3,3,5,65,0
21.5,bVI,1,8,6,5,65,0
21.62,bVI,1,8,6,5,63,10
21.75,bVI,1,8,6,5,61,8
21.88,bVI,1,8,6,5,60,7
22.0,i,5,0,1,5,60,7
22.25,i,5,0,1,5,61,8
22.38,i,5,0,1,5,60,7
22.5,IV,10,5,4,5,60,7
22.75,IV,10,5,4,5,58,5
22.88,IV,10,5,4,5,56,3
23.0,bIII,8,3,3,5,56,3
23.25,bIII,8,3,3,5,58,5
23.38,bIII,8,3,3,5,60,7
23.5,bVI,1,8,6,5,60,7
23.62,bVI,1,8,6,5,58,5
23.75,bVI,1,8,6,5,56,3
23.88,bVI,1,8,6,5,55,2
24.0,i,5,0,1,5,55,2
24.25,i,5,0,1,5,56,3
24.38,i,5,0,1,5,55,2
24.5,IV,10,5,4,5,55,2
24.75,IV,10,5,4,5,56,3
24.88,IV,10,5,4,5,55,2
25.0,bIII,8,3,3,5,55,2
25.25,bIII,8,3,3,5,56,3
25.38,bIII,8,3,3,5,55,2
25.5,bVI,1,8,6,5,55,2
25.62,bVI,1,8,6,5,56,3
25.75,bVI,1,8,6,5,55,2
25.88,bVI,1,8,6,5,55,2
26.0,bVI,1,8,6,5,53,0
26.0,i,5,0,1,5,53,0
26.25,i,5,0,1,5,56,3
26.38,i,5,0,1,5,55,2
26.5,IV,10,5,4,5,55,2
26.75,IV,10,5,4,5,56,3
26.88,IV,10,5,4,5,55,2
27.0,bIII,8,3,3,5,55,2
