Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
7.62,I,9,0,1,9,61,4
7.75,I,9,0,1,9,64,7
7.88,I,9,0,1,9,66,9
8.75,I,9,0,1,9,61,4
8.88,I,9,0,1,9,64,7
10.0,vi,6,9,6,9,64,7
10.38,vi,6,9,6,9,57,0
10.44,vi,6,9,6,9,59,2
10.5,vi,6,9,6,9,61,4
10.69,vi,6,9,6,9,59,2
10.94,vi,6,9,6,9,57,0
11.62,vi,6,9,6,9,57,0
11.75,vi,6,9,6,9,59,2
11.88,vi,6,9,6,9,61,4
11.94,vi,6,9,6,9,59,2
12.0,IV,2,5,4,9,59,2
12.0,IV,2,5,4,9,57,0
12.62,IV,2,5,4,9,57,0
12.75,IV,2,5,4,9,61,4
12.88,IV,2,5,4,9,59,2
13.0,V,4,7,5,9,59,2
13.0,V,4,7,5,9,57,0
13.12,V,4,7,5,9,59,2
13.25,V,4,7,5,9,57,0
13.69,V,4,7,5,9,59,2
13.81,V,4,7,5,9,59,2
14.0,I,9,0,1,9,59,2
14.0,I,9,0,1,9,57,0
15.62,I,9,0,1,9,61,4
15.75,I,9,0,1,9,64,7
15.88,I,9,0,1,9,66,9
16.62,I,9,0,1,9,61,4
16.75,I,9,0,1,9,64,7
16.88,I,9,0,1,9,66,9
17.38,I,9,0,1,9,62,5
17.5,I,9,0,1,9,62,5
17.62,I,9,0,1,9,61,4
17.75,I,9,0,1,9,59,2
17.88,I,9,0,1,9,57,0
17.94,I,9,0,1,9,59,2
18.0,vi,6,9,6,9,59,2
18.0,vi,6,9,6,9,61,4
18.62,vi,6,9,6,9,59,2
18.75,vi,6,9,6,9,59,2
19.0,vi,6,9,6,9,57,0
19.62,vi,6,9,6,9,57,0
19.75,vi,6,9,6,9,59,2
19.88,vi,6,9,6,9,61,4
19.94,vi,6,9,6,9,59,2
20.0,IV,2,5,4,9,59,2
20.0,IV,2,5,4,9,57,0
20.62,IV,2,5,4,9,59,2
20.75,IV,2,5,4,9,61,4
20.88,IV,2,5,4,9,59,2
21.0,V,4,7,5,9,59,2
