Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
4.25,I,10,0,1,10,62,4
4.38,I,10,0,1,10,62,4
4.5,I,10,0,1,10,63,5
4.62,I,10,0,1,10,62,4
4.88,I,10,0,1,10,58,0
5.25,I,10,0,1,10,53,7
5.38,I,10,0,1,10,55,9
5.5,I,10,0,1,10,60,2
5.62,I,10,0,1,10,58,0
5.94,I,10,0,1,10,56,10
6.0,v,5,7,5,10,56,10
6.5,v,5,7,5,10,56,10
6.69,v,5,7,5,10,58,0
6.88,v,5,7,5,10,60,2
7.0,v,5,7,5,10,53,7
8.0,V7/ii,7,9,6,10,53,7
8.5,V7/ii,7,9,6,10,56,10
8.69,V7/ii,7,9,6,10,58,0
8.88,V7/ii,7,9,6,10,59,1
9.0,V7/ii,7,9,6,10,53,7
9.88,V7/ii,7,9,6,10,53,7
10.0,IV,3,5,4,10,53,7
10.0,IV,3,5,4,10,65,7
10.25,IV,3,5,4,10,63,5
10.5,IV,3,5,4,10,62,4
10.75,IV,3,5,4,10,60,2
11.0,V/ii,7,9,6,10,60,2
11.0,V/ii,7,9,6,10,59,1
11.06,V/ii,7,9,6,10,60,2
11.12,V/ii,7,9,6,10,62,4
12.0,V/ii,7,9,6,10,62,4
12.0,IV,3,5,4,10,62,4
12.17,IV,3,5,4,10,58,0
12.33,IV,3,5,4,10,55,9
12.5,IV,3,5,4,10,62,4
12.67,IV,3,5,4,10,58,0
12.83,IV,3,5,4,10,53,7
13.0,IV,3,5,4,10,60,2
13.0,I,10,0,1,10,60,2
13.12,I,10,0,1,10,58,0
14.0,V,5,7,5,10,58,0
14.0,V,5,7,5,10,60,2
14.19,V,5,7,5,10,60,2
14.38,V,5,7,5,10,60,2
14.5,V,5,7,5,10,60,2
14.69,V,5,7,5,10,60,2
14.88,V,5,7,5,10,60,2
15.0,V,5,7,5,10,60,2
15.38,V,5,7,5,10,60,2
16.0,vi,7,9,6,10,60,2
16.12,vi,7,9,6,10,58,0
16.25,vi,7,9,6,10,58,0
16.38,vi,7,9,6,10,58,0
16.5,iii6,2,4,3,10,58,0
16.5,iii6,2,4,3,10,62,4
16.62,iii6,2,4,3,10,60,2
16.75,iii6,2,4,3,10,58,0
16.88,iii6,2,4,3,10,57,11
17.0,iii6,2,4,3,10,60,2
17.0,IV,3,5,4,10,60,2
17.06,IV,3,5,4,10,58,0
17.12,IV,3,5,4,10,55,9
18.12,IV,3,5,4,10,58,0
18.25,IV,3,5,4,10,58,0
18.31,IV,3,5,4,10,58,0
18.44,IV,3,5,4,10,57,11
18.5,V,5,7,5,10,57,11
18.69,V,5,7,5,10,55,9
18.75,V,5,7,5,10,53,7
18.88,V,5,7,5,10,62,4
19.0,I,10,0,1,10,62,4
19.0,I,10,0,1,10,58,0
19.12,I,10,0,1,10,58,0
19.19,I,10,0,1,10,58,0
19.25,I,10,0,1,10,58,0
19.31,I,10,0,1,10,60,2
19.38,I,10,0,1,10,58,0
19.44,I,10,0,1,10,57,11
19.5,I,10,0,1,10,55,9
19.5,vi,7,9,6,10,55,9
20.0,IV,3,5,4,10,55,9
20.12,IV,3,5,4,10,58,0
20.25,IV,3,5,4,10,58,0
20.31,IV,3,5,4,10,58,0
20.5,V,5,7,5,10,58,0
20.5,V,5,7,5,10,60,2
20.56,V,5,7,5,10,58,0
20.69,V,5,7,5,10,57,11
20.88,V,5,7,5,10,58,0
21.0,V,5,7,5,10,58,0
21.0,IV,3,5,4,10,58,0
21.5,I,10,0,1,10,58,0
22.25,I,10,0,1,10,62,4
22.38,I,10,0,1,10,62,4
22.5,I,10,0,1,10,63,5
22.62,I,10,0,1,10,62,4
22.88,I,10,0,1,10,58,0
23.25,I,10,0,1,10,53,7
23.38,I,10,0,1,10,55,9
23.5,I,10,0,1,10,60,2
23.62,I,10,0,1,10,58,0
24.0,I,10,0,1,10,56,10
24.0,v,5,7,5,10,56,10
24.5,v,5,7,5,10,56,10
24.69,v,5,7,5,10,58,0
24.88,v,5,7,5,10,60,2
25.0,v,5,7,5,10,53,7
26.0,V7/ii,7,9,6,10,53,7
26.5,V7/ii,7,9,6,10,56,10
26.69,V7/ii,7,9,6,10,58,0
26.88,V7/ii,7,9,6,10,59,1
27.12,V7/ii,7,9,6,10,53,7
27.88,V7/ii,7,9,6,10,53,7
28.0,V7/ii,7,9,6,10,65,7
28.0,IV,3,5,4,10,65,7
28.25,IV,3,5,4,10,63,5
28.5,IV,3,5,4,10,62,4
28.75,IV,3,5,4,10,60,2
29.0,IV,3,5,4,10,59,1
29.0,V/ii,7,9,6,10,59,1
29.06,V/ii,7,9,6,10,60,2
29.12,V/ii,7,9,6,10,62,4
30.0,IV,3,5,4,10,62,4
30.0,IV,3,5,4,10,62,4
30.17,IV,3,5,4,10,58,0
30.33,IV,3,5,4,10,55,9
30.5,IV,3,5,4,10,62,4
30.67,IV,3,5,4,10,58,0
30.83,IV,3,5,4,10,53,7
31.0,IV,3,5,4,10,60,2
31.0,I,10,0,1,10,60,2
31.12,I,10,0,1,10,58,0
33.0,V,5,7,5,10,58,0
33.0,V,5,7,5,10,60,2
33.19,V,5,7,5,10,60,2
33.38,V,5,7,5,10,60,2
33.56,V,5,7,5,10,60,2
33.75,V,5,7,5,10,60,2
33.88,V,5,7,5,10,60,2
