Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
8.0,IV,7,5,4,2,52,2
8.0,I,2,0,1,2,52,2
8.38,I,2,0,1,2,54,4
8.5,I,2,0,1,2,54,4
9.0,V,9,7,5,2,54,4
9.12,V,9,7,5,2,52,2
9.25,V,9,7,5,2,54,4
9.38,V,9,7,5,2,54,4
9.44,V,9,7,5,2,54,4
9.5,IV,7,5,4,2,54,4
9.62,IV,7,5,4,2,50,0
9.75,IV,7,5,4,2,50,0
9.88,IV,7,5,4,2,45,7
9.94,IV,7,5,4,2,45,7
10.0,I,2,0,1,2,45,7
10.25,I,2,0,1,2,54,4
10.31,I,2,0,1,2,54,4
10.38,I,2,0,1,2,54,4
10.44,I,2,0,1,2,54,4
10.56,I,2,0,1,2,50,0
10.75,I,2,0,1,2,50,0
10.88,I,2,0,1,2,47,9
11.0,V,9,7,5,2,47,9
11.0,V,9,7,5,2,54,4
11.12,V,9,7,5,2,54,4
11.25,V,9,7,5,2,54,4
11.31,V,9,7,5,2,54,4
11.38,V,9,7,5,2,54,4
11.44,V,9,7,5,2,50,0
11.5,IV,7,5,4,2,50,0
11.75,IV,7,5,4,2,50,0
11.88,IV,7,5,4,2,47,9
12.0,IV,7,5,4,2,52,2
12.0,I,2,0,1,2,52,2
12.38,I,2,0,1,2,54,4
13.0,V,9,7,5,2,54,4
13.12,V,9,7,5,2,52,2
13.25,V,9,7,5,2,52,2
13.38,V,9,7,5,2,54,4
13.5,V,9,7,5,2,50,0
13.5,IV,7,5,4,2,50,0
13.56,IV,7,5,4,2,50,0
13.81,IV,7,5,4,2,45,7
14.0,I,2,0,1,2,45,7
14.12,I,2,0,1,2,54,4
14.25,I,2,0,1,2,54,4
14.38,I,2,0,1,2,54,4
14.5,I,2,0,1,2,50,0
14.75,I,2,0,1,2,50,0
14.88,I,2,0,1,2,45,7
15.0,V,9,7,5,2,45,7
15.0,V,9,7,5,2,54,4
15.12,V,9,7,5,2,54,4
15.25,V,9,7,5,2,54,4
15.38,V,9,7,5,2,52,2
15.44,V,9,7,5,2,50,0
15.5,IV,7,5,4,2,50,0
16.0,I,2,0,1,2,50,0
17.0,V,9,7,5,2,50,0
17.5,IV,7,5,4,2,50,0
18.0,I,2,0,1,2,50,0
19.0,V,9,7,5,2,50,0
19.5,IV,7,5,4,2,50,0
20.0,I,2,0,1,2,50,0
21.0,V,9,7,5,2,50,0
21.5,IV,7,5,4,2,50,0
22.0,I,2,0,1,2,50,0
23.0,V,9,7,5,2,50,0
23.5,IV,7,5,4,2,50,0
23.88,IV,7,5,4,2,45,7
24.0,I,2,0,1,2,45,7
24.0,I,2,0,1,2,52,2
24.38,I,2,0,1,2,54,4
25.0,V,9,7,5,2,54,4
25.12,V,9,7,5,2,52,2
25.19,V,9,7,5,2,52,2
25.31,V,9,7,5,2,49,11
25.5,V,9,7,5,2,54,4
25.5,IV,7,5,4,2,54,4
25.62,IV,7,5,4,2,50,0
25.75,IV,7,5,4,2,50,0
25.88,IV,7,5,4,2,45,7
26.0,I,2,0,1,2,45,7
26.0,I,2,0,1,2,54,4
26.12,I,2,0,1,2,54,4
26.19,I,2,0,1,2,54,4
26.25,I,2,0,1,2,54,4
26.38,I,2,0,1,2,54,4
26.5,I,2,0,1,2,54,4
26.62,I,2,0,1,2,50,0
26.75,I,2,0,1,2,50,0
27.0,V,9,7,5,2,50,0
27.06,V,9,7,5,2,54,4
27.12,V,9,7,5,2,54,4
27.19,V,9,7,5,2,54,4
27.25,V,9,7,5,2,54,4
27.38,V,9,7,5,2,54,4
27.5,V,9,7,5,2,54,4
27.5,IV,7,5,4,2,54,4
27.62,IV,7,5,4,2,50,0
27.75,IV,7,5,4,2,50,0
27.88,IV,7,5,4,2,45,7
28.0,IV,7,5,4,2,52,2
28.0,I,2,0,1,2,52,2
28.38,I,2,0,1,2,54,4
29.0,V,9,7,5,2,54,4
29.12,V,9,7,5,2,52,2
29.25,V,9,7,5,2,52,2
29.38,V,9,7,5,2,53,3
29.5,V,9,7,5,2,53,3
29.5,IV,7,5,4,2,53,3
29.56,IV,7,5,4,2,53,3
29.69,IV,7,5,4,2,53,3
29.81,IV,7,5,4,2,50,0
