Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
5.62,I,4,0,1,4,59,7
5.75,I,4,0,1,4,61,9
5.88,I,4,0,1,4,59,7
6.0,I,4,0,1,4,64,0
6.12,I,4,0,1,4,64,0
6.25,I,4,0,1,4,64,0
6.38,I,4,0,1,4,64,0
6.5,I,4,0,1,4,61,9
6.75,I,4,0,1,4,59,7
6.88,I,4,0,1,4,56,4
7.0,I,4,0,1,4,59,7
7.12,I,4,0,1,4,59,7
7.25,I,4,0,1,4,59,7
7.38,I,4,0,1,4,59,7
7.5,I,4,0,1,4,56,4
7.62,I,4,0,1,4,54,2
7.75,I,4,0,1,4,52,0
8.5,IV,9,5,4,4,52,0
9.0,V,11,7,5,4,52,0
9.5,I,4,0,1,4,52,0
9.62,I,4,0,1,4,59,7
9.75,I,4,0,1,4,61,9
9.88,I,4,0,1,4,59,7
10.0,I,4,0,1,4,64,0
10.12,I,4,0,1,4,64,0
10.25,I,4,0,1,4,64,0
10.5,I,4,0,1,4,62,10
10.62,I,4,0,1,4,61,9
10.75,I,4,0,1,4,59,7
10.88,I,4,0,1,4,56,4
11.0,I,4,0,1,4,58,6
11.12,I,4,0,1,4,58,6
11.25,I,4,0,1,4,59,7
11.38,I,4,0,1,4,59,7
11.5,I,4,0,1,4,54,2
11.75,I,4,0,1,4,52,0
12.5,IV,9,5,4,4,52,0
13.0,V,11,7,5,4,52,0
13.5,I,4,0,1,4,52,0
13.56,I,4,0,1,4,57,5
13.88,I,4,0,1,4,57,5
14.0,I,4,0,1,4,57,5
14.0,IV,9,5,4,4,57,5
14.12,IV,9,5,4,4,57,5
14.25,IV,9,5,4,4,57,5
14.38,IV,9,5,4,4,55,3
14.5,IV,9,5,4,4,57,5
14.62,IV,9,5,4,4,52,0
15.0,IV,9,5,4,4,63,11
15.12,IV,9,5,4,4,63,11
15.25,IV,9,5,4,4,64,0
15.38,IV,9,5,4,4,64,0
15.5,IV,9,5,4,4,63,11
15.88,IV,9,5,4,4,52,0
16.0,I,4,0,1,4,52,0
16.0,I,4,0,1,4,54,2
16.19,I,4,0,1,4,47,7
16.38,I,4,0,1,4,43,3
16.5,I,4,0,1,4,42,2
16.75,I,4,0,1,4,40,0
16.88,I,4,0,1,4,40,0
17.0,I,4,0,1,4,40,0
17.12,I,4,0,1,4,40,0
17.25,I,4,0,1,4,40,0
17.5,I,4,0,1,4,40,0
18.0,IV,9,5,4,4,40,0
18.0,IV,9,5,4,4,57,5
18.12,IV,9,5,4,4,57,5
18.38,IV,9,5,4,4,54,2
18.5,IV,9,5,4,4,57,5
18.62,IV,9,5,4,4,52,0
18.88,IV,9,5,4,4,55,3
19.0,IV,9,5,4,4,64,0
19.12,IV,9,5,4,4,64,0
19.25,IV,9,5,4,4,64,0
19.38,IV,9,5,4,4,64,0
19.5,IV,9,5,4,4,59,7
19.75,IV,9,5,4,4,59,7
19.88,IV,9,5,4,4,61,9
20.0,I,4,0,1,4,61,9
20.0,I,4,0,1,4,64,0
20.25,I,4,0,1,4,64,0
20.5,I,4,0,1,4,62,10
20.62,I,4,0,1,4,61,9
20.75,I,4,0,1,4,59,7
20.88,I,4,0,1,4,52,0
21.0,I,4,0,1,4,55,3
21.25,I,4,0,1,4,64,0
21.5,I,4,0,1,4,55,3
21.75,I,4,0,1,4,54,2
22.0,I,4,0,1,4,52,0
24.5,IV,9,5,4,4,52,0
25.0,V,11,7,5,4,52,0
25.5,I,4,0,1,4,52,0
26.5,IV,9,5,4,4,52,0
27.0,V,11,7,5,4,52,0
27.5,I,4,0,1,4,52,0
27.62,I,4,0,1,4,59,7
27.75,I,4,0,1,4,61,9
27.88,I,4,0,1,4,59,7
28.0,I,4,0,1,4,64,0
28.12,I,4,0,1,4,64,0
28.25,I,4,0,1,4,64,0
28.38,I,4,0,1,4,64,0
28.5,I,4,0,1,4,62,10
28.62,I,4,0,1,4,61,9
28.75,I,4,0,1,4,59,7
28.88,I,4,0,1,4,56,4
29.0,I,4,0,1,4,59,7
29.12,I,4,0,1,4,59,7
29.25,I,4,0,1,4,59,7
29.38,I,4,0,1,4,59,7
29.5,I,4,0,1,4,55,3
29.62,I,4,0,1,4,54,2
29.75,I,4,0,1,4,52,0
30.5,IV,9,5,4,4,52,0
31.0,V,11,7,5,4,52,0
31.5,I,4,0,1,4,52,0
31.62,I,4,0,1,4,59,7
31.75,I,4,0,1,4,61,9
31.88,I,4,0,1,4,59,7
32.0,I,4,0,1,4,64,0
32.12,I,4,0,1,4,64,0
32.25,I,4,0,1,4,64,0
32.38,I,4,0,1,4,64,0
32.5,I,4,0,1,4,62,10
32.62,I,4,0,1,4,61,9
32.75,I,4,0,1,4,59,7
32.88,I,4,0,1,4,56,4
33.0,I,4,0,1,4,59,7
33.12,I,4,0,1,4,59,7
33.25,I,4,0,1,4,59,7
33.5,I,4,0,1,4,54,2
33.75,I,4,0,1,4,52,0
34.5,IV,9,5,4,4,52,0
35.0,V,11,7,5,4,52,0
35.5,I,4,0,1,4,52,0
35.62,I,4,0,1,4,57,5
35.75,I,4,0,1,4,57,5
35.88,I,4,0,1,4,57,5
36.0,IV,9,5,4,4,57,5
36.0,IV,9,5,4,4,57,5
36.12,IV,9,5,4,4,57,5
36.25,IV,9,5,4,4,57,5
36.38,IV,9,5,4,4,54,2
36.5,IV,9,5,4,4,57,5
36.75,IV,9,5,4,4,57,5
36.88,IV,9,5,4,4,57,5
37.0,IV,9,5,4,4,63,11
37.12,IV,9,5,4,4,64,0
