Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
7.88,I,2,0,1,2,57,7
8.0,I,2,0,1,2,62,0
8.12,I,2,0,1,2,62,0
8.25,I,2,0,1,2,60,10
8.38,I,2,0,1,2,62,0
9.88,I,2,0,1,2,57,7
10.0,I,2,0,1,2,62,0
10.12,I,2,0,1,2,62,0
10.25,I,2,0,1,2,60,10
10.38,I,2,0,1,2,62,0
10.62,I,2,0,1,2,57,7
10.88,I,2,0,1,2,55,5
11.0,I,2,0,1,2,53,3
11.88,I,2,0,1,2,57,7
12.0,I,2,0,1,2,62,0
12.12,I,2,0,1,2,62,0
12.25,I,2,0,1,2,60,10
12.38,I,2,0,1,2,62,0
12.62,I,2,0,1,2,57,7
12.75,I,2,0,1,2,53,3
12.88,I,2,0,1,2,55,5
13.0,I,2,0,1,2,53,3
14.0,I,2,0,1,2,62,0
14.12,I,2,0,1,2,62,0
14.25,I,2,0,1,2,60,10
14.38,I,2,0,1,2,62,0
14.62,I,2,0,1,2,57,7
14.75,I,2,0,1,2,53,3
14.88,I,2,0,1,2,55,5
15.0,I,2,0,1,2,53,3
15.12,I,2,0,1,2,57,7
15.88,I,2,0,1,2,62,0
16.0,I,2,0,1,2,67,5
16.0,IV,7,5,4,2,67,5
16.12,IV,7,5,4,2,67,5
16.25,IV,7,5,4,2,65,3
16.38,IV,7,5,4,2,67,5
16.62,IV,7,5,4,2,65,3
16.88,IV,7,5,4,2,62,0
17.0,IV,7,5,4,2,60,10
17.88,IV,7,5,4,2,62,0
18.0,IV,7,5,4,2,67,5
18.12,IV,7,5,4,2,69,7
18.25,IV,7,5,4,2,67,5
18.38,IV,7,5,4,2,67,5
18.5,IV,7,5,4,2,65,3
18.62,IV,7,5,4,2,65,3
18.88,IV,7,5,4,2,69,7
19.0,IV,7,5,4,2,67,5
19.12,IV,7,5,4,2,67,5
19.25,IV,7,5,4,2,65,3
19.38,IV,7,5,4,2,67,5
19.5,IV,7,5,4,2,65,3
19.62,IV,7,5,4,2,65,3
20.0,I,2,0,1,2,65,3
24.0,V,9,7,5,2,65,3
24.38,V,9,7,5,2,55,5
24.62,V,9,7,5,2,57,7
24.88,V,9,7,5,2,60,10
25.0,bVII,0,10,7,2,60,10
25.12,bVII,0,10,7,2,57,7
25.38,bVII,0,10,7,2,55,5
25.5,IV,7,5,4,2,55,5
25.62,IV,7,5,4,2,57,7
25.75,IV,7,5,4,2,55,5
26.0,V,9,7,5,2,55,5
26.38,V,9,7,5,2,55,5
26.62,V,9,7,5,2,57,7
26.88,V,9,7,5,2,60,10
27.0,bVII,0,10,7,2,60,10
27.12,bVII,0,10,7,2,57,7
27.38,bVII,0,10,7,2,55,5
27.5,IV,7,5,4,2,55,5
27.62,IV,7,5,4,2,57,7
28.0,V,9,7,5,2,57,7
28.38,V,9,7,5,2,57,7
28.62,V,9,7,5,2,61,11
28.88,V,9,7,5,2,64,2
29.0,bVII,0,10,7,2,64,2
29.12,bVII,0,10,7,2,60,10
29.38,bVII,0,10,7,2,59,9
29.5,IV,7,5,4,2,59,9
29.62,IV,7,5,4,2,61,11
30.0,IV,7,5,4,2,64,2
30.0,V,9,7,5,2,64,2
30.25,V,9,7,5,2,62,0
30.31,V,9,7,5,2,64,2
30.38,V,9,7,5,2,62,0
30.5,V,9,7,5,2,61,11
30.75,V,9,7,5,2,59,9
30.81,V,9,7,5,2,61,11
30.88,V,9,7,5,2,59,9
31.0,V,9,7,5,2,57,7
32.0,I,2,0,1,2,57,7
33.88,I,2,0,1,2,60,10
34.0,I,2,0,1,2,62,0
34.12,I,2,0,1,2,62,0
34.25,I,2,0,1,2,60,10
34.38,I,2,0,1,2,62,0
35.88,I,2,0,1,2,60,10
36.0,I,2,0,1,2,62,0
36.12,I,2,0,1,2,62,0
36.25,I,2,0,1,2,60,10
36.38,I,2,0,1,2,62,0
36.5,I,2,0,1,2,57,7
36.62,I,2,0,1,2,57,7
37.0,I,2,0,1,2,55,5
37.12,I,2,0,1,2,53,3
37.62,I,2,0,1,2,57,7
37.81,I,2,0,1,2,59,9
38.0,I,2,0,1,2,62,0
38.12,I,2,0,1,2,62,0
38.25,I,2,0,1,2,60,10
38.38,I,2,0,1,2,62,0
38.5,I,2,0,1,2,60,10
38.56,I,2,0,1,2,62,0
39.75,I,2,0,1,2,57,7
39.88,I,2,0,1,2,60,10
40.0,I,2,0,1,2,62,0
40.12,I,2,0,1,2,62,0
40.25,I,2,0,1,2,60,10
40.38,I,2,0,1,2,62,0
40.62,I,2,0,1,2,65,3
41.06,I,2,0,1,2,64,2
41.25,I,2,0,1,2,60,10
41.88,I,2,0,1,2,62,0
42.0,IV,7,5,4,2,62,0
42.0,IV,7,5,4,2,67,5
42.12,IV,7,5,4,2,67,5
42.25,IV,7,5,4,2,65,3
42.38,IV,7,5,4,2,67,5
42.62,IV,7,5,4,2,65,3
42.88,IV,7,5,4,2,69,7
43.0,IV,7,5,4,2,62,0
43.88,IV,7,5,4,2,62,0
44.0,IV,7,5,4,2,67,5
44.12,IV,7,5,4,2,67,5
44.25,IV,7,5,4,2,65,3
44.38,IV,7,5,4,2,67,5
44.62,IV,7,5,4,2,65,3
44.88,IV,7,5,4,2,68,6
45.0,IV,7,5,4,2,67,5
45.12,IV,7,5,4,2,67,5
45.25,IV,7,5,4,2,65,3
45.38,IV,7,5,4,2,67,5
45.5,IV,7,5,4,2,65,3
45.62,IV,7,5,4,2,67,5
45.88,IV,7,5,4,2,66,4
46.0,I,2,0,1,2,66,4
50.0,V,9,7,5,2,66,4
50.38,V,9,7,5,2,55,5
50.62,V,9,7,5,2,57,7
50.88,V,9,7,5,2,60,10
51.0,bVII,0,10,7,2,60,10
51.12,bVII,0,10,7,2,57,7
51.38,bVII,0,10,7,2,55,5
51.5,IV,7,5,4,2,55,5
51.62,IV,7,5,4,2,57,7
51.75,IV,7,5,4,2,55,5
52.0,V,9,7,5,2,55,5
52.38,V,9,7,5,2,55,5
52.62,V,9,7,5,2,57,7
52.88,V,9,7,5,2,60,10
53.0,bVII,0,10,7,2,60,10
53.12,bVII,0,10,7,2,57,7
53.38,bVII,0,10,7,2,55,5
53.5,IV,7,5,4,2,55,5
53.62,IV,7,5,4,2,57,7
54.0,V,9,7,5,2,57,7
54.38,V,9,7,5,2,57,7
54.62,V,9,7,5,2,61,11
54.88,V,9,7,5,2,64,2
55.0,bVII,0,10,7,2,64,2
55.12,bVII,0,10,7,2,60,10
55.38,bVII,0,10,7,2,59,9
55.5,IV,7,5,4,2,59,9
55.62,IV,7,5,4,2,61,11
56.0,V,9,7,5,2,61,11
56.0,V,9,7,5,2,64,2
56.25,V,9,7,5,2,62,0
56.31,V,9,7,5,2,64,2
56.38,V,9,7,5,2,62,0
56.5,V,9,7,5,2,61,11
56.75,V,9,7,5,2,59,9
56.81,V,9,7,5,2,61,11
56.88,V,9,7,5,2,59,9
57.0,V,9,7,5,2,57,7
58.0,I,2,0,1,2,57,7
66.0,IV,7,5,4,2,57,7
70.0,I,2,0,1,2,57,7
74.0,V,9,7,5,2,57,7
75.0,bVII,0,10,7,2,57,7
75.5,IV,7,5,4,2,57,7
76.0,V,9,7,5,2,57,7
77.0,bVII,0,10,7,2,57,7
77.5,IV,7,5,4,2,57,7
78.0,V,9,7,5,2,57,7
79.0,bVII,0,10,7,2,57,7
79.5,IV,7,5,4,2,57,7
80.0,V,9,7,5,2,57,7
82.0,I,2,0,1,2,57,7
85.88,I,2,0,1,2,62,0
86.0,I,2,0,1,2,62,0
86.12,I,2,0,1,2,62,0
86.25,I,2,0,1,2,60,10
86.38,I,2,0,1,2,62,0
86.62,I,2,0,1,2,60,10
87.88,I,2,0,1,2,59,9
88.0,I,2,0,1,2,62,0
88.12,I,2,0,1,2,69,7
88.25,I,2,0,1,2,65,3
88.38,I,2,0,1,2,67,5
88.5,I,2,0,1,2,65,3
88.62,I,2,0,1,2,67,5
88.75,I,2,0,1,2,69,7
88.88,I,2,0,1,2,67,5
89.0,I,2,0,1,2,65,3
89.38,I,2,0,1,2,62,0
89.75,I,2,0,1,2,57,7
