Beats,Harmony Roman Numeral,Harmony absolute root,Harmony chromatic key-relative root,Harmony diatonic root,Harmony key tonic,Melody absolute pitch,Melody key-relative pitch
11.5,i,3,0,1,3,61,10
11.62,i,3,0,1,3,63,0
11.75,i,3,0,1,3,63,0
11.88,i,3,0,1,3,61,10
11.94,i,3,0,1,3,66,3
12.06,i,3,0,1,3,63,0
13.5,i,3,0,1,3,61,10
13.62,i,3,0,1,3,58,7
13.75,i,3,0,1,3,56,5
13.88,i,3,0,1,3,54,3
13.94,i,3,0,1,3,56,5
14.0,i,3,0,1,3,54,3
15.5,i,3,0,1,3,61,10
15.62,i,3,0,1,3,63,0
15.75,i,3,0,1,3,63,0
15.88,i,3,0,1,3,61,10
15.94,i,3,0,1,3,66,3
16.06,i,3,0,1,3,63,0
17.5,i,3,0,1,3,61,10
17.56,i,3,0,1,3,58,7
17.69,i,3,0,1,3,56,5
17.81,i,3,0,1,3,54,3
17.94,i,3,0,1,3,56,5
18.0,i,3,0,1,3,54,3
19.5,i,3,0,1,3,61,10
19.56,i,3,0,1,3,63,0
19.69,i,3,0,1,3,63,0
19.81,i,3,0,1,3,63,0
19.94,i,3,0,1,3,66,3
20.06,i,3,0,1,3,63,0
21.44,i,3,0,1,3,61,10
21.56,i,3,0,1,3,58,7
21.75,i,3,0,1,3,56,5
21.88,i,3,0,1,3,54,3
21.94,i,3,0,1,3,56,5
22.12,i,3,0,1,3,54,3
23.5,i,3,0,1,3,58,7
23.56,i,3,0,1,3,63,0
23.69,i,3,0,1,3,63,0
23.81,i,3,0,1,3,63,0
23.94,i,3,0,1,3,66,3
24.25,i,3,0,1,3,66,3
24.31,i,3,0,1,3,63,0
25.44,i,3,0,1,3,58,7
25.5,i,3,0,1,3,61,10
25.56,i,3,0,1,3,58,7
25.75,i,3,0,1,3,56,5
25.88,i,3,0,1,3,54,3
25.94,i,3,0,1,3,56,5
26.0,i,3,0,1,3,54,3
27.62,i,3,0,1,3,58,7
27.75,i,3,0,1,3,58,7
27.81,i,3,0,1,3,58,7
27.88,i,3,0,1,3,65,2
28.0,V,10,7,5,3,65,2
28.19,V,10,7,5,3,65,2
28.31,V,10,7,5,3,65,2
28.5,bVIb5,11,8,6,3,65,2
28.75,bVIb5,11,8,6,3,58,7
28.81,bVIb5,11,8,6,3,58,7
28.88,bVIb5,11,8,6,3,65,2
29.0,V,10,7,5,3,65,2
29.06,V,10,7,5,3,65,2
29.19,V,10,7,5,3,63,0
29.31,V,10,7,5,3,63,0
29.5,bVb5,9,6,4,3,63,0
29.62,bVb5,9,6,4,3,61,10
29.69,bVb5,9,6,4,3,63,0
29.88,bVb5,9,6,4,3,65,2
29.94,bVb5,9,6,4,3,63,0
30.0,IV,8,5,4,3,63,0
30.19,IV,8,5,4,3,61,10
30.25,IV,8,5,4,3,58,7
30.31,IV,8,5,4,3,56,5
30.38,IV,8,5,4,3,54,3
30.44,IV,8,5,4,3,51,0
31.0,V,10,7,5,3,51,0
31.25,V,10,7,5,3,66,3
31.31,V,10,7,5,3,66,3
31.5,V,10,7,5,3,63,0
31.56,V,10,7,5,3,58,7
31.75,V,10,7,5,3,56,5
31.88,V,10,7,5,3,54,3
31.94,V,10,7,5,3,56,5
32.0,i,3,0,1,3,56,5
32.0,i,3,0,1,3,51,0
32.75,i,3,0,1,3,58,7
32.94,i,3,0,1,3,63,0
35.31,i,3,0,1,3,66,3
35.5,i,3,0,1,3,61,10
35.62,i,3,0,1,3,63,0
35.75,i,3,0,1,3,63,0
35.88,i,3,0,1,3,61,10
35.94,i,3,0,1,3,66,3
36.06,i,3,0,1,3,63,0
36.25,i,3,0,1,3,58,7
36.31,i,3,0,1,3,56,5
